Date,SWITZERLAND SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,100.796
2001-01-03,100.715
2001-01-04,100.723
2001-01-05,101.214
2001-01-08,100.719
2001-01-09,100.268
2001-01-10,100.039
2001-01-11,99.83
2001-01-12,100.256
2001-01-15,99.472
2001-01-16,100.267
2001-01-17,99.67
2001-01-18,101.829
2001-01-19,100.96
2001-01-22,100.449
2001-01-23,101.446
2001-01-24,100.089
2001-01-25,100.692
2001-01-26,100.562
2001-01-29,101.004
2001-01-30,101.755
2001-01-31,102.247
2001-02-01,103.455
2001-02-02,102.063
2001-02-05,102.896
2001-02-06,102.262
2001-02-07,102.48
2001-02-08,101.392
2001-02-09,101.543
2001-02-12,102.981
2001-02-13,102.284
2001-02-14,101.384
2001-02-15,100.503
2001-02-16,101.523
2001-02-19,101.872
2001-02-20,100.868
2001-02-21,101.104
2001-02-22,100.712
2001-02-23,100.477
2001-02-26,100.51
2001-02-27,101.498
2001-02-28,101.355
2001-03-01,100.799
2001-03-02,101.362
2001-03-05,101.153
2001-03-06,100.983
2001-03-07,100.941
2001-03-08,100.735
2001-03-09,100.195
2001-03-12,99.24
2001-03-13,97.805
2001-03-14,95.837
2001-03-15,95.585
2001-03-16,93.602
2001-03-19,93.717
2001-03-20,93.942
2001-03-21,92.394
2001-03-22,88.407
2001-03-23,90.14
2001-03-26,91.173
2001-03-27,91.828
2001-03-28,90.953
2001-03-29,90.703
2001-03-30,91.733
2001-04-02,90.991
2001-04-03,91.076
2001-04-04,92.266
2001-04-05,94.305
2001-04-06,94.741
2001-04-09,95.167
2001-04-10,94.39
2001-04-11,94.465
2001-04-12,95.063
2001-04-13,95.063
2001-04-16,94.096
2001-04-17,94.003
2001-04-18,92.572
2001-04-19,94.043
2001-04-20,95.376
2001-04-23,94.968
2001-04-24,94.198
2001-04-25,94.345
2001-04-26,94.805
2001-04-27,94.925
2001-04-30,94.781
2001-05-01,95.063
2001-05-02,94.775
2001-05-03,95.901
2001-05-04,95.648
2001-05-07,94.537
2001-05-08,93.756
2001-05-09,93.525
2001-05-10,93.904
2001-05-11,93.616
2001-05-14,93.21
2001-05-15,94.338
2001-05-16,95.138
2001-05-17,95.099
2001-05-18,95.148
2001-05-21,95.432
2001-05-22,94.705
2001-05-23,93.858
2001-05-24,93.626
2001-05-25,93.223
2001-05-28,93.715
2001-05-29,93.399
2001-05-30,93.631
2001-05-31,92.775
2001-06-01,92.749
2001-06-04,92.961
2001-06-05,94.483
2001-06-06,93.494
2001-06-07,93.634
2001-06-08,93.196
2001-06-11,92.193
2001-06-12,92.183
2001-06-13,92.572
2001-06-14,92.719
2001-06-15,92.938
2001-06-18,92.394
2001-06-19,91.439
2001-06-20,90.492
2001-06-21,90.567
2001-06-22,90.946
2001-06-25,91.854
2001-06-26,91.254
2001-06-27,90.805
