Date,SINGAPORE IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,538.245
2001-01-02,530.028
2001-01-03,523.595
2001-01-04,534.112
2001-01-05,547.543
2001-01-08,537.361
2001-01-09,547.963
2001-01-10,540.351
2001-01-11,530.401
2001-01-12,538.951
2001-01-15,541.476
2001-01-16,538.875
2001-01-17,537.829
2001-01-18,538.468
2001-01-19,551.57
2001-01-22,546.576
2001-01-23,545.604
2001-01-24,545.647
2001-01-25,546.141
2001-01-26,545.969
2001-01-29,552.323
2001-01-30,550.104
2001-01-31,557.315
2001-02-01,556.375
2001-02-02,554.834
2001-02-05,553.136
2001-02-06,554.383
2001-02-07,554.873
2001-02-08,568.029
2001-02-09,561.06
2001-02-12,566.728
2001-02-13,569.596
2001-02-14,557.567
2001-02-15,554.376
2001-02-16,554.533
2001-02-19,548.686
2001-02-20,557.499
2001-02-21,552.801
2001-02-22,544.349
2001-02-23,546.533
2001-02-26,548.679
2001-02-27,541.869
2001-02-28,546.373
2001-03-01,536.643
2001-03-02,536.492
2001-03-05,533.304
2001-03-06,533.744
2001-03-07,530.361
2001-03-08,527.657
2001-03-09,526.571
2001-03-12,516.933
2001-03-13,498.795
2001-03-14,496.085
2001-03-15,493.186
2001-03-16,487.73
2001-03-19,480.136
2001-03-20,477.39
2001-03-21,476.442
2001-03-22,467.26
2001-03-23,477.838
2001-03-26,461.854
2001-03-27,435.855
2001-03-28,434.154
2001-03-29,422.421
2001-03-30,429.072
2001-04-02,413.23
2001-04-03,417.017
2001-04-04,413.601
2001-04-05,425.27
2001-04-06,424.582
2001-04-09,409.312
2001-04-10,417.445
2001-04-11,418.576
2001-04-12,412.801
2001-04-13,412.787
2001-04-16,410.848
2001-04-17,403.954
2001-04-18,419.209
2001-04-19,423.206
2001-04-20,425.138
2001-04-23,429.462
2001-04-24,427.023
2001-04-25,424.848
2001-04-26,421.904
2001-04-27,425.156
2001-04-30,432.076
2001-05-01,433.883
2001-05-02,437.231
2001-05-03,432.946
2001-05-04,427.37
2001-05-07,426.823
2001-05-08,423.343
2001-05-09,424.399
2001-05-10,428.079
2001-05-11,427.292
2001-05-14,419.02
2001-05-15,423.697
2001-05-16,420.672
2001-05-17,428.653
2001-05-18,427.101
2001-05-21,423.636
2001-05-22,428.243
2001-05-23,431.417
2001-05-24,434.039
2001-05-25,430.595
2001-05-28,426.317
2001-05-29,424.179
2001-05-30,419.652
2001-05-31,420.217
2001-06-01,416.454
2001-06-04,418.544
2001-06-05,417.582
2001-06-06,417.924
2001-06-07,419.295
2001-06-08,425.82
2001-06-11,418.61
2001-06-12,416.745
2001-06-13,422.665
2001-06-14,422.618
2001-06-15,427.006
2001-06-18,424.971
2001-06-19,425.574
2001-06-20,422.096
2001-06-21,422.108
2001-06-22,433.664
2001-06-25,432.475
2001-06-26,431.2
2001-06-27,428.148
2001-06-28,422.867
2001-06-29,430.821
2001-07-02,423.403
2001-07-03,422.294
2001-07-04,418.485
2001-07-05,416.366
2001-07-06,412.018
2001-07-09,416.013
2001-07-10,420.149
2001-07-11,413.875
2001-07-12,420.219
2001-07-13,413.866
2001-07-16,412.059
2001-07-17,408.791
2001-07-18,405.098
2001-07-19,405.35
2001-07-20,407.979
2001-07-23,403.434
2001-07-24,404.745
2001-07-25,406.291
2001-07-26,410.401
2001-07-27,413.137
2001-07-30,416.694
2001-07-31,420.872
2001-08-01,424.026
2001-08-02,431.501
2001-08-03,425.574
2001-08-06,425.349
2001-08-07,425.215
2001-08-08,421.688
2001-08-09,421.71
2001-08-10,425.552
2001-08-13,420.749
2001-08-14,428.756
2001-08-15,431.731
2001-08-16,428.007
2001-08-17,425.569
2001-08-20,419.38
2001-08-21,427.399
2001-08-22,429.788
2001-08-23,429.674
2001-08-24,429.372
2001-08-27,432.977
2001-08-28,430.147
2001-08-29,429.478
2001-08-30,415.228
2001-08-31,417.268
2001-09-03,415.869
2001-09-04,417.256
2001-09-05,415.119
2001-09-06,411.392
2001-09-07,406.748
2001-09-10,400.139
2001-09-11,403.356
2001-09-12,383.988
2001-09-13,377.879
2001-09-14,367.333
2001-09-17,347.478
2001-09-18,346.248
2001-09-19,351.264
2001-09-20,343.025
2001-09-21,323.426
2001-09-24,330.732
2001-09-25,329.266
2001-09-26,336.881
2001-09-27,345.891
2001-09-28,351.352
2001-10-01,352.48
2001-10-02,353.919
2001-10-03,345.551
2001-10-04,353.052
2001-10-05,353.001
2001-10-08,344.726
2001-10-09,352.482
2001-10-10,342.902
2001-10-11,347.409
2001-10-12,356.134
2001-10-15,358.468
2001-10-16,357.518
2001-10-17,363.295
2001-10-18,354.697
2001-10-19,350.167
2001-10-22,347.26
2001-10-23,353.535
2001-10-24,353.596
2001-10-25,354.398
2001-10-26,353.673
2001-10-29,351.476
2001-10-30,349.491
2001-10-31,346.662
2001-11-01,337.311
2001-11-02,336.64
2001-11-05,336.552
2001-11-06,338.859
2001-11-07,336.898
2001-11-08,340.312
2001-11-09,346.609
2001-11-12,346.771
2001-11-13,347.702
2001-11-14,347.688
2001-11-15,363.32
2001-11-16,358.752
2001-11-19,366.301
2001-11-20,363.953
2001-11-21,365.471
2001-11-22,361.636
2001-11-23,363.943
2001-11-26,367.264
2001-11-27,371.785
2001-11-28,368.747
2001-11-29,363.405
2001-11-30,365.794
2001-12-03,362.305
2001-12-04,370.842
2001-12-05,380.653
2001-12-06,385.043
2001-12-07,383.748
2001-12-10,384.189
2001-12-11,383.173
2001-12-12,384.502
2001-12-13,380.39
2001-12-14,379.122
2001-12-17,378.776
2001-12-18,379.529
2001-12-19,384.608
2001-12-20,382.29
2001-12-21,375.032
2001-12-24,377.576
2001-12-25,377.588
2001-12-26,375.759
2001-12-27,378.282
2001-12-28,381.205
2001-12-31,382.758
2002-01-01,382.758
2002-01-02,383.213
2002-01-03,390.356
2002-01-04,397.114
2002-01-07,399.055
2002-01-08,398.875
2002-01-09,395.463
2002-01-10,401.175
2002-01-11,397.594
2002-01-14,402.152
2002-01-15,397.311
2002-01-16,392.987
2002-01-17,392.389
2002-01-18,391.759
2002-01-21,393.93
2002-01-22,389.051
2002-01-23,389.268
2002-01-24,389.469
2002-01-25,403.49
2002-01-28,410.94
2002-01-29,409.692
2002-01-30,407.638
2002-01-31,411.698
2002-02-01,407.545
2002-02-04,403.857
2002-02-05,401.486
2002-02-06,406.932
2002-02-07,399.677
2002-02-08,401.428
2002-02-11,403.041
2002-02-12,403.361
2002-02-13,403.479
2002-02-14,411.541
2002-02-15,407.815
2002-02-18,405.537
2002-02-19,403.746
2002-02-20,404.152
2002-02-21,403.27
2002-02-22,392.588
2002-02-25,389.337
2002-02-26,390.768
2002-02-27,393.484
2002-02-28,399.039
2002-03-01,401.256
2002-03-04,421.233
2002-03-05,420.034
2002-03-06,420.285
2002-03-07,424.573
2002-03-08,423.107
2002-03-11,423.363
2002-03-12,418.326
2002-03-13,417.694
2002-03-14,418.808
2002-03-15,418.876
2002-03-18,418.105
2002-03-19,420.562
2002-03-20,420.846
2002-03-21,415.875
2002-03-22,417.049
2002-03-25,412.135
2002-03-26,410.088
2002-03-27,411.929
2002-03-28,411.491
2002-03-29,411.491
2002-04-01,409.19
2002-04-02,409.849
2002-04-03,406.35
2002-04-04,406.938
2002-04-05,409.293
2002-04-08,406.474
2002-04-09,403.656
2002-04-10,397.823
2002-04-11,404.903
2002-04-12,405.34
2002-04-15,406.081
2002-04-16,410.511
2002-04-17,410.742
2002-04-18,408.371
2002-04-19,404.657
2002-04-22,404.394
2002-04-23,406.175
2002-04-24,402.961
2002-04-25,397.994
2002-04-26,401.48
2002-04-29,398.33
2002-04-30,399.635
2002-05-01,400.057
2002-05-02,402.11
2002-05-03,403.637
2002-05-06,398.986
2002-05-07,398.046
2002-05-08,401.619
2002-05-09,398.412
2002-05-10,400.752
2002-05-13,399.765
2002-05-14,398.9
2002-05-15,400.661
2002-05-16,396.781
2002-05-17,398.519
2002-05-20,397.339
2002-05-21,398.562
2002-05-22,401.101
2002-05-23,395.05
2002-05-24,397.045
2002-05-27,397.33
2002-05-28,394.735
2002-05-29,389.9
2002-05-30,392.275
2002-05-31,392.781
2002-06-03,394.973
2002-06-04,391.282
2002-06-05,391.369
2002-06-06,391.579
2002-06-07,391.029
2002-06-10,390.323
2002-06-11,389.052
2002-06-12,386.679
2002-06-13,386.758
2002-06-14,379.996
2002-06-17,378.773
2002-06-18,378.23
2002-06-19,372.76
2002-06-20,376.527
2002-06-21,371.76
2002-06-24,371.507
2002-06-25,381.594
2002-06-26,372.763
2002-06-27,374.097
2002-06-28,379.889
2002-07-01,377.691
2002-07-02,377.449
2002-07-03,382.182
2002-07-04,384.762
2002-07-05,395.459
2002-07-08,393.076
2002-07-09,401.781
2002-07-10,401.956
2002-07-11,395.78
2002-07-12,400.679
2002-07-15,400.234
2002-07-16,395.585
2002-07-17,392.739
2002-07-18,389.82
2002-07-19,387.659
2002-07-22,375.696
2002-07-23,383.127
2002-07-24,369.647
2002-07-25,368.71
2002-07-26,358.531
2002-07-29,360.731
2002-07-30,364.457
2002-07-31,361.03
2002-08-01,362.731
2002-08-02,362.6
2002-08-05,353.06
2002-08-06,340.7
2002-08-07,347.161
2002-08-08,342.633
2002-08-09,343.217
2002-08-12,342.419
2002-08-13,351.226
2002-08-14,357.392
2002-08-15,352.452
2002-08-16,352.794
2002-08-19,350.662
2002-08-20,356.321
2002-08-21,358.597
2002-08-22,359.259
2002-08-23,359.219
2002-08-26,355.29
2002-08-27,355.921
2002-08-28,353.892
2002-08-29,353.162
2002-08-30,348.359
2002-09-02,338.844
2002-09-03,335.664
2002-09-04,339.462
2002-09-05,334.257
2002-09-06,330.271
2002-09-09,325.532
2002-09-10,328.97
2002-09-11,328.788
2002-09-12,323.469
2002-09-13,319.031
2002-09-16,319.008
2002-09-17,324.403
2002-09-18,318.252
2002-09-19,322.841
2002-09-20,315.662
2002-09-23,314.397
2002-09-24,306.819
2002-09-25,301.865
2002-09-26,302.34
2002-09-27,306.208
2002-09-30,300.573
2002-10-01,299.45
2002-10-02,301.388
2002-10-03,303.52
2002-10-04,305.741
2002-10-07,303.923
2002-10-08,307.695
2002-10-09,305.354
2002-10-10,298.878
2002-10-11,304.734
2002-10-14,300.771
2002-10-15,311.907
2002-10-16,318.976
2002-10-17,327.064
2002-10-18,326.126
2002-10-21,324.995
2002-10-22,323.613
2002-10-23,330.811
2002-10-24,328.972
2002-10-25,330.322
2002-10-28,330.693
2002-10-29,327.665
2002-10-30,329.424
2002-10-31,329.973
2002-11-01,322.519
2002-11-04,322.818
2002-11-05,329.606
2002-11-06,332.493
2002-11-07,330.183
2002-11-08,329.148
2002-11-11,325.513
2002-11-12,324.001
2002-11-13,321.797
2002-11-14,324.206
2002-11-15,329.192
2002-11-18,327.881
2002-11-19,324.787
2002-11-20,320.011
2002-11-21,324.595
2002-11-22,331.547
2002-11-25,331.158
2002-11-26,330.383
2002-11-27,328.1
2002-11-28,332.721
2002-11-29,329.629
2002-12-02,327.482
2002-12-03,325.631
2002-12-04,320.724
2002-12-05,318.202
2002-12-06,319.712
2002-12-09,317.755
2002-12-10,319.493
2002-12-11,320.089
2002-12-12,322.194
2002-12-13,321.434
2002-12-16,319.013
2002-12-17,316.735
2002-12-18,315.792
2002-12-19,321.297
2002-12-20,317.447
2002-12-23,317.397
2002-12-24,317.486
2002-12-25,317.486
2002-12-26,316.29
2002-12-27,318.527
2002-12-30,316.14
2002-12-31,317.066
2003-01-01,317.066
2003-01-02,316.326
2003-01-03,318.437
2003-01-06,319.093
2003-01-07,314.294
2003-01-08,318.773
