Date,SINGAPORE IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,691.496
1994-06-30,678.596
1994-07-29,692.901
1994-08-31,702.264
1994-09-30,698.297
1994-10-31,708.568
1994-11-30,655.178
1994-12-30,639.628
1995-01-31,618.945
1995-02-28,622.305
1995-03-31,625.67
1995-04-28,636.26
1995-05-31,674.701
1995-06-30,651.825
1995-07-31,667.476
1995-08-31,650.293
1995-09-29,664.904
1995-10-31,675.786
1995-11-30,690.718
1995-12-29,742.617
1996-01-31,811.95
1996-02-29,817.46
1996-03-29,805.617
1996-04-30,804.639
1996-05-31,825.569
1996-06-28,805.773
1996-07-31,735.209
1996-08-30,748.464
1996-09-30,730.852
1996-10-31,715.877
1996-11-29,746.871
1996-12-31,769.831
1997-01-31,790.124
1997-02-28,784.719
1997-03-31,703.61
1997-04-30,647.896
1997-05-30,694.809
1997-06-30,695.182
1997-07-31,699.044
1997-08-29,542.553
1997-09-30,579.814
1997-10-31,486.8
1997-11-28,537.909
1997-12-31,486.827
1998-01-30,469.568
1998-02-27,536.805
1998-03-31,504.929
1998-04-30,482.659
1998-05-29,397.565
1998-06-30,368.511
1998-07-31,379.522
1998-08-31,355.384
1998-09-30,409.406
1998-10-30,462.053
1998-11-30,488.414
1998-12-31,474.814
1999-01-29,453.496
1999-02-26,441.125
1999-03-31,457.926
1999-04-30,594.372
1999-05-31,585.834
1999-06-30,660.326
1999-07-30,658.352
1999-08-31,647.442
1999-09-30,624.95
1999-10-29,644.184
1999-11-30,685.519
1999-12-31,755.478
2000-01-31,730.336
2000-02-29,720.192
2000-03-31,722.698
2000-04-28,680.268
2000-05-31,614.95
2000-06-30,650.631
2000-07-31,616.641
2000-08-31,672.357
2000-09-29,607.367
2000-10-31,580.663
2000-11-30,556.463
2000-12-29,537.916
2001-01-31,556.828
2001-02-28,545.913
2001-03-30,428.713
2001-04-30,431.714
2001-05-31,419.881
2001-06-29,430.485
2001-07-31,420.575
2001-08-31,416.997
2001-09-28,351.126
2001-10-31,346.44
2001-11-30,365.578
2001-12-31,382.534
2002-01-31,411.459
2002-02-28,398.811
2002-03-29,411.257
2002-04-30,399.412
2002-05-31,392.566
2002-06-28,379.684
2002-07-31,360.836
2002-08-30,348.176
2002-09-30,300.419
2002-10-31,329.803
2002-11-29,329.459
2002-12-31,316.906
2003-01-31,307.633
2003-02-28,305.472
2003-03-31,304.171
2003-04-30,305.618
2003-05-30,327.848
2003-06-30,349.16
2003-07-31,371.869
2003-08-29,379.822
2003-09-30,393.438
2003-10-31,410.666
2003-11-28,407.697
2003-12-31,426.041
2004-01-30,450.977
2004-02-27,446.483
2004-03-31,441.927
2004-04-30,432.669
2004-05-31,426.937
2004-06-30,427.522
2004-07-30,439.125
2004-08-31,448.26
2004-09-30,473.692
2004-10-29,476.527
2004-11-30,486.888
2004-12-31,499.782
2005-01-31,510.945
2005-02-28,516.312
2005-03-31,505.232
2005-04-29,511.773
2005-05-31,515.247
2005-06-30,533.124
2005-07-29,567.085
2005-08-31,543.288
2005-09-30,549.58
