Date,SINGAPORE IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,537.77
2001-01-02,529.56
2001-01-03,523.133
2001-01-04,533.642
2001-01-05,547.064
2001-01-08,536.891
2001-01-09,547.484
2001-01-10,539.878
2001-01-11,529.937
2001-01-12,538.479
2001-01-15,541.003
2001-01-16,538.404
2001-01-17,537.359
2001-01-18,537.997
2001-01-19,551.088
2001-01-22,546.098
2001-01-23,545.127
2001-01-24,545.169
2001-01-25,545.663
2001-01-26,545.492
2001-01-29,551.84
2001-01-30,549.623
2001-01-31,556.828
2001-02-01,555.888
2001-02-02,554.348
2001-02-05,552.652
2001-02-06,553.898
2001-02-07,554.387
2001-02-08,567.533
2001-02-09,560.57
2001-02-12,566.233
2001-02-13,569.098
2001-02-14,557.08
2001-02-15,553.891
2001-02-16,554.049
2001-02-19,548.206
2001-02-20,557.012
2001-02-21,552.318
2001-02-22,543.873
2001-02-23,546.055
2001-02-26,548.207
2001-02-27,541.403
2001-02-28,545.913
2001-03-01,536.191
2001-03-02,536.04
2001-03-05,532.855
2001-03-06,533.295
2001-03-07,529.914
2001-03-08,527.212
2001-03-09,526.128
2001-03-12,516.497
2001-03-13,498.377
2001-03-14,495.67
2001-03-15,492.773
2001-03-16,487.321
2001-03-19,479.734
2001-03-20,476.99
2001-03-21,476.043
2001-03-22,466.868
2001-03-23,477.438
2001-03-26,461.467
2001-03-27,435.49
2001-03-28,433.791
2001-03-29,422.068
2001-03-30,428.713
2001-04-02,412.884
2001-04-03,416.667
2001-04-04,413.254
2001-04-05,424.914
2001-04-06,424.226
2001-04-09,408.969
2001-04-10,417.095
2001-04-11,418.226
2001-04-12,412.455
2001-04-13,412.442
2001-04-16,410.503
2001-04-17,403.616
2001-04-18,418.858
2001-04-19,422.851
2001-04-20,424.781
2001-04-23,429.102
2001-04-24,426.665
2001-04-25,424.492
2001-04-26,421.551
2001-04-27,424.8
2001-04-30,431.714
2001-05-01,433.519
2001-05-02,436.865
2001-05-03,432.583
2001-05-04,427.012
2001-05-07,426.465
2001-05-08,422.99
2001-05-09,424.045
2001-05-10,427.722
2001-05-11,426.936
2001-05-14,418.671
2001-05-15,423.344
2001-05-16,420.325
2001-05-17,428.299
2001-05-18,426.748
2001-05-21,423.289
2001-05-22,427.894
2001-05-23,431.065
2001-05-24,433.687
2001-05-25,430.247
2001-05-28,425.974
2001-05-29,423.838
2001-05-30,419.314
2001-05-31,419.881
2001-06-01,416.121
2001-06-04,418.21
2001-06-05,417.25
2001-06-06,417.591
2001-06-07,418.961
2001-06-08,425.482
2001-06-11,418.278
2001-06-12,416.415
2001-06-13,422.33
2001-06-14,422.283
2001-06-15,426.667
2001-06-18,424.635
2001-06-19,425.238
2001-06-20,421.762
2001-06-21,421.778
2001-06-22,433.326
2001-06-25,432.137
2001-06-26,430.863
2001-06-27,427.814
2001-06-28,422.538
2001-06-29,430.485
2001-07-02,423.073
2001-07-03,421.964
2001-07-04,418.159
2001-07-05,416.041
2001-07-06,411.697
2001-07-09,415.689
2001-07-10,419.841
2001-07-11,413.571
2001-07-12,419.923
2001-07-13,413.575
2001-07-16,411.769
2001-07-17,408.503
2001-07-18,404.813
2001-07-19,405.065
2001-07-20,407.692
2001-07-23,403.15
2001-07-24,404.46
2001-07-25,406.005
2001-07-26,410.112
2001-07-27,412.846
2001-07-30,416.401
2001-07-31,420.575
2001-08-01,423.728
2001-08-02,431.199
2001-08-03,425.276
2001-08-06,425.05
2001-08-07,424.917
2001-08-08,421.392
2001-08-09,421.415
2001-08-10,425.253
2001-08-13,420.454
2001-08-14,428.455
2001-08-15,431.428
2001-08-16,427.707
2001-08-17,425.27
2001-08-20,419.086
2001-08-21,427.099
2001-08-22,429.491
2001-08-23,429.377
2001-08-24,429.076
2001-08-27,432.679
2001-08-28,429.85
2001-08-29,429.199
2001-08-30,414.958
2001-08-31,416.997
2001-09-03,415.599
2001-09-04,416.985
2001-09-05,414.849
2001-09-06,411.128
2001-09-07,406.487
2001-09-10,399.882
2001-09-11,403.098
2001-09-12,383.742
2001-09-13,377.637
2001-09-14,367.098
2001-09-17,347.255
2001-09-18,346.026
2001-09-19,351.039
2001-09-20,342.805
2001-09-21,323.219
2001-09-24,330.52
2001-09-25,329.055
2001-09-26,336.665
2001-09-27,345.669
2001-09-28,351.126
2001-10-01,352.254
2001-10-02,353.692
2001-10-03,345.329
2001-10-04,352.825
2001-10-05,352.775
2001-10-08,344.504
2001-10-09,352.256
2001-10-10,342.682
2001-10-11,347.186
2001-10-12,355.906
2001-10-15,358.238
2001-10-16,357.289
2001-10-17,363.062
2001-10-18,354.47
2001-10-19,349.943
2001-10-22,347.038
2001-10-23,353.309
2001-10-24,353.37
2001-10-25,354.171
2001-10-26,353.447
2001-10-29,351.252
2001-10-30,349.267
2001-10-31,346.44
2001-11-01,337.096
2001-11-02,336.425
2001-11-05,336.337
2001-11-06,338.642
2001-11-07,336.682
2001-11-08,340.095
2001-11-09,346.403
2001-11-12,346.565
2001-11-13,347.496
2001-11-14,347.482
2001-11-15,363.105
2001-11-16,358.539
2001-11-19,366.084
2001-11-20,363.738
2001-11-21,365.255
2001-11-22,361.422
2001-11-23,363.727
2001-11-26,367.047
2001-11-27,371.564
2001-11-28,368.529
2001-11-29,363.19
2001-11-30,365.578
2001-12-03,362.091
2001-12-04,370.622
2001-12-05,380.428
2001-12-06,384.816
2001-12-07,383.522
2001-12-10,383.962
2001-12-11,382.948
2001-12-12,384.276
2001-12-13,380.167
2001-12-14,378.9
2001-12-17,378.554
2001-12-18,379.306
2001-12-19,384.382
2001-12-20,382.066
2001-12-21,374.813
2001-12-24,377.355
2001-12-25,377.367
2001-12-26,375.539
2001-12-27,378.06
2001-12-28,380.981
2001-12-31,382.534
2002-01-01,382.534
2002-01-02,382.989
2002-01-03,390.127
2002-01-04,396.881
2002-01-07,398.821
2002-01-08,398.641
2002-01-09,395.231
2002-01-10,400.94
2002-01-11,397.361
2002-01-14,401.916
2002-01-15,397.078
2002-01-16,392.757
2002-01-17,392.159
2002-01-18,391.53
2002-01-21,393.699
2002-01-22,388.823
2002-01-23,389.04
2002-01-24,389.243
2002-01-25,403.255
2002-01-28,410.701
2002-01-29,409.454
2002-01-30,407.401
2002-01-31,411.459
2002-02-01,407.312
2002-02-04,403.626
2002-02-05,401.257
2002-02-06,406.699
2002-02-07,399.448
2002-02-08,401.198
2002-02-11,402.811
2002-02-12,403.131
2002-02-13,403.248
2002-02-14,411.305
2002-02-15,407.582
2002-02-18,405.305
2002-02-19,403.515
2002-02-20,403.921
2002-02-21,403.039
2002-02-22,392.364
2002-02-25,389.115
2002-02-26,390.545
2002-02-27,393.26
2002-02-28,398.811
2002-03-01,401.026
2002-03-04,420.992
2002-03-05,419.794
2002-03-06,420.045
2002-03-07,424.33
2002-03-08,422.865
2002-03-11,423.121
2002-03-12,418.086
2002-03-13,417.456
2002-03-14,418.568
2002-03-15,418.637
2002-03-18,417.866
2002-03-19,420.321
2002-03-20,420.606
2002-03-21,415.639
2002-03-22,416.812
2002-03-25,411.901
2002-03-26,409.854
2002-03-27,411.695
2002-03-28,411.257
2002-03-29,411.257
2002-04-01,408.958
2002-04-02,409.616
2002-04-03,406.119
2002-04-04,406.707
2002-04-05,409.061
2002-04-08,406.243
2002-04-09,403.426
2002-04-10,397.597
2002-04-11,404.673
2002-04-12,405.109
2002-04-15,405.85
2002-04-16,410.277
2002-04-17,410.509
2002-04-18,408.139
2002-04-19,404.427
2002-04-22,404.164
2002-04-23,405.944
2002-04-24,402.732
2002-04-25,397.771
2002-04-26,401.256
