Date,CANADA LARGE GROWTH Large Cap
1994-05-31,244.193
1994-06-30,228.045
1994-07-29,238.763
1994-08-31,250.191
1994-09-30,259.765
1994-10-31,251.245
1994-11-30,235.175
1994-12-30,241.042
1995-01-31,227.311
1995-02-28,236.711
1995-03-31,251.767
1995-04-28,249.149
1995-05-31,261.365
1995-06-30,266.639
1995-07-31,271.603
1995-08-31,269.476
1995-09-29,268.925
1995-10-31,261.427
1995-11-30,280.29
1995-12-29,285.314
1996-01-31,302.213
1996-02-29,306.59
1996-03-29,308.44
1996-04-30,321.008
1996-05-31,326.658
1996-06-28,310.754
1996-07-31,292.332
1996-08-30,308.506
1996-09-30,313.764
1996-10-31,335.397
1996-11-29,351.018
1996-12-31,341.962
1997-01-31,361.706
1997-02-28,349.044
1997-03-31,323.133
1997-04-30,328.877
1997-05-30,360.376
1997-06-30,365.715
1997-07-31,395.725
1997-08-29,374.883
1997-09-30,398.511
1997-10-31,368.337
1997-11-28,346.391
1997-12-31,347.074
1998-01-30,340.719
1998-02-27,369.857
1998-03-31,404.509
1998-04-30,403.908
1998-05-29,402.266
1998-06-30,389.756
1998-07-31,370.498
1998-08-31,287.985
1998-09-30,277.347
1998-10-30,314.373
1998-11-30,334.682
1998-12-31,349.63
1999-01-29,385.691
1999-02-26,360.615
1999-03-31,372.955
1999-04-30,401.133
1999-05-31,405.511
1999-06-30,427.46
1999-07-30,421.116
1999-08-31,402.366
1999-09-30,436.454
1999-10-29,492.469
1999-11-30,547.802
1999-12-31,695.354
2000-01-31,692.096
2000-02-29,771.191
2000-03-31,838.124
2000-04-28,775.733
2000-05-31,732.597
2000-06-30,892.957
2000-07-31,945.066
2000-08-31,1040.035
2000-09-29,846.808
2000-10-31,699.684
2000-11-30,590.375
2000-12-29,576.822
2001-01-31,624.663
2001-02-28,447.598
2001-03-30,387.109
2001-04-30,417.727
2001-05-31,407.344
2001-06-29,396.347
2001-07-31,397.012
2001-08-31,367.33
2001-09-28,330.877
2001-10-31,332.167
2001-11-30,362.139
2001-12-31,367.899
2002-01-31,355.819
2002-02-28,350.942
2002-03-29,366.86
2002-04-30,359.208
2002-05-31,361.489
2002-06-28,344.968
2002-07-31,305.705
2002-08-30,302.896
2002-09-30,274.876
2002-10-31,280.829
2002-11-29,292.287
2002-12-31,288.985
2003-01-31,301.053
2003-02-28,316.869
2003-03-31,314.531
2003-04-30,329.515
2003-05-30,362.575
2003-06-30,366.267
2003-07-31,359.171
2003-08-29,380.218
2003-09-30,384.463
2003-10-31,401.497
2003-11-28,417.036
2003-12-31,446.963
2004-01-30,461.465
2004-02-27,479.473
2004-03-31,461.056
2004-04-30,404.952
2004-05-31,418.565
2004-06-30,443.167
2004-07-30,437.125
2004-08-31,438.927
2004-09-30,476.493
2004-10-29,506.982
2004-11-30,522.637
2004-12-31,523.564
2005-01-31,509.066
2005-02-28,542.639
2005-03-31,555.644
2005-04-29,520.552
2005-05-31,547.146
2005-06-30,589.277
2005-07-29,618.64
2005-08-31,672.538
2005-09-30,697.908
2005-10-31,641.115
2005-11-30,668.572
2005-12-30,703.304
2006-01-31,781.326
2006-02-28,739.672
2006-03-31,754.566
2006-04-28,795.162
2006-05-31,767.764
2006-06-30,773.736
2006-07-31,774.608
2006-08-31,796.801
2006-09-29,764.081
2006-10-31,813.175
2006-11-30,851.83
2006-12-29,833.82
2007-01-31,835.704
2007-02-28,841.982
2007-03-30,859.713
2007-04-30,910.15
2007-05-31,1000.0
2007-06-29,1010.816
2007-07-31,1015.825
2007-08-31,1013.424
2007-09-28,1131.569
2007-10-31,1263.52
2007-11-30,1120.686
2007-12-31,1195.199
2008-01-31,1113.001
2008-02-29,1220.929
2008-03-31,1155.218
2008-04-30,1270.065
2008-05-30,1404.917
2008-06-30,1391.796
2008-07-31,1235.756
2008-08-29,1208.953
2008-09-30,960.204
2008-10-31,684.513
2008-11-28,668.752
2008-12-31,667.577
2009-01-30,663.566
2009-02-27,593.195
2009-03-31,641.401
2009-04-30,709.735
2009-05-29,880.854
2009-06-30,800.757
2009-07-31,858.581
2009-08-31,823.621
2009-09-30,893.852
2009-10-30,852.07
2009-11-30,910.547
2009-12-31,933.695
2010-01-29,846.518
2010-02-26,891.968
2010-03-31,944.765
2010-04-30,974.386
2010-05-31,905.809
2010-06-30,851.147
2010-07-30,907.382
2010-08-31,907.067
2010-09-30,964.656
2010-10-29,990.576
2010-11-30,1007.109
2010-12-31,1095.141
2011-01-31,1104.469
2011-02-28,1181.372
2011-03-31,1151.825
2011-04-29,1161.579
2011-05-31,1109.347
2011-06-30,1075.461
2011-07-29,1055.837
2011-08-31,1026.153
2011-09-30,852.744
2011-10-31,952.893
2011-11-30,942.738
2011-12-30,898.2
2012-01-31,948.686
2012-02-29,969.404
2012-03-30,936.948
2012-04-30,924.482
2012-05-31,846.757
2012-06-29,869.098
2012-07-31,873.607
2012-08-31,916.393
2012-09-28,952.204
2012-10-31,942.426
2012-11-30,918.836
2012-12-31,935.214
2013-01-31,961.562
2013-02-28,957.636
2013-03-29,969.906
2013-04-30,934.322
2013-05-31,937.426
2013-06-28,884.805
2013-07-31,919.113
2013-08-30,902.135
2013-09-30,936.379
2013-10-31,971.707
2013-11-29,972.122
2013-12-31,994.571
2014-01-31,968.525
2014-02-28,1015.32
2014-03-31,1033.341
2014-04-30,1057.478
2014-05-30,1076.34
2014-06-30,1131.701
2014-07-31,1125.816
2014-08-29,1164.901
2014-09-30,1116.839
2014-10-31,1103.758
2014-11-28,1113.938
2014-12-31,1113.094
2015-01-30,1041.698
2015-02-27,1108.728
2015-03-31,1089.817
2015-04-30,1143.367
2015-05-29,1111.116
2015-06-30,1077.085
2015-07-31,1088.748
2015-08-31,993.484
2015-09-30,929.727
2015-10-30,923.416
2015-11-30,906.048
2015-12-31,855.205
2016-01-29,838.796
2016-02-29,853.782
2016-03-31,907.605
2016-04-29,929.239
2016-05-31,910.295
2016-06-30,918.664
2016-07-29,957.776
2016-08-31,955.434
2016-09-30,972.947
2016-10-31,947.165
2016-11-30,944.129
2016-12-30,950.093
2017-01-31,970.165
2017-02-28,958.662
2017-03-31,979.879
2017-04-28,970.75
2017-05-31,975.124
2017-06-30,990.199
2017-07-31,1018.806
2017-08-31,1022.604
2017-09-29,1059.574
2017-10-31,1044.574
2017-11-30,1043.943
2017-12-29,1086.953
2018-01-31,1087.815
2018-02-28,1016.011
2018-03-30,994.975
2018-04-30,1021.824
2018-05-31,1039.891
2018-06-29,1045.383
2018-07-31,1092.564
2018-08-31,1082.623
2018-09-28,1078.847
2018-10-31,1001.487
2018-11-30,1014.629
2018-12-31,924.127
2019-01-31,1041.472
2019-02-28,1065.429
2019-03-29,1068.96
2019-04-30,1102.158
2019-05-31,1070.493
2019-06-28,1124.627
2019-07-31,1121.76
2019-08-30,1121.858
2019-09-30,1129.395
2019-10-31,1113.099
2019-11-29,1153.174
2019-12-31,1179.532
2020-01-31,1219.591
2020-02-28,1149.113
2020-03-31,965.721
2020-04-30,1115.818
2020-05-29,1168.605
2020-06-30,1241.483
2020-07-31,1347.156
2020-08-31,1389.223
2020-09-30,1355.453
2020-10-30,1276.949
2020-11-30,1389.926
2020-12-31,1443.609
2021-01-29,1383.058
2021-02-26,1440.541
2021-03-31,1463.978
2021-04-30,1510.21
2021-05-31,1596.837
2021-06-30,1628.945
2021-07-30,1667.234
2021-08-31,1671.778
2021-09-30,1581.201
2021-10-29,1704.994
2021-11-30,1659.027
2021-12-31,1696.83
2022-01-31,1557.271
2022-02-28,1524.211
2022-03-31,1626.144
2022-04-29,1456.627
2022-05-31,1426.821
2022-06-30,1298.074
2022-07-29,1376.065
2022-08-31,1330.529
2022-09-30,1229.597
2022-10-31,1328.06
2022-11-30,1426.161
2022-12-30,1350.356
2023-01-31,1461.479
2023-02-28,1393.555
2023-03-31,1425.739
2023-04-28,1464.228
2023-05-31,1398.572
2023-06-30,1491.753
2023-07-31,1520.561
2023-08-31,1464.605
2023-09-29,1400.655
2023-10-31,1327.972
2023-11-30,1508.029
2023-12-29,1595.781
2024-01-31,1606.163
2024-02-29,1633.743
2024-03-29,1684.669
2024-04-30,1614.738
2024-05-31,1636.734
2024-06-28,1619.508
2024-07-31,1685.271
2024-08-30,1737.063
2024-09-30,1743.07
2024-10-31,1700.452
2024-11-29,1832.901
2024-12-31,1711.753
2025-01-31,1801.28
2025-02-28,1812.535
2025-03-31,1774.098
2025-04-30,1849.044
2025-05-30,1949.501
2025-06-30,1990.891
2025-07-31,1974.127
2025-08-29,2082.739
2025-09-30,2114.694
2025-10-31,2124.15
2025-11-28,2181.294
2025-12-31,2196.096
