Date,FINLAND LARGE VALUE Large Cap
2001-01-01,397.435
2001-01-02,395.403
2001-01-03,380.475
2001-01-04,385.608
2001-01-05,383.683
2001-01-08,378.59
2001-01-09,372.25
2001-01-10,364.462
2001-01-11,353.132
2001-01-12,346.483
2001-01-15,335.724
2001-01-16,325.265
2001-01-17,333.193
2001-01-18,344.919
2001-01-19,338.854
2001-01-22,348.516
2001-01-23,359.386
2001-01-24,359.142
2001-01-25,353.906
2001-01-26,353.279
2001-01-29,340.239
2001-01-30,350.304
2001-01-31,357.312
2001-02-01,363.229
2001-02-02,367.218
2001-02-05,363.068
2001-02-06,356.373
2001-02-07,351.253
2001-02-08,342.49
2001-02-09,337.8
2001-02-12,333.81
2001-02-13,334.564
2001-02-14,326.81
2001-02-15,329.766
2001-02-16,339.459
2001-02-19,339.702
2001-02-20,339.926
2001-02-21,341.384
2001-02-22,336.881
2001-02-23,338.468
2001-02-26,342.786
2001-02-27,353.508
2001-02-28,356.407
2001-03-01,358.225
2001-03-02,360.632
2001-03-05,365.435
2001-03-06,368.1
2001-03-07,362.678
2001-03-08,364.71
2001-03-09,369.019
2001-03-12,368.564
2001-03-13,360.054
2001-03-14,353.929
2001-03-15,350.899
2001-03-16,350.482
2001-03-19,349.164
2001-03-20,343.545
2001-03-21,330.559
2001-03-22,313.132
2001-03-23,314.649
2001-03-26,329.807
2001-03-27,353.864
2001-03-28,351.952
2001-03-29,343.58
2001-03-30,338.682
2001-04-02,347.748
2001-04-03,343.814
2001-04-04,337.296
2001-04-05,345.521
2001-04-06,344.92
2001-04-09,345.717
2001-04-10,349.117
2001-04-11,352.125
2001-04-12,355.628
2001-04-13,355.628
2001-04-16,351.986
2001-04-17,354.359
2001-04-18,347.256
2001-04-19,368.406
2001-04-20,366.866
2001-04-23,366.892
2001-04-24,370.553
2001-04-25,376.2
2001-04-26,384.505
2001-04-27,385.445
2001-04-30,388.324
2001-05-01,390.383
2001-05-02,392.723
2001-05-03,391.569
2001-05-04,384.712
2001-05-07,388.446
2001-05-08,378.878
2001-05-09,376.748
2001-05-10,386.387
2001-05-11,385.155
2001-05-14,384.307
2001-05-15,391.157
2001-05-16,398.938
2001-05-17,418.516
2001-05-18,418.714
2001-05-21,411.724
2001-05-22,408.438
2001-05-23,395.208
2001-05-24,393.716
2001-05-25,390.24
2001-05-28,400.453
2001-05-29,390.736
2001-05-30,389.399
2001-05-31,396.236
2001-06-01,396.244
2001-06-04,396.863
2001-06-05,399.812
2001-06-06,397.808
2001-06-07,397.922
2001-06-08,397.268
2001-06-11,395.024
2001-06-12,387.017
2001-06-13,369.72
2001-06-14,350.11
2001-06-15,343.809
2001-06-18,351.793
2001-06-19,356.089
2001-06-20,342.319
2001-06-21,355.218
2001-06-22,355.572
2001-06-25,372.616
2001-06-26,362.279
2001-06-27,370.052
2001-06-28,364.091
2001-06-29,362.193
2001-07-02,362.139
2001-07-03,360.995
2001-07-04,365.085
2001-07-05,368.512
2001-07-06,366.955
2001-07-09,377.797
2001-07-10,383.811
2001-07-11,382.242
2001-07-12,372.452
2001-07-13,373.669
2001-07-16,371.474
2001-07-17,371.023
2001-07-18,370.607
2001-07-19,380.142
2001-07-20,382.977
2001-07-23,373.326
2001-07-24,362.928
2001-07-25,351.694
2001-07-26,344.647
2001-07-27,351.365
2001-07-30,357.436
2001-07-31,343.833
2001-08-01,362.744
2001-08-02,370.497
2001-08-03,386.939
2001-08-06,384.997
2001-08-07,376.013
2001-08-08,375.903
2001-08-09,382.394
2001-08-10,385.264
2001-08-13,395.234
2001-08-14,402.734
2001-08-15,406.991
2001-08-16,409.503
2001-08-17,403.741
2001-08-20,394.706
2001-08-21,392.752
2001-08-22,414.716
2001-08-23,413.298
2001-08-24,420.624
2001-08-27,420.029
2001-08-28,423.995
2001-08-29,419.933
2001-08-30,410.946
2001-08-31,404.698
2001-09-03,397.872
2001-09-04,398.929
2001-09-05,409.385
2001-09-06,412.756
2001-09-07,414.385
2001-09-10,397.617
2001-09-11,373.672
2001-09-12,386.762
2001-09-13,377.096
2001-09-14,368.321
2001-09-17,346.112
2001-09-18,347.003
2001-09-19,356.567
2001-09-20,343.154
2001-09-21,348.878
2001-09-24,352.701
2001-09-25,363.542
2001-09-26,354.688
2001-09-27,365.339
2001-09-28,369.262
2001-10-01,361.698
2001-10-02,366.717
2001-10-03,367.279
2001-10-04,385.944
2001-10-05,386.991
2001-10-08,394.713
2001-10-09,392.448
2001-10-10,398.416
2001-10-11,405.375
2001-10-12,405.413
2001-10-15,393.712
2001-10-16,401.098
2001-10-17,401.177
2001-10-18,393.542
2001-10-19,389.263
2001-10-22,384.791
2001-10-23,392.337
2001-10-24,403.11
2001-10-25,413.301
2001-10-26,403.908
2001-10-29,408.64
2001-10-30,403.272
2001-10-31,411.284
2001-11-01,406.776
2001-11-02,406.036
2001-11-05,409.361
2001-11-06,402.561
2001-11-07,414.957
2001-11-08,423.935
2001-11-09,421.487
2001-11-12,423.801
2001-11-13,428.136
2001-11-14,432.665
2001-11-15,452.317
2001-11-16,448.667
2001-11-19,446.222
2001-11-20,435.742
2001-11-21,422.0
2001-11-22,435.996
2001-11-23,430.025
2001-11-26,436.162
2001-11-27,435.412
2001-11-28,428.777
2001-11-29,420.177
2001-11-30,429.572
2001-12-03,430.451
2001-12-04,431.568
2001-12-05,438.085
2001-12-06,439.59
2001-12-07,430.983
2001-12-10,421.652
2001-12-11,421.196
2001-12-12,425.082
2001-12-13,421.619
2001-12-14,420.096
2001-12-17,422.478
2001-12-18,429.326
2001-12-19,421.81
2001-12-20,419.351
2001-12-21,417.773
2001-12-24,413.604
2001-12-25,413.604
2001-12-26,413.958
2001-12-27,427.289
2001-12-28,422.316
2001-12-31,426.434
2002-01-01,426.434
2002-01-02,433.157
2002-01-03,441.616
2002-01-04,446.322
2002-01-07,459.863
2002-01-08,449.936
2002-01-09,448.178
2002-01-10,449.378
2002-01-11,445.885
2002-01-14,429.907
2002-01-15,419.707
2002-01-16,410.068
2002-01-17,418.898
2002-01-18,422.637
2002-01-21,422.289
2002-01-22,427.878
2002-01-23,417.788
2002-01-24,418.56
2002-01-25,415.377
2002-01-28,421.117
2002-01-29,422.207
2002-01-30,414.635
2002-01-31,430.927
2002-02-01,439.291
2002-02-04,447.552
2002-02-05,446.829
2002-02-06,445.01
2002-02-07,443.066
2002-02-08,437.778
2002-02-11,444.758
2002-02-12,455.808
2002-02-13,464.164
2002-02-14,458.617
2002-02-15,465.94
2002-02-18,451.651
2002-02-19,452.34
2002-02-20,446.514
2002-02-21,451.795
2002-02-22,452.946
2002-02-25,449.128
2002-02-26,448.421
2002-02-27,449.807
2002-02-28,444.16
2002-03-01,449.739
2002-03-04,465.661
2002-03-05,461.592
2002-03-06,469.118
2002-03-07,476.096
2002-03-08,475.188
2002-03-11,474.488
2002-03-12,476.141
2002-03-13,472.859
2002-03-14,464.827
2002-03-15,465.737
2002-03-18,472.73
2002-03-19,466.102
2002-03-20,464.203
2002-03-21,458.796
2002-03-22,454.469
2002-03-25,448.705
2002-03-26,443.869
2002-03-27,444.792
2002-03-28,444.613
2002-03-29,444.613
2002-04-01,448.257
2002-04-02,463.649
2002-04-03,460.157
2002-04-04,458.783
2002-04-05,462.836
2002-04-08,453.518
2002-04-09,460.31
2002-04-10,457.717
2002-04-11,461.249
2002-04-12,456.257
2002-04-15,454.311
2002-04-16,466.225
2002-04-17,468.981
2002-04-18,464.48
2002-04-19,456.975
2002-04-22,449.932
2002-04-23,443.677
2002-04-24,441.301
2002-04-25,441.447
2002-04-26,455.302
2002-04-29,454.961
2002-04-30,450.669
2002-05-01,453.219
2002-05-02,468.623
2002-05-03,476.577
2002-05-06,476.044
2002-05-07,474.722
2002-05-08,480.468
2002-05-09,480.363
2002-05-10,490.957
2002-05-13,492.308
2002-05-14,496.11
2002-05-15,497.158
2002-05-16,494.537
2002-05-17,499.821
2002-05-20,502.223
2002-05-21,497.487
2002-05-22,494.521
2002-05-23,495.015
2002-05-24,499.667
2002-05-27,490.224
2002-05-28,500.855
2002-05-29,504.772
2002-05-30,502.307
2002-05-31,509.98
2002-06-03,498.899
2002-06-04,490.321
2002-06-05,500.025
2002-06-06,512.515
2002-06-07,504.355
2002-06-10,503.571
2002-06-11,503.627
2002-06-12,496.769
2002-06-13,493.093
2002-06-14,482.834
2002-06-17,483.666
2002-06-18,487.76
2002-06-19,487.477
2002-06-20,474.107
2002-06-21,476.418
2002-06-24,479.987
2002-06-25,478.002
2002-06-26,467.783
2002-06-27,473.662
2002-06-28,490.376
2002-07-01,483.663
2002-07-02,487.857
2002-07-03,470.135
2002-07-04,471.177
2002-07-05,456.734
2002-07-08,464.497
2002-07-09,476.127
2002-07-10,476.826
2002-07-11,477.027
2002-07-12,465.093
2002-07-15,450.649
2002-07-16,443.824
2002-07-17,445.943
2002-07-18,444.423
2002-07-19,424.236
2002-07-22,414.965
2002-07-23,399.166
2002-07-24,368.353
2002-07-25,376.688
2002-07-26,371.93
2002-07-29,390.01
2002-07-30,402.314
2002-07-31,408.24
2002-08-01,388.408
2002-08-02,365.386
2002-08-05,346.867
2002-08-06,357.334
2002-08-07,354.913
2002-08-08,360.32
2002-08-09,371.904
2002-08-12,371.251
2002-08-13,352.36
2002-08-14,355.676
2002-08-15,370.164
2002-08-16,366.662
2002-08-19,376.47
2002-08-20,375.518
2002-08-21,394.679
2002-08-22,410.013
2002-08-23,408.417
2002-08-26,396.525
2002-08-27,409.404
2002-08-28,405.181
2002-08-29,394.265
2002-08-30,386.403
2002-09-02,400.261
2002-09-03,373.158
2002-09-04,365.465
2002-09-05,360.93
2002-09-06,365.675
2002-09-09,370.957
2002-09-10,375.204
2002-09-11,385.937
2002-09-12,381.936
2002-09-13,383.501
2002-09-16,382.635
2002-09-17,385.243
2002-09-18,368.363
2002-09-19,366.578
2002-09-20,356.171
2002-09-23,349.395
2002-09-24,338.034
2002-09-25,334.073
2002-09-26,341.677
2002-09-27,345.8
2002-09-30,338.89
2002-10-01,328.319
2002-10-02,316.967
2002-10-03,320.022
2002-10-04,328.256
2002-10-07,307.696
2002-10-08,291.05
2002-10-09,298.308
2002-10-10,306.457
2002-10-11,332.531
2002-10-14,336.389
2002-10-15,365.128
