Date,FINLAND LARGE VALUE Large Cap
1994-05-31,200.723
1994-06-30,202.775
1994-07-29,218.456
1994-08-31,252.906
1994-09-30,249.295
1994-10-31,243.258
1994-11-30,209.341
1994-12-30,217.933
1995-01-31,209.973
1995-02-28,206.511
1995-03-31,197.778
1995-04-28,240.744
1995-05-31,235.106
1995-06-30,250.133
1995-07-31,264.29
1995-08-31,229.365
1995-09-29,247.454
1995-10-31,221.052
1995-11-30,212.255
1995-12-29,200.424
1996-01-31,192.278
1996-02-29,203.714
1996-03-29,200.112
1996-04-30,205.931
1996-05-31,201.125
1996-06-28,213.362
1996-07-31,222.325
1996-08-30,232.943
1996-09-30,213.275
1996-10-31,216.866
1996-11-29,215.653
1996-12-31,224.525
1997-01-31,215.781
1997-02-28,233.762
1997-03-31,237.637
1997-04-30,242.716
1997-05-30,248.66
1997-06-30,247.59
1997-07-31,276.16
1997-08-29,264.621
1997-09-30,313.436
1997-10-31,283.862
1997-11-28,281.414
1997-12-31,279.817
1998-01-30,289.337
1998-02-27,333.587
1998-03-31,342.402
1998-04-30,397.116
1998-05-29,379.568
1998-06-30,374.985
1998-07-31,353.533
1998-08-31,281.012
1998-09-30,302.454
1998-10-30,316.944
1998-11-30,346.801
1998-12-31,373.452
1999-01-29,352.334
1999-02-26,341.373
1999-03-31,356.433
1999-04-30,400.099
1999-05-31,376.516
1999-06-30,391.313
1999-07-30,422.254
1999-08-31,433.06
1999-09-30,435.633
1999-10-29,423.122
1999-11-30,449.718
1999-12-31,531.77
2000-01-31,478.942
2000-02-29,340.402
2000-03-31,363.127
2000-04-28,341.265
2000-05-31,321.363
2000-06-30,322.445
2000-07-31,328.609
2000-08-31,325.19
2000-09-29,313.597
2000-10-31,364.489
2000-11-30,362.7
2000-12-29,431.32
2001-01-31,387.776
2001-02-28,386.794
2001-03-30,362.697
2001-04-30,415.859
2001-05-31,424.331
2001-06-29,387.875
2001-07-31,368.213
2001-08-31,433.394
2001-09-28,395.446
2001-10-31,440.446
2001-11-30,460.031
2001-12-31,456.671
2002-01-31,461.482
2002-02-28,475.654
2002-03-29,471.651
2002-04-30,478.074
2002-05-31,540.993
2002-06-28,520.196
2002-07-31,433.066
2002-08-30,409.9
2002-09-30,359.498
2002-10-31,385.976
2002-11-29,454.174
2002-12-31,391.481
2003-01-31,349.865
2003-02-28,363.669
2003-03-31,353.682
2003-04-30,416.941
2003-05-30,399.261
2003-06-30,428.587
2003-07-31,482.679
2003-08-29,499.458
2003-09-30,474.835
2003-10-31,521.711
2003-11-28,516.347
2003-12-31,516.724
2004-01-30,497.96
2004-02-27,509.478
2004-03-31,498.05
2004-04-30,533.75
2004-05-31,507.475
2004-06-30,527.756
2004-07-30,450.991
2004-08-31,451.462
2004-09-30,508.708
2004-10-29,559.596
2004-11-30,601.367
2004-12-31,597.885
2005-01-31,568.479
2005-02-28,603.684
2005-03-31,593.935
2005-04-29,570.862
2005-05-31,563.806
2005-06-30,562.689
2005-07-29,591.607
2005-08-31,612.974
2005-09-30,622.878
2005-10-31,576.135
2005-11-30,570.273
2005-12-30,598.151
2006-01-31,649.347
2006-02-28,682.783
2006-03-31,761.787
2006-04-28,799.656
2006-05-31,751.139
2006-06-30,758.4
2006-07-31,794.294
2006-08-31,817.941
2006-09-29,815.337
2006-10-31,861.382
2006-11-30,865.917
2006-12-29,863.886
2007-01-31,868.353
2007-02-28,874.133
2007-03-30,923.195
2007-04-30,955.68
2007-05-31,1000.0
2007-06-29,949.839
2007-07-31,931.911
2007-08-31,931.149
2007-09-28,1007.342
2007-10-31,1040.642
2007-11-30,992.441
2007-12-31,946.084
2008-01-31,875.843
2008-02-29,893.47
2008-03-31,873.254
2008-04-30,943.853
2008-05-30,997.862
2008-06-30,939.541
2008-07-31,889.766
2008-08-29,866.727
2008-09-30,736.09
2008-10-31,614.47
2008-11-28,561.675
2008-12-31,558.752
2009-01-30,489.051
2009-02-27,402.552
2009-03-31,448.234
2009-04-30,602.448
2009-05-29,601.468
2009-06-30,571.408
2009-07-31,545.67
2009-08-31,594.269
