Date,FINLAND LARGE VALUE Large Cap
2001-01-01,431.32
2001-01-02,429.115
2001-01-03,412.915
2001-01-04,418.485
2001-01-05,416.396
2001-01-08,410.868
2001-01-09,403.988
2001-01-10,395.536
2001-01-11,383.24
2001-01-12,376.024
2001-01-15,364.348
2001-01-16,352.997
2001-01-17,361.6
2001-01-18,374.327
2001-01-19,367.745
2001-01-22,378.23
2001-01-23,390.027
2001-01-24,389.762
2001-01-25,384.08
2001-01-26,383.4
2001-01-29,369.248
2001-01-30,380.171
2001-01-31,387.776
2001-02-01,394.198
2001-02-02,398.527
2001-02-05,394.023
2001-02-06,386.757
2001-02-07,381.2
2001-02-08,371.69
2001-02-09,366.601
2001-02-12,362.271
2001-02-13,363.088
2001-02-14,354.674
2001-02-15,357.881
2001-02-16,368.401
2001-02-19,368.665
2001-02-20,368.907
2001-02-21,370.49
2001-02-22,365.603
2001-02-23,367.326
2001-02-26,372.011
2001-02-27,383.648
2001-02-28,386.794
2001-03-01,388.768
2001-03-02,391.38
2001-03-05,396.592
2001-03-06,399.484
2001-03-07,393.6
2001-03-08,395.805
2001-03-09,400.481
2001-03-12,399.988
2001-03-13,390.752
2001-03-14,384.105
2001-03-15,380.817
2001-03-16,380.364
2001-03-19,378.934
2001-03-20,372.836
2001-03-21,356.637
2001-03-22,337.836
2001-03-23,336.96
2001-03-26,353.192
2001-03-27,378.955
2001-03-28,376.907
2001-03-29,367.942
2001-03-30,362.697
2001-04-02,372.406
2001-04-03,368.193
2001-04-04,361.212
2001-04-05,370.021
2001-04-06,369.377
2001-04-09,370.231
2001-04-10,373.872
2001-04-11,377.093
2001-04-12,380.844
2001-04-13,380.844
2001-04-16,376.944
2001-04-17,379.486
2001-04-18,371.879
2001-04-19,394.528
2001-04-20,392.879
2001-04-23,392.907
2001-04-24,396.828
2001-04-25,402.875
2001-04-26,411.769
2001-04-27,412.775
2001-04-30,415.859
2001-05-01,418.063
2001-05-02,420.569
2001-05-03,419.333
2001-05-04,411.99
2001-05-07,415.99
2001-05-08,405.743
2001-05-09,403.462
2001-05-10,413.784
2001-05-11,412.464
2001-05-14,411.557
2001-05-15,418.892
2001-05-16,427.225
2001-05-17,448.192
2001-05-18,448.404
2001-05-21,440.918
2001-05-22,437.399
2001-05-23,423.23
2001-05-24,421.633
2001-05-25,417.911
2001-05-28,428.848
2001-05-29,418.441
2001-05-30,417.01
2001-05-31,424.331
2001-06-01,424.341
2001-06-04,425.003
2001-06-05,428.162
2001-06-06,426.015
2001-06-07,426.138
2001-06-08,425.437
2001-06-11,423.034
2001-06-12,414.459
2001-06-13,395.936
2001-06-14,374.935
2001-06-15,368.187
2001-06-18,376.737
2001-06-19,381.338
2001-06-20,366.592
2001-06-21,380.405
2001-06-22,380.784
2001-06-25,399.037
2001-06-26,387.967
2001-06-27,396.291
2001-06-28,389.907
2001-06-29,387.875
2001-07-02,387.817
2001-07-03,386.592
2001-07-04,390.972
2001-07-05,394.642
2001-07-06,392.974
2001-07-09,404.585
2001-07-10,411.026
2001-07-11,409.346
2001-07-12,398.862
2001-07-13,400.165
2001-07-16,397.813
2001-07-17,397.331
2001-07-18,396.885
2001-07-19,407.096
2001-07-20,410.133
2001-07-23,399.797
2001-07-24,388.662
2001-07-25,376.632
2001-07-26,369.085
2001-07-27,376.28
2001-07-30,382.781
2001-07-31,368.213
2001-08-01,388.465
2001-08-02,396.767
2001-08-03,414.376
2001-08-06,412.296
2001-08-07,402.675
2001-08-08,402.557
2001-08-09,409.508
2001-08-10,412.581
2001-08-13,423.259
2001-08-14,431.29
2001-08-15,435.849
2001-08-16,438.539
2001-08-17,432.369
2001-08-20,422.693
2001-08-21,420.6
2001-08-22,444.122
2001-08-23,442.603
2001-08-24,450.449
2001-08-27,449.812
2001-08-28,454.059
2001-08-29,449.709
2001-08-30,440.084
2001-08-31,433.394
2001-09-03,426.084
2001-09-04,427.216
2001-09-05,438.413
2001-09-06,442.023
2001-09-07,443.768
2001-09-10,425.811
2001-09-11,400.168
2001-09-12,414.186
2001-09-13,403.834
2001-09-14,394.437
2001-09-17,370.654
2001-09-18,371.608
2001-09-19,381.85
2001-09-20,367.486
2001-09-21,373.616
2001-09-24,377.709
2001-09-25,389.319
2001-09-26,379.838
2001-09-27,391.244
2001-09-28,395.446
2001-10-01,387.345
2001-10-02,392.719
2001-10-03,393.321
2001-10-04,413.31
2001-10-05,414.431
2001-10-08,422.7
2001-10-09,420.275
2001-10-10,426.666
2001-10-11,434.119
2001-10-12,434.159
2001-10-15,421.628
2001-10-16,429.538
2001-10-17,429.623
2001-10-18,421.446
2001-10-19,416.864
2001-10-22,412.075
2001-10-23,420.156
2001-10-24,431.693
2001-10-25,442.607
2001-10-26,432.547
2001-10-29,437.615
2001-10-30,431.867
2001-10-31,440.446
2001-11-01,435.619
2001-11-02,434.826
2001-11-05,438.387
2001-11-06,431.105
2001-11-07,444.38
2001-11-08,453.994
2001-11-09,451.374
2001-11-12,453.851
2001-11-13,458.493
2001-11-14,463.344
2001-11-15,484.389
2001-11-16,480.481
2001-11-19,477.862
2001-11-20,466.639
2001-11-21,451.923
2001-11-22,466.911
2001-11-23,460.516
2001-11-26,467.088
2001-11-27,466.286
2001-11-28,459.18
2001-11-29,449.97
2001-11-30,460.031
2001-12-03,460.973
2001-12-04,462.169
2001-12-05,469.148
2001-12-06,470.76
2001-12-07,461.543
2001-12-10,451.549
2001-12-11,451.061
2001-12-12,455.223
2001-12-13,451.514
2001-12-14,449.883
2001-12-17,452.435
2001-12-18,459.768
2001-12-19,451.719
2001-12-20,449.086
2001-12-21,447.396
2001-12-24,442.931
2001-12-25,442.931
2001-12-26,443.31
2001-12-27,457.586
2001-12-28,452.261
2001-12-31,456.671
2002-01-01,456.671
2002-01-02,463.871
2002-01-03,472.93
2002-01-04,477.969
2002-01-07,492.47
2002-01-08,481.84
2002-01-09,479.957
2002-01-10,481.242
2002-01-11,477.501
2002-01-14,460.39
2002-01-15,449.467
2002-01-16,439.145
2002-01-17,448.6
2002-01-18,452.605
2002-01-21,452.232
2002-01-22,458.217
2002-01-23,447.412
2002-01-24,448.239
2002-01-25,444.83
2002-01-28,450.977
2002-01-29,452.145
2002-01-30,444.035
2002-01-31,461.482
2002-02-01,470.44
2002-02-04,479.286
2002-02-05,478.512
2002-02-06,476.564
2002-02-07,474.482
2002-02-08,468.819
2002-02-11,476.294
2002-02-12,488.128
2002-02-13,497.076
2002-02-14,491.136
2002-02-15,498.978
2002-02-18,483.676
2002-02-19,484.414
2002-02-20,478.175
2002-02-21,483.83
2002-02-22,485.063
2002-02-25,480.974
2002-02-26,480.217
2002-02-27,481.701
2002-02-28,475.654
2002-03-01,481.629
2002-03-04,498.679
2002-03-05,494.322
2002-03-06,502.382
2002-03-07,509.854
2002-03-08,508.882
2002-03-11,508.132
2002-03-12,509.902
2002-03-13,506.387
2002-03-14,497.786
2002-03-15,498.761
2002-03-18,506.25
2002-03-19,499.152
2002-03-20,492.432
2002-03-21,486.695
2002-03-22,482.105
2002-03-25,475.991
2002-03-26,470.861
2002-03-27,471.84
2002-03-28,471.651
2002-03-29,471.651
2002-04-01,475.516
2002-04-02,491.844
2002-04-03,488.139
2002-04-04,486.682
2002-04-05,490.981
2002-04-08,481.097
2002-04-09,488.302
2002-04-10,485.551
2002-04-11,489.298
2002-04-12,484.002
2002-04-15,481.938
2002-04-16,494.577
2002-04-17,497.5
2002-04-18,492.725
2002-04-19,484.764
2002-04-22,477.292
2002-04-23,470.657
2002-04-24,468.136
2002-04-25,468.292
2002-04-26,482.989
2002-04-29,482.627
2002-04-30,478.074
2002-05-01,480.78
2002-05-02,497.12
2002-05-03,505.558
2002-05-06,504.993
2002-05-07,503.591
2002-05-08,509.686
2002-05-09,509.574
2002-05-10,520.812
2002-05-13,522.246
2002-05-14,526.279
2002-05-15,527.391
2002-05-16,524.61
2002-05-17,530.215
2002-05-20,532.763
2002-05-21,527.739
2002-05-22,524.593
2002-05-23,525.117
2002-05-24,530.052
2002-05-27,520.035
2002-05-28,531.312
2002-05-29,535.468
2002-05-30,532.852
2002-05-31,540.993
2002-06-03,529.237
2002-06-04,520.137
2002-06-05,530.432
2002-06-06,543.681
2002-06-07,535.025
2002-06-10,534.194
2002-06-11,534.253
2002-06-12,526.978
2002-06-13,523.078
2002-06-14,512.195
2002-06-17,513.078
2002-06-18,517.421
2002-06-19,517.121
2002-06-20,502.938
2002-06-21,505.389
2002-06-24,509.175
2002-06-25,507.07
2002-06-26,496.229
2002-06-27,502.466
2002-06-28,520.196
2002-07-01,513.075
2002-07-02,517.523
2002-07-03,498.724
2002-07-04,499.83
2002-07-05,484.509
2002-07-08,492.744
2002-07-09,505.081
2002-07-10,505.822
2002-07-11,506.035
2002-07-12,493.375
2002-07-15,478.053
2002-07-16,470.813
2002-07-17,473.062
2002-07-18,471.449
2002-07-19,450.034
2002-07-22,440.199
2002-07-23,423.439
2002-07-24,390.753
2002-07-25,399.595
2002-07-26,394.547
2002-07-29,413.727
2002-07-30,426.779
2002-07-31,433.066
2002-08-01,412.028
2002-08-02,387.605
2002-08-05,367.96
2002-08-06,379.063
2002-08-07,376.496
2002-08-08,382.231
2002-08-09,394.52
2002-08-12,393.827
2002-08-13,373.787
2002-08-14,377.305
2002-08-15,392.674
2002-08-16,388.959
2002-08-19,399.364
2002-08-20,398.353
2002-08-21,418.68
2002-08-22,434.946
2002-08-23,433.253
2002-08-26,420.638
2002-08-27,434.3
2002-08-28,429.821
2002-08-29,418.241
2002-08-30,409.9
2002-09-02,424.601
2002-09-03,395.85
2002-09-04,387.689
2002-09-05,382.879
2002-09-06,387.912
2002-09-09,393.516
2002-09-10,398.02
2002-09-11,409.406
2002-09-12,405.162
2002-09-13,406.822
2002-09-16,405.903
2002-09-17,408.67
2002-09-18,390.763
2002-09-19,388.87
2002-09-20,377.83
2002-09-23,370.642
2002-09-24,358.59
2002-09-25,354.389
2002-09-26,362.455
2002-09-27,366.828
2002-09-30,359.498
2002-10-01,348.285
2002-10-02,336.242
2002-10-03,339.483
2002-10-04,348.218
2002-10-07,326.407
2002-10-08,308.749
2002-10-09,316.448
2002-10-10,325.093
2002-10-11,352.752
2002-10-14,356.845
2002-10-15,387.332
2002-10-16,373.013
2002-10-17,392.374
2002-10-18,412.992
2002-10-21,389.967
2002-10-22,404.748
2002-10-23,389.881
2002-10-24,407.461
2002-10-25,386.311
2002-10-28,391.927
2002-10-29,374.902
2002-10-30,372.43
2002-10-31,385.976
2002-11-01,380.975
2002-11-04,396.711
2002-11-05,394.388
2002-11-06,394.627
2002-11-07,410.025
2002-11-08,400.384
2002-11-11,377.063
2002-11-12,375.695
2002-11-13,381.502
2002-11-14,387.312
2002-11-15,381.081
