Date,NETHERLANDS LARGE GROWTH Large Cap
1994-05-31,314.836
1994-06-30,306.762
1994-07-29,327.638
1994-08-31,346.715
1994-09-30,345.06
1994-10-31,360.222
1994-11-30,343.337
1994-12-30,357.168
1995-01-31,362.204
1995-02-28,372.505
1995-03-31,400.392
1995-04-28,417.261
1995-05-31,421.824
1995-06-30,436.927
1995-07-31,466.28
1995-08-31,440.545
1995-09-29,467.063
1995-10-31,450.162
1995-11-30,452.724
1995-12-29,458.426
1996-01-31,465.982
1996-02-29,479.306
1996-03-29,506.689
1996-04-30,502.875
1996-05-31,520.511
1996-06-28,521.545
1996-07-31,511.844
1996-08-30,537.926
1996-09-30,530.085
1996-10-31,525.399
1996-11-29,551.218
1996-12-31,565.438
1997-01-31,529.243
1997-02-28,566.994
1997-03-31,586.247
1997-04-30,579.354
1997-05-30,597.086
1997-06-30,643.701
1997-07-31,672.054
1997-08-29,619.711
1997-09-30,677.169
1997-10-31,642.322
1997-11-28,639.552
1997-12-31,639.953
1998-01-30,655.412
1998-02-27,744.898
1998-03-31,763.741
1998-04-30,787.923
1998-05-29,873.897
1998-06-30,858.292
1998-07-31,864.449
1998-08-31,802.787
1998-09-30,761.233
1998-10-30,816.4
1998-11-30,889.296
1998-12-31,1001.759
1999-01-29,956.634
1999-02-26,917.57
1999-03-31,864.502
1999-04-30,879.475
1999-05-31,836.735
1999-06-30,827.513
1999-07-30,851.963
1999-08-31,875.674
1999-09-30,856.216
1999-10-29,877.313
1999-11-30,897.285
1999-12-31,961.112
2000-01-31,870.642
2000-02-29,948.497
2000-03-31,933.472
2000-04-28,897.777
2000-05-31,898.526
2000-06-30,941.931
2000-07-31,910.862
2000-08-31,912.49
2000-09-29,863.39
2000-10-31,837.57
2000-11-30,819.335
2000-12-29,865.641
2001-01-31,845.945
2001-02-28,787.463
2001-03-30,704.971
2001-04-30,753.164
2001-05-31,698.132
2001-06-29,694.445
2001-07-31,693.172
2001-08-31,697.19
2001-09-28,599.134
2001-10-31,615.519
2001-11-30,667.349
2001-12-31,684.247
2002-01-31,637.594
2002-02-28,621.76
2002-03-29,687.148
2002-04-30,683.032
2002-05-31,656.037
2002-06-28,627.266
2002-07-31,528.99
2002-08-30,519.805
2002-09-30,417.616
2002-10-31,473.005
2002-11-29,507.194
2002-12-31,484.583
2003-01-31,453.489
2003-02-28,442.87
2003-03-31,439.822
2003-04-30,493.615
2003-05-30,486.922
2003-06-30,470.937
2003-07-31,505.273
2003-08-29,522.011
2003-09-30,520.551
2003-10-31,552.561
2003-11-28,574.627
2003-12-31,601.865
2004-01-30,620.086
2004-02-27,645.534
2004-03-31,619.368
2004-04-30,594.396
2004-05-31,596.285
2004-06-30,611.506
2004-07-30,565.072
2004-08-31,536.511
2004-09-30,527.291
2004-10-29,547.297
2004-11-30,584.689
2004-12-31,618.378
2005-01-31,618.896
2005-02-28,639.862
2005-03-31,640.879
2005-04-29,598.956
2005-05-31,611.337
2005-06-30,605.647
2005-07-29,626.56
2005-08-31,637.411
2005-09-30,637.223
2005-10-31,616.911
2005-11-30,629.001
2005-12-30,671.269
2006-01-31,717.332
2006-02-28,714.92
2006-03-31,731.912
2006-04-28,759.386
2006-05-31,727.206
2006-06-30,730.322
2006-07-31,769.214
2006-08-31,793.99
2006-09-29,813.058
2006-10-31,812.397
2006-11-30,861.729
2006-12-29,880.041
2007-01-31,885.264
2007-02-28,855.217
2007-03-30,932.598
2007-04-30,990.94
2007-05-31,1000.0
2007-06-29,1026.356
2007-07-31,1019.501
2007-08-31,1011.091
2007-09-28,1049.533
2007-10-31,1066.424
2007-11-30,1064.727
2007-12-31,1082.558
2008-01-31,965.944
2008-02-29,980.157
2008-03-31,1023.929
2008-04-30,1040.289
2008-05-30,1046.3
2008-06-30,923.957
2008-07-31,880.367
2008-08-29,901.978
2008-09-30,771.376
2008-10-31,671.465
2008-11-28,639.393
2008-12-31,665.805
2009-01-30,626.407
2009-02-27,580.706
2009-03-31,593.329
2009-04-30,598.833
2009-05-29,676.281
2009-06-30,681.306
2009-07-31,738.773
2009-08-31,767.849
2009-09-30,805.27
2009-10-30,858.889
2009-11-30,864.675
2009-12-31,873.266
2010-01-29,840.11
2010-02-26,821.472
2010-03-31,844.385
2010-04-30,846.042
2010-05-31,750.41
2010-06-30,751.119
2010-07-30,801.117
2010-08-31,743.95
2010-09-30,826.971
2010-10-29,824.558
2010-11-30,753.391
2010-12-31,825.699
2011-01-31,823.81
2011-02-28,845.109
2011-03-31,863.835
2011-04-29,884.686
2011-05-31,864.052
2011-06-30,842.108
2011-07-29,832.11
2011-08-31,795.326
2011-09-30,742.522
2011-10-31,821.207
2011-11-30,791.541
2011-12-30,812.633
2012-01-31,797.64
2012-02-29,834.265
2012-03-30,862.262
2012-04-30,866.273
2012-05-31,789.431
2012-06-29,851.159
2012-07-31,898.849
2012-08-31,904.591
2012-09-28,910.224
2012-10-31,940.136
2012-11-30,990.93
2012-12-31,1014.915
2013-01-31,1099.014
2013-02-28,1073.264
2013-03-29,1098.933
2013-04-30,1129.545
2013-05-31,1139.477
2013-06-28,1083.549
2013-07-31,1163.218
2013-08-30,1129.787
2013-09-30,1200.757
2013-10-31,1224.238
2013-11-29,1228.137
2013-12-31,1254.43
2014-01-31,1164.549
2014-02-28,1233.142
2014-03-31,1261.134
2014-04-30,1237.151
2014-05-30,1261.442
2014-06-30,1286.828
2014-07-31,1239.329
2014-08-29,1273.069
2014-09-30,1272.906
2014-10-31,1232.746
2014-11-28,1305.268
2014-12-31,1250.078
2015-01-30,1295.723
2015-02-27,1358.975
2015-03-31,1314.027
2015-04-30,1375.008
2015-05-29,1390.959
2015-06-30,1343.045
2015-07-31,1390.658
2015-08-31,1288.424
2015-09-30,1266.91
2015-10-30,1387.559
2015-11-30,1364.187
2015-12-31,1319.689
2016-01-29,1328.488
2016-02-29,1291.682
2016-03-31,1403.652
2016-04-29,1386.968
2016-05-31,1419.084
2016-06-30,1377.009
2016-07-29,1439.068
2016-08-31,1444.23
2016-09-30,1476.117
2016-10-31,1413.749
2016-11-30,1339.726
2016-12-30,1394.181
2017-01-31,1407.979
2017-02-28,1504.685
2017-03-31,1579.033
2017-04-28,1638.776
2017-05-31,1738.088
2017-06-30,1692.677
2017-07-31,1806.815
2017-08-31,1815.937
2017-09-29,1848.186
2017-10-31,1861.741
2017-11-30,1830.63
2017-12-29,1833.014
2018-01-31,1955.603
2018-02-28,1862.405
2018-03-30,1887.322
2018-04-30,1885.419
2018-05-31,1883.776
2018-06-29,1889.52
2018-07-31,1947.866
2018-08-31,1922.004
2018-09-28,1833.859
2018-10-31,1698.828
2018-11-30,1753.773
2018-12-31,1663.832
2019-01-31,1774.471
2019-02-28,1848.808
2019-03-29,1912.895
2019-04-30,2026.392
2019-05-31,1920.97
2019-06-28,2047.197
2019-07-31,2088.879
2019-08-30,2107.363
2019-09-30,2147.823
2019-10-31,2148.729
2019-11-29,2211.021
2019-12-31,2314.273
2020-01-31,2262.983
2020-02-28,2100.936
2020-03-31,1944.235
2020-04-30,2115.955
2020-05-29,2266.132
2020-06-30,2440.9
2020-07-31,2550.967
2020-08-31,2590.993
2020-09-30,2590.206
2020-10-30,2534.337
2020-11-30,2858.941
2020-12-31,3093.329
2021-01-29,3221.945
2021-02-26,3334.233
2021-03-31,3472.163
2021-04-30,3663.618
2021-05-31,3723.502
2021-06-30,3733.856
2021-07-30,3956.731
2021-08-31,4235.016
2021-09-30,3841.674
2021-10-29,4131.328
2021-11-30,3895.001
2021-12-31,4013.397
2022-01-31,3453.937
2022-02-28,3336.083
2022-03-31,3280.71
2022-04-29,2916.044
2022-05-31,2908.843
2022-06-30,2610.521
2022-07-29,2955.236
2022-08-31,2604.576
2022-09-30,2308.107
2022-10-31,2423.54
2022-11-30,2896.328
2022-12-30,2787.475
2023-01-31,3236.241
2023-02-28,3093.705
