Date,NETHERLANDS LARGE GROWTH Large Cap
1994-05-31,296.455
1994-06-30,288.853
1994-07-29,308.51
1994-08-31,326.57
1994-09-30,325.086
1994-10-31,339.466
1994-11-30,323.721
1994-12-30,336.761
1995-01-31,341.51
1995-02-28,351.222
1995-03-31,377.516
1995-04-28,393.935
1995-05-31,399.419
1995-06-30,413.721
1995-07-31,441.515
1995-08-31,417.235
1995-09-29,442.522
1995-10-31,426.509
1995-11-30,429.179
1995-12-29,434.585
1996-01-31,441.748
1996-02-29,454.379
1996-03-29,480.514
1996-04-30,477.531
1996-05-31,495.186
1996-06-28,496.169
1996-07-31,486.941
1996-08-30,511.869
1996-09-30,504.897
1996-10-31,500.434
1996-11-29,525.181
1996-12-31,538.729
1997-01-31,504.244
1997-02-28,540.211
1997-03-31,558.555
1997-04-30,552.583
1997-05-30,570.273
1997-06-30,614.794
1997-07-31,641.899
1997-08-29,592.19
1997-09-30,647.227
1997-10-31,613.921
1997-11-28,611.416
1997-12-31,611.799
1998-01-30,626.578
1998-02-27,712.127
1998-03-31,730.649
1998-04-30,753.926
1998-05-29,837.404
1998-06-30,822.451
1998-07-31,828.393
1998-08-31,769.303
1998-09-30,729.481
1998-10-30,782.348
1998-11-30,852.203
1998-12-31,959.976
1999-01-29,916.733
1999-02-26,879.298
1999-03-31,828.443
1999-04-30,842.971
1999-05-31,803.141
1999-06-30,794.289
1999-07-30,817.758
1999-08-31,840.797
1999-09-30,822.28
1999-10-29,842.541
1999-11-30,861.918
1999-12-31,923.23
2000-01-31,836.325
2000-02-29,911.111
2000-03-31,897.039
2000-04-28,862.859
2000-05-31,864.647
2000-06-30,906.416
2000-07-31,876.519
2000-08-31,878.449
2000-09-29,831.294
2000-10-31,806.434
2000-11-30,789.084
2000-12-29,833.698
2001-01-31,814.729
2001-02-28,758.405
2001-03-30,679.325
2001-04-30,725.969
2001-05-31,674.109
2001-06-29,670.722
2001-07-31,669.492
2001-08-31,673.892
2001-09-28,579.319
2001-10-31,595.232
2001-11-30,645.354
2001-12-31,661.695
2002-01-31,616.58
2002-02-28,601.267
2002-03-29,664.5
2002-04-30,662.034
2002-05-31,636.269
2002-06-28,608.365
2002-07-31,513.05
2002-08-30,504.822
2002-09-30,405.634
2002-10-31,459.74
2002-11-29,492.97
2002-12-31,470.994
2003-01-31,440.771
2003-02-28,430.451
2003-03-31,427.989
2003-04-30,481.129
2003-05-30,475.597
2003-06-30,459.984
2003-07-31,493.522
2003-08-29,510.374
2003-09-30,509.024
2003-10-31,540.951
2003-11-28,562.553
2003-12-31,589.219
