Date,NETHERLANDS LARGE GROWTH Large Cap
2001-01-01,833.698
2001-01-02,826.514
2001-01-03,806.699
2001-01-04,820.821
2001-01-05,826.678
2001-01-08,819.119
2001-01-09,817.023
2001-01-10,815.791
2001-01-11,835.382
2001-01-12,836.208
2001-01-15,827.524
2001-01-16,814.854
2001-01-17,823.506
2001-01-18,827.82
2001-01-19,816.848
2001-01-22,812.16
2001-01-23,820.924
2001-01-24,812.432
2001-01-25,804.291
2001-01-26,799.785
2001-01-29,803.737
2001-01-30,805.962
2001-01-31,814.729
2001-02-01,818.628
2001-02-02,803.492
2001-02-05,810.594
2001-02-06,804.747
2001-02-07,797.901
2001-02-08,786.393
2001-02-09,782.272
2001-02-12,793.221
2001-02-13,788.207
2001-02-14,775.102
2001-02-15,774.539
2001-02-16,775.279
2001-02-19,766.978
2001-02-20,753.429
2001-02-21,749.11
2001-02-22,742.109
2001-02-23,726.445
2001-02-26,741.697
2001-02-27,753.889
2001-02-28,758.405
2001-03-01,757.806
2001-03-02,762.151
2001-03-05,762.724
2001-03-06,777.771
2001-03-07,770.426
2001-03-08,767.969
2001-03-09,763.969
2001-03-12,744.431
2001-03-13,728.586
2001-03-14,712.557
2001-03-15,712.877
2001-03-16,685.639
2001-03-19,679.956
2001-03-20,687.175
2001-03-21,669.063
2001-03-22,630.697
2001-03-23,654.791
2001-03-26,678.657
2001-03-27,690.653
2001-03-28,682.197
2001-03-29,671.442
2001-03-30,679.325
2001-04-02,676.446
2001-04-03,651.105
2001-04-04,658.346
2001-04-05,674.517
2001-04-06,674.822
2001-04-09,679.979
2001-04-10,688.824
2001-04-11,698.635
2001-04-12,698.976
2001-04-13,698.976
2001-04-16,691.818
2001-04-17,679.694
2001-04-18,697.252
2001-04-19,710.396
2001-04-20,716.29
2001-04-23,703.892
2001-04-24,709.337
2001-04-25,712.842
2001-04-26,726.3
2001-04-27,730.882
2001-04-30,725.969
2001-05-01,732.348
2001-05-02,740.905
2001-05-03,728.243
2001-05-04,724.577
2001-05-07,727.325
2001-05-08,720.589
2001-05-09,713.593
2001-05-10,733.581
2001-05-11,726.653
2001-05-14,717.545
2001-05-15,724.136
2001-05-16,721.049
2001-05-17,728.756
2001-05-18,737.683
2001-05-21,729.327
2001-05-22,728.925
2001-05-23,710.048
2001-05-24,702.226
2001-05-25,691.84
2001-05-28,701.618
2001-05-29,688.647
2001-05-30,675.721
2001-05-31,674.109
2001-06-01,671.231
2001-06-04,672.143
2001-06-05,688.877
2001-06-06,691.165
2001-06-07,695.183
2001-06-08,694.03
2001-06-11,678.022
2001-06-12,671.113
2001-06-13,679.671
2001-06-14,669.788
2001-06-15,656.228
2001-06-18,660.109
2001-06-19,653.437
2001-06-20,640.807
2001-06-21,643.618
2001-06-22,658.953
2001-06-25,664.229
2001-06-26,659.034
2001-06-27,659.773
2001-06-28,656.981
2001-06-29,670.722
2001-07-02,679.865
2001-07-03,674.188
2001-07-04,670.986
2001-07-05,660.111
2001-07-06,652.459
2001-07-09,654.602
2001-07-10,659.898
2001-07-11,655.803
2001-07-12,655.248
2001-07-13,650.398
2001-07-16,646.294
2001-07-17,641.002
2001-07-18,650.139
2001-07-19,652.301
2001-07-20,648.446
2001-07-23,650.643
2001-07-24,653.722
2001-07-25,643.278
2001-07-26,643.292
2001-07-27,651.183
2001-07-30,662.905
2001-07-31,669.492
2001-08-01,677.593
2001-08-02,680.496
2001-08-03,676.606
2001-08-06,672.026
2001-08-07,671.53
2001-08-08,665.555
2001-08-09,670.607
2001-08-10,676.434
2001-08-13,682.888
2001-08-14,689.92
2001-08-15,690.833
2001-08-16,680.889
2001-08-17,672.871
2001-08-20,672.049
2001-08-21,679.669
2001-08-22,680.128
2001-08-23,686.436
2001-08-24,695.104
2001-08-27,699.071
2001-08-28,685.685
2001-08-29,690.0
2001-08-30,676.409
2001-08-31,673.892
2001-09-03,663.965
2001-09-04,655.636
2001-09-05,641.978
2001-09-06,623.128
2001-09-07,616.695
2001-09-10,613.208
2001-09-11,572.221
2001-09-12,570.621
2001-09-13,578.514
2001-09-14,541.601
2001-09-17,557.931
2001-09-18,557.777
2001-09-19,556.496
2001-09-20,525.429
2001-09-21,507.792
2001-09-24,536.947
2001-09-25,563.171
2001-09-26,567.777
2001-09-27,557.649
2001-09-28,579.319
2001-10-01,567.681
2001-10-02,569.508
2001-10-03,564.138
2001-10-04,592.076
2001-10-05,595.072
2001-10-08,601.189
2001-10-09,603.124
2001-10-10,611.28
2001-10-11,616.747
2001-10-12,611.948
2001-10-15,586.79
2001-10-16,593.525
2001-10-17,603.281
2001-10-18,583.417
2001-10-19,575.036
2001-10-22,580.777
2001-10-23,597.132
2001-10-24,597.421
2001-10-25,591.567
2001-10-26,604.582
2001-10-29,602.791
2001-10-30,590.477
2001-10-31,595.232
2001-11-01,605.029
2001-11-02,604.812
2001-11-05,624.162
2001-11-06,626.094
2001-11-07,643.058
2001-11-08,647.301
2001-11-09,631.048
2001-11-12,616.149
2001-11-13,632.788
2001-11-14,633.914
2001-11-15,640.885
2001-11-16,648.579
2001-11-19,651.744
2001-11-20,640.092
2001-11-21,633.195
2001-11-22,646.0
2001-11-23,644.545
2001-11-26,647.553
2001-11-27,639.77
2001-11-28,633.756
2001-11-29,635.573
2001-11-30,645.354
2001-12-03,640.579
2001-12-04,644.219
2001-12-05,665.196
2001-12-06,669.449
2001-12-07,667.156
2001-12-10,650.546
2001-12-11,648.174
