Date,EM (EMERGING MARKETS) SMALL VALUE Small Cap
2001-12-31,183.327
2002-01-31,196.135
2002-02-28,199.242
2002-03-29,218.758
2002-04-30,225.742
2002-05-31,222.262
2002-06-28,207.0
2002-07-31,201.262
2002-08-30,201.528
2002-09-30,177.923
2002-10-31,187.756
2002-11-29,201.448
2002-12-31,198.931
2003-01-31,209.855
2003-02-28,203.586
2003-03-31,197.609
2003-04-30,211.947
2003-05-30,232.289
2003-06-30,248.381
2003-07-31,261.232
2003-08-29,278.049
2003-09-30,281.531
2003-10-31,309.095
2003-11-28,320.491
2003-12-31,344.535
2004-01-30,354.806
2004-02-27,376.675
2004-03-31,376.62
2004-04-30,353.914
2004-05-31,338.663
2004-06-30,339.934
2004-07-30,337.293
2004-08-31,351.484
2004-09-30,373.616
2004-10-29,384.856
2004-11-30,428.111
2004-12-31,454.771
2005-01-31,457.442
2005-02-28,495.216
2005-03-31,466.242
2005-04-29,454.055
2005-05-31,461.768
2005-06-30,481.534
2005-07-29,506.766
2005-08-31,508.044
2005-09-30,543.482
2005-10-31,513.029
2005-11-30,555.648
2005-12-30,589.428
2006-01-31,641.943
2006-02-28,646.942
2006-03-31,656.712
2006-04-28,706.515
2006-05-31,646.102
2006-06-30,611.932
2006-07-31,618.013
2006-08-31,634.722
2006-09-29,658.716
2006-10-31,695.584
2006-11-30,757.599
2006-12-29,793.016
2007-01-31,794.275
2007-02-28,814.501
2007-03-30,851.376
2007-04-30,922.513
2007-05-31,1000.0
2007-06-29,1040.091
2007-07-31,1126.516
2007-08-31,1071.992
2007-09-28,1148.313
2007-10-31,1217.596
2007-11-30,1108.139
2007-12-31,1127.632
2008-01-31,977.852
2008-02-29,1045.051
2008-03-31,987.05
2008-04-30,1035.265
2008-05-30,1018.621
2008-06-30,901.904
2008-07-31,890.888
2008-08-29,829.266
2008-09-30,668.906
2008-10-31,475.227
2008-11-28,452.176
2008-12-31,513.651
2009-01-30,478.422
2009-02-27,458.248
2009-03-31,523.611
2009-04-30,638.618
2009-05-29,793.182
2009-06-30,792.397
2009-07-31,899.113
2009-08-31,916.332
2009-09-30,990.642
2009-10-30,996.629
2009-11-30,1041.994
2009-12-31,1105.834
2010-01-29,1068.513
2010-02-26,1073.422
2010-03-31,1170.022
2010-04-30,1204.597
2010-05-31,1079.008
2010-06-30,1094.143
2010-07-30,1179.977
2010-08-31,1185.811
2010-09-30,1326.438
2010-10-29,1392.529
2010-11-30,1357.131
2010-12-31,1452.443
2011-01-31,1412.397
2011-02-28,1356.001
2011-03-31,1417.536
2011-04-29,1483.802
2011-05-31,1442.706
2011-06-30,1414.626
2011-07-29,1442.748
2011-08-31,1287.326
2011-09-30,1082.463
2011-10-31,1183.729
2011-11-30,1081.484
2011-12-30,1069.813
2012-01-31,1198.443
2012-02-29,1312.294
2012-03-30,1261.822
2012-04-30,1235.737
2012-05-31,1118.964
2012-06-29,1156.521
2012-07-31,1150.334
2012-08-31,1170.55
2012-09-28,1247.096
2012-10-31,1227.425
2012-11-30,1248.818
2012-12-31,1315.098
2013-01-31,1353.558
2013-02-28,1359.889
2013-03-29,1353.943
2013-04-30,1380.883
2013-05-31,1369.977
2013-06-28,1251.566
2013-07-31,1258.291
2013-08-30,1224.109
2013-09-30,1295.34
2013-10-31,1338.615
2013-11-29,1314.598
2013-12-31,1312.926
2014-01-31,1265.138
2014-02-28,1316.426
2014-03-31,1348.239
2014-04-30,1356.837
2014-05-30,1399.823
2014-06-30,1425.358
2014-07-31,1446.525
2014-08-29,1475.352
2014-09-30,1405.113
2014-10-31,1384.237
2014-11-28,1366.98
2014-12-31,1327.496
2015-01-30,1337.154
2015-02-27,1362.166
2015-03-31,1356.959
2015-04-30,1489.694
2015-05-29,1490.238
2015-06-30,1413.028
2015-07-31,1299.955
2015-08-31,1170.272
2015-09-30,1177.594
2015-10-30,1251.055
2015-11-30,1209.153
2015-12-31,1213.334
2016-01-29,1112.419
2016-02-29,1127.129
2016-03-31,1251.936
2016-04-29,1277.65
2016-05-31,1226.229
2016-06-30,1267.543
2016-07-29,1336.489
2016-08-31,1368.324
2016-09-30,1384.198
2016-10-31,1381.427
2016-11-30,1328.363
2016-12-30,1332.059
2017-01-31,1410.389
2017-02-28,1492.901
2017-03-31,1532.306
2017-04-28,1544.98
2017-05-31,1555.922
2017-06-30,1573.617
2017-07-31,1640.99
2017-08-31,1675.883
2017-09-29,1678.288
2017-10-31,1731.552
2017-11-30,1754.042
2017-12-29,1822.944
2018-01-31,1937.836
2018-02-28,1848.093
2018-03-30,1809.8
2018-04-30,1824.719
2018-05-31,1777.53
2018-06-29,1656.191
2018-07-31,1687.717
2018-08-31,1652.268
2018-09-28,1607.9
2018-10-31,1461.086
2018-11-30,1529.495
2018-12-31,1515.749
2019-01-31,1602.986
2019-02-28,1621.728
2019-03-29,1642.207
2019-04-30,1645.072
2019-05-31,1567.115
2019-06-28,1633.147
2019-07-31,1600.271
2019-08-30,1515.162
2019-09-30,1543.079
2019-10-31,1589.799
2019-11-29,1590.265
2019-12-31,1689.111
2020-01-31,1605.781
2020-02-28,1485.6
2020-03-31,1122.366
2020-04-30,1267.825
2020-05-29,1288.641
2020-06-30,1399.446
2020-07-31,1498.304
2020-08-31,1559.543
2020-09-30,1542.315
2020-10-30,1550.664
2020-11-30,1780.876
2020-12-31,1915.181
2021-01-29,1898.823
2021-02-26,2016.415
2021-03-31,2063.159
2021-04-30,2196.553
2021-05-31,2256.413
2021-06-30,2290.758
2021-07-30,2259.934
2021-08-31,2295.509
2021-09-30,2253.19
2021-10-29,2247.014
2021-11-30,2158.41
2021-12-31,2251.408
2022-01-31,2201.19
2022-02-28,2155.332
2022-03-31,2216.271
2022-04-29,2135.889
2022-05-31,2101.063
2022-06-30,1895.961
2022-07-29,1952.406
2022-08-31,1997.557
2022-09-30,1808.377
2022-10-31,1822.497
2022-11-30,1987.771
2022-12-30,1985.446
2023-01-31,2088.735
2023-02-28,2012.93
2023-03-31,2020.439
2023-04-28,2050.719
2023-05-31,2074.987
2023-06-30,2159.389
2023-07-31,2306.433
2023-08-31,2273.341
2023-09-29,2246.76
2023-10-31,2155.733
2023-11-30,2353.533
2023-12-29,2478.096
2024-01-31,2461.266
2024-02-29,2512.863
2024-03-29,2512.055
2024-04-30,2583.859
2024-05-31,2605.324
2024-06-28,2679.487
2024-07-31,2703.88
2024-08-30,2746.553
2024-09-30,2843.862
2024-10-31,2721.637
2024-11-29,2668.342
2024-12-31,2619.205
2025-01-31,2555.905
2025-02-28,2505.848
2025-03-31,2529.47
2025-04-30,2591.772
2025-05-30,2777.869
2025-06-30,2915.003
