Date,EM (EMERGING MARKETS) SMALL VALUE Small Cap
2001-01-01,172.929
2001-01-02,173.728
2001-01-03,173.594
2001-01-04,177.83
2001-01-05,179.577
2001-01-08,181.501
2001-01-09,182.626
2001-01-10,182.34
2001-01-11,182.815
2001-01-12,183.072
2001-01-15,183.531
2001-01-16,184.84
2001-01-17,185.101
2001-01-18,186.532
2001-01-19,188.402
2001-01-22,190.381
2001-01-23,190.924
2001-01-24,190.893
2001-01-25,191.193
2001-01-26,190.709
2001-01-29,190.271
2001-01-30,191.031
2001-01-31,193.113
2001-02-01,192.67
2001-02-02,194.332
2001-02-05,193.166
2001-02-06,193.489
2001-02-07,190.318
2001-02-08,190.985
2001-02-09,193.014
2001-02-12,193.124
2001-02-13,193.604
2001-02-14,193.677
2001-02-15,195.096
2001-02-16,194.351
2001-02-19,193.532
2001-02-20,195.042
2001-02-21,191.638
2001-02-22,187.61
2001-02-23,186.606
2001-02-26,188.706
2001-02-27,188.132
2001-02-28,187.629
2001-03-01,186.666
2001-03-02,184.602
2001-03-05,184.73
2001-03-06,185.648
2001-03-07,185.503
2001-03-08,186.096
2001-03-09,184.381
2001-03-12,179.964
2001-03-13,176.911
2001-03-14,176.999
2001-03-15,177.402
2001-03-16,176.689
2001-03-19,174.956
2001-03-20,175.86
2001-03-21,175.769
2001-03-22,174.503
2001-03-23,175.406
2001-03-26,177.855
2001-03-27,177.318
2001-03-28,176.646
2001-03-29,175.155
2001-03-30,175.232
2001-04-02,172.248
2001-04-03,169.003
2001-04-04,167.518
2001-04-05,168.546
2001-04-06,169.526
2001-04-09,168.193
2001-04-10,168.33
2001-04-11,169.046
2001-04-12,169.888
2001-04-13,170.745
2001-04-16,170.206
2001-04-17,169.747
2001-04-18,172.688
2001-04-19,173.278
2001-04-20,172.692
2001-04-23,172.903
2001-04-24,173.611
2001-04-25,173.566
2001-04-26,174.617
2001-04-27,175.118
2001-04-30,176.011
2001-05-01,176.092
2001-05-02,176.501
2001-05-03,176.937
2001-05-04,176.279
2001-05-07,176.597
2001-05-08,175.28
2001-05-09,175.048
2001-05-10,174.708
2001-05-11,175.211
2001-05-14,174.839
2001-05-15,175.074
2001-05-16,175.635
2001-05-17,178.143
2001-05-18,178.085
2001-05-21,177.985
2001-05-22,178.286
2001-05-23,180.282
2001-05-24,181.371
2001-05-25,181.525
2001-05-28,181.294
2001-05-29,180.858
2001-05-30,180.377
2001-05-31,180.718
2001-06-01,180.452
2001-06-04,181.538
2001-06-05,181.139
2001-06-06,181.824
2001-06-07,181.709
2001-06-08,183.482
2001-06-11,182.862
2001-06-12,182.758
2001-06-13,182.337
2001-06-14,181.283
2001-06-15,181.518
2001-06-18,179.242
2001-06-19,178.722
2001-06-20,178.123
2001-06-21,179.659
2001-06-22,180.112
2001-06-25,180.295
2001-06-26,179.673
2001-06-27,179.283
2001-06-28,178.233
2001-06-29,179.32
2001-07-02,178.663
2001-07-03,177.711
2001-07-04,176.444
2001-07-05,175.223
2001-07-06,173.754
2001-07-09,172.514
2001-07-10,171.844
2001-07-11,168.48
2001-07-12,169.888
2001-07-13,168.859
2001-07-16,167.918
2001-07-17,167.605
2001-07-18,167.485
2001-07-19,167.115
2001-07-20,167.669
2001-07-23,167.384
2001-07-24,166.919
2001-07-25,166.542
2001-07-26,168.742
2001-07-27,169.471
2001-07-30,170.132
2001-07-31,169.478
2001-08-01,170.136
2001-08-02,171.045
2001-08-03,171.755
2001-08-06,170.774
2001-08-07,170.558
2001-08-08,171.361
2001-08-09,170.22
2001-08-10,170.753
2001-08-13,171.545
2001-08-14,172.806
2001-08-15,173.215
2001-08-16,175.227
2001-08-17,174.921
2001-08-20,173.395
2001-08-21,173.983
2001-08-22,174.32
2001-08-23,174.288
2001-08-24,174.038
2001-08-27,174.892
2001-08-28,174.524
2001-08-29,174.651
2001-08-30,174.648
2001-08-31,173.85
2001-09-03,172.423
2001-09-04,172.723
2001-09-05,172.499
2001-09-06,172.218
2001-09-07,171.599
2001-09-10,170.411
2001-09-11,167.599
2001-09-12,163.156
2001-09-13,160.078
2001-09-14,154.444
2001-09-17,148.495
2001-09-18,150.555
2001-09-19,153.433
2001-09-20,152.072
2001-09-21,148.837
2001-09-24,149.857
2001-09-25,149.852
2001-09-26,149.975
2001-09-27,150.288
2001-09-28,152.375
2001-10-01,151.52
2001-10-02,150.576
2001-10-03,149.872
2001-10-04,151.553
2001-10-05,151.556
2001-10-08,149.154
2001-10-09,151.127
2001-10-10,151.352
2001-10-11,154.086
2001-10-12,153.183
2001-10-15,153.434
2001-10-16,153.948
2001-10-17,154.904
2001-10-18,154.389
2001-10-19,154.772
2001-10-22,155.672
2001-10-23,156.907
2001-10-24,157.227
2001-10-25,157.387
2001-10-26,157.774
2001-10-29,157.739
2001-10-30,156.628
2001-10-31,157.091
2001-11-01,157.561
2001-11-02,158.583
2001-11-05,159.899
2001-11-06,160.525
2001-11-07,160.061
2001-11-08,161.858
2001-11-09,161.806
2001-11-12,162.577
2001-11-13,162.927
2001-11-14,164.675
2001-11-15,166.44
2001-11-16,167.22
2001-11-19,169.569
2001-11-20,169.337
2001-11-21,169.58
2001-11-22,170.75
2001-11-23,172.739
2001-11-26,175.625
2001-11-27,174.722
2001-11-28,171.922
2001-11-29,171.977
2001-11-30,173.073
2001-12-03,174.797
2001-12-04,175.681
2001-12-05,177.95
2001-12-06,180.121
2001-12-07,181.726
2001-12-10,183.579
2001-12-11,182.317
2001-12-12,184.404
2001-12-13,181.789
2001-12-14,181.623
2001-12-17,182.879
2001-12-18,180.482
2001-12-19,178.276
2001-12-20,178.216
2001-12-21,177.004
2001-12-24,178.096
2001-12-25,179.392
2001-12-26,180.222
2001-12-27,180.091
2001-12-28,181.455
2001-12-31,183.327
2002-01-01,183.274
2002-01-02,185.044
2002-01-03,186.651
2002-01-04,188.401
2002-01-07,190.957
2002-01-08,190.028
2002-01-09,190.3
2002-01-10,190.687
2002-01-11,189.744
2002-01-14,189.337
2002-01-15,187.61
2002-01-16,186.772
2002-01-17,187.81
2002-01-18,188.824
2002-01-21,190.44
2002-01-22,189.831
2002-01-23,191.317
2002-01-24,192.102
2002-01-25,194.472
2002-01-28,196.16
2002-01-29,194.93
2002-01-30,194.004
2002-01-31,196.135
2002-02-01,195.701
2002-02-04,194.291
2002-02-05,193.908
2002-02-06,195.696
2002-02-07,193.947
2002-02-08,194.32
2002-02-11,194.769
2002-02-12,195.202
2002-02-13,195.773
2002-02-14,198.074
2002-02-15,198.886
2002-02-18,200.012
2002-02-19,199.424
2002-02-20,198.448
2002-02-21,198.965
2002-02-22,198.028
2002-02-25,197.109
2002-02-26,197.376
2002-02-27,199.99
2002-02-28,199.242
2002-03-01,200.866
2002-03-04,204.334
2002-03-05,204.485
2002-03-06,206.078
2002-03-07,206.804
2002-03-08,207.882
2002-03-11,210.051
2002-03-12,209.422
2002-03-13,210.719
2002-03-14,210.676
2002-03-15,211.536
2002-03-18,212.69
2002-03-19,213.546
2002-03-20,214.693
2002-03-21,215.767
2002-03-22,217.607
2002-03-25,217.751
2002-03-26,218.307
2002-03-27,219.816
2002-03-28,219.828
2002-03-29,218.758
2002-04-01,218.817
2002-04-02,220.533
2002-04-03,222.191
2002-04-04,223.046
2002-04-05,225.114
2002-04-08,226.54
2002-04-09,224.387
2002-04-10,224.132
2002-04-11,225.161
2002-04-12,225.915
2002-04-15,227.702
2002-04-16,229.401
2002-04-17,232.361
2002-04-18,232.589
2002-04-19,233.408
2002-04-22,233.627
2002-04-23,232.156
2002-04-24,232.174
2002-04-25,229.76
2002-04-26,229.868
2002-04-29,227.493
2002-04-30,225.742
2002-05-01,225.484
2002-05-02,225.329
2002-05-03,226.628
2002-05-06,224.703
2002-05-07,224.657
2002-05-08,227.021
2002-05-09,227.068
2002-05-10,226.221
2002-05-13,225.408
2002-05-14,225.044
2002-05-15,226.731
2002-05-16,226.393
2002-05-17,226.917
2002-05-20,224.207
2002-05-21,220.118
2002-05-22,220.671
2002-05-23,220.595
2002-05-24,224.01
2002-05-27,224.937
2002-05-28,223.869
2002-05-29,222.831
2002-05-30,223.249
2002-05-31,222.262
2002-06-03,220.067
2002-06-04,219.723
2002-06-05,219.817
2002-06-06,219.988
2002-06-07,217.637
2002-06-10,220.032
2002-06-11,219.609
2002-06-12,219.602
2002-06-13,221.267
2002-06-14,219.538
2002-06-17,219.15
2002-06-18,219.461
2002-06-19,213.724
2002-06-20,213.799
2002-06-21,212.908
2002-06-24,211.158
2002-06-25,208.441
2002-06-26,199.93
2002-06-27,201.235
2002-06-28,207.0
2002-07-01,205.343
2002-07-02,205.061
2002-07-03,206.287
2002-07-04,209.26
2002-07-05,211.539
2002-07-08,212.245
2002-07-09,214.782
2002-07-10,215.035
2002-07-11,212.075
2002-07-12,216.306
2002-07-15,215.502
2002-07-16,213.296
2002-07-17,214.042
2002-07-18,215.635
2002-07-19,213.701
2002-07-22,206.622
2002-07-23,208.059
2002-07-24,203.728
2002-07-25,204.484
2002-07-26,199.239
2002-07-29,200.204
2002-07-30,203.442
2002-07-31,201.262
2002-08-01,200.97
2002-08-02,201.488
2002-08-05,194.29
2002-08-06,191.508
2002-08-07,195.107
2002-08-08,196.1
2002-08-09,197.385
2002-08-12,197.131
2002-08-13,196.793
2002-08-14,198.325
2002-08-15,198.463
2002-08-16,199.289
2002-08-19,199.411
2002-08-20,200.476
2002-08-21,201.739
2002-08-22,202.533
2002-08-23,201.904
2002-08-26,202.24
2002-08-27,202.432
2002-08-28,201.238
2002-08-29,200.519
2002-08-30,201.528
2002-09-02,200.404
2002-09-03,197.11
2002-09-04,195.826
2002-09-05,194.99
2002-09-06,193.605
2002-09-09,192.638
2002-09-10,194.973
2002-09-11,196.51
2002-09-12,197.213
2002-09-13,194.708
2002-09-16,190.914
2002-09-17,194.266
2002-09-18,190.609
2002-09-19,190.301
2002-09-20,189.123
2002-09-23,185.209
2002-09-24,183.057
2002-09-25,180.588
2002-09-26,181.023
2002-09-27,180.954
2002-09-30,177.923
2002-10-01,179.574
2002-10-02,180.08
2002-10-03,179.149
2002-10-04,179.083
2002-10-07,175.228
2002-10-08,175.525
2002-10-09,174.448
2002-10-10,172.122
2002-10-11,171.94
2002-10-14,172.716
2002-10-15,176.42
2002-10-16,177.293
2002-10-17,180.179
2002-10-18,184.044
2002-10-21,183.62
2002-10-22,182.43
2002-10-23,186.198
2002-10-24,185.928
2002-10-25,185.788
2002-10-28,187.994
2002-10-29,186.474
2002-10-30,185.998
2002-10-31,187.756
2002-11-01,186.767
2002-11-04,189.727
2002-11-05,189.677
2002-11-06,191.661
2002-11-07,193.183
2002-11-08,194.197
2002-11-11,192.77
2002-11-12,191.768
2002-11-13,191.694
2002-11-14,192.849
2002-11-15,196.086
2002-11-18,196.687
2002-11-19,195.528
2002-11-20,195.588
2002-11-21,196.111
2002-11-22,197.822
2002-11-25,199.298
2002-11-26,199.285
2002-11-27,199.931
2002-11-28,200.112
2002-11-29,201.448
2002-12-02,203.08
2002-12-03,204.091
2002-12-04,202.187
2002-12-05,202.589
2002-12-06,202.681
2002-12-09,203.417
2002-12-10,203.504
2002-12-11,203.216
2002-12-12,204.33
2002-12-13,203.783
2002-12-16,203.36
2002-12-17,203.14
2002-12-18,203.254
2002-12-19,203.491
2002-12-20,203.796
2002-12-23,202.398
2002-12-24,200.678
2002-12-25,199.762
2002-12-26,199.941
2002-12-27,199.863
2002-12-30,197.863
2002-12-31,198.931
2003-01-01,198.832
2003-01-02,200.774
2003-01-03,203.751
2003-01-06,206.315
2003-01-07,205.237
2003-01-08,207.412
2003-01-09,208.391
2003-01-10,209.379
2003-01-13,212.107
2003-01-14,212.566
2003-01-15,213.971
2003-01-16,213.984
2003-01-17,211.246
2003-01-20,212.193
2003-01-21,211.328
2003-01-22,211.623
2003-01-23,213.778
2003-01-24,212.023
2003-01-27,207.293
2003-01-28,208.422
2003-01-29,208.164
2003-01-30,209.149
2003-01-31,209.855
2003-02-03,210.436
2003-02-04,210.917
2003-02-05,210.843
2003-02-06,209.274
2003-02-07,206.385
2003-02-10,203.659
2003-02-11,203.066
2003-02-12,204.968
2003-02-13,202.126
2003-02-14,201.632
2003-02-17,206.778
2003-02-18,206.41
2003-02-19,205.36
2003-02-20,205.24
2003-02-21,205.91
2003-02-24,207.079
2003-02-25,204.05
2003-02-26,204.387
2003-02-27,204.224
2003-02-28,203.586
2003-03-03,205.361
2003-03-04,204.355
2003-03-05,202.475
2003-03-06,200.434
2003-03-07,197.8
2003-03-10,194.669
2003-03-11,192.909
2003-03-12,193.876
2003-03-13,194.527
2003-03-14,197.135
2003-03-17,192.21
2003-03-18,196.618
2003-03-19,196.585
2003-03-20,200.449
2003-03-21,201.505
2003-03-24,200.164
2003-03-25,199.22
2003-03-26,200.21
2003-03-27,199.975
2003-03-28,200.366
2003-03-31,197.609
2003-04-01,198.962
2003-04-02,199.846
2003-04-03,201.148
2003-04-04,204.38
2003-04-07,208.979
2003-04-08,208.824
2003-04-09,208.559
2003-04-10,210.129
2003-04-11,211.103
2003-04-14,211.615
2003-04-15,214.196
2003-04-16,216.424
2003-04-17,216.736
2003-04-18,218.399
2003-04-21,218.107
2003-04-22,215.553
2003-04-23,214.752
2003-04-24,212.74
2003-04-25,208.826
2003-04-28,208.644
2003-04-29,212.5
2003-04-30,211.947
2003-05-01,212.03
2003-05-02,212.624
2003-05-05,215.236
2003-05-06,215.86
2003-05-07,218.68
2003-05-08,217.987
2003-05-09,220.062
2003-05-12,221.989
2003-05-13,221.652
2003-05-14,221.24
2003-05-15,220.462
2003-05-16,220.171
2003-05-19,218.055
