Date,EM (EMERGING MARKETS) SMALL VALUE Small Cap
1994-05-31,332.821
1994-06-30,337.727
1994-07-29,344.68
1994-08-31,381.311
1994-09-30,395.235
1994-10-31,410.106
1994-11-30,403.188
1994-12-30,395.461
1995-01-31,366.509
1995-02-28,352.768
1995-03-31,353.627
1995-04-28,353.746
1995-05-31,378.461
1995-06-30,375.803
1995-07-31,381.266
1995-08-31,357.501
1995-09-29,347.399
1995-10-31,330.846
1995-11-30,309.032
1995-12-29,310.834
1996-01-31,316.576
1996-02-29,326.12
1996-03-29,318.813
1996-04-30,328.655
1996-05-31,327.917
1996-06-28,324.559
1996-07-31,304.11
1996-08-30,298.389
1996-09-30,299.65
1996-10-31,289.99
1996-11-29,286.189
1996-12-31,285.734
1997-01-31,304.583
1997-02-28,314.23
1997-03-31,309.244
1997-04-30,308.825
1997-05-30,300.764
1997-06-30,310.461
1997-07-31,317.932
1997-08-29,295.967
1997-09-30,293.013
1997-10-31,247.964
1997-11-28,224.412
1997-12-31,214.121
1998-01-30,199.053
1998-02-27,215.98
1998-03-31,230.82
1998-04-30,227.714
1998-05-29,198.609
1998-06-30,176.526
1998-07-31,178.346
1998-08-31,141.585
1998-09-30,143.185
1998-10-30,154.019
1998-11-30,177.428
1998-12-31,181.795
1999-01-29,171.899
1999-02-26,163.909
1999-03-31,185.557
1999-04-30,218.672
1999-05-31,222.228
1999-06-30,241.439
1999-07-30,239.745
1999-08-31,240.169
1999-09-30,228.032
1999-10-29,230.17
1999-11-30,238.924
1999-12-31,262.344
2000-01-31,282.254
2000-02-29,268.358
2000-03-31,269.089
2000-04-28,251.341
2000-05-31,229.698
2000-06-30,226.657
2000-07-31,222.975
2000-08-31,218.531
2000-09-29,199.174
2000-10-31,185.443
2000-11-30,175.443
2000-12-29,175.647
2001-01-31,196.42
2001-02-28,190.829
2001-03-30,178.079
2001-04-30,178.847
2001-05-31,183.565
2001-06-29,182.072
2001-07-31,171.983
2001-08-31,176.394
2001-09-28,154.593
2001-10-31,159.361
2001-11-30,175.56
2001-12-31,185.92
2002-01-31,198.899
2002-02-28,202.031
2002-03-29,221.714
2002-04-30,228.77
2002-05-31,225.167
2002-06-28,209.651
2002-07-31,203.762
2002-08-30,203.999
2002-09-30,180.089
2002-10-31,190.032
2002-11-29,203.884
2002-12-31,201.293
2003-01-31,212.324
2003-02-28,205.891
2003-03-31,199.794
2003-04-30,214.235
2003-05-30,234.76
2003-06-30,250.952
2003-07-31,263.827
2003-08-29,280.742
2003-09-30,284.227
2003-10-31,312.049
2003-11-28,323.547
2003-12-31,347.677
2004-01-30,357.962
2004-02-27,379.902
2004-03-31,379.797
2004-04-30,356.83
2004-05-31,341.386
2004-06-30,342.556
2004-07-30,339.698
2004-08-31,353.898
2004-09-30,376.153
2004-10-29,387.458
2004-11-30,430.988
2004-12-31,457.779
2005-01-31,460.35
2005-02-28,498.232
2005-03-31,468.938
2005-04-29,456.524
2005-05-31,464.185
2005-06-30,483.952
2005-07-29,509.038
2005-08-31,510.118
2005-09-30,545.68
2005-10-31,515.078
2005-11-30,557.843
2005-12-30,591.419
2006-01-31,644.022
2006-02-28,648.951
2006-03-31,658.592
2006-04-28,708.458
2006-05-31,647.735
2006-06-30,613.338
2006-07-31,619.155
2006-08-31,635.585
2006-09-29,659.565
2006-10-31,696.463
2006-11-30,758.529
2006-12-29,793.934
2007-01-31,795.033
2007-02-28,815.035
2007-03-30,851.789
2007-04-30,922.771
2007-05-31,1000.0
2007-06-29,1039.935
2007-07-31,1125.58
2007-08-31,1070.56
2007-09-28,1146.644
2007-10-31,1215.761
2007-11-30,1106.429
2007-12-31,1125.822
2008-01-31,976.095
2008-02-29,1042.758
2008-03-31,984.736
2008-04-30,1032.619
2008-05-30,1015.642
2008-06-30,899.048
2008-07-31,887.213
2008-08-29,825.27
2008-09-30,665.495
2008-10-31,472.71
2008-11-28,449.746
2008-12-31,510.816
2009-01-30,475.712
2009-02-27,455.442
2009-03-31,520.256
2009-04-30,634.395
2009-05-29,787.57
2009-06-30,786.636
2009-07-31,892.057
2009-08-31,908.888
2009-09-30,982.502
2009-10-30,988.392
2009-11-30,1033.334
2009-12-31,1096.585
2010-01-29,1059.464
2010-02-26,1064.01
2010-03-31,1159.534
2010-04-30,1193.56
2010-05-31,1068.73
2010-06-30,1083.568
2010-07-30,1167.569
2010-08-31,1172.812
2010-09-30,1311.742
2010-10-29,1377.053
2010-11-30,1341.96
2010-12-31,1436.164
2011-01-31,1396.435
2011-02-28,1340.299
2011-03-31,1400.895
2011-04-29,1466.089
