Date,EM (EMERGING MARKETS) SMALL VALUE Small Cap
2001-01-01,175.918
2001-01-02,176.713
2001-01-03,176.577
2001-01-04,180.884
2001-01-05,182.66
2001-01-08,184.618
2001-01-09,185.761
2001-01-10,185.471
2001-01-11,185.954
2001-01-12,186.215
2001-01-15,186.681
2001-01-16,188.012
2001-01-17,188.278
2001-01-18,189.733
2001-01-19,191.634
2001-01-22,193.641
2001-01-23,194.193
2001-01-24,194.162
2001-01-25,194.467
2001-01-26,193.974
2001-01-29,193.529
2001-01-30,194.302
2001-01-31,196.42
2001-02-01,195.969
2001-02-02,197.657
2001-02-05,196.471
2001-02-06,196.798
2001-02-07,193.572
2001-02-08,194.251
2001-02-09,196.315
2001-02-12,196.426
2001-02-13,196.914
2001-02-14,196.989
2001-02-15,198.432
2001-02-16,197.674
2001-02-19,196.841
2001-02-20,198.377
2001-02-21,194.915
2001-02-22,190.814
2001-02-23,189.79
2001-02-26,191.925
2001-02-27,191.34
2001-02-28,190.829
2001-03-01,189.85
2001-03-02,187.75
2001-03-05,187.88
2001-03-06,188.814
2001-03-07,188.667
2001-03-08,189.237
2001-03-09,187.494
2001-03-12,182.996
2001-03-13,179.887
2001-03-14,179.976
2001-03-15,180.385
2001-03-16,179.655
2001-03-19,177.876
2001-03-20,178.792
2001-03-21,178.682
2001-03-22,177.394
2001-03-23,178.304
2001-03-26,180.794
2001-03-27,180.247
2001-03-28,179.533
2001-03-29,178.017
2001-03-30,178.079
2001-04-02,175.045
2001-04-03,171.746
2001-04-04,170.237
2001-04-05,171.281
2001-04-06,172.277
2001-04-09,170.918
2001-04-10,171.07
2001-04-11,171.797
2001-04-12,172.653
2001-04-13,173.524
2001-04-16,172.976
2001-04-17,172.51
2001-04-18,175.493
2001-04-19,176.091
2001-04-20,175.494
2001-04-23,175.707
2001-04-24,176.426
2001-04-25,176.379
2001-04-26,177.435
2001-04-27,177.942
2001-04-30,178.847
2001-05-01,178.93
2001-05-02,179.34
2001-05-03,179.782
2001-05-04,179.112
2001-05-07,179.422
2001-05-08,178.083
2001-05-09,177.847
2001-05-10,177.5
2001-05-11,178.011
2001-05-14,177.63
2001-05-15,177.865
2001-05-16,178.434
2001-05-17,180.977
2001-05-18,180.918
2001-05-21,180.812
2001-05-22,181.114
2001-05-23,183.137
2001-05-24,184.241
2001-05-25,184.395
2001-05-28,184.156
2001-05-29,183.711
2001-05-30,183.222
2001-05-31,183.565
2001-06-01,183.295
2001-06-04,184.393
2001-06-05,183.985
2001-06-06,184.677
2001-06-07,184.56
2001-06-08,186.36
2001-06-11,185.716
2001-06-12,185.609
2001-06-13,185.173
2001-06-14,184.1
2001-06-15,184.338
2001-06-18,182.016
2001-06-19,181.487
2001-06-20,180.879
2001-06-21,182.433
2001-06-22,182.892
2001-06-25,183.075
2001-06-26,182.442
2001-06-27,182.045
2001-06-28,180.971
2001-06-29,182.072
2001-07-02,181.402
2001-07-03,180.429
2001-07-04,179.126
2001-07-05,177.885
2001-07-06,176.39
2001-07-09,175.12
2001-07-10,174.44
2001-07-11,171.024
2001-07-12,172.453
2001-07-13,171.404
2001-07-16,170.433
2001-07-17,170.111
2001-07-18,169.987
2001-07-19,169.607
2001-07-20,170.17
2001-07-23,169.877
2001-07-24,169.401
2001-07-25,169.017
2001-07-26,171.248
2001-07-27,171.987
2001-07-30,172.656
2001-07-31,171.983
2001-08-01,172.647
2001-08-02,173.567
2001-08-03,174.288
2001-08-06,173.293
2001-08-07,173.072
2001-08-08,173.885
2001-08-09,172.727
2001-08-10,173.267
2001-08-13,174.066
2001-08-14,175.345
2001-08-15,175.759
2001-08-16,177.8
2001-08-17,177.489
2001-08-20,175.94
2001-08-21,176.535
2001-08-22,176.876
2001-08-23,176.843
2001-08-24,176.59
2001-08-27,177.455
2001-08-28,177.079
2001-08-29,177.208
2001-08-30,177.205
2001-08-31,176.394
2001-09-03,174.944
2001-09-04,175.248
2001-09-05,175.02
2001-09-06,174.735
2001-09-07,174.107
2001-09-10,172.901
2001-09-11,170.048
2001-09-12,165.54
2001-09-13,162.414
2001-09-14,156.698
2001-09-17,150.662
2001-09-18,152.751
2001-09-19,155.671
2001-09-20,154.291
2001-09-21,151.008
2001-09-24,152.04
2001-09-25,152.033
2001-09-26,152.158
2001-09-27,152.476
2001-09-28,154.593
2001-10-01,153.726
2001-10-02,152.767
2001-10-03,152.052
2001-10-04,153.756
2001-10-05,153.76
