Date,ITALY GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,119.606
1975-02-28,128.094
1975-03-31,127.852
1975-04-30,127.13
1975-05-30,127.028
1975-06-30,113.293
1975-07-31,101.911
1975-08-29,100.559
1975-09-30,95.772
1975-10-31,99.293
1975-11-28,100.886
1975-12-31,99.981
1976-01-30,95.604
1976-02-27,95.978
1976-03-31,79.95
1976-04-30,72.326
1976-05-31,76.065
1976-06-30,78.385
1976-07-30,79.565
1976-08-31,77.461
1976-09-30,71.398
1976-10-29,62.961
1976-11-30,65.766
1976-12-31,65.348
1977-01-31,62.333
1977-02-28,60.64
1977-03-31,61.764
1977-04-29,59.863
1977-05-31,58.237
1977-06-30,61.751
1977-07-29,59.139
1977-08-31,71.522
1977-09-30,68.692
1977-10-31,64.212
1977-11-30,61.77
1977-12-30,61.483
1978-01-31,65.171
1978-02-28,70.819
1978-03-31,80.423
1978-04-28,81.558
1978-05-31,87.154
1978-06-30,65.115
1978-07-31,65.48
1978-08-31,69.034
1978-09-29,82.915
1978-10-31,78.202
1978-11-30,69.431
1978-12-29,69.31
1979-01-31,71.905
1979-02-28,75.313
1979-03-30,78.404
1979-04-30,74.334
1979-05-31,80.988
1979-06-29,82.484
1979-07-31,87.751
1979-08-31,98.353
1979-09-28,104.991
1979-10-31,94.152
1979-11-30,93.046
1979-12-31,94.651
1980-01-31,108.526
1980-02-29,109.553
1980-03-31,95.047
1980-04-30,106.759
1980-05-30,115.569
1980-06-30,121.242
1980-07-31,142.883
1980-08-29,154.6
1980-09-30,175.128
1980-10-31,198.075
1980-11-28,185.956
1980-12-31,190.232
1981-01-30,229.675
1981-02-27,250.823
1981-03-31,237.73
1981-04-30,241.376
1981-05-29,243.245
1981-06-30,192.255
1981-07-31,172.921
1981-08-31,194.022
1981-09-30,174.196
1981-10-30,162.085
1981-11-30,184.181
1981-12-31,175.714
1982-01-29,168.907
1982-02-26,176.095
1982-03-31,163.896
1982-04-30,156.157
1982-05-31,141.436
1982-06-30,122.751
1982-07-30,132.173
1982-08-31,135.313
1982-09-30,129.002
1982-10-29,125.291
1982-11-30,130.44
1982-12-31,133.735
1983-01-31,146.56
1983-02-28,156.863
1983-03-31,160.643
1983-04-29,152.19
1983-05-31,145.557
1983-06-30,148.558
1983-07-29,148.652
1983-08-31,150.641
1983-09-30,149.8
1983-10-31,141.814
1983-11-30,140.433
1983-12-30,138.144
1984-01-31,156.49
1984-02-29,161.281
1984-03-30,164.347
1984-04-30,155.831
1984-05-31,147.67
1984-06-29,148.713
1984-07-31,144.908
1984-08-31,151.68
1984-09-28,139.454
1984-10-31,141.482
1984-11-30,139.728
1984-12-31,147.806
1985-01-31,168.184
1985-02-28,168.185
1985-03-29,174.352
1985-04-30,179.741
1985-05-31,197.738
1985-06-28,209.757
1985-07-31,229.325
1985-08-30,245.009
1985-09-30,272.365
1985-10-31,284.814
1985-11-29,324.42
1985-12-31,340.811
1986-01-31,369.622
1986-02-28,476.876
1986-03-31,595.743
1986-04-30,685.334
1986-05-30,668.2
1986-06-30,596.986
1986-07-31,718.378
1986-08-29,835.371
1986-09-30,760.564
1986-10-31,829.124
1986-11-28,818.857
1986-12-31,832.292
1987-01-30,843.062
1987-02-27,812.664
1987-03-31,851.456
1987-04-30,924.111
1987-05-29,831.018
1987-06-30,833.281
1987-07-31,823.638
1987-08-31,770.395
1987-09-30,783.918
1987-10-30,707.846
1987-11-30,739.405
1987-12-31,714.432
1988-01-29,658.351
1988-02-29,680.675
1988-03-31,704.499
1988-04-29,684.297
1988-05-31,612.682
1988-06-30,630.763
1988-07-29,640.423
1988-08-31,634.646
1988-09-30,683.472
1988-10-31,752.831
1988-11-30,782.0
1988-12-30,766.658
1989-01-31,730.884
1989-02-28,715.582
1989-03-31,725.542
1989-04-28,714.462
1989-05-31,667.762
1989-06-30,725.9
1989-07-31,804.493
1989-08-31,817.785
1989-09-29,823.926
1989-10-31,765.387
1989-11-30,800.808
1989-12-29,865.359
1990-01-31,851.298
1990-02-28,804.588
1990-03-30,830.025
1990-04-30,859.718
1990-05-31,928.452
1990-06-29,964.725
1990-07-31,985.0
1990-08-31,874.303
1990-09-28,785.23
1990-10-31,827.274
1990-11-30,734.601
1990-12-31,753.072
1991-01-31,755.711
1991-02-28,865.012
1991-03-29,781.473
1991-04-30,781.982
1991-05-31,808.966
1991-06-28,734.647
1991-07-31,733.793
1991-08-30,706.834
1991-09-30,717.815
1991-10-31,677.524
1991-11-29,733.393
1991-12-31,780.193
1992-01-31,802.49
1992-02-28,793.487
1992-03-31,734.73
1992-04-30,743.862
1992-05-29,754.517
1992-06-30,729.453
1992-07-31,704.855
1992-08-31,712.927
1992-09-30,577.627
1992-10-30,669.61
1992-11-30,627.471
1992-12-31,617.264
1993-01-29,685.537
1993-02-26,673.489
1993-03-31,618.728
1993-04-30,748.116
1993-05-31,778.967
1993-06-30,748.427
1993-07-30,753.996
1993-08-31,814.491
1993-09-30,791.631
1993-10-29,759.386
1993-11-30,655.078
1993-12-31,732.006
1994-01-31,799.665
1994-02-28,774.118
1994-03-31,894.602
1994-04-29,954.755
1994-05-31,882.003
1994-06-30,811.002
1994-07-29,865.579
1994-08-31,866.212
1994-09-30,872.652
1994-10-31,837.628
1994-11-30,782.065
1994-12-30,794.897
1995-01-31,829.928
1995-02-28,753.067
1995-03-31,719.752
1995-04-28,795.13
1995-05-31,800.152
1995-06-30,796.206
1995-07-31,864.993
1995-08-31,849.949
1995-09-29,845.824
1995-10-31,836.414
1995-11-30,811.004
1995-12-29,876.85
1996-01-31,908.473
1996-02-29,906.151
1996-03-29,865.267
1996-04-30,975.253
1996-05-31,954.179
1996-06-28,966.325
1996-07-31,905.023
1996-08-30,881.414
1996-09-30,967.521
1996-10-31,907.144
1996-11-29,991.73
1996-12-31,976.549
1997-01-31,1068.877
1997-02-28,941.176
1997-03-31,967.839
1997-04-30,988.122
1997-05-30,965.268
1997-06-30,1056.375
1997-07-31,1112.08
1997-08-29,1079.287
1997-09-30,1223.477
1997-10-31,1144.904
1997-11-28,1185.08
1997-12-31,1266.507
1998-01-30,1340.974
1998-02-27,1360.551
1998-03-31,1565.175
1998-04-30,1556.948
1998-05-29,1617.548
1998-06-30,1577.876
1998-07-31,1735.539
1998-08-31,1533.252
1998-09-30,1418.574
1998-10-30,1525.414
1998-11-30,1675.269
1998-12-31,1845.088
1999-01-29,1828.47
1999-02-26,1790.961
1999-03-31,1802.586
1999-04-30,1728.812
1999-05-31,1648.174
1999-06-30,1621.945
1999-07-30,1555.161
1999-08-31,1600.684
1999-09-30,1586.907
1999-10-29,1564.88
1999-11-30,1761.22
1999-12-31,2295.277
2000-01-31,2315.702
2000-02-29,2715.18
2000-03-31,2412.898
2000-04-28,2135.634
2000-05-31,2208.534
2000-06-30,2290.357
2000-07-31,2176.968
2000-08-31,2079.363
2000-09-29,1962.403
2000-10-31,2032.894
2000-11-30,2017.473
2000-12-29,2004.352
2001-01-31,2049.205
2001-02-28,1765.386
2001-03-30,1665.564
2001-04-30,1774.032
2001-05-31,1540.563
2001-06-29,1469.225
2001-07-31,1515.772
2001-08-31,1429.084
2001-09-28,1220.382
2001-10-31,1301.179
2001-11-30,1348.126
2001-12-31,1349.526
2002-01-31,1250.127
2002-02-28,1242.631
2002-03-29,1290.305
2002-04-30,1260.814
2002-05-31,1240.63
2002-06-28,1212.705
2002-07-31,1138.202
2002-08-30,1139.594
2002-09-30,971.086
2002-10-31,1118.951
2002-11-29,1226.609
2002-12-31,1173.772
2003-01-31,1160.595
2003-02-28,1213.086
2003-03-31,1101.394
2003-04-30,1272.147
2003-05-30,1399.363
2003-06-30,1384.907
2003-07-31,1383.554
2003-08-29,1314.327
2003-09-30,1368.749
2003-10-31,1443.5
2003-11-28,1559.819
2003-12-31,1622.019
2004-01-30,1658.519
2004-02-27,1639.112
2004-03-31,1532.399
2004-04-30,1551.871
2004-05-31,1586.166
2004-06-30,1653.336
2004-07-30,1589.638
2004-08-31,1560.381
2004-09-30,1636.508
2004-10-29,1748.371
2004-11-30,1876.001
2004-12-31,2051.366
2005-01-31,2014.688
2005-02-28,2063.177
2005-03-31,2045.545
2005-04-29,1964.394
2005-05-31,1940.45
2005-06-30,1943.023
2005-07-29,2009.99
2005-08-31,1979.568
2005-09-30,2028.859
2005-10-31,1895.166
2005-11-30,1920.747
2005-12-30,2013.307
2006-01-31,2109.603
2006-02-28,2183.479
2006-03-31,2238.769
2006-04-28,2337.737
2006-05-31,2301.476
2006-06-30,2306.05
2006-07-31,2305.133
2006-08-31,2454.335
2006-09-29,2445.395
2006-10-31,2525.387
2006-11-30,2653.105
2006-12-29,2725.213
2007-01-31,2733.384
2007-02-28,2713.667
2007-03-30,2764.144
2007-04-30,3007.72
2007-05-31,2961.137
2007-06-29,2873.71
2007-07-31,2811.576
2007-08-31,2808.508
2007-09-28,2913.31
2007-10-31,3065.283
2007-11-30,2981.986
2007-12-31,2936.032
2008-01-31,2643.526
2008-02-29,2640.936
2008-03-31,2716.314
2008-04-30,2766.808
2008-05-30,2698.169
2008-06-30,2407.562
2008-07-31,2306.161
2008-08-29,2221.756
2008-09-30,2013.116
2008-10-31,1433.3
2008-11-28,1328.33
2008-12-31,1452.676
2009-01-30,1194.992
2009-02-27,980.025
2009-03-31,1100.461
2009-04-30,1301.467
2009-05-29,1487.284
2009-06-30,1429.722
2009-07-31,1556.47
2009-08-31,1613.217
2009-09-30,1741.058
2009-10-30,1727.915
2009-11-30,1787.959
2009-12-31,1851.892
2010-01-29,1727.733
2010-02-26,1624.753
2010-03-31,1752.866
2010-04-30,1629.074
2010-05-31,1428.175
2010-06-30,1386.797
2010-07-30,1595.449
2010-08-31,1446.162
2010-09-30,1659.938
2010-10-29,1804.31
2010-11-30,1608.731
2010-12-31,1807.677
2011-01-31,1970.73
2011-02-28,2010.883
2011-03-31,2023.319
2011-04-29,2177.833
2011-05-31,2043.443
2011-06-30,1943.414
2011-07-29,1838.304
2011-08-31,1527.56
2011-09-30,1261.379
2011-10-31,1442.322
2011-11-30,1412.637
2011-12-30,1328.491
2012-01-31,1430.281
2012-02-29,1506.562
2012-03-30,1482.509
2012-04-30,1383.687
2012-05-31,1140.528
2012-06-29,1225.134
2012-07-31,1248.608
2012-08-31,1311.782
2012-09-28,1325.028
2012-10-31,1346.777
2012-11-30,1360.0
2012-12-31,1375.752
2013-01-31,1423.069
2013-02-28,1315.997
2013-03-29,1307.66
2013-04-30,1401.946
2013-05-31,1447.514
2013-06-28,1288.338
2013-07-31,1455.307
2013-08-30,1449.165
2013-09-30,1554.246
2013-10-31,1692.648
2013-11-29,1658.42
2013-12-31,1672.581
2014-01-31,1699.755
2014-02-28,1799.662
2014-03-31,1957.642
2014-04-30,1969.397
2014-05-30,1931.889
2014-06-30,1836.363
2014-07-31,1731.558
2014-08-29,1703.843
2014-09-30,1692.376
2014-10-31,1576.99
2014-11-28,1613.791
2014-12-31,1496.715
2015-01-30,1496.314
2015-02-27,1685.105
2015-03-31,1712.89
2015-04-30,1745.171
2015-05-29,1809.458
2015-06-30,1781.709
2015-07-31,1880.024
2015-08-31,1772.093
2015-09-30,1708.911
2015-10-30,1785.353
2015-11-30,1711.402
2015-12-31,1669.508
2016-01-29,1356.272
2016-02-29,1250.631
2016-03-31,1339.35
2016-04-29,1368.718
2016-05-31,1312.248
2016-06-30,1104.465
2016-07-29,1195.684
2016-08-31,1246.103
2016-09-30,1204.863
2016-10-31,1265.648
2016-11-30,1256.936
2016-12-30,1353.917
2017-01-31,1375.642
2017-02-28,1384.66
2017-03-31,1459.218
2017-04-28,1519.18
2017-05-31,1588.26
2017-06-30,1584.888
2017-07-31,1715.069
2017-08-31,1796.936
2017-09-29,1891.732
2017-10-31,1921.891
2017-11-30,1870.497
2017-12-29,1880.776
2018-01-31,2091.657
2018-02-28,1944.425
2018-03-30,1903.636
2018-04-30,1967.491
2018-05-31,1919.054
2018-06-29,1856.195
2018-07-31,1864.955
2018-08-31,1767.848
2018-09-28,1788.329
2018-10-31,1565.854
2018-11-30,1531.71
2018-12-31,1431.459
2019-01-31,1642.507
2019-02-28,1636.983
2019-03-29,1660.524
2019-04-30,1733.196
2019-05-31,1618.631
2019-06-28,1818.828
2019-07-31,1783.771
2019-08-30,1742.241
2019-09-30,1715.958
2019-10-31,1820.369
2019-11-29,1880.061
2019-12-31,1877.391
2020-01-31,1870.926
2020-02-28,1724.02
2020-03-31,1537.395
2020-04-30,1635.699
2020-05-29,1720.776
2020-06-30,1790.623
2020-07-31,1880.631
2020-08-31,1958.526
2020-09-30,1947.287
2020-10-30,1872.443
2020-11-30,2196.17
