Date,ITALY GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,119.565
1975-02-28,128.005
1975-03-31,127.712
1975-04-30,126.94
1975-05-30,126.789
1975-06-30,113.025
1975-07-31,101.621
1975-08-29,100.226
1975-09-30,95.41
1975-10-31,98.874
1975-11-28,100.419
1975-12-31,99.474
1976-01-30,95.082
1976-02-27,95.416
1976-03-31,79.454
1976-04-30,71.854
1976-05-31,75.543
1976-06-30,77.822
1976-07-30,78.968
1976-08-31,76.854
1976-09-30,70.81
1976-10-29,62.414
1976-11-30,65.171
1976-12-31,64.732
1977-01-31,61.718
1977-02-28,60.016
1977-03-31,61.084
1977-04-29,59.159
1977-05-31,57.506
1977-06-30,60.934
1977-07-29,58.309
1977-08-31,70.48
1977-09-30,67.665
1977-10-31,63.224
1977-11-30,60.791
1977-12-30,60.482
1978-01-31,64.087
1978-02-28,69.617
1978-03-31,79.04
1978-04-28,80.129
1978-05-31,85.601
1978-06-30,63.912
1978-07-31,64.244
1978-08-31,67.704
1978-09-29,81.294
1978-10-31,76.642
1978-11-30,68.018
1978-12-29,67.872
1979-01-31,70.387
1979-02-28,73.696
1979-03-30,76.692
1979-04-30,72.678
1979-05-31,79.153
1979-06-29,80.58
1979-07-31,85.69
1979-08-31,96.009
1979-09-28,102.445
1979-10-31,91.822
1979-11-30,90.696
1979-12-31,92.215
1980-01-31,105.695
1980-02-29,106.653
1980-03-31,92.477
1980-04-30,103.82
1980-05-30,112.333
1980-06-30,117.791
1980-07-31,138.768
1980-08-29,150.095
1980-09-30,169.969
1980-10-31,192.186
1980-11-28,180.375
1980-12-31,184.477
1981-01-30,222.693
1981-02-27,243.159
1981-03-31,230.416
1981-04-30,233.906
1981-05-29,235.671
1981-06-30,186.206
1981-07-31,167.428
1981-08-31,187.816
1981-09-30,168.578
1981-10-30,156.816
1981-11-30,178.157
1981-12-31,169.926
1982-01-29,163.3
1982-02-26,170.209
1982-03-31,158.369
1982-04-30,150.841
1982-05-31,136.57
1982-06-30,118.478
1982-07-30,127.531
1982-08-31,130.518
1982-09-30,124.371
1982-10-29,120.736
1982-11-30,125.64
1982-12-31,128.753
1983-01-31,141.049
1983-02-28,150.912
1983-03-31,154.488
1983-04-29,146.292
1983-05-31,139.849
1983-06-30,142.67
1983-07-29,142.695
1983-08-31,144.546
1983-09-30,143.655
1983-10-31,135.911
1983-11-30,134.507
1983-12-30,132.234
1984-01-31,149.729
1984-02-29,154.229
1984-03-30,157.076
1984-04-30,148.836
1984-05-31,140.921
1984-06-29,141.805
1984-07-31,138.066
1984-08-31,144.416
1984-09-28,132.677
1984-10-31,134.509
1984-11-30,132.748
1984-12-31,140.334
1985-01-31,159.601
1985-02-28,159.52
1985-03-29,165.265
1985-04-30,170.267
1985-05-31,187.204
1985-06-28,198.462
1985-07-31,216.855
1985-08-30,231.563
1985-09-30,257.308
1985-10-31,268.947
1985-11-29,306.227
1985-12-31,321.569
1986-01-31,348.621
1986-02-28,449.659
1986-03-31,561.625
1986-04-30,645.913
1986-05-30,629.585
1986-06-30,562.242
1986-07-31,676.382
1986-08-29,786.337
1986-09-30,715.745
1986-10-31,780.121
1986-11-28,770.293
1986-12-31,782.771
1987-01-30,792.725
1987-02-27,763.964
1987-03-31,800.256
1987-04-30,868.371
1987-05-29,780.644
1987-06-30,782.536
1987-07-31,773.241
1987-08-31,722.989
1987-09-30,735.45
1987-10-30,663.834
1987-11-30,693.2
1987-12-31,669.518
1988-01-29,616.719
1988-02-29,637.404
1988-03-31,659.514
1988-04-29,640.394
1988-05-31,573.152
1988-06-30,589.883
1988-07-29,598.728
1988-08-31,593.134
1988-09-30,638.586
1988-10-31,703.19
1988-11-30,730.223
1988-12-30,715.683
1989-01-31,682.082
1989-02-28,667.6
1989-03-31,676.685
1989-04-28,666.132
1989-05-31,622.35
1989-06-30,676.306
1989-07-31,749.293
1989-08-31,761.447
1989-09-29,766.826
1989-10-31,711.971
1989-11-30,744.592
1989-12-29,804.27
1990-01-31,790.834
1990-02-28,747.055
1990-03-30,770.376
1990-04-30,797.629
1990-05-31,861.106
1990-06-29,894.423
1990-07-31,912.862
1990-08-31,809.878
1990-09-28,726.969
1990-10-31,765.516
1990-11-30,679.317
1990-12-31,696.014
1991-01-31,698.052
1991-02-28,798.68
1991-03-29,721.227
1991-04-30,721.377
1991-05-31,745.929
1991-06-28,677.082
1991-07-31,675.96
1991-08-30,650.802
1991-09-30,660.585
1991-10-31,623.175
1991-11-29,674.253
1991-12-31,716.928
1992-01-31,737.114
1992-02-28,728.522
1992-03-31,674.263
1992-04-30,682.363
1992-05-29,691.833
1992-06-30,668.503
1992-07-31,645.607
1992-08-31,652.648
1992-09-30,528.503
1992-10-30,612.459
1992-11-30,573.677
1992-12-31,564.126
1993-01-29,626.323
1993-02-26,615.12
1993-03-31,564.875
1993-04-30,682.802
1993-05-31,710.692
1993-06-30,682.574
1993-07-30,687.421
1993-08-31,742.345
1993-09-30,721.252
1993-10-29,691.623
