Date,ITALY GROWTH Standard (Large+Mid Cap)
2001-01-01,1769.871
2001-01-02,1767.834
2001-01-03,1704.568
2001-01-04,1744.913
2001-01-05,1767.855
2001-01-08,1754.359
2001-01-09,1744.222
2001-01-10,1756.043
2001-01-11,1810.038
2001-01-12,1841.325
2001-01-15,1819.613
2001-01-16,1789.733
2001-01-17,1816.149
2001-01-18,1843.024
2001-01-19,1825.188
2001-01-22,1820.706
2001-01-23,1804.666
2001-01-24,1803.421
2001-01-25,1796.271
2001-01-26,1789.616
2001-01-29,1755.794
2001-01-30,1784.593
2001-01-31,1809.477
2001-02-01,1810.16
2001-02-02,1776.823
2001-02-05,1764.279
2001-02-06,1745.52
2001-02-07,1719.382
2001-02-08,1697.267
2001-02-09,1680.838
2001-02-12,1709.383
2001-02-13,1676.676
2001-02-14,1629.507
2001-02-15,1630.32
2001-02-16,1613.714
2001-02-19,1613.122
2001-02-20,1568.705
2001-02-21,1571.644
2001-02-22,1554.448
2001-02-23,1534.596
2001-02-26,1560.482
2001-02-27,1559.652
2001-02-28,1558.86
2001-03-01,1544.688
2001-03-02,1536.958
2001-03-05,1533.908
2001-03-06,1585.127
2001-03-07,1580.948
2001-03-08,1578.054
2001-03-09,1542.309
2001-03-12,1493.213
2001-03-13,1488.471
2001-03-14,1464.823
2001-03-15,1473.247
2001-03-16,1437.129
2001-03-19,1440.825
2001-03-20,1469.263
2001-03-21,1438.764
2001-03-22,1347.404
2001-03-23,1409.871
2001-03-26,1453.411
2001-03-27,1487.82
2001-03-28,1456.395
2001-03-29,1461.157
2001-03-30,1470.696
2001-04-02,1469.89
2001-04-03,1439.918
2001-04-04,1482.751
2001-04-05,1503.9
2001-04-06,1506.399
2001-04-09,1528.719
2001-04-10,1527.464
2001-04-11,1494.715
2001-04-12,1511.792
2001-04-13,1511.792
2001-04-16,1496.309
2001-04-17,1492.962
2001-04-18,1524.666
2001-04-19,1551.21
2001-04-20,1555.493
2001-04-23,1517.716
2001-04-24,1528.146
2001-04-25,1534.987
2001-04-26,1541.426
2001-04-27,1542.878
2001-04-30,1562.201
2001-05-01,1570.483
2001-05-02,1566.329
2001-05-03,1536.553
2001-05-04,1545.235
2001-05-07,1541.451
2001-05-08,1512.712
2001-05-09,1486.855
2001-05-10,1497.5
2001-05-11,1483.433
2001-05-14,1484.753
2001-05-15,1487.378
2001-05-16,1482.269
2001-05-17,1477.955
2001-05-18,1462.609
2001-05-21,1457.989
2001-05-22,1465.953
2001-05-23,1453.025
2001-05-24,1447.917
2001-05-25,1427.716
2001-05-28,1442.82
2001-05-29,1408.927
2001-05-30,1380.675
2001-05-31,1355.183
2001-06-01,1340.851
2001-06-04,1331.223
2001-06-05,1349.462
2001-06-06,1335.675
2001-06-07,1348.523
2001-06-08,1357.783
2001-06-11,1341.146
2001-06-12,1325.352
2001-06-13,1330.081
2001-06-14,1307.98
2001-06-15,1296.439
2001-06-18,1289.997
2001-06-19,1286.528
2001-06-20,1263.825
2001-06-21,1252.097
2001-06-22,1259.171
2001-06-25,1283.176
2001-06-26,1264.414
2001-06-27,1278.178
2001-06-28,1284.1
2001-06-29,1290.317
2001-07-02,1327.393
2001-07-03,1331.062
2001-07-04,1314.282
2001-07-05,1294.199
2001-07-06,1268.947
2001-07-09,1287.718
2001-07-10,1291.711
2001-07-11,1289.212
2001-07-12,1287.693
2001-07-13,1287.123
2001-07-16,1285.762
2001-07-17,1256.607
2001-07-18,1267.083
2001-07-19,1284.027
2001-07-20,1277.773
2001-07-23,1282.946
2001-07-24,1288.194
2001-07-25,1274.201
2001-07-26,1279.919
2001-07-27,1300.564
2001-07-30,1330.961
2001-07-31,1331.195
2001-08-01,1334.655
2001-08-02,1345.431
2001-08-03,1340.497
2001-08-06,1338.008
2001-08-07,1334.814
2001-08-08,1314.282
2001-08-09,1314.195
2001-08-10,1298.693
2001-08-13,1304.652
2001-08-14,1319.426
2001-08-15,1339.569
2001-08-16,1318.704
2001-08-17,1295.507
2001-08-20,1287.312
2001-08-21,1294.86
2001-08-22,1306.116
2001-08-23,1296.903
2001-08-24,1324.014
2001-08-27,1315.107
2001-08-28,1294.953
2001-08-29,1303.487
2001-08-30,1269.895
2001-08-31,1255.064
2001-09-03,1228.368
2001-09-04,1212.559
2001-09-05,1169.808
2001-09-06,1126.855
2001-09-07,1140.611
2001-09-10,1130.525
2001-09-11,1050.217
2001-09-12,1045.308
2001-09-13,1054.023
2001-09-14,999.32
2001-09-17,1005.382
2001-09-18,986.143
2001-09-19,981.823
2001-09-20,940.474
2001-09-21,894.252
2001-09-24,968.149
2001-09-25,1013.569
2001-09-26,1026.734
2001-09-27,1035.467
2001-09-28,1071.775
2001-10-01,1059.144
2001-10-02,1080.976
2001-10-03,1099.72
2001-10-04,1116.751
2001-10-05,1103.873
2001-10-08,1118.788
2001-10-09,1114.322
2001-10-10,1138.349
2001-10-11,1132.205
2001-10-12,1112.441
2001-10-15,1094.078
2001-10-16,1128.479
2001-10-17,1154.495
2001-10-18,1150.337
2001-10-19,1123.448
2001-10-22,1144.977
2001-10-23,1173.026
2001-10-24,1180.342
2001-10-25,1150.978
2001-10-26,1177.315
2001-10-29,1168.76
2001-10-30,1129.349
2001-10-31,1142.733
2001-11-01,1153.189
2001-11-02,1145.069
2001-11-05,1159.986
2001-11-06,1142.891
2001-11-07,1159.307
2001-11-08,1175.824
2001-11-09,1169.193
2001-11-12,1131.619
2001-11-13,1153.778
2001-11-14,1161.637
2001-11-15,1171.476
2001-11-16,1178.455
2001-11-19,1208.636
2001-11-20,1194.469
2001-11-21,1171.221
2001-11-22,1181.406
2001-11-23,1184.211
2001-11-26,1184.923
2001-11-27,1164.909
2001-11-28,1161.583
2001-11-29,1172.226
2001-11-30,1183.963
2001-12-03,1167.856
2001-12-04,1186.457
2001-12-05,1223.459
2001-12-06,1237.868
2001-12-07,1235.746
2001-12-10,1205.754
2001-12-11,1207.372
2001-12-12,1193.953
2001-12-13,1167.253
2001-12-14,1162.851
2001-12-17,1201.087
2001-12-18,1191.432
2001-12-19,1171.772
2001-12-20,1147.16
2001-12-21,1163.585
2001-12-24,1151.974
2001-12-25,1151.974
2001-12-26,1152.958
2001-12-27,1179.846
2001-12-28,1173.746
2001-12-31,1185.193
2002-01-01,1185.193
2002-01-02,1196.897
2002-01-03,1215.642
2002-01-04,1208.848
2002-01-07,1187.974
2002-01-08,1191.941
2002-01-09,1191.947
2002-01-10,1169.347
2002-01-11,1170.927
2002-01-14,1142.463
2002-01-15,1149.357
2002-01-16,1119.586
2002-01-17,1129.735
2002-01-18,1129.499
2002-01-21,1118.784
2002-01-22,1125.897
2002-01-23,1119.307
2002-01-24,1121.769
2002-01-25,1104.862
2002-01-28,1114.163
2002-01-29,1105.481
2002-01-30,1097.088
2002-01-31,1097.898
2002-02-01,1095.675
2002-02-04,1079.564
2002-02-05,1061.474
2002-02-06,1037.823
2002-02-07,1048.815
2002-02-08,1056.899
2002-02-11,1063.249
2002-02-12,1044.296
2002-02-13,1059.777
2002-02-14,1069.483
2002-02-15,1056.076
2002-02-18,1049.449
2002-02-19,1030.352
2002-02-20,1020.776
2002-02-21,1037.021
2002-02-22,1046.876
2002-02-25,1054.5
2002-02-26,1055.428
2002-02-27,1083.669
2002-02-28,1091.315
2002-03-01,1099.606
2002-03-04,1131.388
2002-03-05,1124.657
2002-03-06,1143.832
2002-03-07,1151.351
2002-03-08,1148.236
2002-03-11,1127.679
2002-03-12,1112.621
2002-03-13,1120.078
2002-03-14,1135.313
2002-03-15,1139.157
2002-03-18,1138.476
2002-03-19,1153.456
2002-03-20,1149.836
2002-03-21,1154.526
2002-03-22,1152.771
2002-03-25,1142.374
2002-03-26,1147.07
2002-03-27,1126.217
2002-03-28,1133.184
2002-03-29,1133.184
2002-04-01,1142.471
2002-04-02,1130.167
2002-04-03,1135.597
2002-04-04,1132.075
2002-04-05,1127.425
2002-04-08,1094.491
2002-04-09,1096.478
2002-04-10,1117.31
2002-04-11,1097.63
2002-04-12,1097.068
2002-04-15,1100.428
2002-04-16,1139.656
2002-04-17,1144.932
2002-04-18,1139.469
2002-04-19,1140.562
2002-04-22,1123.901
2002-04-23,1121.037
2002-04-24,1121.778
2002-04-25,1116.618
2002-04-26,1112.432
2002-04-29,1115.503
2002-04-30,1104.268
2002-05-01,1110.518
2002-05-02,1078.481
2002-05-03,1076.132
2002-05-06,1086.647
2002-05-07,1078.423
2002-05-08,1107.045
2002-05-09,1096.821
2002-05-10,1085.501
2002-05-13,1100.713
2002-05-14,1104.886
2002-05-15,1115.808
2002-05-16,1114.32
2002-05-17,1122.349
2002-05-20,1108.826
2002-05-21,1106.934
2002-05-22,1103.467
2002-05-23,1086.411
2002-05-24,1090.585
2002-05-27,1095.231
2002-05-28,1102.561
2002-05-29,1107.576
2002-05-30,1092.11
2002-05-31,1081.099
2002-06-03,1068.212
2002-06-04,1049.988
2002-06-05,1040.538
2002-06-06,1037.089
2002-06-07,1032.9
2002-06-10,1038.025
2002-06-11,1063.22
2002-06-12,1042.414
2002-06-13,1018.758
2002-06-14,1000.645
2002-06-17,1033.541
2002-06-18,1039.709
2002-06-19,1036.069
2002-06-20,1018.27
2002-06-21,1021.612
2002-06-24,1014.297
2002-06-25,1014.386
2002-06-26,1029.891
2002-06-27,1023.928
2002-06-28,1056.765
2002-07-01,1059.432
2002-07-02,1020.958
2002-07-03,997.252
2002-07-04,1014.929
2002-07-05,1046.298
2002-07-08,1060.813
2002-07-09,1061.497
2002-07-10,1040.88
2002-07-11,1011.896
2002-07-12,1009.339
2002-07-15,989.246
2002-07-16,1012.064
2002-07-17,1034.94
2002-07-18,1041.69
2002-07-19,1015.1
2002-07-22,972.878
2002-07-23,943.353
2002-07-24,935.231
2002-07-25,963.511
2002-07-26,960.82
2002-07-29,983.879
2002-07-30,996.274
2002-07-31,991.781
2002-08-01,971.133
2002-08-02,970.598
2002-08-05,946.186
2002-08-06,955.657
2002-08-07,949.686
2002-08-08,971.611
2002-08-09,988.233
2002-08-12,976.293
2002-08-13,988.707
2002-08-14,968.956
2002-08-15,961.74
2002-08-16,998.815
2002-08-19,1022.161
2002-08-20,1018.134
2002-08-21,1033.085
2002-08-22,1038.424
2002-08-23,1026.479
2002-08-26,1017.196
2002-08-27,1046.005
2002-08-28,1018.025
2002-08-29,994.818
2002-08-30,992.994
2002-09-02,979.816
2002-09-03,959.857
2002-09-04,963.22
2002-09-05,949.477
2002-09-06,963.026
2002-09-09,933.873
2002-09-10,950.766
2002-09-11,965.399
2002-09-12,940.462
2002-09-13,924.841
2002-09-16,922.783
2002-09-17,912.955
2002-09-18,890.722
2002-09-19,885.267
2002-09-20,879.454
2002-09-23,844.845
2002-09-24,841.382
2002-09-25,852.435
2002-09-26,873.81
2002-09-27,868.586
2002-09-30,846.164
2002-10-01,847.216
2002-10-02,868.894
2002-10-03,878.745
2002-10-04,855.156
2002-10-07,856.642
2002-10-08,844.282
2002-10-09,848.046
2002-10-10,875.969
2002-10-11,901.462
2002-10-14,892.33
2002-10-15,931.726
2002-10-16,914.701
2002-10-17,924.435
2002-10-18,922.051
2002-10-21,938.506
2002-10-22,947.573
2002-10-23,928.989
2002-10-24,953.428
2002-10-25,960.58
2002-10-28,977.439
2002-10-29,941.626
2002-10-30,966.538
2002-10-31,975.007
2002-11-01,968.997
2002-11-04,1015.814
2002-11-05,1029.83
2002-11-06,1021.047
2002-11-07,1014.364
2002-11-08,1002.753
2002-11-11,977.19
2002-11-12,991.567
2002-11-13,989.442
2002-11-14,1014.239
2002-11-15,1021.751
2002-11-18,1038.834
2002-11-19,1040.038
2002-11-20,1037.21
2002-11-21,1056.089
2002-11-22,1053.411
2002-11-25,1043.854
2002-11-26,1025.825
2002-11-27,1055.801
2002-11-28,1070.462
2002-11-29,1068.816
2002-12-02,1070.697
2002-12-03,1052.625
2002-12-04,1057.611
2002-12-05,1028.933
2002-12-06,1029.071
2002-12-09,999.41
2002-12-10,1016.313
2002-12-11,1021.86
2002-12-12,1022.753
2002-12-13,1019.299
2002-12-16,1032.223
2002-12-17,1035.372
2002-12-18,1012.762
2002-12-19,997.989
2002-12-20,1019.94
2002-12-23,1014.41
2002-12-24,1018.608
2002-12-25,1018.608
2002-12-26,1021.177
2002-12-27,1007.07
2002-12-30,1015.223
2002-12-31,1019.205
2003-01-01,1019.205
2003-01-02,1033.511
2003-01-03,1043.182
2003-01-06,1059.246
2003-01-07,1043.978
2003-01-08,1036.761
2003-01-09,1050.507
2003-01-10,1050.977
2003-01-13,1063.964
2003-01-14,1069.572
2003-01-15,1055.739
2003-01-16,1060.931
2003-01-17,1032.185
2003-01-20,1021.54
2003-01-21,1006.235
2003-01-22,991.487
2003-01-23,988.081
2003-01-24,985.353
2003-01-27,977.374
2003-01-28,977.326
2003-01-29,990.346
2003-01-30,1000.708
2003-01-31,1007.764
2003-02-03,1022.168
2003-02-04,1002.813
2003-02-05,1016.302
2003-02-06,1006.874
2003-02-07,1011.237
2003-02-10,1002.315
2003-02-11,1030.532
2003-02-12,1026.061
2003-02-13,1029.728
2003-02-14,1035.614
2003-02-17,1039.636
2003-02-18,1055.777
2003-02-19,1036.075
2003-02-20,1037.262
2003-02-21,1060.013
2003-02-24,1059.173
2003-02-25,1020.083
