Date,NORWAY SMALL VALUE Small Cap
1994-05-31,161.328
1994-06-30,156.183
1994-07-29,165.916
1994-08-31,160.639
1994-09-30,149.493
1994-10-31,154.685
1994-11-30,154.991
1994-12-30,164.243
1995-01-31,162.467
1995-02-28,165.505
1995-03-31,165.021
1995-04-28,172.93
1995-05-31,178.41
1995-06-30,190.614
1995-07-31,193.449
1995-08-31,186.876
1995-09-29,197.708
1995-10-31,183.917
1995-11-30,181.829
1995-12-29,187.853
1996-01-31,187.878
1996-02-29,206.141
1996-03-29,206.59
1996-04-30,208.06
1996-05-31,217.941
1996-06-28,223.224
1996-07-31,223.551
1996-08-30,226.098
1996-09-30,224.836
1996-10-31,233.525
1996-11-29,252.144
1996-12-31,261.834
1997-01-31,281.662
1997-02-28,275.408
1997-03-31,288.352
1997-04-30,267.439
1997-05-30,269.053
1997-06-30,271.571
1997-07-31,290.45
1997-08-29,287.162
1997-09-30,301.724
1997-10-31,295.284
1997-11-28,273.757
1997-12-31,275.156
1998-01-30,259.272
1998-02-27,260.083
1998-03-31,269.247
1998-04-30,288.106
1998-05-29,269.724
1998-06-30,253.373
1998-07-31,255.268
1998-08-31,205.19
1998-09-30,190.73
1998-10-30,202.294
1998-11-30,197.322
1998-12-31,193.956
1999-01-29,212.493
1999-02-26,198.48
1999-03-31,206.62
1999-04-30,226.29
1999-05-31,223.121
1999-06-30,230.852
1999-07-30,239.927
1999-08-31,242.8
1999-09-30,237.204
1999-10-29,224.922
1999-11-30,231.15
1999-12-31,254.75
2000-01-31,239.37
2000-02-29,237.035
2000-03-31,230.743
2000-04-28,209.831
2000-05-31,218.778
2000-06-30,236.773
2000-07-31,244.879
2000-08-31,250.954
2000-09-29,237.959
2000-10-31,227.706
2000-11-30,216.067
2000-12-29,224.848
2001-01-31,230.82
2001-02-28,234.626
2001-03-30,216.906
2001-04-30,224.859
2001-05-31,219.771
2001-06-29,211.121
2001-07-31,212.397
2001-08-31,208.881
2001-09-28,182.404
2001-10-31,183.452
2001-11-30,189.767
2001-12-31,197.791
2002-01-31,196.341
2002-02-28,201.755
2002-03-29,215.442
2002-04-30,224.929
2002-05-31,229.424
2002-06-28,221.701
2002-07-31,191.674
2002-08-30,180.925
2002-09-30,158.163
2002-10-31,166.601
2002-11-29,179.009
2002-12-31,178.206
2003-01-31,178.888
2003-02-28,161.238
2003-03-31,166.448
2003-04-30,198.297
2003-05-30,220.645
2003-06-30,218.862
2003-07-31,233.773
2003-08-29,233.787
2003-09-30,234.315
2003-10-31,263.766
2003-11-28,276.959
2003-12-31,304.481
2004-01-30,318.068
2004-02-27,341.356
2004-03-31,325.655
2004-04-30,319.179
2004-05-31,337.24
2004-06-30,361.163
2004-07-30,357.166
2004-08-31,366.5
2004-09-30,411.712
