Date,NORWAY SMALL VALUE Small Cap
1994-05-31,177.84
1994-06-30,172.138
1994-07-29,182.865
1994-08-31,177.049
1994-09-30,164.765
1994-10-31,170.488
1994-11-30,170.824
1994-12-30,181.022
1995-01-31,179.064
1995-02-28,182.412
1995-03-31,181.879
1995-04-28,190.39
1995-05-31,195.742
1995-06-30,209.077
1995-07-31,212.182
1995-08-31,204.973
1995-09-29,216.853
1995-10-31,201.721
1995-11-30,199.431
1995-12-29,206.039
1996-01-31,206.066
1996-02-29,226.096
1996-03-29,226.59
1996-04-30,227.919
1996-05-31,237.727
1996-06-28,243.491
1996-07-31,243.847
1996-08-30,246.625
1996-09-30,245.249
1996-10-31,254.726
1996-11-29,275.036
1996-12-31,285.606
1997-01-31,307.234
1997-02-28,300.412
1997-03-31,314.22
1997-04-30,291.016
1997-05-30,291.714
1997-06-30,294.445
1997-07-31,314.664
1997-08-29,311.102
1997-09-30,326.878
1997-10-31,319.901
1997-11-28,296.58
1997-12-31,298.095
1998-01-30,280.886
1998-02-27,281.766
1998-03-31,291.362
1998-04-30,311.302
1998-05-29,290.566
1998-06-30,272.934
1998-07-31,274.976
1998-08-31,221.032
1998-09-30,205.455
1998-10-30,217.912
1998-11-30,212.556
1998-12-31,208.931
1999-01-29,228.898
1999-02-26,213.804
1999-03-31,222.511
1999-04-30,243.364
1999-05-31,239.665
1999-06-30,247.935
1999-07-30,257.681
1999-08-31,260.766
1999-09-30,254.756
1999-10-29,241.566
1999-11-30,248.254
1999-12-31,273.601
2000-01-31,257.083
2000-02-29,254.575
2000-03-31,247.817
2000-04-28,225.221
2000-05-31,234.401
2000-06-30,253.663
2000-07-31,262.346
2000-08-31,268.855
2000-09-29,254.933
2000-10-31,243.949
2000-11-30,231.48
2000-12-29,240.887
2001-01-31,247.285
2001-02-28,251.362
2001-03-30,232.378
2001-04-30,240.518
2001-05-31,234.64
2001-06-29,225.345
2001-07-31,226.707
2001-08-31,222.955
2001-09-28,194.694
2001-10-31,195.813
2001-11-30,202.553
2001-12-31,211.118
2002-01-31,209.57
2002-02-28,215.349
2002-03-29,229.389
2002-04-30,239.247
2002-05-31,243.333
2002-06-28,235.143
2002-07-31,203.295
2002-08-30,191.894
2002-09-30,167.752
2002-10-31,176.702
2002-11-29,189.861
2002-12-31,189.01
2003-01-31,189.734
2003-02-28,171.013
2003-03-31,176.494
2003-04-30,208.681
2003-05-30,231.608
2003-06-30,229.737
2003-07-31,245.388
2003-08-29,245.327
2003-09-30,245.881
2003-10-31,276.785
2003-11-28,290.168
2003-12-31,318.811
