Date,NORWAY SMALL VALUE Small Cap
2001-01-01,240.887
2001-01-02,247.952
2001-01-03,241.865
2001-01-04,244.544
2001-01-05,247.982
2001-01-08,248.724
2001-01-09,247.258
2001-01-10,247.333
2001-01-11,251.331
2001-01-12,252.649
2001-01-15,250.375
2001-01-16,249.144
2001-01-17,247.49
2001-01-18,251.226
2001-01-19,251.194
2001-01-22,248.676
2001-01-23,248.322
2001-01-24,244.26
2001-01-25,241.401
2001-01-26,242.616
2001-01-29,243.08
2001-01-30,246.054
2001-01-31,247.285
2001-02-01,251.34
2001-02-02,251.442
2001-02-05,252.255
2001-02-06,251.584
2001-02-07,251.865
2001-02-08,247.184
2001-02-09,248.873
2001-02-12,248.668
2001-02-13,248.834
2001-02-14,248.538
2001-02-15,242.664
2001-02-16,246.507
2001-02-19,249.419
2001-02-20,245.892
2001-02-21,244.728
2001-02-22,244.967
2001-02-23,244.648
2001-02-26,246.598
2001-02-27,248.414
2001-02-28,251.362
2001-03-01,248.928
2001-03-02,252.289
2001-03-05,251.322
2001-03-06,251.317
2001-03-07,250.67
2001-03-08,253.135
2001-03-09,252.074
2001-03-12,249.512
2001-03-13,241.637
2001-03-14,237.452
2001-03-15,237.366
2001-03-16,235.527
2001-03-19,234.172
2001-03-20,237.572
2001-03-21,233.508
2001-03-22,225.716
2001-03-23,225.329
2001-03-26,229.981
2001-03-27,231.8
2001-03-28,229.14
2001-03-29,229.517
2001-03-30,232.378
2001-04-02,230.836
2001-04-03,227.621
2001-04-04,229.126
2001-04-05,230.681
2001-04-06,233.815
2001-04-09,235.004
2001-04-10,237.526
2001-04-11,237.186
2001-04-12,239.438
2001-04-13,239.438
2001-04-16,236.999
2001-04-17,236.785
2001-04-18,235.756
2001-04-19,236.8
2001-04-20,238.332
2001-04-23,237.305
2001-04-24,237.503
2001-04-25,237.887
2001-04-26,238.484
2001-04-27,240.027
2001-04-30,240.518
2001-05-01,241.938
2001-05-02,240.929
2001-05-03,240.532
2001-05-04,239.378
2001-05-07,239.43
2001-05-08,240.791
2001-05-09,242.875
2001-05-10,242.278
2001-05-11,239.753
2001-05-14,235.266
2001-05-15,239.486
2001-05-16,238.085
2001-05-17,238.108
2001-05-18,241.064
2001-05-21,244.395
2001-05-22,242.083
2001-05-23,238.896
2001-05-24,239.01
2001-05-25,239.672
2001-05-28,240.666
2001-05-29,237.781
2001-05-30,237.965
2001-05-31,234.64
2001-06-01,234.184
2001-06-04,234.31
2001-06-05,236.789
2001-06-06,236.088
2001-06-07,236.158
2001-06-08,236.076
2001-06-11,231.615
2001-06-12,228.307
2001-06-13,232.613
2001-06-14,232.347
2001-06-15,232.315
2001-06-18,231.799
2001-06-19,233.816
2001-06-20,230.443
2001-06-21,231.407
2001-06-22,230.161
2001-06-25,230.007
2001-06-26,228.938
2001-06-27,228.435
2001-06-28,226.303
2001-06-29,225.345
2001-07-02,223.518
2001-07-03,224.297
2001-07-04,224.032
2001-07-05,222.009
2001-07-06,228.18
2001-07-09,223.99
2001-07-10,223.857
2001-07-11,224.732
2001-07-12,222.222
2001-07-13,220.446
2001-07-16,219.25
2001-07-17,217.387
2001-07-18,221.841
2001-07-19,222.517
2001-07-20,222.63
2001-07-23,222.535
2001-07-24,222.675
2001-07-25,221.728
2001-07-26,223.777
2001-07-27,224.605
2001-07-30,225.43
2001-07-31,226.707
2001-08-01,226.449
2001-08-02,228.823
2001-08-03,229.69
2001-08-06,227.418
2001-08-07,227.07
2001-08-08,227.688
2001-08-09,226.299
2001-08-10,229.671
2001-08-13,229.051
2001-08-14,227.14
2001-08-15,228.881
2001-08-16,228.255
2001-08-17,227.565
2001-08-20,227.364
2001-08-21,229.04
2001-08-22,230.376
2001-08-23,226.3
2001-08-24,228.562
2001-08-27,227.147
2001-08-28,226.646
2001-08-29,224.791
2001-08-30,224.874
2001-08-31,222.955
2001-09-03,222.674
2001-09-04,221.42
2001-09-05,221.322
2001-09-06,221.451
2001-09-07,222.802
2001-09-10,218.551
2001-09-11,220.391
2001-09-12,211.462
2001-09-13,212.129
2001-09-14,210.227
2001-09-17,208.796
2001-09-18,210.425
2001-09-19,202.914
2001-09-20,195.791
2001-09-21,187.486
2001-09-24,190.284
2001-09-25,195.001
2001-09-26,194.644
2001-09-27,194.95
2001-09-28,194.694
2001-10-01,196.806
2001-10-02,196.129
2001-10-03,196.412
2001-10-04,192.948
2001-10-05,194.887
2001-10-08,194.673
2001-10-09,194.678
2001-10-10,193.26
2001-10-11,193.259
2001-10-12,194.139
2001-10-15,193.28
2001-10-16,194.588
2001-10-17,198.173
2001-10-18,198.263
2001-10-19,198.03
2001-10-22,197.147
2001-10-23,196.377
2001-10-24,197.745
2001-10-25,194.548
2001-10-26,195.735
2001-10-29,197.766
2001-10-30,196.71
2001-10-31,195.813
2001-11-01,198.241
2001-11-02,198.199
2001-11-05,195.748
2001-11-06,196.534
2001-11-07,197.558
2001-11-08,199.335
2001-11-09,201.033
2001-11-12,197.94
2001-11-13,198.133
2001-11-14,199.617
2001-11-15,198.023
2001-11-16,198.366
2001-11-19,197.419
2001-11-20,202.657
2001-11-21,194.631
2001-11-22,197.982
2001-11-23,196.514
2001-11-26,197.494
2001-11-27,195.307
2001-11-28,197.236
2001-11-29,199.31
2001-11-30,202.553
2001-12-03,200.707
2001-12-04,202.713
2001-12-05,203.648
2001-12-06,204.998
2001-12-07,203.593
2001-12-10,203.225
2001-12-11,203.806
2001-12-12,205.496
2001-12-13,204.619
2001-12-14,205.325
2001-12-17,203.246
2001-12-18,203.726
2001-12-19,204.069
2001-12-20,207.053
2001-12-21,206.111
2001-12-24,203.479
2001-12-25,203.479
2001-12-26,203.756
2001-12-27,209.667
2001-12-28,209.759
2001-12-31,211.118
2002-01-01,211.118
2002-01-02,213.799
2002-01-03,213.87
2002-01-04,210.909
2002-01-07,210.224
2002-01-08,207.099
2002-01-09,210.6
2002-01-10,211.472
2002-01-11,211.835
2002-01-14,211.007
2002-01-15,209.776
2002-01-16,206.779
2002-01-17,205.615
2002-01-18,205.135
2002-01-21,206.757
2002-01-22,211.501
2002-01-23,210.763
2002-01-24,210.703
2002-01-25,208.057
2002-01-28,207.858
2002-01-29,208.537
2002-01-30,208.069
2002-01-31,209.57
2002-02-01,208.549
2002-02-04,208.993
2002-02-05,208.22
2002-02-06,208.829
2002-02-07,209.131
2002-02-08,209.93
2002-02-11,210.106
2002-02-12,210.284
2002-02-13,209.309
2002-02-14,212.024
2002-02-15,212.784
2002-02-18,212.477
2002-02-19,212.275
2002-02-20,211.959
2002-02-21,212.174
2002-02-22,212.216
2002-02-25,210.784
2002-02-26,212.068
2002-02-27,213.154
2002-02-28,215.349
2002-03-01,217.678
2002-03-04,219.787
2002-03-05,220.099
2002-03-06,219.146
2002-03-07,224.25
2002-03-08,225.854
2002-03-11,225.311
2002-03-12,225.17
2002-03-13,224.408
2002-03-14,224.859
2002-03-15,225.81
2002-03-18,226.462
2002-03-19,230.043
2002-03-20,230.465
2002-03-21,229.195
2002-03-22,228.166
2002-03-25,227.159
2002-03-26,228.1
2002-03-27,229.273
2002-03-28,229.389
2002-03-29,229.389
2002-04-01,231.12
2002-04-02,234.54
2002-04-03,234.376
2002-04-04,232.645
2002-04-05,232.955
2002-04-08,230.891
2002-04-09,231.613
2002-04-10,231.989
2002-04-11,234.114
2002-04-12,232.372
2002-04-15,233.109
2002-04-16,234.397
2002-04-17,235.052
2002-04-18,236.973
2002-04-19,238.895
2002-04-22,237.778
2002-04-23,238.056
2002-04-24,238.674
2002-04-25,239.094
2002-04-26,239.917
2002-04-29,238.653
2002-04-30,239.247
2002-05-01,240.722
2002-05-02,243.461
2002-05-03,245.828
2002-05-06,244.182
2002-05-07,239.913
2002-05-08,241.819
2002-05-09,242.246
2002-05-10,242.445
2002-05-13,242.127
2002-05-14,242.644
2002-05-15,246.064
2002-05-16,248.507
2002-05-17,251.163
2002-05-20,251.903
2002-05-21,250.393
2002-05-22,251.643
2002-05-23,248.942
2002-05-24,248.213
2002-05-27,246.087
2002-05-28,248.702
2002-05-29,246.416
2002-05-30,244.96
2002-05-31,243.333
2002-06-03,248.022
2002-06-04,243.448
2002-06-05,243.489
2002-06-06,246.595
2002-06-07,239.598
2002-06-10,241.744
2002-06-11,240.488
2002-06-12,240.604
2002-06-13,239.294
2002-06-14,234.013
2002-06-17,238.337
2002-06-18,239.478
2002-06-19,241.86
2002-06-20,237.164
2002-06-21,235.42
2002-06-24,234.961
2002-06-25,236.495
2002-06-26,228.005
2002-06-27,231.003
2002-06-28,235.143
2002-07-01,238.265
2002-07-02,236.375
2002-07-03,230.881
2002-07-04,232.567
2002-07-05,232.068
2002-07-08,236.981
2002-07-09,236.673
2002-07-10,235.181
2002-07-11,233.036
2002-07-12,231.579
2002-07-15,232.284
2002-07-16,232.351
2002-07-17,232.595
2002-07-18,232.285
2002-07-19,227.563
2002-07-22,217.532
2002-07-23,205.895
2002-07-24,195.032
2002-07-25,202.861
2002-07-26,200.854
2002-07-29,202.023
2002-07-30,207.873
2002-07-31,203.295
2002-08-01,201.63
2002-08-02,199.158
2002-08-05,194.797
2002-08-06,189.537
2002-08-07,191.127
2002-08-08,191.046
2002-08-09,193.444
2002-08-12,193.907
2002-08-13,193.929
2002-08-14,194.446
2002-08-15,191.052
2002-08-16,191.802
2002-08-19,189.755
2002-08-20,189.694
2002-08-21,192.975
2002-08-22,196.477
2002-08-23,194.282
2002-08-26,193.156
2002-08-27,193.648
2002-08-28,192.265
2002-08-29,190.38
2002-08-30,191.894
2002-09-02,193.126
2002-09-03,190.353
2002-09-04,188.702
2002-09-05,185.345
2002-09-06,185.198
2002-09-09,183.412
2002-09-10,182.517
2002-09-11,184.675
2002-09-12,186.116
2002-09-13,185.784
2002-09-16,182.748
2002-09-17,182.296
2002-09-18,177.344
2002-09-19,172.397
2002-09-20,171.075
2002-09-23,168.057
2002-09-24,164.018
2002-09-25,165.438
2002-09-26,168.551
2002-09-27,168.137
2002-09-30,167.752
2002-10-01,167.742
2002-10-02,167.586
2002-10-03,169.731
2002-10-04,168.424
2002-10-07,165.873
2002-10-08,164.173
2002-10-09,165.398
2002-10-10,165.864
2002-10-11,172.897
2002-10-14,174.075
2002-10-15,181.903
2002-10-16,180.57
2002-10-17,179.537
2002-10-18,176.59
2002-10-21,176.245
2002-10-22,176.328
2002-10-23,173.506
2002-10-24,174.874
2002-10-25,174.209
2002-10-28,176.344
2002-10-29,171.978
2002-10-30,172.716
2002-10-31,176.702
2002-11-01,176.722
2002-11-04,181.57
2002-11-05,182.3
2002-11-06,182.894
2002-11-07,184.907
2002-11-08,184.494
2002-11-11,182.468
2002-11-12,180.985
2002-11-13,179.984
2002-11-14,179.844
2002-11-15,181.01
2002-11-18,182.201
2002-11-19,181.333
2002-11-20,179.748
2002-11-21,180.642
2002-11-22,180.748
2002-11-25,180.393
2002-11-26,182.206
2002-11-27,183.118
2002-11-28,187.023
2002-11-29,189.861
2002-12-02,193.675
2002-12-03,189.569
2002-12-04,189.262
2002-12-05,187.624
2002-12-06,183.05
2002-12-09,182.662
2002-12-10,182.6
2002-12-11,183.787
2002-12-12,183.709
2002-12-13,183.082
2002-12-16,183.688
2002-12-17,186.28
2002-12-18,186.487
2002-12-19,187.825
2002-12-20,188.895
2002-12-23,187.64
2002-12-24,188.499
2002-12-25,188.499
2002-12-26,188.702
2002-12-27,188.888
2002-12-30,188.142
2002-12-31,189.01
2003-01-01,189.01
2003-01-02,191.569
2003-01-03,196.536
2003-01-06,196.62
2003-01-07,197.291
2003-01-08,193.643
2003-01-09,196.343
2003-01-10,198.771
2003-01-13,202.212
2003-01-14,200.252
2003-01-15,203.668
2003-01-16,205.178
