Date,NORWAY SMALL VALUE Small Cap
2001-01-01,224.848
2001-01-02,231.442
2001-01-03,225.761
2001-01-04,228.262
2001-01-05,231.47
2001-01-08,232.163
2001-01-09,230.795
2001-01-10,230.865
2001-01-11,234.596
2001-01-12,235.827
2001-01-15,233.704
2001-01-16,232.555
2001-01-17,231.011
2001-01-18,234.499
2001-01-19,234.469
2001-01-22,232.118
2001-01-23,231.788
2001-01-24,227.997
2001-01-25,225.327
2001-01-26,226.462
2001-01-29,226.895
2001-01-30,229.671
2001-01-31,230.82
2001-02-01,234.605
2001-02-02,234.701
2001-02-05,235.46
2001-02-06,234.833
2001-02-07,235.095
2001-02-08,230.726
2001-02-09,232.303
2001-02-12,232.111
2001-02-13,232.266
2001-02-14,231.99
2001-02-15,226.507
2001-02-16,230.094
2001-02-19,232.812
2001-02-20,229.52
2001-02-21,228.433
2001-02-22,228.656
2001-02-23,228.359
2001-02-26,230.179
2001-02-27,231.874
2001-02-28,234.626
2001-03-01,232.354
2001-03-02,235.491
2001-03-05,234.588
2001-03-06,234.584
2001-03-07,233.98
2001-03-08,236.281
2001-03-09,235.29
2001-03-12,232.899
2001-03-13,225.548
2001-03-14,221.641
2001-03-15,221.562
2001-03-16,219.845
2001-03-19,218.58
2001-03-20,221.754
2001-03-21,217.961
2001-03-22,210.687
2001-03-23,210.326
2001-03-26,214.669
2001-03-27,216.366
2001-03-28,213.884
2001-03-29,214.235
2001-03-30,216.906
2001-04-02,215.466
2001-04-03,212.465
2001-04-04,213.87
2001-04-05,215.344
2001-04-06,218.27
2001-04-09,219.38
2001-04-10,221.734
2001-04-11,221.416
2001-04-12,223.518
2001-04-13,223.518
2001-04-16,221.242
2001-04-17,221.042
2001-04-18,220.081
2001-04-19,221.161
2001-04-20,222.592
2001-04-23,221.633
2001-04-24,221.818
2001-04-25,222.238
2001-04-26,222.8
2001-04-27,224.382
2001-04-30,224.859
2001-05-01,226.187
2001-05-02,225.243
2001-05-03,224.872
2001-05-04,223.838
2001-05-07,223.886
2001-05-08,225.17
2001-05-09,227.148
2001-05-10,226.589
2001-05-11,224.417
2001-05-14,220.217
2001-05-15,224.167
2001-05-16,222.974
2001-05-17,222.996
2001-05-18,225.764
2001-05-21,228.883
2001-05-22,226.719
2001-05-23,223.757
2001-05-24,223.864
2001-05-25,224.483
2001-05-28,225.414
2001-05-29,222.712
2001-05-30,222.884
2001-05-31,219.771
2001-06-01,219.343
2001-06-04,219.461
2001-06-05,221.842
2001-06-06,221.185
2001-06-07,221.25
2001-06-08,221.174
2001-06-11,216.994
2001-06-12,213.895
2001-06-13,217.929
2001-06-14,217.681
2001-06-15,217.65
2001-06-18,217.167
2001-06-19,219.057
2001-06-20,215.896
2001-06-21,216.799
2001-06-22,215.632
2001-06-25,215.488
2001-06-26,214.487
2001-06-27,214.015
2001-06-28,212.018
2001-06-29,211.121
2001-07-02,209.408
2001-07-03,210.139
2001-07-04,209.891
2001-07-05,207.995
2001-07-06,213.776
2001-07-09,209.851
2001-07-10,209.726
2001-07-11,210.546
2001-07-12,208.194
2001-07-13,206.53
2001-07-16,205.41
2001-07-17,203.664
2001-07-18,207.838
2001-07-19,208.471
2001-07-20,208.577
2001-07-23,208.488
2001-07-24,208.618
2001-07-25,207.732
2001-07-26,209.651
2001-07-27,210.426
2001-07-30,211.2
2001-07-31,212.397
2001-08-01,212.155
2001-08-02,214.379
2001-08-03,215.191
2001-08-06,213.063
2001-08-07,212.736
2001-08-08,213.315
2001-08-09,212.014
2001-08-10,215.173
2001-08-13,214.593
2001-08-14,212.802
2001-08-15,214.433
2001-08-16,213.846
