Date,SINGAPORE LARGE CAP Large Cap
2001-01-01,505.9
2001-01-02,498.563
2001-01-03,492.008
2001-01-04,500.169
2001-01-05,515.432
2001-01-08,506.205
2001-01-09,512.547
2001-01-10,507.062
2001-01-11,497.374
2001-01-12,501.641
2001-01-15,504.569
2001-01-16,500.227
2001-01-17,499.524
2001-01-18,491.511
2001-01-19,496.602
2001-01-22,493.808
2001-01-23,493.301
2001-01-24,493.301
2001-01-25,493.755
2001-01-26,491.54
2001-01-29,497.28
2001-01-30,499.384
2001-01-31,507.922
2001-02-01,505.113
2001-02-02,500.544
2001-02-05,496.989
2001-02-06,496.877
2001-02-07,498.804
2001-02-08,511.606
2001-02-09,508.277
2001-02-12,513.145
2001-02-13,514.05
2001-02-14,506.456
2001-02-15,504.627
2001-02-16,504.286
2001-02-19,498.897
2001-02-20,504.224
2001-02-21,500.822
2001-02-22,494.235
2001-02-23,494.625
2001-02-26,500.973
2001-02-27,495.398
2001-02-28,498.141
2001-03-01,490.324
2001-03-02,491.117
2001-03-05,487.157
2001-03-06,487.574
2001-03-07,486.273
2001-03-08,484.594
2001-03-09,484.455
2001-03-12,473.302
2001-03-13,455.094
2001-03-14,453.664
2001-03-15,448.226
2001-03-16,440.089
2001-03-19,428.768
2001-03-20,427.569
2001-03-21,425.453
2001-03-22,414.908
2001-03-23,426.824
2001-03-26,418.715
2001-03-27,399.229
2001-03-28,396.109
2001-03-29,386.605
2001-03-30,397.533
2001-04-02,386.026
2001-04-03,387.48
2001-04-04,384.949
2001-04-05,396.389
2001-04-06,392.419
2001-04-09,372.092
2001-04-10,376.455
2001-04-11,377.534
2001-04-12,369.438
2001-04-13,369.438
2001-04-16,369.525
2001-04-17,365.585
2001-04-18,376.462
2001-04-19,382.68
2001-04-20,384.26
2001-04-23,393.249
2001-04-24,389.996
2001-04-25,386.876
2001-04-26,384.769
2001-04-27,389.841
2001-04-30,398.072
2001-05-01,399.718
2001-05-02,398.19
2001-05-03,396.604
2001-05-04,388.749
2001-05-07,388.216
2001-05-08,383.658
2001-05-09,380.736
2001-05-10,383.489
2001-05-11,387.865
2001-05-14,379.842
2001-05-15,382.067
2001-05-16,379.427
2001-05-17,384.217
2001-05-18,382.449
2001-05-21,381.215
2001-05-22,382.322
2001-05-23,383.721
2001-05-24,385.799
2001-05-25,379.291
2001-05-28,376.363
2001-05-29,380.318
2001-05-30,375.866
2001-05-31,375.402
2001-06-01,375.067
2001-06-04,379.839
2001-06-05,386.848
2001-06-06,385.309
2001-06-07,385.18
2001-06-08,393.965
2001-06-11,387.916
2001-06-12,384.538
2001-06-13,384.079
2001-06-14,386.35
2001-06-15,389.78
2001-06-18,390.104
2001-06-19,386.635
2001-06-20,382.559
2001-06-21,378.114
2001-06-22,385.921
2001-06-25,378.055
2001-06-26,379.378
2001-06-27,375.915
2001-06-28,381.304
2001-06-29,384.619
2001-07-02,378.113
2001-07-03,378.113
2001-07-04,376.571
2001-07-05,375.06
2001-07-06,369.173
2001-07-09,367.584
2001-07-10,373.085
2001-07-11,370.97
2001-07-12,370.97
2001-07-13,365.466
2001-07-16,364.022
2001-07-17,360.922
2001-07-18,358.18
2001-07-19,358.736
2001-07-20,364.854
2001-07-23,362.255
2001-07-24,364.237
2001-07-25,364.473
2001-07-26,368.371
2001-07-27,369.478
2001-07-30,374.021
2001-07-31,380.503
2001-08-01,381.269
2001-08-02,383.621
2001-08-03,380.717
2001-08-06,382.4
2001-08-07,386.081
2001-08-08,384.38
2001-08-09,384.401
2001-08-10,389.875
2001-08-13,387.623
2001-08-14,392.109
2001-08-15,395.623
2001-08-16,395.08
2001-08-17,390.989
2001-08-20,387.678
2001-08-21,390.702
2001-08-22,392.185
2001-08-23,394.146
2001-08-24,391.913
2001-08-27,397.412
2001-08-28,396.087
2001-08-29,398.259
2001-08-30,395.43
2001-08-31,404.19
2001-09-03,403.015
2001-09-04,403.656
2001-09-05,401.375
2001-09-06,392.817
2001-09-07,383.801
2001-09-10,379.097
2001-09-11,384.697
2001-09-12,367.974
2001-09-13,366.917
2001-09-14,357.564
2001-09-17,338.073
2001-09-18,335.431
2001-09-19,336.896
2001-09-20,330.961
2001-09-21,312.686
2001-09-24,323.154
2001-09-25,318.912
2001-09-26,317.109
2001-09-27,325.451
2001-09-28,328.789
2001-10-01,332.934
2001-10-02,336.588
2001-10-03,332.237
2001-10-04,341.813
2001-10-05,340.858
2001-10-08,331.125
2001-10-09,336.622
2001-10-10,328.573
2001-10-11,333.644
2001-10-12,340.939
2001-10-15,344.915
2001-10-16,345.851
2001-10-17,347.37
2001-10-18,337.735
2001-10-19,332.056
2001-10-22,330.801
2001-10-23,335.176
2001-10-24,337.061
2001-10-25,334.064
2001-10-26,334.749
2001-10-29,330.683
2001-10-30,329.89
2001-10-31,325.075
2001-11-01,319.58
2001-11-02,319.178
2001-11-05,316.819
2001-11-06,316.723
2001-11-07,314.168
2001-11-08,315.263
2001-11-09,320.816
2001-11-12,323.003
2001-11-13,321.116
2001-11-14,321.116
2001-11-15,335.154
2001-11-16,331.042
2001-11-19,337.783
2001-11-20,335.877
2001-11-21,340.852
2001-11-22,337.179
2001-11-23,338.74
2001-11-26,344.656
2001-11-27,352.978
2001-11-28,346.211
2001-11-29,338.203
2001-11-30,345.606
2001-12-03,347.367
2001-12-04,355.482
2001-12-05,368.423
2001-12-06,378.334
2001-12-07,381.813
2001-12-10,378.806
2001-12-11,373.596
2001-12-12,371.965
2001-12-13,366.32
2001-12-14,360.369
2001-12-17,360.056
2001-12-18,364.839
2001-12-19,368.205
2001-12-20,367.093
2001-12-21,363.386
2001-12-24,364.238
2001-12-25,364.238
2001-12-26,363.834
2001-12-27,368.401
2001-12-28,373.059
2001-12-31,373.628
2002-01-01,373.628
2002-01-02,372.52
2002-01-03,379.571
2002-01-04,383.772
2002-01-07,389.794
2002-01-08,391.53
2002-01-09,387.912
2002-01-10,391.099
2002-01-11,388.189
2002-01-14,396.718
2002-01-15,389.379
2002-01-16,384.301
2002-01-17,379.596
2002-01-18,380.019
2002-01-21,383.506
2002-01-22,380.24
2002-01-23,381.136
2002-01-24,380.17
2002-01-25,398.5
2002-01-28,408.788
2002-01-29,406.561
2002-01-30,403.404
2002-01-31,409.792
2002-02-01,409.998
2002-02-04,406.667
2002-02-05,398.99
2002-02-06,404.725
2002-02-07,397.914
2002-02-08,402.577
2002-02-11,402.712
