Date,SINGAPORE LARGE CAP Large Cap
1994-05-31,567.977
1994-06-30,554.265
1994-07-29,567.237
1994-08-31,585.976
1994-09-30,591.034
1994-10-31,605.843
1994-11-30,573.413
1994-12-30,564.524
1995-01-31,540.512
1995-02-28,554.023
1995-03-31,563.839
1995-04-28,572.388
1995-05-31,612.511
1995-06-30,582.767
1995-07-31,591.163
1995-08-31,563.407
1995-09-29,579.298
1995-10-31,589.374
1995-11-30,602.505
1995-12-29,639.495
1996-01-31,713.297
1996-02-29,713.368
1996-03-29,695.898
1996-04-30,698.655
1996-05-31,699.464
1996-06-28,694.938
1996-07-31,642.161
1996-08-30,664.81
1996-09-30,656.186
1996-10-31,631.46
1996-11-29,665.04
1996-12-31,680.516
1997-01-31,702.199
1997-02-28,681.756
1997-03-31,610.552
1997-04-30,566.055
1997-05-30,599.257
1997-06-30,598.23
1997-07-31,599.918
1997-08-29,454.773
1997-09-30,473.507
1997-10-31,403.471
1997-11-28,436.578
1997-12-31,411.227
1998-01-30,372.995
1998-02-27,436.924
1998-03-31,415.181
1998-04-30,389.868
1998-05-29,321.551
1998-06-30,289.834
1998-07-31,298.609
1998-08-31,262.435
1998-09-30,307.702
1998-10-30,363.066
1998-11-30,404.072
1998-12-31,407.627
1999-01-29,378.808
1999-02-26,380.794
1999-03-31,388.61
1999-04-30,512.395
1999-05-31,469.074
1999-06-30,506.323
1999-07-30,515.421
1999-08-31,510.779
1999-09-30,516.486
1999-10-29,541.208
1999-11-30,567.689
1999-12-31,626.023
2000-01-31,573.266
2000-02-29,549.786
2000-03-31,542.498
2000-04-28,565.411
2000-05-31,482.865
2000-06-30,540.122
2000-07-31,527.155
2000-08-31,556.166
2000-09-29,515.11
2000-10-31,519.514
2000-11-30,507.898
2000-12-29,505.9
2001-01-31,507.922
2001-02-28,498.141
2001-03-30,397.533
2001-04-30,398.072
2001-05-31,375.402
2001-06-29,384.619
2001-07-31,380.503
2001-08-31,404.19
2001-09-28,328.789
2001-10-31,325.075
2001-11-30,345.606
2001-12-31,373.628
2002-01-31,409.792
2002-02-28,392.463
2002-03-29,413.793
2002-04-30,400.702
2002-05-31,401.326
2002-06-28,367.849
2002-07-31,364.866
2002-08-30,367.562
2002-09-30,329.575
2002-10-31,365.254
2002-11-29,336.294
2002-12-31,332.407
2003-01-31,314.783
2003-02-28,307.104
2003-03-31,301.342
2003-04-30,302.176
2003-05-30,327.29
2003-06-30,346.133
2003-07-31,372.99
2003-08-29,387.993
2003-09-30,400.747
2003-10-31,424.735
2003-11-28,422.492
2003-12-31,442.364
2004-01-30,460.51
2004-02-27,471.091
2004-03-31,464.835
2004-04-30,458.64
2004-05-31,447.551
2004-06-30,452.487
2004-07-30,470.412
2004-08-31,480.818
2004-09-30,502.806
2004-10-29,504.322
2004-11-30,511.514
2004-12-31,520.352
2005-01-31,528.476
2005-02-28,526.238
2005-03-31,524.275
2005-04-29,517.4
2005-05-31,517.225
2005-06-30,523.46
2005-07-29,566.798
2005-08-31,541.391
2005-09-30,538.131
2005-10-31,519.992
2005-11-30,550.367
2005-12-30,569.282
2006-01-31,595.309
2006-02-28,609.143
2006-03-31,610.617
2006-04-28,658.707
2006-05-31,615.173
2006-06-30,638.532
2006-07-31,637.666
2006-08-31,654.439
2006-09-29,671.792
2006-10-31,732.158
2006-11-30,787.016
2006-12-29,847.218
2007-01-31,861.811
2007-02-28,861.177
2007-03-30,905.786
2007-04-30,938.171
2007-05-31,1000.0
2007-06-29,980.913
2007-07-31,997.681
2007-08-31,964.586
2007-09-28,1067.81
2007-10-31,1105.478
2007-11-30,1024.483
2007-12-31,1023.081
2008-01-31,894.578
2008-02-29,927.016
2008-03-31,942.144
2008-04-30,1012.051
2008-05-30,1025.825
2008-06-30,953.777
2008-07-31,950.932
2008-08-29,880.849
2008-09-30,760.256
2008-10-31,537.485
2008-11-28,524.596
2008-12-31,557.152
2009-01-30,522.164
2009-02-27,465.052
2009-03-31,497.423
2009-04-30,586.105
2009-05-29,734.498
2009-06-30,724.034
2009-07-31,843.284
2009-08-31,812.292
2009-09-30,852.268
2009-10-30,845.928
2009-11-30,890.014
2009-12-31,941.99
2010-01-29,880.625
2010-02-26,884.877
2010-03-31,920.085
2010-04-30,967.793
2010-05-31,882.687
2010-06-30,914.403
2010-07-30,981.747
2010-08-31,974.2
2010-09-30,1044.244
2010-10-29,1081.982
