Date,FRANCE IMI IMI (Large+Mid+Small Cap)
1994-05-31,207.259
1994-06-30,203.026
1994-07-29,219.957
1994-08-31,222.053
1994-09-30,210.432
1994-10-31,214.835
1994-11-30,211.124
1994-12-30,205.78
1995-01-31,200.073
1995-02-28,203.768
1995-03-31,224.837
1995-04-28,226.242
1995-05-31,229.728
1995-06-30,230.981
1995-07-31,240.094
1995-08-31,225.837
1995-09-29,223.962
1995-10-31,224.039
1995-11-30,221.3
1995-12-29,228.539
1996-01-31,236.141
1996-02-29,243.19
1996-03-29,250.739
1996-04-30,255.406
1996-05-31,255.284
1996-06-28,261.323
1996-07-31,255.832
1996-08-30,251.51
1996-09-30,259.632
1996-10-31,265.118
1996-11-29,277.161
1996-12-31,282.265
1997-01-31,287.454
1997-02-28,288.127
1997-03-31,295.576
1997-04-30,284.199
1997-05-30,283.676
1997-06-30,304.932
1997-07-31,310.327
1997-08-29,292.621
1997-09-30,316.242
1997-10-31,298.092
1997-11-28,301.164
1997-12-31,309.264
1998-01-30,319.933
1998-02-27,348.006
1998-03-31,381.379
1998-04-30,396.673
1998-05-29,420.175
1998-06-30,429.837
1998-07-31,433.959
1998-08-31,386.394
1998-09-30,361.997
1998-10-30,397.89
1998-11-30,419.856
1998-12-31,435.225
1999-01-29,446.393
1999-02-26,418.915
1999-03-31,422.994
1999-04-30,435.383
1999-05-31,429.165
1999-06-30,444.904
1999-07-30,449.771
1999-08-31,465.554
1999-09-30,472.121
1999-10-29,492.87
1999-11-30,511.72
1999-12-31,572.161
2000-01-31,538.908
2000-02-29,583.178
2000-03-31,583.547
2000-04-28,560.816
2000-05-31,572.178
2000-06-30,596.532
2000-07-31,586.975
2000-08-31,576.198
2000-09-29,538.226
2000-10-31,522.154
2000-11-30,498.247
2000-12-29,537.685
2001-01-31,540.126
2001-02-28,484.594
2001-03-30,450.05
2001-04-30,489.484
2001-05-31,459.022
2001-06-29,437.998
2001-07-31,441.49
2001-08-31,426.007
2001-09-28,368.824
2001-10-31,390.365
2001-11-30,404.433
2001-12-31,414.467
2002-01-31,389.638
2002-02-28,389.407
2002-03-29,415.47
2002-04-30,410.744
2002-05-31,413.294
2002-06-28,401.022
2002-07-31,348.497
2002-08-30,344.362
2002-09-30,290.94
2002-10-31,327.738
2002-11-29,344.162
2002-12-31,335.22
2003-01-31,325.507
2003-02-28,308.79
2003-03-31,297.866
2003-04-30,344.021
2003-05-30,371.422
2003-06-30,377.377
2003-07-31,384.519
2003-08-29,387.603
2003-09-30,391.218
2003-10-31,417.871
2003-11-28,439.0
2003-12-31,477.09
2004-01-30,482.237
2004-02-27,494.708
2004-03-31,477.472
2004-04-30,471.738
2004-05-31,485.839
2004-06-30,496.071
2004-07-30,479.968
2004-08-31,481.347
2004-09-30,497.518
2004-10-29,517.191
2004-11-30,547.77
2004-12-31,571.972
2005-01-31,564.28
2005-02-28,592.176
2005-03-31,584.543
2005-04-29,559.863
2005-05-31,573.05
2005-06-30,580.603
2005-07-29,614.539
2005-08-31,617.071
2005-09-30,633.568
2005-10-31,605.391
2005-11-30,615.36
2005-12-30,636.904
2006-01-31,690.068
2006-02-28,685.682
2006-03-31,728.651
2006-04-28,755.431
2006-05-31,743.214
2006-06-30,749.932
2006-07-31,753.602
2006-08-31,778.987
2006-09-29,785.452
2006-10-31,808.564
2006-11-30,842.271
2006-12-29,872.319
2007-01-31,870.742
2007-02-28,872.985
2007-03-30,902.52
2007-04-30,973.74
2007-05-31,1000.0
2007-06-29,997.709
2007-07-31,963.327
2007-08-31,944.228
2007-09-28,991.426
2007-10-31,1031.488
2007-11-30,1012.805
2007-12-31,997.78
2008-01-31,875.17
2008-02-29,890.184
2008-03-31,912.152
2008-04-30,954.869
2008-05-30,979.833
2008-06-30,883.565
2008-07-31,866.075
2008-08-29,836.956
2008-09-30,714.84
2008-10-31,552.203
2008-11-28,521.528
2008-12-31,565.109
2009-01-30,486.174
2009-02-27,440.689
2009-03-31,477.446
2009-04-30,541.849
2009-05-29,610.15
2009-06-30,585.962
2009-07-31,647.704
2009-08-31,699.665
2009-09-30,745.128
2009-10-30,715.163
2009-11-30,741.987
2009-12-31,759.309
2010-01-29,705.772
2010-02-26,688.773
2010-03-31,732.625
2010-04-30,698.241
2010-05-31,608.62
2010-06-30,599.767
2010-07-30,674.101
2010-08-31,633.661
2010-09-30,726.715
2010-10-29,765.386
2010-11-30,683.214
2010-12-31,745.001
2011-01-31,795.25
2011-02-28,822.469
2011-03-31,823.564
2011-04-29,890.718
2011-05-31,862.584
2011-06-30,868.147
2011-07-29,799.323
2011-08-31,714.311
2011-09-30,610.07
2011-10-31,687.05
2011-11-30,645.223
2011-12-30,624.641
2012-01-31,661.299
2012-02-29,708.672
2012-03-30,704.954
2012-04-30,664.148
2012-05-31,591.793
2012-06-29,645.428
2012-07-31,646.4
2012-08-31,683.921
2012-09-28,693.791
2012-10-31,711.853
2012-11-30,742.056
2012-12-31,770.071
2013-01-31,814.794
2013-02-28,787.811
2013-03-29,776.383
2013-04-30,822.281
2013-05-31,843.358
2013-06-28,805.063
2013-07-31,880.28
2013-08-30,861.318
2013-09-30,934.328
2013-10-31,972.655
2013-11-29,977.499
2013-12-31,994.032
2014-01-31,947.12
2014-02-28,1028.664
2014-03-31,1027.381
2014-04-30,1056.864
2014-05-30,1066.06
2014-06-30,1051.152
2014-07-31,988.272
2014-08-29,997.924
2014-09-30,961.715
2014-10-31,920.397
2014-11-28,953.321
2014-12-31,908.019
2015-01-30,914.299
2015-02-27,974.43
2015-03-31,951.053
2015-04-30,1001.836
2015-05-29,986.541
2015-06-30,961.943
2015-07-31,1010.56
2015-08-31,941.393
2015-09-30,901.737
2015-10-30,976.832
2015-11-30,949.726
2015-12-31,921.914
2016-01-29,878.258
2016-02-29,869.069
2016-03-31,923.494
2016-04-29,942.16
2016-05-31,945.833
2016-06-30,891.363
2016-07-29,942.063
2016-08-31,938.795
2016-09-30,952.267
2016-10-31,944.398
2016-11-30,926.211
2016-12-30,978.442
2017-01-31,985.483
2017-02-28,990.096
2017-03-31,1052.213
2017-04-28,1110.252
2017-05-31,1172.619
2017-06-30,1160.232
2017-07-31,1193.294
2017-08-31,1205.474
