Date,FRANCE IMI IMI (Large+Mid+Small Cap)
1994-05-31,222.269
1994-06-30,217.126
1994-07-29,234.758
1994-08-31,236.969
1994-09-30,224.564
1994-10-31,229.258
1994-11-30,225.282
1994-12-30,219.564
1995-01-31,213.458
1995-02-28,217.386
1995-03-31,239.844
1995-04-28,241.314
1995-05-31,244.875
1995-06-30,245.267
1995-07-31,254.563
1995-08-31,239.443
1995-09-29,237.452
1995-10-31,237.533
1995-11-30,234.612
1995-12-29,242.265
1996-01-31,250.311
1996-02-29,257.77
1996-03-29,265.767
1996-04-30,270.661
1996-05-31,270.255
1996-06-28,275.753
1996-07-31,269.565
1996-08-30,265.007
1996-09-30,273.558
1996-10-31,279.335
1996-11-29,291.976
1996-12-31,297.306
1997-01-31,302.758
1997-02-28,303.459
1997-03-31,311.296
1997-04-30,299.251
1997-05-30,298.412
1997-06-30,319.884
1997-07-31,325.167
1997-08-29,306.606
1997-09-30,331.352
1997-10-31,312.333
1997-11-28,315.543
1997-12-31,323.993
1998-01-30,335.153
1998-02-27,364.554
1998-03-31,399.498
1998-04-30,415.457
1998-05-29,439.553
1998-06-30,448.518
1998-07-31,452.593
1998-08-31,402.964
1998-09-30,377.519
1998-10-30,414.95
1998-11-30,437.858
1998-12-31,453.886
1999-01-29,465.521
1999-02-26,436.864
1999-03-31,441.112
1999-04-30,453.998
1999-05-31,447.157
1999-06-30,462.913
1999-07-30,467.754
1999-08-31,484.168
1999-09-30,490.997
1999-10-29,512.575
1999-11-30,532.179
1999-12-31,595.02
2000-01-31,560.432
2000-02-29,606.465
2000-03-31,606.841
2000-04-28,583.1
2000-05-31,594.432
2000-06-30,619.128
2000-07-31,609.047
2000-08-31,597.837
2000-09-29,558.426
2000-10-31,541.75
2000-11-30,516.942
2000-12-29,557.831
2001-01-31,560.356
2001-02-28,502.731
2001-03-30,466.883
2001-04-30,507.775
2001-05-31,475.332
2001-06-29,452.985
2001-07-31,456.526
2001-08-31,440.513
2001-09-28,381.376
2001-10-31,403.641
2001-11-30,418.182
2001-12-31,428.534
2002-01-31,402.841
2002-02-28,402.599
2002-03-29,429.529
2002-04-30,424.456
2002-05-31,426.246
2002-06-28,413.133
2002-07-31,358.865
2002-08-30,354.607
2002-09-30,299.595
2002-10-31,337.484
2002-11-29,354.396
2002-12-31,345.171
2003-01-31,335.164
2003-02-28,317.949
2003-03-31,306.689
2003-04-30,353.892
2003-05-30,380.962
2003-06-30,386.442
2003-07-31,393.718
2003-08-29,396.876
2003-09-30,400.575
2003-10-31,427.861
2003-11-28,449.494
2003-12-31,488.473
2004-01-30,493.733
2004-02-27,506.499
2004-03-31,488.841
2004-04-30,482.842
2004-05-31,495.498
2004-06-30,505.237
2004-07-30,488.813
2004-08-31,490.217
2004-09-30,506.677
2004-10-29,526.696
2004-11-30,557.546
2004-12-31,582.081
2005-01-31,574.233
2005-02-28,602.618
2005-03-31,594.831
2005-04-29,569.378
2005-05-31,580.69
2005-06-30,587.612
2005-07-29,621.845
2005-08-31,624.407
2005-09-30,641.097
2005-10-31,612.564
2005-11-30,622.318
2005-12-30,644.069
2006-01-31,697.815
2006-02-28,693.379
2006-03-31,736.81
2006-04-28,763.835
2006-05-31,748.215
2006-06-30,753.968
2006-07-31,757.488
2006-08-31,783.003
2006-09-29,789.437
2006-10-31,812.635
2006-11-30,846.062
2006-12-29,876.172
2007-01-31,874.568
2007-02-28,876.761
2007-03-30,906.422
2007-04-30,977.572
2007-05-31,1000.0
2007-06-29,996.421
2007-07-31,961.864
2007-08-31,942.732
2007-09-28,989.847
2007-10-31,1029.814
2007-11-30,1010.573
2007-12-31,995.51
2008-01-31,873.12
2008-02-29,888.088
2008-03-31,909.947
2008-04-30,951.344
2008-05-30,971.335
2008-06-30,875.192
2008-07-31,857.739
2008-08-29,828.886
2008-09-30,707.673
2008-10-31,546.63
2008-11-28,515.527
2008-12-31,558.464
2009-01-30,480.406
2009-02-27,435.395
2009-03-31,471.705
2009-04-30,534.397
2009-05-29,598.601
2009-06-30,574.184
2009-07-31,634.453
2009-08-31,685.073
2009-09-30,729.577
2009-10-30,700.237
2009-11-30,725.847
2009-12-31,742.496
2010-01-29,690.137
2010-02-26,673.47
2010-03-31,716.346
2010-04-30,682.56
2010-05-31,591.715
2010-06-30,582.48
2010-07-30,654.491
2010-08-31,614.974
2010-09-30,705.277
2010-10-29,742.804
2010-11-30,662.27
2010-12-31,722.071
2011-01-31,770.763
2011-02-28,797.09
2011-03-31,798.148
2011-04-29,862.388
2011-05-31,831.162
2011-06-30,835.496
2011-07-29,768.597
2011-08-31,686.807
2011-09-30,586.031
2011-10-31,659.977
2011-11-30,619.424
2011-12-30,599.23
2012-01-31,634.381
2012-02-29,679.761
2012-03-30,675.887
2012-04-30,636.049
2012-05-31,563.47
2012-06-29,613.173
2012-07-31,613.905
2012-08-31,649.502
2012-09-28,658.042
2012-10-31,675.171
2012-11-30,703.534
2012-12-31,729.706
2013-01-31,771.983
2013-02-28,746.411
2013-03-29,735.272
2013-04-30,777.802
2013-05-31,793.738
2013-06-28,756.617
2013-07-31,827.137
2013-08-30,809.148
2013-09-30,877.377
2013-10-31,913.368
2013-11-29,917.344
2013-12-31,932.245
2014-01-31,888.164
2014-02-28,964.612
2014-03-31,963.047
2014-04-30,989.635
2014-05-30,993.688
2014-06-30,978.722
2014-07-31,920.056
2014-08-29,929.014
2014-09-30,894.963
2014-10-31,856.321
2014-11-28,886.74
2014-12-31,843.071
2015-01-30,848.803
2015-02-27,904.611
2015-03-31,882.521
2015-04-30,928.501
2015-05-29,911.029
2015-06-30,886.928
2015-07-31,931.68
2015-08-31,867.889
2015-09-30,831.016
2015-10-30,900.051
2015-11-30,874.902
2015-12-31,848.596
2016-01-29,808.369
2016-02-29,799.598
2016-03-31,849.341
2016-04-29,865.322
2016-05-31,864.537
2016-06-30,813.364
2016-07-29,859.404
2016-08-31,856.406
2016-09-30,868.37
2016-10-31,860.995
2016-11-30,844.153
2016-12-30,891.281
2017-01-31,897.654
2017-02-28,901.792
2017-03-31,957.918
2017-04-28,1009.815
2017-05-31,1061.75
2017-06-30,1049.284
2017-07-31,1078.96
2017-08-31,1089.955
2017-09-29,1137.382
2017-10-31,1152.773
2017-11-30,1155.713
2017-12-29,1154.449
2018-01-31,1235.349
2018-02-28,1174.92
2018-03-30,1157.258
2018-04-30,1210.105
2018-05-31,1161.366
2018-06-29,1148.751
2018-07-31,1187.262
2018-08-31,1165.146
2018-09-28,1177.219
2018-10-31,1066.117
2018-11-30,1044.773
2018-12-31,995.04
2019-01-31,1054.74
2019-02-28,1097.998
2019-03-29,1101.741
2019-04-30,1153.714
2019-05-31,1081.31
2019-06-28,1173.369
2019-07-31,1146.496
2019-08-30,1126.186
2019-09-30,1152.62
2019-10-31,1193.227
2019-11-29,1213.278
2019-12-31,1251.117
2020-01-31,1207.943
2020-02-28,1101.234
2020-03-31,900.832
2020-04-30,943.266
2020-05-29,989.845
2020-06-30,1048.64
2020-07-31,1078.776
2020-08-31,1130.297
2020-09-30,1080.085
2020-10-30,1025.618
2020-11-30,1262.135
2020-12-31,1300.617
2021-01-29,1261.499
2021-02-26,1323.554
2021-03-31,1357.372
2021-04-30,1440.433
2021-05-31,1506.297
2021-06-30,1477.11
2021-07-30,1502.973
2021-08-31,1513.815
2021-09-30,1448.414
2021-10-29,1512.504
2021-11-30,1445.769
2021-12-31,1546.476
2022-01-31,1485.35
2022-02-28,1420.728
2022-03-31,1411.368
2022-04-29,1321.367
2022-05-31,1343.615
2022-06-30,1199.06
2022-07-29,1274.369
2022-08-31,1192.942
2022-09-30,1087.784
2022-10-31,1190.944
2022-11-30,1329.403
2022-12-30,1329.827
2023-01-31,1478.531
2023-02-28,1478.071
2023-03-31,1520.851
2023-04-28,1589.067
2023-05-31,1471.558
2023-06-30,1568.767
2023-07-31,1603.738
2023-08-31,1541.97
2023-09-29,1459.608
2023-10-31,1400.178
2023-11-30,1535.638
2023-12-29,1608.659
2024-01-31,1606.531
2024-02-29,1645.699
2024-03-29,1697.17
2024-04-30,1648.814
2024-05-31,1701.637
2024-06-28,1569.106
2024-07-31,1607.816
2024-08-30,1665.799
2024-09-30,1686.016
2024-10-31,1578.701
2024-11-29,1510.877
2024-12-31,1512.356
2025-01-31,1631.985
2025-02-28,1665.515
2025-03-31,1666.379
2025-04-30,1725.333
2025-05-30,1781.936
2025-06-30,1828.767
