Date,NORWAY SMID CAP SMID (Small+Mid Cap)
2001-01-01,258.781
2001-01-02,266.667
2001-01-03,255.75
2001-01-04,261.337
2001-01-05,262.904
2001-01-08,262.894
2001-01-09,259.296
2001-01-10,259.409
2001-01-11,263.314
2001-01-12,264.524
2001-01-15,262.261
2001-01-16,259.018
2001-01-17,260.476
2001-01-18,263.395
2001-01-19,261.524
2001-01-22,257.791
2001-01-23,258.054
2001-01-24,256.017
2001-01-25,253.808
2001-01-26,254.959
2001-01-29,253.036
2001-01-30,256.812
2001-01-31,261.697
2001-02-01,265.585
2001-02-02,265.777
2001-02-05,265.85
2001-02-06,266.298
2001-02-07,266.494
2001-02-08,263.717
2001-02-09,262.554
2001-02-12,260.483
2001-02-13,261.431
2001-02-14,258.991
2001-02-15,254.936
2001-02-16,258.826
2001-02-19,263.778
2001-02-20,260.21
2001-02-21,258.746
2001-02-22,258.208
2001-02-23,257.5
2001-02-26,260.559
2001-02-27,261.389
2001-02-28,261.969
2001-03-01,257.045
2001-03-02,259.379
2001-03-05,261.489
2001-03-06,267.155
2001-03-07,264.964
2001-03-08,267.617
2001-03-09,266.521
2001-03-12,259.992
2001-03-13,252.172
2001-03-14,243.417
2001-03-15,246.374
2001-03-16,242.537
2001-03-19,240.315
2001-03-20,245.052
2001-03-21,240.149
2001-03-22,230.54
2001-03-23,231.56
2001-03-26,235.868
2001-03-27,238.624
2001-03-28,235.153
2001-03-29,233.993
2001-03-30,237.221
2001-04-02,236.426
2001-04-03,231.986
2001-04-04,233.872
2001-04-05,238.812
2001-04-06,239.492
2001-04-09,240.182
2001-04-10,243.639
2001-04-11,243.714
2001-04-12,246.027
2001-04-13,246.027
2001-04-16,243.522
2001-04-17,243.002
2001-04-18,243.95
2001-04-19,245.049
2001-04-20,245.63
2001-04-23,244.916
2001-04-24,245.356
2001-04-25,245.789
2001-04-26,247.394
2001-04-27,249.593
2001-04-30,250.131
2001-05-01,251.608
2001-05-02,251.165
2001-05-03,249.045
2001-05-04,249.859
2001-05-07,251.835
2001-05-08,253.037
2001-05-09,251.706
2001-05-10,256.111
2001-05-11,254.253
2001-05-14,248.741
2001-05-15,251.891
2001-05-16,251.195
2001-05-17,251.219
2001-05-18,257.06
2001-05-21,262.878
2001-05-22,258.957
2001-05-23,256.133
2001-05-24,256.256
2001-05-25,258.194
2001-05-28,258.302
2001-05-29,253.68
2001-05-30,252.116
2001-05-31,248.656
2001-06-01,247.837
2001-06-04,248.134
2001-06-05,250.837
2001-06-06,250.263
2001-06-07,250.494
2001-06-08,250.069
2001-06-11,245.035
2001-06-12,240.68
2001-06-13,244.726
2001-06-14,242.066
2001-06-15,240.596
2001-06-18,242.363
2001-06-19,244.492
2001-06-20,241.187
2001-06-21,240.191
2001-06-22,240.122
2001-06-25,240.453
2001-06-26,236.353
2001-06-27,236.604
2001-06-28,233.76
2001-06-29,232.287
2001-07-02,232.559
2001-07-03,233.518
2001-07-04,233.566
2001-07-05,230.738
2001-07-06,232.963
2001-07-09,232.9
2001-07-10,232.545
2001-07-11,233.023
2001-07-12,232.962
2001-07-13,226.833
2001-07-16,224.778
2001-07-17,222.321
2001-07-18,226.466
2001-07-19,229.975
2001-07-20,229.456
2001-07-23,230.138
2001-07-24,228.396
2001-07-25,227.229
2001-07-26,228.288
2001-07-27,230.217
2001-07-30,231.091
2001-07-31,231.224
2001-08-01,231.636
2001-08-02,233.856
2001-08-03,235.11
2001-08-06,231.381
2001-08-07,230.319
2001-08-08,229.156
2001-08-09,229.275
2001-08-10,230.916
2001-08-13,230.541
2001-08-14,229.729
2001-08-15,230.29
2001-08-16,230.653
2001-08-17,229.937
2001-08-20,226.407
2001-08-21,227.595
2001-08-22,230.886
2001-08-23,227.742
2001-08-24,229.558
2001-08-27,228.171
2001-08-28,227.609
2001-08-29,224.796
2001-08-30,223.985
2001-08-31,221.841
2001-09-03,220.727
2001-09-04,221.431
2001-09-05,222.059
2001-09-06,221.783
2001-09-07,221.544
2001-09-10,215.912
2001-09-11,217.596
2001-09-12,207.524
2001-09-13,210.187
2001-09-14,207.607
2001-09-17,205.135
2001-09-18,203.591
2001-09-19,199.924
2001-09-20,187.97
2001-09-21,174.935
2001-09-24,182.018
2001-09-25,185.727
2001-09-26,185.528
2001-09-27,186.179
2001-09-28,186.685
2001-10-01,187.109
2001-10-02,186.893
2001-10-03,184.288
2001-10-04,184.327
