Date,NORWAY SMID CAP SMID (Small+Mid Cap)
1994-05-31,154.154
1994-06-30,150.212
1994-07-29,159.464
1994-08-31,156.757
1994-09-30,146.867
1994-10-31,154.456
1994-11-30,154.745
1994-12-30,165.412
1995-01-31,167.508
1995-02-28,166.573
1995-03-31,169.016
1995-04-28,179.899
1995-05-31,182.525
1995-06-30,193.054
1995-07-31,196.961
1995-08-31,191.3
1995-09-29,198.995
1995-10-31,190.721
1995-11-30,191.907
1995-12-29,197.321
1996-01-31,195.115
1996-02-29,204.345
1996-03-29,201.92
1996-04-30,208.904
1996-05-31,213.051
1996-06-28,211.514
1996-07-31,213.779
1996-08-30,214.906
1996-09-30,214.392
1996-10-31,227.705
1996-11-29,244.575
1996-12-31,254.811
1997-01-31,274.66
1997-02-28,269.269
1997-03-31,276.964
1997-04-30,251.603
1997-05-30,265.128
1997-06-30,262.372
1997-07-31,275.563
1997-08-29,275.993
1997-09-30,301.291
1997-10-31,306.699
1997-11-28,286.53
1997-12-31,282.72
1998-01-30,264.546
1998-02-27,275.225
1998-03-31,290.864
1998-04-30,310.637
1998-05-29,290.261
1998-06-30,273.874
1998-07-31,275.914
1998-08-31,201.667
1998-09-30,191.594
1998-10-30,210.452
1998-11-30,200.257
1998-12-31,190.945
1999-01-29,213.695
1999-02-26,194.771
1999-03-31,206.895
1999-04-30,220.499
1999-05-31,221.776
1999-06-30,224.401
1999-07-30,232.826
1999-08-31,236.949
1999-09-30,233.844
1999-10-29,223.747
1999-11-30,236.151
1999-12-31,269.789
2000-01-31,253.111
2000-02-29,261.442
2000-03-31,260.332
2000-04-28,234.803
2000-05-31,244.448
2000-06-30,264.67
2000-07-31,269.783
2000-08-31,288.012
2000-09-29,277.827
2000-10-31,272.685
2000-11-30,249.477
2000-12-29,258.781
2001-01-31,261.697
2001-02-28,261.969
2001-03-30,237.221
2001-04-30,250.131
2001-05-31,248.656
2001-06-29,232.287
2001-07-31,231.224
2001-08-31,221.841
2001-09-28,186.685
2001-10-31,188.136
2001-11-30,198.076
2001-12-31,204.757
2002-01-31,198.855
2002-02-28,205.966
2002-03-29,221.281
2002-04-30,222.104
2002-05-31,225.377
2002-06-28,217.725
2002-07-31,198.102
2002-08-30,187.815
2002-09-30,159.035
2002-10-31,168.938
2002-11-29,186.047
2002-12-31,168.679
2003-01-31,163.549
2003-02-28,143.917
2003-03-31,145.549
2003-04-30,176.114
2003-05-30,194.85
2003-06-30,188.743
2003-07-31,201.507
2003-08-29,204.308
2003-09-30,204.973
2003-10-31,233.089
2003-11-28,245.959
2003-12-31,264.087
2004-01-30,270.717
2004-02-27,293.411
2004-03-31,286.663
2004-04-30,278.104
2004-05-31,288.425
2004-06-30,304.726
2004-07-30,296.719
2004-08-31,309.686
2004-09-30,340.693
2004-10-29,351.111
2004-11-30,408.009
2004-12-31,422.144
2005-01-31,417.438
2005-02-28,461.463
2005-03-31,449.983
2005-04-29,419.267
2005-05-31,440.948
2005-06-30,469.993
2005-07-29,520.305
2005-08-31,556.675
2005-09-30,563.09
2005-10-31,507.159
2005-11-30,513.876
2005-12-30,558.12
2006-01-31,585.131
2006-02-28,605.487
2006-03-31,672.861
2006-04-28,731.155
2006-05-31,710.258
2006-06-30,682.553
2006-07-31,685.354
2006-08-31,693.322
2006-09-29,661.47
2006-10-31,715.112
2006-11-30,784.61
2006-12-29,807.701
2007-01-31,839.654
2007-02-28,850.639
2007-03-30,910.279
2007-04-30,970.941
2007-05-31,1000.0
2007-06-29,1037.545
2007-07-31,1027.019
2007-08-31,981.469
2007-09-28,1097.707
2007-10-31,1137.667
2007-11-30,1024.588
2007-12-31,1063.637
2008-01-31,878.657
2008-02-29,1002.858
2008-03-31,1004.062
2008-04-30,1130.842
2008-05-30,1191.914
2008-06-30,1085.054
2008-07-31,1023.203
2008-08-29,991.616
2008-09-30,664.707
2008-10-31,402.042
2008-11-28,359.539
2008-12-31,357.474
2009-01-30,360.132
2009-02-27,332.611
2009-03-31,374.713
2009-04-30,433.906
2009-05-29,532.363
2009-06-30,526.332
2009-07-31,572.148
2009-08-31,590.219
2009-09-30,665.497
2009-10-30,679.027
2009-11-30,719.392
2009-12-31,774.448
2010-01-29,757.686
2010-02-26,730.184
2010-03-31,793.274
2010-04-30,814.42
2010-05-31,637.421
2010-06-30,582.902
2010-07-30,673.693
2010-08-31,641.14
2010-09-30,775.435
2010-10-29,827.608
2010-11-30,788.461
2010-12-31,945.053
2011-01-31,947.155
2011-02-28,1017.58
2011-03-31,1021.154
2011-04-29,1058.356
2011-05-31,1003.036
2011-06-30,941.626
2011-07-29,923.742
2011-08-31,821.859
2011-09-30,650.826
2011-10-31,758.58
2011-11-30,708.976
2011-12-30,688.378
2012-01-31,763.739
2012-02-29,866.43
2012-03-30,859.329
2012-04-30,860.519
2012-05-31,714.004
2012-06-29,773.556
2012-07-31,794.511
2012-08-31,848.245
2012-09-28,890.73
2012-10-31,889.358
2012-11-30,892.471
2012-12-31,933.237
2013-01-31,977.304
2013-02-28,962.878
2013-03-29,938.413
2013-04-30,939.747
2013-05-31,953.071
2013-06-28,876.714
2013-07-31,949.153
2013-08-30,912.403
2013-09-30,929.368
2013-10-31,993.141
2013-11-29,996.423
2013-12-31,1014.185
2014-01-31,956.067
2014-02-28,1051.246
2014-03-31,1047.313
2014-04-30,1063.796
2014-05-30,1092.179
2014-06-30,1080.0
2014-07-31,1047.557
2014-08-29,1055.243
2014-09-30,1006.144
2014-10-31,905.174
2014-11-28,883.721
2014-12-31,843.865
2015-01-30,829.962
2015-02-27,844.398
2015-03-31,780.402
2015-04-30,868.619
2015-05-29,843.884
2015-06-30,812.27
2015-07-31,784.648
2015-08-31,719.721
2015-09-30,698.44
2015-10-30,738.956
2015-11-30,753.224
2015-12-31,712.044
2016-01-29,659.271
2016-02-29,685.379
2016-03-31,744.525
2016-04-29,792.352
2016-05-31,790.603
2016-06-30,764.814
2016-07-29,799.914
2016-08-31,790.896
2016-09-30,844.972
2016-10-31,832.698
2016-11-30,822.389
2016-12-30,850.798
2017-01-31,897.438
2017-02-28,875.057
2017-03-31,845.705
2017-04-28,872.075
2017-05-31,880.584
2017-06-30,878.673
2017-07-31,954.641
2017-08-31,988.828
2017-09-29,1015.814
2017-10-31,1025.945
2017-11-30,977.206
2017-12-29,1019.745
2018-01-31,1058.183
2018-02-28,1049.357
2018-03-30,1017.546
2018-04-30,1078.275
2018-05-31,1077.615
2018-06-29,1077.204
2018-07-31,1104.942
2018-08-31,1091.575
2018-09-28,1154.247
2018-10-31,1063.732
2018-11-30,993.177
2018-12-31,906.098
2019-01-31,981.172
2019-02-28,995.95
2019-03-29,992.159
2019-04-30,1015.457
2019-05-31,978.943
2019-06-28,1016.528
2019-07-31,987.143
2019-08-30,954.219
2019-09-30,968.397
2019-10-31,979.479
2019-11-29,998.823
2019-12-31,1086.185
2020-01-31,1005.368
2020-02-28,895.503
