Date,NORWAY SMID CAP SMID (Small+Mid Cap)
1994-05-31,165.279
1994-06-30,161.042
1994-07-29,170.961
1994-08-31,168.059
1994-09-30,157.455
1994-10-31,165.592
1994-11-30,165.901
1994-12-30,177.338
1995-01-31,179.585
1995-02-28,178.583
1995-03-31,181.202
1995-04-28,192.769
1995-05-31,195.099
1995-06-30,206.326
1995-07-31,210.5
1995-08-31,204.45
1995-09-29,212.674
1995-10-31,203.83
1995-11-30,205.098
1995-12-29,210.883
1996-01-31,208.526
1996-02-29,218.39
1996-03-29,215.798
1996-04-30,223.167
1996-05-31,226.907
1996-06-28,225.255
1996-07-31,227.667
1996-08-30,228.868
1996-09-30,228.321
1996-10-31,242.498
1996-11-29,260.464
1996-12-31,271.365
1997-01-31,292.504
1997-02-28,286.763
1997-03-31,294.879
1997-04-30,267.495
1997-05-30,281.325
1997-06-30,278.388
1997-07-31,292.341
1997-08-29,292.798
1997-09-30,319.636
1997-10-31,325.273
1997-11-28,303.883
1997-12-31,299.843
1998-01-30,280.567
1998-02-27,291.893
1998-03-31,308.417
1998-04-30,328.872
1998-05-29,306.824
1998-06-30,289.48
1998-07-31,291.637
1998-08-31,213.159
1998-09-30,202.512
1998-10-30,222.444
1998-11-30,211.668
1998-12-31,201.826
1999-01-29,225.872
1999-02-26,205.869
1999-03-31,218.667
1999-04-30,232.603
1999-05-31,233.692
1999-06-30,236.449
1999-07-30,245.326
1999-08-31,249.671
1999-09-30,246.399
1999-10-29,235.76
1999-11-30,248.83
1999-12-31,284.273
2000-01-31,266.7
2000-02-29,275.478
2000-03-31,274.309
2000-04-28,246.955
2000-05-31,256.739
2000-06-30,277.972
2000-07-31,283.343
2000-08-31,302.487
2000-09-29,291.79
2000-10-31,286.39
2000-11-30,262.015
2000-12-29,271.787
2001-01-31,274.851
2001-02-28,275.136
2001-03-30,249.144
2001-04-30,262.165
2001-05-31,260.093
2001-06-29,242.956
2001-07-31,241.843
2001-08-31,232.03
2001-09-28,195.219
2001-10-31,196.736
2001-11-30,207.118
2001-12-31,214.092
2002-01-31,207.92
2002-02-28,215.356
2002-03-29,231.199
2002-04-30,231.398
2002-05-31,234.415
2002-06-28,226.457
2002-07-31,206.047
2002-08-30,195.347
2002-09-30,165.413
2002-10-31,175.713
2002-11-29,193.508
2002-12-31,175.444
2003-01-31,170.108
2003-02-28,149.688
2003-03-31,151.355
2003-04-30,182.174
2003-05-30,200.95
2003-06-30,194.652
2003-07-31,207.816
2003-08-29,210.677
2003-09-30,211.364
2003-10-31,240.357
2003-11-28,253.472
2003-12-31,272.108
2004-01-30,278.939
2004-02-27,302.3
2004-03-31,295.23
2004-04-30,285.245
2004-05-31,295.22
2004-06-30,311.874
2004-07-30,303.679
2004-08-31,316.758
2004-09-30,348.473
2004-10-29,359.081
2004-11-30,416.954
2004-12-31,431.268
2005-01-31,426.461
2005-02-28,471.415
2005-03-31,459.2
2005-04-29,425.596
2005-05-31,446.816
2005-06-30,475.711
2005-07-29,526.635
2005-08-31,563.42
2005-09-30,569.608
2005-10-31,512.976
2005-11-30,519.329
2005-12-30,563.955
2006-01-31,591.248
2006-02-28,611.818
2006-03-31,679.337
2006-04-28,737.104
2006-05-31,714.646
2006-06-30,686.559
2006-07-31,689.376
2006-08-31,697.184
2006-09-29,665.063
2006-10-31,718.96
2006-11-30,788.74
2006-12-29,811.293
2007-01-31,843.388
2007-02-28,854.422
2007-03-30,912.953
2007-04-30,972.276
2007-05-31,1000.0
2007-06-29,1036.588
2007-07-31,1026.072
2007-08-31,980.509
2007-09-28,1096.633
2007-10-31,1136.016
2007-11-30,1022.773
2007-12-31,1061.239
2008-01-31,876.676
2008-02-29,1000.24
2008-03-31,1000.827
2008-04-30,1125.659
2008-05-30,1183.836
2008-06-30,1076.404
2008-07-31,1015.046
2008-08-29,983.675
2008-09-30,658.06
2008-10-31,398.021
2008-11-28,355.859
2008-12-31,353.67
2009-01-30,356.3
2009-02-27,329.072
2009-03-31,370.587
2009-04-30,428.703
2009-05-29,525.227
2009-06-30,519.211
2009-07-31,564.406
2009-08-31,582.233
2009-09-30,656.386
2009-10-30,669.731
2009-11-30,708.907
2009-12-31,763.161
2010-01-29,746.644
2010-02-26,719.542
2010-03-31,781.622
2010-04-30,801.958
2010-05-31,626.881
2010-06-30,572.522
2010-07-30,661.696
2010-08-31,629.428
2010-09-30,761.27
2010-10-29,812.489
2010-11-30,774.022
2010-12-31,927.665
2011-01-31,929.728
2011-02-28,998.856
2011-03-31,1002.214
2011-04-29,1037.945
2011-05-31,980.47
2011-06-30,919.632
2011-07-29,902.166
2011-08-31,802.663
2011-09-30,635.624
2011-10-31,740.862
2011-11-30,692.416
2011-12-30,672.299
2012-01-31,745.9
2012-02-29,846.193
2012-03-30,839.088
2012-04-30,837.807
2012-05-31,693.876
2012-06-29,750.843
2012-07-31,771.184
2012-08-31,823.34
2012-09-28,864.577
2012-10-31,863.184
2012-11-30,866.206
2012-12-31,905.772
2013-01-31,948.542
2013-02-28,934.54
2013-03-29,910.683
2013-04-30,908.378
2013-05-31,919.605
2013-06-28,845.362
2013-07-31,914.776
2013-08-30,879.357
2013-09-30,895.609
2013-10-31,956.995
2013-11-29,959.768
2013-12-31,976.876
2014-01-31,919.623
2014-02-28,1010.95
2014-03-31,1007.013
2014-04-30,1018.493
2014-05-30,1042.764
2014-06-30,1029.978
2014-07-31,999.005
2014-08-29,1006.334
2014-09-30,959.34
2014-10-31,862.241
2014-11-28,841.753
2014-12-31,803.79
2015-01-30,790.547
2015-02-27,804.102
2015-03-31,742.953
2015-04-30,824.841
2015-05-29,799.754
2015-06-30,769.567
2015-07-31,743.377
2015-08-31,681.692
2015-09-30,661.536
2015-10-30,699.798
2015-11-30,713.083
2015-12-31,674.098
2016-01-29,624.137
2016-02-29,648.598
2016-03-31,704.494
2016-04-29,747.486
2016-05-31,744.689
2016-06-30,720.137
2016-07-29,753.159
2016-08-31,744.62
2016-09-30,795.521
2016-10-31,783.91
2016-11-30,773.757
2016-12-30,800.486
2017-01-31,844.367
2017-02-28,823.18
2017-03-31,795.334
2017-04-28,817.811
2017-05-31,824.123
2017-06-30,821.98
2017-07-31,893.015
2017-08-31,924.876
2017-09-29,950.116
2017-10-31,958.085
2017-11-30,912.437
2017-12-29,952.156
2018-01-31,988.047
2018-02-28,979.235
2018-03-30,949.174
2018-04-30,1003.216
2018-05-31,1000.41
2018-06-29,999.578
2018-07-31,1025.289
2018-08-31,1012.339
2018-09-28,1070.416
2018-10-31,986.389
2018-11-30,920.422
2018-12-31,839.722
2019-01-31,909.297
2019-02-28,922.419
2019-03-29,918.086
2019-04-30,937.699
2019-05-31,901.762
2019-06-28,935.946
2019-07-31,908.861
2019-08-30,877.999
2019-09-30,891.045
2019-10-31,900.964
2019-11-29,918.29
2019-12-31,998.608
2020-01-31,924.057
2020-02-28,822.542
2020-03-31,618.053
2020-04-30,700.277
2020-05-29,760.086
2020-06-30,775.308
2020-07-31,856.759
2020-08-31,933.564
2020-09-30,870.006
2020-10-30,805.339
2020-11-30,993.067
2020-12-31,1085.309
2021-01-29,1073.506
2021-02-26,1109.34
2021-03-31,1175.42
2021-04-30,1234.588
2021-05-31,1261.355
2021-06-30,1223.45
2021-07-30,1219.839
2021-08-31,1239.159
2021-09-30,1210.031
2021-10-29,1302.723
2021-11-30,1176.611
2021-12-31,1230.591
2022-01-31,1153.111
2022-02-28,1191.754
2022-03-31,1229.926
2022-04-29,1145.585
2022-05-31,1139.438
2022-06-30,961.971
2022-07-29,1063.311
2022-08-31,1016.754
2022-09-30,791.459
2022-10-31,882.923
2022-11-30,968.96
2022-12-30,979.624
2023-01-31,1023.282
2023-02-28,1015.639
2023-03-31,981.098
2023-04-28,980.562
2023-05-31,921.944
2023-06-30,936.005
2023-07-31,1016.87
2023-08-31,955.006
2023-09-29,967.137
2023-10-31,897.175
2023-11-30,959.244
2023-12-29,1039.312
2024-01-31,1009.68
2024-02-29,1015.202
2024-03-29,1036.776
2024-04-30,1059.028
2024-05-31,1179.436
2024-06-28,1137.828
2024-07-31,1149.301
2024-08-30,1162.745
2024-09-30,1171.486
2024-10-31,1130.508
2024-11-29,1134.142
2024-12-31,1078.651
2025-01-31,1166.302
2025-02-28,1142.355
2025-03-31,1212.035
2025-04-30,1232.157
2025-05-30,1315.4
2025-06-30,1374.129
2025-07-31,1357.969
2025-08-29,1426.783
2025-09-30,1437.648
2025-10-31,1390.218
