Date,AUSTRALIA SMID VALUE SMID (Small+Mid Cap)
2001-01-01,207.921
2001-01-02,211.69
2001-01-03,212.519
2001-01-04,215.432
2001-01-05,216.884
2001-01-08,214.093
2001-01-09,211.504
2001-01-10,210.929
2001-01-11,210.045
2001-01-12,209.235
2001-01-15,206.706
2001-01-16,207.622
2001-01-17,207.157
2001-01-18,210.753
2001-01-19,211.497
2001-01-22,211.237
2001-01-23,210.98
2001-01-24,207.326
2001-01-25,208.292
2001-01-26,207.719
2001-01-29,208.729
2001-01-30,208.463
2001-01-31,209.758
2001-02-01,213.287
2001-02-02,211.562
2001-02-05,210.18
2001-02-06,210.646
2001-02-07,207.796
2001-02-08,204.688
2001-02-09,203.507
2001-02-12,205.253
2001-02-13,204.179
2001-02-14,201.928
2001-02-15,197.963
2001-02-16,200.195
2001-02-19,199.701
2001-02-20,198.61
2001-02-21,199.92
2001-02-22,199.07
2001-02-23,198.028
2001-02-26,198.198
2001-02-27,199.441
2001-02-28,200.75
2001-03-01,201.291
2001-03-02,203.687
2001-03-05,201.969
2001-03-06,201.268
2001-03-07,199.232
2001-03-08,198.211
2001-03-09,197.012
2001-03-12,196.523
2001-03-13,192.184
2001-03-14,191.852
2001-03-15,187.991
2001-03-16,187.76
2001-03-19,188.743
2001-03-20,189.262
2001-03-21,188.542
2001-03-22,187.063
2001-03-23,187.307
2001-03-26,188.881
2001-03-27,189.49
2001-03-28,186.43
2001-03-29,184.879
2001-03-30,182.585
2001-04-02,184.064
2001-04-03,183.576
2001-04-04,186.225
2001-04-05,187.052
2001-04-06,190.094
2001-04-09,189.209
2001-04-10,190.046
2001-04-11,192.634
2001-04-12,195.283
2001-04-13,195.283
2001-04-16,195.899
2001-04-17,194.426
2001-04-18,191.437
2001-04-19,197.97
2001-04-20,200.969
2001-04-23,194.055
2001-04-24,192.798
2001-04-25,193.257
2001-04-26,196.68
2001-04-27,196.478
2001-04-30,197.266
2001-05-01,200.565
2001-05-02,201.727
2001-05-03,202.98
2001-05-04,202.389
2001-05-07,203.026
2001-05-08,203.134
2001-05-09,205.444
2001-05-10,208.185
2001-05-11,205.494
2001-05-14,204.061
2001-05-15,205.446
2001-05-16,206.79
2001-05-17,210.104
2001-05-18,209.077
2001-05-21,212.706
2001-05-22,209.289
2001-05-23,208.464
2001-05-24,207.773
2001-05-25,208.237
2001-05-28,208.318
2001-05-29,206.33
2001-05-30,205.345
2001-05-31,201.519
2001-06-01,203.225
2001-06-04,203.902
2001-06-05,203.294
2001-06-06,204.798
2001-06-07,208.558
2001-06-08,208.995
2001-06-11,208.554
2001-06-12,208.375
2001-06-13,211.387
2001-06-14,211.44
2001-06-15,212.017
2001-06-18,208.576
2001-06-19,208.154
2001-06-20,208.343
2001-06-21,209.543
2001-06-22,210.454
2001-06-25,210.408
2001-06-26,212.256
2001-06-27,210.984
2001-06-28,208.229
2001-06-29,209.857
2001-07-02,208.094
2001-07-03,210.937
2001-07-04,211.368
2001-07-05,210.107
2001-07-06,204.879
2001-07-09,205.031
2001-07-10,206.854
2001-07-11,206.073
2001-07-12,205.967
2001-07-13,207.438
2001-07-16,208.851
2001-07-17,207.103
2001-07-18,209.946
2001-07-19,210.358
2001-07-20,206.869
2001-07-23,207.214
2001-07-24,206.794
2001-07-25,205.766
2001-07-26,204.946
2001-07-27,203.684
2001-07-30,204.232
2001-07-31,205.526
2001-08-01,210.134
2001-08-02,213.015
2001-08-03,212.393
2001-08-06,213.12
2001-08-07,212.307
2001-08-08,213.845
2001-08-09,213.773
2001-08-10,214.633
2001-08-13,216.067
2001-08-14,214.999
2001-08-15,217.445
2001-08-16,215.598
2001-08-17,219.097
2001-08-20,216.308
2001-08-21,216.789
2001-08-22,219.246
2001-08-23,218.504
2001-08-24,218.576
2001-08-27,219.129
2001-08-28,218.777
2001-08-29,219.335
2001-08-30,219.294
2001-08-31,215.375
2001-09-03,216.377
2001-09-04,215.342
2001-09-05,213.324
2001-09-06,213.036
2001-09-07,210.918
2001-09-10,208.342
2001-09-11,212.828
2001-09-12,206.242
2001-09-13,205.863
2001-09-14,206.096
2001-09-17,195.078
2001-09-18,195.975
2001-09-19,196.558
2001-09-20,194.731
2001-09-21,189.141
2001-09-24,189.169
2001-09-25,191.977
2001-09-26,191.762
2001-09-27,191.672
2001-09-28,197.418
2001-10-01,198.587
2001-10-02,202.268
2001-10-03,202.921
2001-10-04,203.217
2001-10-05,207.562
2001-10-08,207.993
2001-10-09,206.533
2001-10-10,206.525
2001-10-11,206.708
2001-10-12,207.88
2001-10-15,212.248
2001-10-16,213.3
2001-10-17,215.123
2001-10-18,211.7
2001-10-19,209.942
2001-10-22,210.673
2001-10-23,211.228
2001-10-24,211.025
2001-10-25,212.089
2001-10-26,211.041
2001-10-29,212.953
2001-10-30,213.365
2001-10-31,212.163
2001-11-01,214.574
2001-11-02,214.15
2001-11-05,213.041
2001-11-06,218.15
2001-11-07,218.982
2001-11-08,219.689
2001-11-09,218.743
2001-11-12,220.443
2001-11-13,220.015
2001-11-14,221.104
2001-11-15,220.469
2001-11-16,221.219
2001-11-19,222.888
2001-11-20,223.198
2001-11-21,221.769
2001-11-22,221.749
2001-11-23,222.174
2001-11-26,222.683
2001-11-27,224.397
2001-11-28,224.437
2001-11-29,223.345
2001-11-30,226.153
2001-12-03,224.352
2001-12-04,222.234
2001-12-05,223.229
2001-12-06,223.255
2001-12-07,223.787
2001-12-10,223.166
2001-12-11,223.558
2001-12-12,223.457
2001-12-13,224.315
2001-12-14,223.297
2001-12-17,221.951
2001-12-18,223.388
2001-12-19,222.361
2001-12-20,219.846
2001-12-21,221.512
2001-12-24,223.215
2001-12-25,223.215
2001-12-26,223.061
2001-12-27,224.686
2001-12-28,226.374
2001-12-31,227.507
2002-01-01,227.507
2002-01-02,229.892
2002-01-03,228.639
2002-01-04,231.114
2002-01-07,231.868
2002-01-08,232.894
2002-01-09,233.068
2002-01-10,234.177
2002-01-11,233.77
2002-01-14,231.033
2002-01-15,231.992
2002-01-16,232.181
2002-01-17,228.542
2002-01-18,229.111
2002-01-21,231.035
2002-01-22,233.17
2002-01-23,234.219
2002-01-24,234.116
2002-01-25,233.389
2002-01-28,232.734
2002-01-29,233.451
2002-01-30,229.503
2002-01-31,231.341
2002-02-01,231.6
2002-02-04,232.023
2002-02-05,231.858
2002-02-06,231.335
2002-02-07,230.498
2002-02-08,233.059
2002-02-11,234.653
2002-02-12,233.945
2002-02-13,234.348
2002-02-14,237.76
2002-02-15,237.904
2002-02-18,237.723
2002-02-19,237.58
2002-02-20,236.705
2002-02-21,236.648
2002-02-22,236.422
2002-02-25,235.879
2002-02-26,237.27
2002-02-27,235.425
2002-02-28,236.156
2002-03-01,237.54
2002-03-04,238.87
2002-03-05,239.259
2002-03-06,240.128
2002-03-07,243.525
2002-03-08,241.785
2002-03-11,241.026
2002-03-12,240.269
2002-03-13,240.242
2002-03-14,241.453
2002-03-15,240.33
2002-03-18,241.894
2002-03-19,242.132
2002-03-20,246.566
2002-03-21,247.012
2002-03-22,246.765
2002-03-25,245.386
2002-03-26,241.996
2002-03-27,243.617
2002-03-28,246.511
2002-03-29,246.511
2002-04-01,246.95
