Date,AUSTRALIA SMID VALUE SMID (Small+Mid Cap)
2021-03-31,1176.245
2021-04-30,1210.016
2021-05-31,1216.596
2021-06-30,1205.053
2021-07-30,1173.521
2021-08-31,1225.793
2021-09-30,1206.935
2021-10-29,1250.69
2021-11-30,1166.337
2021-12-31,1231.421
2022-01-31,1128.826
2022-02-28,1216.445
2022-03-31,1304.848
2022-04-29,1258.062
2022-05-31,1220.039
2022-06-30,1052.63
2022-07-29,1140.095
2022-08-31,1132.048
2022-09-30,969.96
2022-10-31,1024.895
2022-11-30,1137.397
2022-12-30,1125.301
2023-01-31,1227.57
2023-02-28,1158.287
2023-03-31,1131.547
2023-04-28,1151.873
2023-05-31,1098.02
2023-06-30,1135.0
2023-07-31,1201.739
2023-08-31,1127.415
2023-09-29,1079.973
2023-10-31,1012.827
2023-11-30,1111.453
2023-12-29,1227.236
2024-01-31,1190.69
2024-02-29,1171.688
2024-03-29,1233.616
2024-04-30,1186.609
2024-05-31,1197.869
2024-06-28,1202.34
2024-07-31,1244.003
2024-08-30,1289.953
2024-09-30,1358.879
2024-10-31,1259.038
2024-11-29,1295.398
2024-12-31,1191.283
2025-01-31,1262.785
2025-02-28,1240.446
2025-03-31,1225.396
2025-04-30,1295.407
2025-05-30,1357.394
2025-06-30,1406.297
2025-07-31,1420.789
2025-08-29,1509.899
