Date,AUSTRALIA SMID VALUE SMID (Small+Mid Cap)
2021-01-29,1246.235
2021-02-26,1280.506
2021-03-31,1303.438
2021-04-30,1340.86
2021-05-31,1348.265
2021-06-30,1337.314
2021-07-30,1302.441
2021-08-31,1362.229
2021-09-30,1341.82
2021-10-29,1390.465
2021-11-30,1296.806
2021-12-31,1370.749
2022-01-31,1256.546
2022-02-28,1355.194
2022-03-31,1454.473
2022-04-29,1402.323
2022-05-31,1360.05
2022-06-30,1174.96
2022-07-29,1272.589
2022-08-31,1264.723
2022-09-30,1084.149
2022-10-31,1145.551
2022-11-30,1271.298
2022-12-30,1259.348
2023-01-31,1373.8
2023-02-28,1297.209
2023-03-31,1268.035
2023-04-28,1290.812
2023-05-31,1230.493
2023-06-30,1273.885
2023-07-31,1348.791
2023-08-31,1266.476
2023-09-29,1213.817
2023-10-31,1138.35
2023-11-30,1249.227
2023-12-29,1381.507
2024-01-31,1340.366
2024-02-29,1320.113
2024-03-29,1390.62
2024-04-30,1337.63
2024-05-31,1350.339
2024-06-28,1357.068
2024-07-31,1404.166
2024-08-30,1457.184
2024-09-30,1535.516
2024-10-31,1422.696
2024-11-29,1463.783
2024-12-31,1347.736
2025-01-31,1428.629
2025-02-28,1404.125
2025-03-31,1387.557
2025-04-30,1466.833
2025-05-30,1537.023
