Date,AUSTRALIA SMID VALUE SMID (Small+Mid Cap)
2001-01-01,188.4
2001-01-02,191.822
2001-01-03,192.573
2001-01-04,195.213
2001-01-05,196.528
2001-01-08,193.999
2001-01-09,191.653
2001-01-10,191.132
2001-01-11,190.331
2001-01-12,189.597
2001-01-15,187.306
2001-01-16,188.135
2001-01-17,187.714
2001-01-18,190.973
2001-01-19,191.647
2001-01-22,191.411
2001-01-23,191.178
2001-01-24,187.867
2001-01-25,188.743
2001-01-26,188.223
2001-01-29,189.138
2001-01-30,188.928
2001-01-31,190.103
2001-02-01,193.302
2001-02-02,191.738
2001-02-05,190.52
2001-02-06,190.942
2001-02-07,188.359
2001-02-08,185.543
2001-02-09,184.472
2001-02-12,186.146
2001-02-13,185.172
2001-02-14,183.134
2001-02-15,179.56
2001-02-16,181.594
2001-02-19,181.168
2001-02-20,180.178
2001-02-21,181.367
2001-02-22,180.595
2001-02-23,179.65
2001-02-26,179.823
2001-02-27,180.958
2001-02-28,182.146
2001-03-01,182.691
2001-03-02,184.868
2001-03-05,183.385
2001-03-06,182.756
2001-03-07,180.929
2001-03-08,180.043
2001-03-09,178.987
2001-03-12,178.543
2001-03-13,174.606
2001-03-14,174.307
2001-03-15,170.799
2001-03-16,170.594
2001-03-19,171.532
2001-03-20,172.004
2001-03-21,171.349
2001-03-22,170.035
2001-03-23,170.261
2001-03-26,171.827
2001-03-27,172.381
2001-03-28,169.654
2001-03-29,168.261
2001-03-30,166.173
2001-04-02,167.523
2001-04-03,167.08
2001-04-04,169.496
2001-04-05,170.249
2001-04-06,173.022
2001-04-09,172.226
2001-04-10,172.988
2001-04-11,175.346
2001-04-12,177.759
2001-04-13,177.759
2001-04-16,178.319
2001-04-17,176.989
2001-04-18,174.268
2001-04-19,180.215
2001-04-20,182.945
2001-04-23,176.652
2001-04-24,175.507
2001-04-25,175.925
2001-04-26,179.041
2001-04-27,178.857
2001-04-30,179.575
2001-05-01,182.579
2001-05-02,183.637
2001-05-03,184.811
2001-05-04,184.292
2001-05-07,184.872
2001-05-08,184.979
2001-05-09,187.082
2001-05-10,189.587
2001-05-11,187.137
2001-05-14,185.832
2001-05-15,187.092
2001-05-16,188.316
2001-05-17,191.337
2001-05-18,190.401
2001-05-21,193.706
2001-05-22,190.623
2001-05-23,189.872
2001-05-24,189.242
2001-05-25,189.665
2001-05-28,189.739
2001-05-29,187.928
2001-05-30,187.03
2001-05-31,183.566
2001-06-01,185.184
2001-06-04,185.827
2001-06-05,185.279
2001-06-06,186.661
2001-06-07,190.096
2001-06-08,190.556
2001-06-11,190.154
2001-06-12,189.991
2001-06-13,192.737
2001-06-14,192.785
2001-06-15,193.311
2001-06-18,190.175
2001-06-19,189.791
2001-06-20,189.962
2001-06-21,191.057
2001-06-22,191.887
2001-06-25,192.04
2001-06-26,193.728
2001-06-27,192.566
2001-06-28,190.052
2001-06-29,191.537
2001-07-02,189.959
2001-07-03,192.554
2001-07-04,192.948
2001-07-05,191.797
2001-07-06,187.025
2001-07-09,187.163
2001-07-10,188.827
2001-07-11,188.114
2001-07-12,188.018
2001-07-13,189.361
2001-07-16,190.651
2001-07-17,189.055
2001-07-18,191.65
2001-07-19,192.035
2001-07-20,188.85
2001-07-23,189.165
2001-07-24,188.781
2001-07-25,187.844
2001-07-26,187.095
2001-07-27,185.942
2001-07-30,186.445
2001-07-31,187.626
2001-08-01,191.832
2001-08-02,194.463
2001-08-03,193.895
2001-08-06,194.558
2001-08-07,193.849
2001-08-08,195.271
2001-08-09,195.206
2001-08-10,196.031
2001-08-13,197.349
2001-08-14,196.453
2001-08-15,198.688
2001-08-16,197.003
2001-08-17,200.2
2001-08-20,197.67
2001-08-21,198.109
2001-08-22,200.354
2001-08-23,199.676
2001-08-24,199.752
2001-08-27,200.257
2001-08-28,199.936
2001-08-29,200.448
2001-08-30,200.465
2001-08-31,196.918
2001-09-03,197.957
2001-09-04,197.01
2001-09-05,195.164
2001-09-06,194.907
2001-09-07,193.004
2001-09-10,190.72
2001-09-11,194.841
2001-09-12,188.816
2001-09-13,188.471
2001-09-14,188.708
2001-09-17,178.694
2001-09-18,179.518
2001-09-19,180.053
2001-09-20,178.38
2001-09-21,173.266
2001-09-24,173.416
2001-09-25,175.994
2001-09-26,175.833
2001-09-27,175.751
2001-09-28,181.024
2001-10-01,182.095
2001-10-02,185.471
2001-10-03,186.071
2001-10-04,186.342
2001-10-05,190.327
2001-10-08,190.742
2001-10-09,189.408
2001-10-10,189.401
2001-10-11,189.575
2001-10-12,190.65
2001-10-15,194.66
2001-10-16,195.624
2001-10-17,197.296
2001-10-18,194.157
2001-10-19,192.55
2001-10-22,193.231
2001-10-23,193.741
2001-10-24,193.554
2001-10-25,194.544
2001-10-26,193.621
2001-10-29,195.379
2001-10-30,195.762
2001-10-31,194.657
2001-11-01,196.869
2001-11-02,196.488
2001-11-05,195.47
2001-11-06,200.158
2001-11-07,200.922
2001-11-08,201.57
2001-11-09,200.702
2001-11-12,202.262
2001-11-13,201.87
2001-11-14,202.868
2001-11-15,202.286
2001-11-16,202.974
2001-11-19,204.524
2001-11-20,204.817
2001-11-21,203.505
2001-11-22,203.488
2001-11-23,203.877
2001-11-26,204.449
2001-11-27,206.022
2001-11-28,206.059
2001-11-29,205.056
2001-11-30,207.635
2001-12-03,205.991
2001-12-04,204.047
2001-12-05,204.96
2001-12-06,204.989
2001-12-07,205.478
2001-12-10,204.908
2001-12-11,205.267
2001-12-12,205.175
2001-12-13,205.963
2001-12-14,205.028
2001-12-17,203.796
2001-12-18,205.116
2001-12-19,204.172
2001-12-20,201.863
2001-12-21,203.586
2001-12-24,205.151
2001-12-25,205.151
2001-12-26,205.01
2001-12-27,206.503
2001-12-28,208.054
2001-12-31,209.095
2002-01-01,209.095
2002-01-02,211.288
2002-01-03,210.136
2002-01-04,212.411
2002-01-07,213.103
2002-01-08,214.047
2002-01-09,214.217
2002-01-10,215.237
2002-01-11,214.863
2002-01-14,212.347
2002-01-15,213.231
2002-01-16,213.404
2002-01-17,210.06
2002-01-18,210.583
2002-01-21,212.351
2002-01-22,214.313
2002-01-23,215.277
2002-01-24,215.183
2002-01-25,214.524
2002-01-28,213.922
2002-01-29,214.58
2002-01-30,210.958
2002-01-31,212.646
2002-02-01,212.884
2002-02-04,213.329
2002-02-05,213.177
2002-02-06,212.696
2002-02-07,211.95
2002-02-08,214.344
2002-02-11,215.907
2002-02-12,215.262
2002-02-13,215.632
2002-02-14,218.772
2002-02-15,218.905
2002-02-18,218.763
2002-02-19,218.668
2002-02-20,217.863
2002-02-21,217.811
2002-02-22,217.603
2002-02-25,217.123
2002-02-26,218.404
2002-02-27,216.727
2002-02-28,217.409
2002-03-01,218.726
2002-03-04,220.124
2002-03-05,220.49
2002-03-06,221.36
2002-03-07,224.505
2002-03-08,222.966
2002-03-11,222.266
2002-03-12,221.573
2002-03-13,221.552
2002-03-14,222.682
2002-03-15,221.646
2002-03-18,223.133
2002-03-19,223.387
2002-03-20,227.482
2002-03-21,227.933
2002-03-22,227.828
2002-03-25,226.568
2002-03-26,223.477
2002-03-27,224.983
2002-03-28,227.673
2002-03-29,227.673
2002-04-01,228.079
2002-04-02,226.381
2002-04-03,225.129
2002-04-04,224.867
2002-04-05,225.246
2002-04-08,223.9
2002-04-09,223.564
2002-04-10,224.941
2002-04-11,226.586
2002-04-12,225.908
2002-04-15,225.308
2002-04-16,225.974
2002-04-17,228.768
2002-04-18,229.712
2002-04-19,231.056
2002-04-22,230.746
2002-04-23,230.565
2002-04-24,230.384
2002-04-25,231.362
2002-04-26,231.802
2002-04-29,228.953
2002-04-30,227.767
2002-05-01,229.828
2002-05-02,229.576
2002-05-03,231.097
2002-05-06,231.981
2002-05-07,232.577
2002-05-08,233.451
2002-05-09,233.118
2002-05-10,234.382
2002-05-13,234.094
2002-05-14,234.451
2002-05-15,236.728
2002-05-16,238.013
2002-05-17,240.829
2002-05-20,241.017
2002-05-21,241.594
2002-05-22,243.111
2002-05-23,242.515
2002-05-24,242.803
2002-05-27,242.503
2002-05-28,244.224
2002-05-29,245.369
2002-05-30,245.932
2002-05-31,246.953
2002-06-03,249.438
2002-06-04,247.346
2002-06-05,246.963
2002-06-06,249.352
2002-06-07,248.634
2002-06-10,246.986
2002-06-11,246.16
2002-06-12,245.765
2002-06-13,244.02
2002-06-14,239.69
2002-06-17,239.195
2002-06-18,241.443
2002-06-19,242.598
2002-06-20,244.951
2002-06-21,246.328
2002-06-24,247.182
2002-06-25,242.978
2002-06-26,238.522
2002-06-27,238.438
2002-06-28,238.771
2002-07-01,238.341
2002-07-02,239.765
2002-07-03,236.374
2002-07-04,235.945
2002-07-05,236.82
2002-07-08,241.316
2002-07-09,244.249
2002-07-10,242.912
