Date,ACWI Standard (Large+Mid Cap)
2000-12-29,100.0
2001-01-31,102.514
2001-02-28,93.869
2001-03-30,87.516
2001-04-30,93.853
2001-05-31,92.75
2001-06-29,89.882
2001-07-31,88.447
2001-08-31,84.352
2001-09-28,76.625
2001-10-31,78.242
2001-11-30,83.031
2001-12-31,83.791
2002-01-31,81.478
2002-02-28,80.855
2002-03-29,84.477
2002-04-30,81.77
2002-05-31,81.833
2002-06-28,76.809
2002-07-31,70.351
2002-08-30,70.507
2002-09-30,62.75
2002-10-31,67.353
2002-11-29,71.013
2002-12-31,67.605
2003-01-31,65.615
2003-02-28,64.438
2003-03-31,64.16
2003-04-30,69.847
2003-05-30,73.863
2003-06-30,75.246
2003-07-31,76.892
2003-08-29,78.69
2003-09-30,79.168
2003-10-31,83.948
2003-11-28,85.205
2003-12-31,90.582
2004-01-30,92.112
2004-02-27,93.779
2004-03-31,93.243
2004-04-30,91.053
2004-05-31,91.76
2004-06-30,93.576
2004-07-30,90.581
2004-08-31,91.133
2004-09-30,93.025
2004-10-29,95.299
2004-11-30,100.493
2004-12-31,104.381
2005-01-31,102.167
2005-02-28,105.707
2005-03-31,103.378
2005-04-29,101.097
2005-05-31,102.985
2005-06-30,104.026
2005-07-29,107.873
2005-08-31,108.692
2005-09-30,111.963
2005-10-31,108.947
2005-11-30,112.914
2005-12-30,115.691
2006-01-31,121.386
2006-02-28,121.208
2006-03-31,123.757
2006-04-28,127.876
2006-05-31,122.835
2006-06-30,122.782
2006-07-31,123.62
2006-08-31,126.825
2006-09-29,128.303
2006-10-31,133.115
2006-11-30,136.879
2006-12-29,139.933
2007-01-31,141.325
2007-02-28,140.581
2007-03-30,143.4
2007-04-30,149.766
2007-05-31,154.219
2007-06-29,153.765
2007-07-31,151.417
2007-08-31,150.998
2007-09-28,159.104
2007-10-31,165.311
2007-11-30,158.002
2007-12-31,156.253
2008-01-31,143.455
2008-02-29,143.861
2008-03-31,141.75
2008-04-30,149.658
2008-05-30,151.997
2008-06-30,139.516
2008-07-31,135.893
2008-08-29,132.964
2008-09-30,116.346
2008-10-31,93.292
2008-11-28,87.163
2008-12-31,90.322
2009-01-30,82.605
2009-02-27,74.517
2009-03-31,80.655
2009-04-30,90.176
2009-05-29,99.161
2009-06-30,98.605
2009-07-31,107.285
2009-08-31,111.122
2009-09-30,116.22
2009-10-30,114.424
2009-11-30,119.13
2009-12-31,121.597
2010-01-29,116.342
2010-02-26,117.824
2010-03-31,125.404
2010-04-30,125.615
2010-05-31,113.706
2010-06-30,110.203
2010-07-30,119.17
2010-08-31,115.004
2010-09-30,126.006
2010-10-29,130.56
2010-11-30,127.655
2010-12-31,137.003
2011-01-31,139.153
2011-02-28,143.205
2011-03-31,143.062
2011-04-29,148.915
2011-05-31,145.714
2011-06-30,143.418
2011-07-29,141.083
2011-08-31,130.777
2011-09-30,118.43
2011-10-31,131.119
2011-11-30,127.194
2011-12-30,126.937
2012-01-31,134.318
2012-02-29,141.076
2012-03-30,142.013
2012-04-30,140.389
2012-05-31,127.802
2012-06-29,134.114
2012-07-31,135.95
2012-08-31,138.906
2012-09-28,143.281
2012-10-31,142.326
2012-11-30,144.146
2012-12-31,147.411
2013-01-31,154.202
2013-02-28,154.178
2013-03-29,156.997
2013-04-30,161.482
2013-05-31,161.039
2013-06-28,156.332
2013-07-31,163.816
2013-08-30,160.403
2013-09-30,168.688
2013-10-31,175.468
2013-11-29,177.953
2013-12-31,181.023
2014-01-31,173.782
2014-02-28,182.177
2014-03-31,182.987
2014-04-30,184.729
2014-05-30,188.658
2014-06-30,192.21
2014-07-31,189.879
2014-08-29,194.073
2014-09-30,187.78
2014-10-31,189.102
2014-11-28,192.265
2014-12-31,188.555
2015-01-30,185.607
2015-02-27,195.94
2015-03-31,192.904
2015-04-30,198.501
2015-05-29,198.242
2015-06-30,193.575
2015-07-31,195.256
2015-08-31,181.871
2015-09-30,175.282
2015-10-30,189.039
2015-11-30,187.478
2015-12-31,184.097
2016-01-29,172.994
2016-02-29,171.804
2016-03-31,184.536
2016-04-29,187.26
2016-05-31,187.496
2016-06-30,186.361
2016-07-29,194.392
2016-08-31,195.046
2016-09-30,196.241
2016-10-31,192.91
2016-11-30,194.376
2016-12-30,198.575
2017-01-31,204.005
2017-02-28,209.728
2017-03-31,212.293
2017-04-28,215.602
2017-05-31,220.363
2017-06-30,221.365
2017-07-31,227.551
2017-08-31,228.423
2017-09-29,232.836
2017-10-31,237.671
2017-11-30,242.272
2017-12-29,246.178
2018-01-31,260.066
2018-02-28,249.144
2018-03-30,243.811
2018-04-30,246.139
2018-05-31,246.446
2018-06-29,245.112
2018-07-31,252.504
2018-08-31,254.487
2018-09-28,255.595
2018-10-31,236.441
2018-11-30,239.899
2018-12-31,223.002
2019-01-31,240.61
2019-02-28,247.046
2019-03-29,250.152
2019-04-30,258.599
2019-05-31,243.259
2019-06-28,259.188
2019-07-31,259.947
2019-08-30,253.781
2019-09-30,259.12
2019-10-31,266.212
2019-11-29,272.711
2019-12-31,282.314
2020-01-31,279.196
2020-02-28,256.645
2020-03-31,221.997
2020-04-30,245.779
2020-05-29,256.468
2020-06-30,264.663
2020-07-31,278.66
2020-08-31,295.716
2020-09-30,286.181
2020-10-30,279.224
2020-11-30,313.642
2020-12-31,328.204
2021-01-29,326.712
2021-02-26,334.279
2021-03-31,343.208
2021-04-30,358.214
2021-05-31,363.788
2021-06-30,368.582
2021-07-30,371.122
2021-08-31,380.411
2021-09-30,364.696
2021-10-29,383.312
2021-11-30,374.081
2021-12-31,389.045
2022-01-31,369.938
2022-02-28,360.383
2022-03-31,368.189
2022-04-29,338.718
2022-05-31,339.115
2022-06-30,310.529
2022-07-29,332.214
2022-08-31,319.983
2022-09-30,289.351
2022-10-31,306.813
2022-11-30,330.61
2022-12-30,317.601
2023-01-31,340.365
2023-02-28,330.61
2023-03-31,340.804
2023-04-28,345.702
2023-05-31,341.999
2023-06-30,361.856
2023-07-31,375.103
2023-08-31,364.621
2023-09-29,349.544
2023-10-31,339.034
2023-11-30,370.326
2023-12-29,388.114
2024-01-31,390.389
2024-02-29,407.142
2024-03-29,419.925
2024-04-30,406.07
2024-05-31,422.562
2024-06-28,431.974
2024-07-31,438.94
2024-08-30,450.088
2024-09-30,460.544
2024-10-31,450.206
2024-11-29,467.045
2024-12-31,455.99
2025-01-31,471.295
2025-02-28,468.456
2025-03-31,449.95
2025-04-30,454.146
2025-05-30,480.25
2025-06-30,501.814
2025-07-31,508.62
2025-08-29,521.178
2025-09-30,540.066
2025-10-31,552.145
2025-11-28,552.084
2025-12-31,557.846
2026-01-30,574.383
