Date,ACWI Standard (Large+Mid Cap)
2001-01-01,99.995
2001-01-02,98.496
2001-01-03,100.521
2001-01-04,100.673
2001-01-05,99.469
2001-01-08,99.113
2001-01-09,98.661
2001-01-10,98.792
2001-01-11,99.644
2001-01-12,99.595
2001-01-15,99.514
2001-01-16,99.674
2001-01-17,100.282
2001-01-18,101.469
2001-01-19,101.233
2001-01-22,101.25
2001-01-23,101.931
2001-01-24,101.784
2001-01-25,101.592
2001-01-26,101.417
2001-01-29,101.757
2001-01-30,102.369
2001-01-31,102.514
2001-02-01,102.883
2001-02-02,101.373
2001-02-05,101.48
2001-02-06,101.309
2001-02-07,100.378
2001-02-08,99.537
2001-02-09,98.508
2001-02-12,99.553
2001-02-13,98.87
2001-02-14,98.287
2001-02-15,98.722
2001-02-16,97.429
2001-02-19,97.32
2001-02-20,95.993
2001-02-21,94.657
2001-02-22,94.254
2001-02-23,93.591
2001-02-26,94.832
2001-02-27,94.737
2001-02-28,93.869
2001-03-01,93.791
2001-03-02,93.199
2001-03-05,93.648
2001-03-06,94.749
2001-03-07,95.006
2001-03-08,95.093
2001-03-09,93.539
2001-03-12,90.212
2001-03-13,89.999
2001-03-14,88.053
2001-03-15,88.755
2001-03-16,86.797
2001-03-19,87.451
2001-03-20,86.875
2001-03-21,85.895
2001-03-22,83.846
2001-03-23,85.832
2001-03-26,87.794
2001-03-27,89.558
2001-03-28,87.927
2001-03-29,87.048
2001-03-30,87.516
2001-04-02,86.604
2001-04-03,84.474
2001-04-04,84.963
2001-04-05,87.472
2001-04-06,86.787
2001-04-09,87.148
2001-04-10,88.548
2001-04-11,88.636
2001-04-12,89.703
2001-04-13,89.669
2001-04-16,89.177
2001-04-17,89.46
2001-04-18,92.175
2001-04-19,93.526
2001-04-20,93.1
2001-04-23,92.027
2001-04-24,91.398
2001-04-25,92.305
2001-04-26,92.999
2001-04-27,93.77
2001-04-30,93.853
2001-05-01,95.026
2001-05-02,95.15
2001-05-03,94.022
2001-05-04,94.902
2001-05-07,94.947
2001-05-08,94.384
2001-05-09,93.837
2001-05-10,94.224
2001-05-11,93.506
2001-05-14,92.858
2001-05-15,93.345
2001-05-16,94.727
2001-05-17,95.397
2001-05-18,95.457
2001-05-21,96.481
2001-05-22,96.341
2001-05-23,95.366
2001-05-24,95.404
2001-05-25,94.559
2001-05-28,94.575
2001-05-29,93.984
2001-05-30,92.711
2001-05-31,92.75
2001-06-01,92.861
2001-06-04,93.274
2001-06-05,94.054
2001-06-06,93.346
2001-06-07,93.699
2001-06-08,93.187
2001-06-11,92.197
2001-06-12,91.642
2001-06-13,91.427
2001-06-14,90.505
2001-06-15,89.956
2001-06-18,89.289
2001-06-19,89.392
2001-06-20,89.578
2001-06-21,90.304
2001-06-22,90.078
2001-06-25,89.893
2001-06-26,89.377
2001-06-27,89.061
2001-06-28,89.523
2001-06-29,89.882
2001-07-02,90.734
2001-07-03,90.326
2001-07-04,90.0
2001-07-05,88.785
2001-07-06,87.072
2001-07-09,87.463
2001-07-10,86.942
2001-07-11,86.533
2001-07-12,87.901
