Date,ACWI Standard (Large+Mid Cap)
2001-01-01,379.84
2001-01-02,374.148
2001-01-03,381.84
2001-01-04,382.42
2001-01-05,377.847
2001-01-08,376.503
2001-01-09,374.784
2001-01-10,375.287
2001-01-11,378.527
2001-01-12,378.342
2001-01-15,378.031
2001-01-16,378.646
2001-01-17,380.96
2001-01-18,385.47
2001-01-19,384.575
2001-01-22,384.64
2001-01-23,387.228
2001-01-24,386.667
2001-01-25,385.941
2001-01-26,385.274
2001-01-29,386.572
2001-01-30,388.9
2001-01-31,389.463
2001-02-01,390.872
2001-02-02,385.133
2001-02-05,385.54
2001-02-06,384.894
2001-02-07,381.37
2001-02-08,378.174
2001-02-09,374.269
2001-02-12,378.239
2001-02-13,375.65
2001-02-14,373.449
2001-02-15,375.105
2001-02-16,370.196
2001-02-19,369.783
2001-02-20,364.742
2001-02-21,359.669
2001-02-22,358.14
2001-02-23,355.62
2001-02-26,360.341
2001-02-27,359.983
2001-02-28,356.694
2001-03-01,356.4
2001-03-02,354.148
2001-03-05,355.866
2001-03-06,360.053
2001-03-07,361.039
2001-03-08,361.374
2001-03-09,355.472
2001-03-12,342.829
2001-03-13,342.032
2001-03-14,334.635
2001-03-15,337.304
2001-03-16,329.865
2001-03-19,332.355
2001-03-20,330.166
2001-03-21,326.449
2001-03-22,318.671
2001-03-23,326.219
2001-03-26,333.683
2001-03-27,340.428
2001-03-28,334.237
2001-03-29,330.901
2001-03-30,332.683
2001-04-02,329.218
2001-04-03,321.12
2001-04-04,322.987
2001-04-05,332.53
2001-04-06,329.946
2001-04-09,331.32
2001-04-10,336.649
2001-04-11,336.999
2001-04-12,341.068
2001-04-13,340.938
2001-04-16,339.068
2001-04-17,340.152
2001-04-18,350.48
2001-04-19,355.625
2001-04-20,354.007
2001-04-23,349.938
2001-04-24,347.547
2001-04-25,351.002
2001-04-26,353.651
2001-04-27,356.596
2001-04-30,356.915
2001-05-01,361.381
2001-05-02,361.866
2001-05-03,357.587
2001-05-04,360.943
2001-05-07,361.117
2001-05-08,358.981
2001-05-09,356.912
2001-05-10,358.394
2001-05-11,355.679
2001-05-14,353.224
2001-05-15,355.079
2001-05-16,360.347
2001-05-17,362.9
2001-05-18,363.147
2001-05-21,367.061
2001-05-22,366.532
2001-05-23,362.833
2001-05-24,362.98
2001-05-25,359.771
2001-05-28,359.831
2001-05-29,357.597
2001-05-30,352.778
2001-05-31,352.936
2001-06-01,353.365
2001-06-04,354.938
2001-06-05,357.912
2001-06-06,355.225
2001-06-07,356.575
2001-06-08,354.638
2001-06-11,350.873
2001-06-12,348.763
2001-06-13,347.962
2001-06-14,344.461
2001-06-15,342.371
2001-06-18,339.853
2001-06-19,340.246
2001-06-20,340.958
2001-06-21,343.727
2001-06-22,342.865
2001-06-25,342.154
2001-06-26,340.192
2001-06-27,338.995
2001-06-28,340.754
2001-06-29,342.123
2001-07-02,345.37
2001-07-03,343.828
2001-07-04,342.589
2001-07-05,337.973
2001-07-06,331.467
2001-07-09,332.956
2001-07-10,330.979
2001-07-11,329.424
2001-07-12,334.635
2001-07-13,335.838
2001-07-16,333.713
2001-07-17,333.812
2001-07-18,333.189
2001-07-19,335.68
2001-07-20,334.61
2001-07-23,330.416
2001-07-24,327.218
2001-07-25,329.453
2001-07-26,331.592
2001-07-27,333.291
2001-07-30,333.831
2001-07-31,336.731
2001-08-01,338.669
2001-08-02,341.074
2001-08-03,339.257
2001-08-06,336.515
2001-08-07,337.135
2001-08-08,332.749
2001-08-09,331.051
2001-08-10,332.213
2001-08-13,332.557
2001-08-14,334.1
2001-08-15,334.147
2001-08-16,333.138
2001-08-17,328.612
2001-08-20,328.836
2001-08-21,328.177
2001-08-22,330.304
2001-08-23,328.747
2001-08-24,333.555
2001-08-27,332.994
2001-08-28,328.899
2001-08-29,326.367
2001-08-30,320.715
2001-08-31,321.256
2001-09-03,319.079
2001-09-04,319.94
2001-09-05,317.55
2001-09-06,311.593
2001-09-07,307.285
2001-09-10,306.156
2001-09-11,301.282
2001-09-12,299.584
2001-09-13,300.994
2001-09-14,298.198
2001-09-17,290.403
2001-09-18,289.292
2001-09-19,286.595
2001-09-20,277.737
2001-09-21,270.511
2001-09-24,280.295
2001-09-25,283.537
2001-09-26,283.455
2001-09-27,285.839
2001-09-28,291.911
2001-10-01,290.636
2001-10-02,293.637
2001-10-03,296.704
2001-10-04,299.615
2001-10-05,300.049
2001-10-08,298.594
2001-10-09,296.919
2001-10-10,301.737
2001-10-11,305.667
2001-10-12,305.308
2001-10-15,303.092
2001-10-16,305.41
2001-10-17,304.65
2001-10-18,300.848
2001-10-19,299.715
2001-10-22,302.876
2001-10-23,304.53
2001-10-24,305.292
2001-10-25,306.248
2001-10-26,308.296
2001-10-29,303.059
2001-10-30,298.001
2001-10-31,298.114
2001-11-01,303.053
2001-11-02,303.595
2001-11-05,307.587
2001-11-06,310.612
2001-11-07,310.298
2001-11-08,312.568
2001-11-09,311.907
2001-11-12,309.333
2001-11-13,313.65
2001-11-14,314.731
2001-11-15,315.859
2001-11-16,316.469
2001-11-19,319.49
2001-11-20,317.232
2001-11-21,315.571
2001-11-22,316.633
2001-11-23,317.925
2001-11-26,320.047
2001-11-27,317.937
2001-11-28,313.238
2001-11-29,314.805
2001-11-30,316.448
2001-12-03,313.384
2001-12-04,316.99
2001-12-05,324.353
2001-12-06,325.016
2001-12-07,322.313
2001-12-10,316.959
2001-12-11,316.201
2001-12-12,316.967
2001-12-13,311.886
2001-12-14,311.72
2001-12-17,315.326
2001-12-18,316.582
2001-12-19,316.626
2001-12-20,314.698
2001-12-21,315.432
2001-12-24,314.771
2001-12-25,314.746
2001-12-26,315.438
2001-12-27,319.254
2001-12-28,320.673
2001-12-31,319.414
2002-01-01,319.416
2002-01-02,320.699
2002-01-03,324.169
2002-01-04,326.208
2002-01-07,324.224
2002-01-08,321.784
2002-01-09,320.544
2002-01-10,319.543
2002-01-11,317.941
2002-01-14,315.239
2002-01-15,316.329
2002-01-16,311.674
2002-01-17,314.183
2002-01-18,312.592
2002-01-21,312.236
2002-01-22,310.087
2002-01-23,311.958
2002-01-24,313.474
2002-01-25,312.354
2002-01-28,313.173
2002-01-29,306.565
2002-01-30,306.632
2002-01-31,310.662
2002-02-01,309.115
2002-02-04,304.121
2002-02-05,301.718
2002-02-06,299.897
2002-02-07,300.502
2002-02-08,303.505
2002-02-11,307.454
2002-02-12,307.197
2002-02-13,309.481
2002-02-14,310.564
2002-02-15,307.938
2002-02-18,307.228
2002-02-19,301.799
2002-02-20,302.925
2002-02-21,301.792
2002-02-22,302.927
2002-02-25,306.541
2002-02-26,306.794
2002-02-27,308.685
2002-02-28,308.38
2002-03-01,314.049
2002-03-04,321.839
2002-03-05,320.306
2002-03-06,323.929
2002-03-07,325.613
2002-03-08,326.707
2002-03-11,327.363
2002-03-12,324.92
2002-03-13,322.706
2002-03-14,323.681
2002-03-15,326.816
2002-03-18,326.491
2002-03-19,328.238
2002-03-20,324.37
2002-03-21,323.988
2002-03-22,322.853
2002-03-25,319.026
2002-03-26,320.07
2002-03-27,321.158
2002-03-28,322.896
2002-03-29,322.306
2002-04-01,322.701
2002-04-02,321.241
2002-04-03,319.803
2002-04-04,319.366
2002-04-05,318.643
2002-04-08,317.125
2002-04-09,315.713
2002-04-10,318.876
2002-04-11,313.288
2002-04-12,314.188
2002-04-15,314.104
2002-04-16,320.343
2002-04-17,321.469
2002-04-18,321.202
2002-04-19,321.138
2002-04-22,318.151
2002-04-23,316.739
2002-04-24,315.467
2002-04-25,315.1
2002-04-26,312.077
2002-04-29,309.983
2002-04-30,312.098
2002-05-01,314.244
2002-05-02,313.495
2002-05-03,312.314
2002-05-06,308.676
2002-05-07,306.379
2002-05-08,314.699
2002-05-09,311.993
2002-05-10,308.637
2002-05-13,312.088
2002-05-14,315.746
2002-05-15,316.942
2002-05-16,318.375
2002-05-17,321.177
2002-05-20,318.516
2002-05-21,316.15
2002-05-22,317.089
2002-05-23,318.273
2002-05-24,316.707
2002-05-27,316.313
2002-05-28,314.941
2002-05-29,313.615
2002-05-30,312.52
2002-05-31,312.539
2002-06-03,308.285
2002-06-04,306.745
2002-06-05,306.834
2002-06-06,303.631
2002-06-07,301.723
2002-06-10,302.208
2002-06-11,299.771
2002-06-12,299.153
2002-06-13,296.062
2002-06-14,293.143
2002-06-17,299.373
2002-06-18,299.94
2002-06-19,295.478
2002-06-20,292.378
2002-06-21,289.401
2002-06-24,288.842
2002-06-25,287.383
2002-06-26,285.895
2002-06-27,289.537
2002-06-28,293.466
2002-07-01,290.052
2002-07-02,284.035
2002-07-03,282.685
2002-07-04,284.061
2002-07-05,292.914
2002-07-08,292.025
2002-07-09,288.366
2002-07-10,279.751
2002-07-11,277.393
2002-07-12,276.99
2002-07-15,273.188
2002-07-16,270.388
2002-07-17,273.594
2002-07-18,271.275
2002-07-19,262.082
2002-07-22,252.632
2002-07-23,246.32
2002-07-24,252.103
2002-07-25,253.943
2002-07-26,254.768
2002-07-29,265.829
2002-07-30,267.751
2002-07-31,268.855
2002-08-01,261.245
2002-08-02,258.031
2002-08-05,250.563
2002-08-06,254.923
2002-08-07,258.633
2002-08-08,266.023
2002-08-09,268.601
2002-08-12,266.285
2002-08-13,263.73
2002-08-14,268.894
2002-08-15,272.559
2002-08-16,273.124
2002-08-19,277.633
2002-08-20,274.37
2002-08-21,277.699
2002-08-22,281.026
2002-08-23,276.382
2002-08-26,277.451
2002-08-27,277.005
2002-08-28,270.902
2002-08-29,269.382
2002-08-30,269.55
2002-09-02,268.318
2002-09-03,259.186
2002-09-04,261.06
2002-09-05,258.515
2002-09-06,262.288
2002-09-09,262.921
2002-09-10,265.4
2002-09-11,266.846
2002-09-12,260.975
2002-09-13,259.399
2002-09-16,258.622
2002-09-17,255.669
2002-09-18,252.719
2002-09-19,247.921
2002-09-20,247.393
2002-09-23,242.874
2002-09-24,238.974
2002-09-25,242.852
2002-09-26,248.599
2002-09-27,244.478
2002-09-30,239.985
2002-10-01,245.543
2002-10-02,243.9
2002-10-03,241.372
2002-10-04,236.834
2002-10-07,232.227
2002-10-08,233.08
2002-10-09,229.089
2002-10-10,234.502
2002-10-11,243.258
2002-10-14,243.788
2002-10-15,255.093
2002-10-16,250.796
2002-10-17,255.874
2002-10-18,256.686
2002-10-21,259.237
2002-10-22,256.547
2002-10-23,255.846
2002-10-24,255.118
2002-10-25,257.739
