Date,ACWI Standard (Large+Mid Cap)
1987-12-31,100.0
1988-01-29,102.533
1988-02-29,108.488
1988-03-31,111.862
1988-04-29,113.314
1988-05-31,111.102
1988-06-30,111.014
1988-07-29,113.095
1988-08-31,106.907
1988-09-30,111.526
1988-10-31,118.849
1988-11-30,122.858
1988-12-30,123.991
1989-01-31,128.482
1989-02-28,127.723
1989-03-31,127.02
1989-04-28,130.217
1989-05-31,127.146
1989-06-30,125.381
1989-07-31,139.551
1989-08-31,136.271
1989-09-29,140.397
1989-10-31,135.881
1989-11-30,141.228
1989-12-29,145.87
1990-01-31,139.172
1990-02-28,133.33
1990-03-30,125.1
1990-04-30,123.53
1990-05-31,136.437
1990-06-29,135.521
1990-07-31,136.897
1990-08-31,124.028
1990-09-28,111.069
1990-10-31,121.29
1990-11-30,119.257
1990-12-31,121.83
1991-01-31,126.336
1991-02-28,138.217
1991-03-29,134.36
1991-04-30,135.492
1991-05-31,138.733
1991-06-28,130.274
1991-07-31,136.48
1991-08-30,136.205
1991-09-30,139.674
1991-10-31,142.105
1991-11-29,135.99
1991-12-31,146.089
1992-01-31,143.905
1992-02-28,141.731
1992-03-31,135.422
1992-04-30,137.238
1992-05-29,142.498
1992-06-30,137.417
1992-07-31,137.856
1992-08-31,140.947
1992-09-30,139.746
1992-10-30,136.328
1992-11-30,138.597
1992-12-31,139.908
1993-01-29,140.403
1993-02-26,143.705
1993-03-31,151.963
1993-04-30,158.865
1993-05-31,162.597
1993-06-30,161.542
1993-07-30,164.892
1993-08-31,172.711
1993-09-30,169.815
1993-10-29,174.844
1993-11-30,165.755
1993-12-31,174.72
1994-01-31,186.307
1994-02-28,183.614
1994-03-31,175.364
1994-04-29,180.133
1994-05-31,181.195
1994-06-30,180.315
1994-07-29,184.306
1994-08-31,190.871
1994-09-30,186.389
1994-10-31,191.166
1994-11-30,182.864
1994-12-30,183.502
1995-01-31,179.768
1995-02-28,181.688
1995-03-31,190.01
1995-04-28,196.921
1995-05-31,199.095
1995-06-30,199.139
1995-07-31,208.774
1995-08-31,204.203
1995-09-29,209.821
1995-10-31,206.314
1995-11-30,212.804
1995-12-29,219.212
1996-01-31,224.085
1996-02-29,225.018
1996-03-29,228.482
1996-04-30,234.061
1996-05-31,234.303
1996-06-28,235.588
1996-07-31,226.789
1996-08-30,229.586
1996-09-30,238.064
1996-10-31,239.016
1996-11-29,251.794
1996-12-31,248.147
1997-01-31,252.31
1997-02-28,255.75
1997-03-31,250.634
1997-04-30,258.684
1997-05-30,274.119
1997-06-30,288.146
1997-07-31,301.175
1997-08-29,280.044
1997-09-30,294.979
1997-10-31,277.415
1997-11-28,281.659
1997-12-31,285.357
1998-01-30,291.639
1998-02-27,311.59
1998-03-31,324.885
1998-04-30,327.93
1998-05-29,321.708
1998-06-30,327.504
1998-07-31,327.611
1998-08-31,281.712
1998-09-30,287.316
1998-10-30,313.556
1998-11-30,332.592
1998-12-31,348.038
1999-01-29,355.151
1999-02-26,346.225
1999-03-31,361.798
