Date,BELGIUM IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,149.759
1994-06-30,148.297
1994-07-29,154.922
1994-08-31,156.329
1994-09-30,147.908
1994-10-31,152.874
1994-11-30,151.014
1994-12-30,152.501
1995-01-31,150.926
1995-02-28,155.651
1995-03-31,165.67
1995-04-28,175.253
1995-05-31,179.702
1995-06-30,183.48
1995-07-31,188.747
1995-08-31,177.246
1995-09-29,183.057
1995-10-31,182.733
1995-11-30,184.588
1995-12-29,196.466
1996-01-31,201.864
1996-02-29,198.437
1996-03-29,193.468
1996-04-30,195.048
1996-05-31,200.415
1996-06-28,204.029
1996-07-31,206.281
1996-08-30,207.373
1996-09-30,209.106
1996-10-31,211.646
1996-11-29,217.761
1996-12-31,219.698
1997-01-31,224.774
1997-02-28,228.297
1997-03-31,232.886
1997-04-30,236.42
1997-05-30,250.0
1997-06-30,255.344
1997-07-31,257.805
1997-08-29,239.413
1997-09-30,253.607
1997-10-31,252.876
1997-11-28,255.18
1997-12-31,262.621
1998-01-30,271.041
1998-02-27,285.757
1998-03-31,308.122
1998-04-30,331.923
1998-05-29,370.622
1998-06-30,392.326
1998-07-31,401.457
1998-08-31,360.749
1998-09-30,351.996
1998-10-30,371.428
1998-11-30,381.221
1998-12-31,416.197
1999-01-29,400.401
1999-02-26,391.821
1999-03-31,369.089
1999-04-30,366.043
1999-05-31,350.14
1999-06-30,350.132
1999-07-30,355.872
1999-08-31,371.383
1999-09-30,363.47
1999-10-29,361.083
1999-11-30,355.043
1999-12-31,377.414
2000-01-31,314.383
2000-02-29,310.49
2000-03-31,306.309
2000-04-28,300.526
2000-05-31,313.939
2000-06-30,337.576
2000-07-31,342.193
2000-08-31,335.188
2000-09-29,325.813
2000-10-31,316.817
2000-11-30,314.004
2000-12-29,342.144
2001-01-31,333.966
2001-02-28,339.355
2001-03-30,309.652
2001-04-30,313.128
2001-05-31,301.128
2001-06-29,310.399
2001-07-31,325.26
2001-08-31,330.717
2001-09-28,300.393
2001-10-31,292.024
2001-11-30,295.488
2001-12-31,313.59
2002-01-31,298.385
2002-02-28,298.354
2002-03-29,307.69
2002-04-30,327.675
2002-05-31,336.618
2002-06-28,331.827
2002-07-31,284.38
2002-08-30,289.074
2002-09-30,236.784
2002-10-31,262.483
2002-11-29,275.861
2002-12-31,280.456
2003-01-31,266.349
2003-02-28,241.139
2003-03-31,236.384
2003-04-30,278.568
2003-05-30,312.172
2003-06-30,312.425
2003-07-31,322.387
2003-08-29,311.321
2003-09-30,329.347
2003-10-31,349.318
2003-11-28,361.741
2003-12-31,392.263
2004-01-30,412.746
2004-02-27,429.246
2004-03-31,406.896
2004-04-30,406.3
2004-05-31,417.011
2004-06-30,429.836
2004-07-30,424.16
2004-08-31,442.494
2004-09-30,476.02
2004-10-29,507.787
2004-11-30,549.869
2004-12-31,581.274
2005-01-31,571.873
2005-02-28,604.94
2005-03-31,604.889
2005-04-29,586.698
2005-05-31,589.73
2005-06-30,591.365
2005-07-29,615.459
2005-08-31,624.047
2005-09-30,636.709
2005-10-31,622.329
2005-11-30,638.972
2005-12-30,668.992
2006-01-31,719.164
2006-02-28,728.964
2006-03-31,742.664
2006-04-28,779.135
2006-05-31,753.452
2006-06-30,745.587
2006-07-31,766.883
2006-08-31,811.838
2006-09-29,840.575
2006-10-31,863.81
2006-11-30,870.838
2006-12-29,913.299
2007-01-31,920.748
2007-02-28,917.769
2007-03-30,961.397
2007-04-30,1003.568
2007-05-31,1000.0
2007-06-29,1003.793
2007-07-31,953.726
2007-08-31,920.811
2007-09-28,931.962
2007-10-31,978.153
2007-11-30,889.794
2007-12-31,870.699
2008-01-31,777.15
2008-02-29,786.026
2008-03-31,835.929
2008-04-30,888.454
2008-05-30,847.249
2008-06-30,678.682
2008-07-31,615.148
2008-08-29,614.688
2008-09-30,452.897
2008-10-31,282.082
2008-11-28,261.698
2008-12-31,277.656
2009-01-30,264.238
2009-02-27,226.105
2009-03-31,250.439
2009-04-30,290.762
2009-05-29,336.455
2009-06-30,325.383
2009-07-31,354.83
2009-08-31,398.779
2009-09-30,431.671
2009-10-30,412.536
2009-11-30,421.469
2009-12-31,411.187
2010-01-29,404.321
2010-02-26,398.838
2010-03-31,416.884
2010-04-30,398.652
2010-05-31,354.124
2010-06-30,341.058
2010-07-30,383.116
2010-08-31,360.788
2010-09-30,405.833
2010-10-29,418.418
2010-11-30,365.67
2010-12-31,387.328
2011-01-31,415.479
2011-02-28,431.573
2011-03-31,436.705
2011-04-29,479.636
2011-05-31,465.42
2011-06-30,455.859
2011-07-29,424.751
2011-08-31,388.051
2011-09-30,333.35
2011-10-31,349.431
2011-11-30,311.541
2011-12-30,298.422
2012-01-31,326.596
2012-02-29,349.242
2012-03-30,351.724
2012-04-30,331.769
2012-05-31,291.177
2012-06-29,312.329
2012-07-31,312.038
2012-08-31,326.703
2012-09-28,345.407
2012-10-31,348.646
2012-11-30,365.192
2012-12-31,388.989
2013-01-31,423.431
2013-02-28,408.413
2013-03-29,398.079
2013-04-30,428.702
2013-05-31,433.553
2013-06-28,417.309
2013-07-31,449.452
2013-08-30,440.462
2013-09-30,465.943
2013-10-31,484.297
2013-11-29,480.749
2013-12-31,491.727
2014-01-31,495.074
2014-02-28,531.397
2014-03-31,531.06
2014-04-30,535.43
2014-05-30,538.475
2014-06-30,528.482
2014-07-31,511.028
2014-08-29,513.887
2014-09-30,494.86
2014-10-31,497.176
2014-11-28,516.902
2014-12-31,505.416
2015-01-30,509.898
2015-02-27,534.8
2015-03-31,515.857
2015-04-30,527.998
2015-05-29,533.176
2015-06-30,523.909
2015-07-31,551.358
2015-08-31,524.915
2015-09-30,516.334
2015-10-30,548.761
2015-11-30,541.35
2015-12-31,559.451
2016-01-29,520.391
2016-02-29,509.771
2016-03-31,538.823
2016-04-29,554.079
2016-05-31,570.43
2016-06-30,528.268
2016-07-29,555.386
2016-08-31,576.734
2016-09-30,590.064
2016-10-31,585.778
2016-11-30,574.329
2016-12-30,595.424
2017-01-31,609.289
2017-02-28,595.548
2017-03-31,629.621
2017-04-28,658.446
2017-05-31,698.375
2017-06-30,695.969
2017-07-31,739.647
2017-08-31,745.155
2017-09-29,764.973
2017-10-31,755.361
2017-11-30,753.343
2017-12-29,763.18
2018-01-31,828.564
2018-02-28,804.065
2018-03-30,771.39
2018-04-30,779.663
2018-05-31,743.353
2018-06-29,728.189
2018-07-31,753.367
2018-08-31,728.128
2018-09-28,732.8
2018-10-31,687.384
2018-11-30,699.616
2018-12-31,663.097
2019-01-31,697.472
2019-02-28,720.067
2019-03-29,720.107
2019-04-30,751.788
2019-05-31,719.547
2019-06-28,749.512
2019-07-31,752.109
2019-08-30,733.132
2019-09-30,766.86
2019-10-31,807.976
2019-11-29,834.626
2019-12-31,855.233
2020-01-31,821.664
2020-02-28,734.104
2020-03-31,619.592
2020-04-30,650.974
2020-05-29,662.47
2020-06-30,692.49
