Date,BELGIUM IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,167.67
1994-06-30,165.319
1994-07-29,172.686
1994-08-31,174.255
1994-09-30,164.868
1994-10-31,170.404
1994-11-30,168.331
1994-12-30,169.983
1995-01-31,168.215
1995-02-28,173.481
1995-03-31,184.648
1995-04-28,195.321
1995-05-31,199.182
1995-06-30,202.506
1995-07-31,208.315
1995-08-31,195.622
1995-09-29,202.036
1995-10-31,201.678
1995-11-30,203.724
1995-12-29,216.828
1996-01-31,222.76
1996-02-29,218.978
1996-03-29,213.494
1996-04-30,215.238
1996-05-31,219.954
1996-06-28,223.249
1996-07-31,225.7
1996-08-30,226.895
1996-09-30,228.791
1996-10-31,231.549
1996-11-29,238.238
1996-12-31,240.352
1997-01-31,245.883
1997-02-28,249.719
1997-03-31,254.646
1997-04-30,258.504
1997-05-30,271.969
1997-06-30,276.937
1997-07-31,279.6
1997-08-29,259.653
1997-09-30,274.942
1997-10-31,274.15
1997-11-28,276.648
1997-12-31,284.714
1998-01-30,293.819
1998-02-27,309.754
1998-03-31,333.972
1998-04-30,359.6
1998-05-29,400.139
1998-06-30,422.755
1998-07-31,432.593
1998-08-31,388.728
1998-09-30,379.296
1998-10-30,400.235
1998-11-30,410.787
1998-12-31,448.476
1999-01-29,431.163
1999-02-26,421.924
1999-03-31,397.446
1999-04-30,394.165
1999-05-31,376.214
1999-06-30,375.74
1999-07-30,381.9
1999-08-31,398.546
1999-09-30,390.054
1999-10-29,387.492
1999-11-30,381.01
1999-12-31,405.017
2000-01-31,337.357
2000-02-29,333.179
2000-03-31,328.693
2000-04-28,322.487
2000-05-31,335.625
2000-06-30,360.601
2000-07-31,365.532
2000-08-31,358.05
2000-09-29,348.036
2000-10-31,338.426
2000-11-30,335.421
2000-12-29,365.48
2001-01-31,356.688
2001-02-28,362.444
2001-03-30,330.721
2001-04-30,334.041
2001-05-31,319.989
2001-06-29,329.07
2001-07-31,344.816
2001-08-31,350.601
2001-09-28,318.454
2001-10-31,309.574
2001-11-30,313.246
2001-12-31,332.352
2002-01-31,316.182
2002-02-28,316.148
2002-03-29,326.023
2002-04-30,346.823
2002-05-31,354.641
2002-06-28,348.913
2002-07-31,299.023
2002-08-30,303.959
2002-09-30,248.976
2002-10-31,275.999
2002-11-29,290.065
2002-12-31,294.898
2003-01-31,280.009
2003-02-28,253.505
2003-03-31,248.506
2003-04-30,292.493
2003-05-30,325.135
2003-06-30,324.491
2003-07-31,334.839
2003-08-29,323.345
2003-09-30,342.068
2003-10-31,362.809
2003-11-28,375.694
2003-12-31,407.393
2004-01-30,428.564
2004-02-27,445.692
2004-03-31,422.472
2004-04-30,421.707
2004-05-31,429.771
2004-06-30,441.824
2004-07-30,435.99
2004-08-31,454.835
2004-09-30,489.296
2004-10-29,521.948
2004-11-30,565.165
2004-12-31,597.436
2005-01-31,587.653
2005-02-28,621.633
2005-03-31,621.554
2005-04-29,602.741
2005-05-31,600.873
2005-06-30,602.255
2005-07-29,626.793
2005-08-31,634.424
2005-09-30,647.297
2005-10-31,632.678
2005-11-30,649.56
2005-12-30,680.001
2006-01-31,730.883
2006-02-28,740.842
2006-03-31,754.737
2006-04-28,790.833
2006-05-31,762.406
2006-06-30,752.439
2006-07-31,773.931
2006-08-31,817.687
2006-09-29,846.631
2006-10-31,870.009
2006-11-30,877.087
2006-12-29,919.588
2007-01-31,926.936
2007-02-28,923.934
2007-03-30,967.834
2007-04-30,1007.988
2007-05-31,1000.0
2007-06-29,1003.435
2007-07-31,953.278
2007-08-31,918.297
2007-09-28,929.397
2007-10-31,975.436
2007-11-30,887.322
2007-12-31,867.981
2008-01-31,774.564
2008-02-29,783.411
2008-03-31,833.148
2008-04-30,884.122
2008-05-30,836.941
2008-06-30,670.26
2008-07-31,607.514
2008-08-29,607.03
2008-09-30,447.203
2008-10-31,278.515
2008-11-28,258.389
