Date,BELGIUM IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,365.48
2001-01-02,369.02
2001-01-03,367.706
2001-01-04,366.373
2001-01-05,369.566
2001-01-08,366.246
2001-01-09,363.353
2001-01-10,361.867
2001-01-11,367.161
2001-01-12,367.231
2001-01-15,363.101
2001-01-16,361.102
2001-01-17,358.257
2001-01-18,361.737
2001-01-19,357.187
2001-01-22,359.033
2001-01-23,362.268
2001-01-24,356.025
2001-01-25,353.732
2001-01-26,354.249
2001-01-29,352.985
2001-01-30,354.585
2001-01-31,356.688
2001-02-01,362.999
2001-02-02,362.155
2001-02-05,366.859
2001-02-06,365.401
2001-02-07,365.326
2001-02-08,358.642
2001-02-09,361.231
2001-02-12,363.585
2001-02-13,362.738
2001-02-14,360.531
2001-02-15,355.658
2001-02-16,359.007
2001-02-19,359.622
2001-02-20,356.062
2001-02-21,355.915
2001-02-22,352.065
2001-02-23,351.97
2001-02-26,354.32
2001-02-27,359.281
2001-02-28,362.444
2001-03-01,364.936
2001-03-02,367.293
2001-03-05,365.763
2001-03-06,366.223
2001-03-07,364.351
2001-03-08,364.407
2001-03-09,365.286
2001-03-12,361.062
2001-03-13,350.43
2001-03-14,341.873
2001-03-15,336.991
2001-03-16,324.911
2001-03-19,321.877
2001-03-20,326.87
2001-03-21,318.103
2001-03-22,302.245
2001-03-23,310.361
2001-03-26,323.411
2001-03-27,326.631
2001-03-28,323.099
2001-03-29,322.08
2001-03-30,330.721
2001-04-02,334.714
2001-04-03,332.562
2001-04-04,336.045
2001-04-05,337.876
2001-04-06,338.81
2001-04-09,343.393
2001-04-10,341.32
2001-04-11,337.59
2001-04-12,336.983
2001-04-13,336.983
2001-04-16,333.532
2001-04-17,332.935
2001-04-18,331.608
2001-04-19,336.945
2001-04-20,337.33
2001-04-23,331.083
2001-04-24,331.262
2001-04-25,334.034
2001-04-26,337.3
2001-04-27,334.888
2001-04-30,334.041
2001-05-01,335.799
2001-05-02,336.272
2001-05-03,333.257
2001-05-04,329.397
2001-05-07,329.07
2001-05-08,326.91
2001-05-09,326.726
2001-05-10,331.154
2001-05-11,328.93
2001-05-14,326.121
2001-05-15,327.364
2001-05-16,328.392
2001-05-17,328.541
2001-05-18,329.46
2001-05-21,326.672
2001-05-22,325.891
2001-05-23,325.05
2001-05-24,324.956
2001-05-25,321.225
2001-05-28,323.244
2001-05-29,320.24
2001-05-30,324.339
2001-05-31,319.989
2001-06-01,318.974
2001-06-04,319.407
2001-06-05,326.406
2001-06-06,330.556
2001-06-07,330.489
2001-06-08,330.244
2001-06-11,325.616
2001-06-12,326.44
2001-06-13,328.823
2001-06-14,330.182
2001-06-15,328.405
2001-06-18,328.93
2001-06-19,327.649
2001-06-20,328.381
2001-06-21,329.296
2001-06-22,329.809
2001-06-25,331.224
2001-06-26,329.888
2001-06-27,330.23
2001-06-28,327.421
2001-06-29,329.07
2001-07-02,330.918
2001-07-03,330.532
2001-07-04,329.53
2001-07-05,328.441
2001-07-06,329.145
2001-07-09,329.588
2001-07-10,332.121
2001-07-11,333.181
2001-07-12,332.781
2001-07-13,335.97
2001-07-16,337.562
2001-07-17,337.542
2001-07-18,345.442
2001-07-19,346.918
2001-07-20,347.113
2001-07-23,345.223
2001-07-24,346.793
2001-07-25,345.505
2001-07-26,342.226
2001-07-27,342.391
2001-07-30,344.399
2001-07-31,344.816
2001-08-01,347.776
2001-08-02,347.855
2001-08-03,348.285
2001-08-06,347.302
2001-08-07,344.548
2001-08-08,344.24
2001-08-09,345.138
2001-08-10,348.255
2001-08-13,348.8
2001-08-14,348.576
2001-08-15,352.642
2001-08-16,351.565
2001-08-17,349.121
2001-08-20,347.724
2001-08-21,348.188
2001-08-22,351.121
2001-08-23,351.084
2001-08-24,353.228
2001-08-27,351.962
2001-08-28,351.25
2001-08-29,351.691
2001-08-30,350.247
2001-08-31,350.601
2001-09-03,347.646
2001-09-04,341.378
2001-09-05,340.54
2001-09-06,337.204
2001-09-07,333.12
2001-09-10,325.211
2001-09-11,311.695
2001-09-12,312.165
2001-09-13,313.899
2001-09-14,306.689
2001-09-17,305.186
2001-09-18,305.099
2001-09-19,305.854
2001-09-20,295.233
2001-09-21,281.551
2001-09-24,294.207
2001-09-25,301.994
2001-09-26,305.136
2001-09-27,311.115
2001-09-28,318.454
2001-10-01,318.07
2001-10-02,322.035
2001-10-03,320.478
2001-10-04,324.703
2001-10-05,325.448
2001-10-08,323.611
2001-10-09,323.439
2001-10-10,324.292
2001-10-11,324.135
2001-10-12,321.158
2001-10-15,314.799
2001-10-16,314.33
2001-10-17,312.12
2001-10-18,310.438
2001-10-19,304.862
2001-10-22,306.395
2001-10-23,310.346
2001-10-24,311.598
2001-10-25,309.272
2001-10-26,311.854
2001-10-29,313.08
2001-10-30,310.438
2001-10-31,309.574
2001-11-01,311.646
2001-11-02,312.637
2001-11-05,313.543
2001-11-06,314.297
2001-11-07,318.897
2001-11-08,320.306
2001-11-09,313.927
2001-11-12,310.027
2001-11-13,311.161
2001-11-14,314.93
2001-11-15,313.8
2001-11-16,314.148
2001-11-19,315.232
2001-11-20,315.074
2001-11-21,312.63
2001-11-22,313.512
2001-11-23,311.529
2001-11-26,308.885
2001-11-27,305.785
2001-11-28,305.278
2001-11-29,307.446
2001-11-30,313.246
2001-12-03,307.788
2001-12-04,307.842
2001-12-05,310.39
2001-12-06,314.22
2001-12-07,313.628
2001-12-10,310.749
2001-12-11,310.317
2001-12-12,312.214
2001-12-13,311.443
2001-12-14,313.216
2001-12-17,315.865
2001-12-18,317.054
2001-12-19,319.663
2001-12-20,316.062
2001-12-21,316.432
2001-12-24,317.291
2001-12-25,317.291
2001-12-26,317.562
2001-12-27,328.069
2001-12-28,329.142
2001-12-31,332.352
2002-01-01,332.352
2002-01-02,331.079
2002-01-03,329.151
2002-01-04,323.58
2002-01-07,320.21
2002-01-08,318.042
2002-01-09,318.427
2002-01-10,319.106
2002-01-11,317.231
2002-01-14,313.68
2002-01-15,316.385
2002-01-16,312.093
2002-01-17,318.845
2002-01-18,321.991
2002-01-21,321.261
2002-01-22,322.416
2002-01-23,325.545
2002-01-24,328.165
2002-01-25,320.881
2002-01-28,322.462
2002-01-29,321.148
2002-01-30,313.875
2002-01-31,316.182
2002-02-01,316.636
2002-02-04,320.34
2002-02-05,316.208
2002-02-06,315.535
2002-02-07,317.747
2002-02-08,319.018
2002-02-11,325.083
2002-02-12,323.904
2002-02-13,322.814
2002-02-14,325.113
2002-02-15,323.777
2002-02-18,319.606
2002-02-19,311.707
2002-02-20,309.349
2002-02-21,309.509
2002-02-22,310.733
2002-02-25,311.281
2002-02-26,312.21
2002-02-27,313.326
2002-02-28,316.148
2002-03-01,318.559
2002-03-04,322.381
2002-03-05,321.347
2002-03-06,321.865
2002-03-07,321.648
2002-03-08,319.083
2002-03-11,321.684
2002-03-12,319.28
2002-03-13,318.283
2002-03-14,319.007
2002-03-15,320.184
2002-03-18,321.634
2002-03-19,325.625
2002-03-20,325.205
2002-03-21,325.595
2002-03-22,326.972
2002-03-25,326.951
2002-03-26,328.023
2002-03-27,325.947
2002-03-28,326.023
2002-03-29,326.023
2002-04-01,328.695
2002-04-02,327.867
2002-04-03,330.95
2002-04-04,334.312
2002-04-05,330.269
2002-04-08,326.395
2002-04-09,325.36
2002-04-10,329.327
2002-04-11,331.53
2002-04-12,333.02
2002-04-15,336.268
2002-04-16,341.638
2002-04-17,345.131
2002-04-18,346.324
2002-04-19,348.543
2002-04-22,349.101
2002-04-23,352.154
2002-04-24,352.562
2002-04-25,350.025
2002-04-26,345.268
2002-04-29,341.441
2002-04-30,346.823
2002-05-01,348.786
2002-05-02,345.786
2002-05-03,351.68
2002-05-06,353.995
2002-05-07,347.282
2002-05-08,353.005
2002-05-09,353.925
2002-05-10,354.881
2002-05-13,357.029
2002-05-14,355.491
2002-05-15,356.0
