Date,USA IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,293.938
1994-06-30,283.938
1994-07-29,292.334
1994-08-31,307.653
1994-09-30,303.644
1994-10-31,310.202
1994-11-30,300.033
1994-12-30,304.075
1995-01-31,308.974
1995-02-28,321.381
1995-03-31,331.004
1995-04-28,337.152
1995-05-31,347.253
1995-06-30,363.551
1995-07-31,380.838
1995-08-31,382.119
1995-09-29,396.111
1995-10-31,393.275
1995-11-30,408.977
1995-12-29,410.217
1996-01-31,420.498
1996-02-29,430.794
1996-03-29,434.148
1996-04-30,451.124
1996-05-31,466.697
1996-06-28,460.187
1996-07-31,428.136
1996-08-30,444.587
1996-09-30,474.914
1996-10-31,472.302
1996-11-29,504.747
1996-12-31,493.162
1997-01-31,526.495
1997-02-28,516.916
1997-03-31,491.416
1997-04-30,519.583
1997-05-30,560.627
1997-06-30,587.875
1997-07-31,639.639
1997-08-29,610.738
1997-09-30,645.75
1997-10-31,619.37
1997-11-28,638.89
1997-12-31,643.28
1998-01-30,658.249
1998-02-27,712.203
1998-03-31,748.03
1998-04-30,763.71
1998-05-29,737.37
1998-06-30,786.081
1998-07-31,774.226
1998-08-31,645.88
1998-09-30,695.391
1998-10-30,750.56
1998-11-30,807.796
1998-12-31,893.6
1999-01-29,959.282
1999-02-26,913.487
1999-03-31,966.94
1999-04-30,975.279
1999-05-31,949.108
1999-06-30,1020.762
1999-07-30,987.993
1999-08-31,1004.344
1999-09-30,991.912
1999-10-29,1065.302
1999-11-30,1133.5
1999-12-31,1299.998
2000-01-31,1230.426
2000-02-29,1349.34
2000-03-31,1398.805
2000-04-28,1273.56
2000-05-31,1179.926
2000-06-30,1322.922
2000-07-31,1260.339
2000-08-31,1371.069
2000-09-29,1238.992
2000-10-31,1169.921
2000-11-30,980.188
2000-12-29,961.781
2001-01-31,1024.484
2001-02-28,862.208
2001-03-30,767.732
2001-04-30,866.718
2001-05-31,860.562
2001-06-29,847.293
2001-07-31,817.525
2001-08-31,744.992
2001-09-28,659.666
2001-10-31,699.36
2001-11-30,771.542
2001-12-31,779.305
2002-01-31,758.879
2002-02-28,722.93
2002-03-29,751.226
2002-04-30,692.48
2002-05-31,675.425
2002-06-28,619.545
2002-07-31,571.411
2002-08-30,573.816
2002-09-30,515.906
2002-10-31,562.583
2002-11-29,596.121
2002-12-31,553.135
2003-01-31,540.864
2003-02-28,536.234
2003-03-31,546.423
2003-04-30,585.628
2003-05-30,620.406
2003-06-30,627.883
2003-07-31,648.588
2003-08-29,666.511
2003-09-30,656.463
2003-10-31,700.735
2003-11-28,710.495
2003-12-31,728.58
2004-01-30,746.486
2004-02-27,753.121
2004-03-31,743.471
2004-04-30,730.659
2004-05-31,743.993
2004-06-30,754.368
2004-07-30,710.911
2004-08-31,705.069
2004-09-30,717.782
2004-10-29,730.477
2004-11-30,760.586
2004-12-31,793.075
2005-01-31,769.562
2005-02-28,777.892
2005-03-31,764.006
2005-04-29,741.835
2005-05-31,778.705
2005-06-30,780.804
2005-07-29,819.987
2005-08-31,811.634
2005-09-30,814.458
2005-10-31,803.632
2005-11-30,838.125
2005-12-30,834.55
2006-01-31,862.765
2006-02-28,856.505
2006-03-31,871.687
2006-04-28,870.444
2006-05-31,835.816
2006-06-30,832.978
2006-07-31,812.678
2006-08-31,836.219
2006-09-29,857.593
2006-10-31,889.218
2006-11-30,908.53
2006-12-29,908.084
2007-01-31,929.395
2007-02-28,913.309
2007-03-30,923.07
2007-04-30,963.035
2007-05-31,1000.0
2007-06-29,988.538
2007-07-31,969.983
2007-08-31,984.543
2007-09-28,1025.864
2007-10-31,1060.923
2007-11-30,1016.999
2007-12-31,1017.73
2008-01-31,936.056
2008-02-29,921.331
2008-03-31,914.291
2008-04-30,969.126
