Date,USA IMI GROWTH IMI (Large+Mid+Small Cap)
2001-12-17,776.626
2001-12-18,782.619
2001-12-19,782.677
2001-12-20,770.15
2001-12-21,777.875
2001-12-24,776.827
2001-12-25,776.827
2001-12-26,781.263
2001-12-27,786.853
2001-12-28,790.197
2001-12-31,779.305
2002-01-01,779.305
2002-01-02,783.617
2002-01-03,793.864
2002-01-04,797.879
2002-01-07,789.943
2002-01-08,790.742
2002-01-09,787.268
2002-01-10,788.364
2002-01-11,780.506
2002-01-14,773.096
2002-01-15,776.18
2002-01-16,761.808
2002-01-17,771.709
2002-01-18,759.449
2002-01-21,759.449
2002-01-22,750.483
2002-01-23,757.761
2002-01-24,761.282
2002-01-25,761.243
2002-01-28,760.99
2002-01-29,740.298
2002-01-30,749.427
2002-01-31,758.879
2002-02-01,752.698
2002-02-04,732.106
2002-02-05,729.549
2002-02-06,725.201
2002-02-07,718.958
2002-02-08,731.841
2002-02-11,743.891
2002-02-12,740.822
2002-02-13,748.743
2002-02-14,745.032
2002-02-15,733.21
2002-02-18,733.21
2002-02-19,716.798
2002-02-20,726.819
2002-02-21,711.345
2002-02-22,715.266
2002-02-25,729.003
2002-02-26,729.37
2002-02-27,727.559
2002-02-28,722.93
2002-03-01,742.294
2002-03-04,758.944
2002-03-05,755.434
2002-03-06,764.513
2002-03-07,760.687
2002-03-08,770.946
2002-03-11,771.588
2002-03-12,766.693
2002-03-13,757.716
2002-03-14,756.824
2002-03-15,765.391
2002-03-18,766.924
2002-03-19,768.273
2002-03-20,753.728
2002-03-21,757.965
2002-03-22,754.329
2002-03-25,741.151
2002-03-26,744.663
2002-03-27,747.366
2002-03-28,751.226
2002-03-29,751.226
2002-04-01,752.298
2002-04-02,739.526
2002-04-03,731.881
2002-04-04,733.543
2002-04-05,729.051
2002-04-08,731.281
2002-04-09,724.037
2002-04-10,732.558
2002-04-11,712.422
2002-04-12,721.022
2002-04-15,716.242
2002-04-16,734.01
2002-04-17,730.883
2002-04-18,730.828
2002-04-19,730.56
2002-04-22,717.982
2002-04-23,711.384
2002-04-24,706.176
2002-04-25,704.363
2002-04-26,689.998
2002-04-29,683.889
2002-04-30,692.48
2002-05-01,696.887
2002-05-02,690.114
2002-05-03,679.925
2002-05-06,665.834
2002-05-07,662.834
2002-05-08,697.621
2002-05-09,682.99
2002-05-10,668.861
2002-05-13,683.09
2002-05-14,703.377
2002-05-15,700.736
2002-05-16,704.078
2002-05-17,712.176
2002-05-20,700.907
2002-05-21,688.393
2002-05-22,690.528
2002-05-23,698.783
2002-05-24,689.046
2002-05-27,689.046
2002-05-28,683.201
2002-05-29,676.571
2002-05-30,676.291
2002-05-31,675.425
2002-06-03,657.741
2002-06-04,659.244
2002-06-05,666.876
2002-06-06,654.369
2002-06-07,651.306
2002-06-10,653.498
2002-06-11,641.219
2002-06-12,644.57
2002-06-13,637.582
2002-06-14,637.277
2002-06-17,656.287
2002-06-18,654.499
2002-06-19,643.147
2002-06-20,632.349
2002-06-21,619.167
2002-06-24,623.659
2002-06-25,610.423
2002-06-26,612.02
2002-06-27,623.073
2002-06-28,619.545
2002-07-01,601.709
2002-07-02,586.294
2002-07-03,593.574
2002-07-04,593.574
2002-07-05,617.483
2002-07-08,606.656
2002-07-09,590.694
2002-07-10,572.085
2002-07-11,579.227
2002-07-12,577.601
2002-07-15,576.716
2002-07-16,568.818
2002-07-17,574.297
2002-07-18,557.868
2002-07-19,538.279
2002-07-22,522.403
2002-07-23,509.212
2002-07-24,538.771
2002-07-25,530.241
2002-07-26,537.619
2002-07-29,568.273
2002-07-30,570.191
2002-07-31,571.411
2002-08-01,554.234
2002-08-02,541.404
2002-08-05,521.922
2002-08-06,539.538
2002-08-07,550.682
2002-08-08,567.447
2002-08-09,567.644
2002-08-12,564.987
2002-08-13,552.555
2002-08-14,576.782
2002-08-15,585.795
2002-08-16,587.903
