Date,USA IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,948.682
2001-01-02,894.993
2001-01-03,976.616
2001-01-04,962.784
2001-01-05,922.081
2001-01-08,915.21
2001-01-09,926.099
2001-01-10,945.457
2001-01-11,973.027
2001-01-12,970.38
2001-01-15,970.38
2001-01-16,973.655
2001-01-17,983.495
2001-01-18,1005.597
2001-01-19,1003.545
2001-01-22,1000.272
2001-01-23,1022.576
2001-01-24,1027.879
2001-01-25,1008.806
2001-01-26,1008.924
2001-01-29,1020.046
2001-01-30,1023.52
2001-01-31,1010.573
2001-02-01,1012.402
2001-02-02,983.062
2001-02-05,981.44
2001-02-06,983.805
2001-02-07,970.081
2001-02-08,956.732
2001-02-09,933.221
2001-02-12,943.962
2001-02-13,930.661
2001-02-14,939.724
2001-02-15,955.633
2001-02-16,922.188
2001-02-19,922.184
2001-02-20,896.573
2001-02-21,877.41
2001-02-22,870.973
2001-02-23,869.95
2001-02-26,888.643
2001-02-27,867.685
2001-02-28,850.577
2001-03-01,855.19
2001-03-02,838.866
2001-03-05,846.364
2001-03-06,862.297
2001-03-07,866.229
2001-03-08,857.475
2001-03-09,824.482
2001-03-12,777.049
2001-03-13,798.974
2001-03-14,780.952
2001-03-15,777.842
2001-03-16,757.353
2001-03-19,776.026
2001-03-20,752.593
2001-03-21,740.307
2001-03-22,746.496
2001-03-23,765.233
2001-03-26,769.713
2001-03-27,790.204
2001-03-28,759.229
2001-03-29,749.663
2001-03-30,757.476
2001-04-02,739.71
2001-04-03,703.835
2001-04-04,698.608
2001-04-05,745.952
2001-04-06,727.931
2001-04-09,734.733
2001-04-10,763.613
2001-04-11,768.685
2001-04-12,786.615
2001-04-13,786.615
2001-04-16,776.724
2001-04-17,787.553
2001-04-18,834.788
2001-04-19,859.983
2001-04-20,855.295
2001-04-23,829.389
2001-04-24,814.996
2001-04-25,831.739
2001-04-26,833.664
2001-04-27,849.103
2001-04-30,855.18
2001-05-01,871.269
2001-05-02,879.847
2001-05-03,857.958
2001-05-04,873.555
