Date,USA IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,289.419
1994-06-30,279.573
1994-07-29,287.839
1994-08-31,302.924
1994-09-30,298.976
1994-10-31,305.432
1994-11-30,295.421
1994-12-30,299.4
1995-01-31,304.224
1995-02-28,316.44
1995-03-31,325.916
1995-04-28,331.969
1995-05-31,341.914
1995-06-30,357.962
1995-07-31,374.983
1995-08-31,376.244
1995-09-29,390.021
1995-10-31,387.228
1995-11-30,402.689
1995-12-29,403.91
1996-01-31,414.034
1996-02-29,424.171
1996-03-29,427.473
1996-04-30,444.189
1996-05-31,459.522
1996-06-28,453.112
1996-07-31,421.554
1996-08-30,437.752
1996-09-30,467.612
1996-10-31,465.04
1996-11-29,496.987
1996-12-31,485.58
1997-01-31,518.401
1997-02-28,508.969
1997-03-31,483.861
1997-04-30,511.595
1997-05-30,552.008
1997-06-30,578.837
1997-07-31,629.805
1997-08-29,601.348
1997-09-30,635.822
1997-10-31,609.848
1997-11-28,629.068
1997-12-31,633.391
1998-01-30,648.129
1998-02-27,701.253
1998-03-31,736.53
1998-04-30,751.969
1998-05-29,726.034
1998-06-30,773.996
1998-07-31,762.323
1998-08-31,635.95
1998-09-30,684.7
1998-10-30,739.021
1998-11-30,795.377
1998-12-31,879.862
1999-01-29,944.598
1999-02-26,899.59
1999-03-31,952.379
1999-04-30,960.637
1999-05-31,934.949
1999-06-30,1005.642
1999-07-30,973.447
1999-08-31,989.641
1999-09-30,977.536
1999-10-29,1049.911
1999-11-30,1117.245
1999-12-31,1281.429
2000-01-31,1212.9
2000-02-29,1330.202
2000-03-31,1379.055
2000-04-28,1255.636
2000-05-31,1163.39
2000-06-30,1304.423
2000-07-31,1242.769
2000-08-31,1352.046
2000-09-29,1221.862
2000-10-31,1153.782
2000-11-30,966.744
2000-12-29,948.682
2001-01-31,1010.573
2001-02-28,850.577
2001-03-30,757.476
2001-04-30,855.18
2001-05-31,849.202
2001-06-29,836.144
2001-07-31,806.861
2001-08-31,735.397
2001-09-28,651.261
2001-10-31,690.494
2001-11-30,761.842
2001-12-31,769.622
2002-01-31,749.494
2002-02-28,714.141
2002-03-29,742.145
2002-04-30,684.144
2002-05-31,667.386
2002-06-28,612.245
2002-07-31,564.734
2002-08-30,567.245
2002-09-30,510.127
2002-10-31,556.349
2002-11-29,589.671
2002-12-31,547.245
2003-01-31,535.207
2003-02-28,530.758
2003-03-31,540.933
2003-04-30,579.813
2003-05-30,614.414
2003-06-30,621.898
2003-07-31,642.491
2003-08-29,660.416
2003-09-30,650.532
2003-10-31,694.551
2003-11-28,704.403
2003-12-31,722.456
2004-01-30,740.275
2004-02-27,747.037
2004-03-31,737.57
2004-04-30,724.946
2004-05-31,738.39
2004-06-30,748.784
2004-07-30,705.731
2004-08-31,700.181
2004-09-30,712.89
2004-10-29,725.59
2004-11-30,755.738
2004-12-31,788.189
2005-01-31,764.912
2005-02-28,773.416
2005-03-31,759.774
2005-04-29,737.812
2005-05-31,774.736
2005-06-30,776.956
2005-07-29,816.027
2005-08-31,807.993
2005-09-30,810.907
2005-10-31,800.241
2005-11-30,834.884
2005-12-30,831.482
2006-01-31,859.704
2006-02-28,853.715
2006-03-31,869.017
2006-04-28,867.886
2006-05-31,833.608
2006-06-30,830.924
2006-07-31,810.791
2006-08-31,834.538
2006-09-29,856.011
2006-10-31,887.704
2006-11-30,907.273
2006-12-29,907.033
2007-01-31,928.423
2007-02-28,912.673
2007-03-30,922.626
2007-04-30,962.688
2007-05-31,1000.0
2007-06-29,988.685
2007-07-31,970.293
2007-08-31,985.158
2007-09-28,1026.676
2007-10-31,1061.924
2007-11-30,1018.256
2007-12-31,1019.239
2008-01-31,937.574
2008-02-29,923.11
2008-03-31,916.276
2008-04-30,971.378
2008-05-30,1010.212
2008-06-30,943.768
2008-07-31,927.747
2008-08-29,940.19
2008-09-30,827.398
2008-10-31,672.68
2008-11-28,608.916
2008-12-31,619.657
2009-01-30,590.03
2009-02-27,546.489
2009-03-31,592.697
2009-04-30,651.151
2009-05-29,680.288
2009-06-30,690.334
2009-07-31,740.315
2009-08-31,754.847
2009-09-30,791.655
2009-10-30,776.934
2009-11-30,820.538
2009-12-31,852.087
2010-01-29,811.735
2010-02-26,843.805
2010-03-31,895.936
2010-04-30,915.528
2010-05-31,840.589
2010-06-30,790.753
2010-07-30,847.717
2010-08-31,805.449
2010-09-30,895.314
2010-10-29,940.843
2010-11-30,953.25
2010-12-31,1009.591
2011-01-31,1028.459
2011-02-28,1060.062
2011-03-31,1068.572
2011-04-29,1102.187
2011-05-31,1093.701
2011-06-30,1077.128
2011-07-29,1065.821
2011-08-31,1001.744
2011-09-30,920.885
2011-10-31,1034.77
2011-11-30,1032.678
2011-12-30,1026.093
2012-01-31,1091.988
2012-02-29,1143.833
2012-03-30,1180.629
2012-04-30,1175.983
2012-05-31,1098.752
2012-06-29,1133.627
2012-07-31,1146.183
2012-08-31,1185.412
2012-09-28,1211.474
2012-10-31,1175.862
2012-11-30,1198.893
2012-12-31,1202.577
2013-01-31,1258.04
2013-02-28,1269.512
2013-03-29,1317.85
2013-04-30,1332.705
2013-05-31,1364.119
2013-06-28,1340.129
2013-07-31,1421.919
2013-08-30,1396.368
2013-09-30,1462.133
2013-10-31,1519.723
2013-11-29,1567.634
2013-12-31,1613.543
2014-01-31,1565.385
2014-02-28,1649.638
2014-03-31,1626.013
2014-04-30,1616.724
2014-05-30,1664.795
2014-06-30,1710.154
2014-07-31,1679.794
2014-08-29,1757.841
2014-09-30,1721.336
2014-10-31,1772.722
2014-11-28,1829.39
2014-12-31,1824.232
2015-01-30,1792.478
2015-02-27,1914.074
2015-03-31,1904.123
2015-04-30,1898.408
2015-05-29,1933.705
2015-06-30,1914.189
2015-07-31,1966.589
2015-08-31,1841.096
2015-09-30,1775.831
2015-10-30,1920.06
2015-11-30,1931.099
2015-12-31,1890.509
2016-01-29,1764.029
2016-02-29,1760.078
2016-03-31,1884.307
2016-04-29,1885.028
2016-05-31,1923.215
2016-06-30,1911.782
2016-07-29,2002.893
2016-08-31,2000.236
2016-09-30,2007.618
2016-10-31,1953.104
2016-11-30,2013.529
2016-12-30,2031.352
2017-01-31,2102.493
2017-02-28,2184.908
2017-03-31,2206.589
2017-04-28,2254.234
2017-05-31,2303.892
2017-06-30,2299.731
2017-07-31,2355.994
2017-08-31,2385.928
2017-09-29,2424.44
2017-10-31,2501.729
2017-11-30,2577.902
2017-12-29,2600.429
2018-01-31,2787.236
2018-02-28,2717.628
2018-03-30,2654.873
2018-04-30,2668.373
2018-05-31,2786.876
2018-06-29,2809.856
2018-07-31,2887.69
2018-08-31,3042.299
2018-09-28,3049.165
2018-10-31,2757.287
2018-11-30,2785.351
2018-12-31,2532.494
2019-01-31,2774.177
2019-02-28,2881.529
2019-03-29,2952.67
2019-04-30,3089.269
2019-05-31,2897.33
2019-06-28,3108.673
2019-07-31,3171.859
2019-08-30,3134.157
2019-09-30,3135.291
2019-10-31,3221.423
2019-11-29,3370.856
2019-12-31,3469.782
2020-01-31,3554.004
2020-02-28,3314.09
2020-03-31,2951.192
2020-04-30,3404.173
2020-05-29,3655.446
2020-06-30,3836.446
2020-07-31,4130.327
2020-08-31,4539.495
2020-09-30,4327.765
2020-10-30,4221.151
2020-11-30,4676.574
2020-12-31,4928.027
2021-01-29,4923.188
2021-02-26,4975.847
2021-03-31,4998.939
2021-04-30,5347.149
2021-05-31,5251.326
2021-06-30,5582.612
2021-07-30,5743.15
2021-08-31,5956.338
2021-09-30,5627.716
2021-10-29,6067.343
2021-11-30,6062.945
2021-12-31,6137.013
2022-01-31,5571.076
2022-02-28,5369.564
2022-03-31,5572.881
2022-04-29,4837.325
2022-05-31,4707.843
2022-06-30,4313.746
2022-07-29,4881.581
2022-08-31,4648.972
2022-09-30,4171.842
2022-10-31,4380.658
2022-11-30,4581.035
2022-12-30,4219.314
2023-01-31,4658.564
2023-02-28,4595.889
2023-03-31,4911.004
2023-04-28,4961.668
2023-05-31,5184.29
2023-06-30,5560.127
2023-07-31,5748.781
2023-08-31,5678.12
2023-09-29,5356.005
2023-10-31,5234.341
2023-11-30,5822.513
2023-12-29,6087.705
2024-01-31,6208.871
2024-02-29,6661.302
2024-03-29,6776.126
2024-04-30,6484.203
2024-05-31,6902.437
2024-06-28,7335.336
2024-07-31,7243.448
2024-08-30,7371.076
2024-09-30,7552.336
2024-10-31,7524.577
2024-11-29,8081.963
2024-12-31,8144.486
2025-01-31,8306.821
2025-02-28,7970.175
2025-03-31,7262.85
2025-04-30,7426.513
2025-05-30,8148.542
2025-06-30,8615.907
2025-07-31,8941.17
2025-08-29,9072.529
2025-09-30,9537.994
2025-10-31,10007.235
2025-11-28,9880.935
2025-12-31,9807.41
2026-01-30,9681.857
