Date,SPAIN SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,102.842
2001-01-03,102.591
2001-01-04,106.488
2001-01-05,107.093
2001-01-08,108.169
2001-01-09,106.22
2001-01-10,106.301
2001-01-11,108.266
2001-01-12,109.876
2001-01-15,108.35
2001-01-16,109.022
2001-01-17,107.826
2001-01-18,108.589
2001-01-19,107.148
2001-01-22,107.242
2001-01-23,107.645
2001-01-24,105.351
2001-01-25,105.578
2001-01-26,105.68
2001-01-29,105.781
2001-01-30,107.027
2001-01-31,108.381
2001-02-01,111.925
2001-02-02,110.885
2001-02-05,111.215
2001-02-06,110.453
2001-02-07,109.484
2001-02-08,108.297
2001-02-09,108.585
2001-02-12,109.001
2001-02-13,108.411
2001-02-14,107.139
2001-02-15,106.256
2001-02-16,107.452
2001-02-19,108.184
2001-02-20,106.81
2001-02-21,106.428
2001-02-22,105.875
2001-02-23,105.983
2001-02-26,106.572
2001-02-27,107.859
2001-02-28,107.731
2001-03-01,108.132
2001-03-02,109.071
2001-03-05,108.524
2001-03-06,109.778
2001-03-07,109.561
2001-03-08,109.974
2001-03-09,109.533
2001-03-12,108.205
2001-03-13,106.365
2001-03-14,105.275
2001-03-15,105.142
2001-03-16,103.687
2001-03-19,103.994
2001-03-20,104.114
2001-03-21,100.998
2001-03-22,97.218
2001-03-23,101.251
2001-03-26,100.961
2001-03-27,101.028
2001-03-28,100.022
2001-03-29,99.41
2001-03-30,100.857
2001-04-02,100.61
2001-04-03,99.941
2001-04-04,101.799
2001-04-05,101.676
2001-04-06,102.882
2001-04-09,102.635
2001-04-10,101.832
2001-04-11,101.307
2001-04-12,102.032
2001-04-13,102.032
2001-04-16,100.987
2001-04-17,101.008
2001-04-18,101.215
2001-04-19,102.43
2001-04-20,103.949
2001-04-23,103.223
2001-04-24,103.335
2001-04-25,104.126
2001-04-26,105.197
2001-04-27,104.733
2001-04-30,105.109
2001-05-01,105.666
2001-05-02,105.963
2001-05-03,106.924
2001-05-04,105.832
2001-05-07,104.349
2001-05-08,104.328
2001-05-09,104.48
2001-05-10,104.436
2001-05-11,103.824
2001-05-14,103.339
2001-05-15,104.739
2001-05-16,105.326
2001-05-17,106.251
2001-05-18,105.77
2001-05-21,105.505
2001-05-22,104.355
2001-05-23,103.35
2001-05-24,103.965
2001-05-25,103.753
2001-05-28,104.031
2001-05-29,102.789
2001-05-30,102.981
2001-05-31,102.209
2001-06-01,101.748
2001-06-04,102.615
2001-06-05,103.844
2001-06-06,104.688
2001-06-07,103.607
2001-06-08,104.774
2001-06-11,103.979
2001-06-12,104.286
2001-06-13,104.287
2001-06-14,104.907
2001-06-15,105.741
2001-06-18,104.266
2001-06-19,103.868
2001-06-20,102.257
2001-06-21,102.242
2001-06-22,102.805
2001-06-25,102.605
2001-06-26,102.474
2001-06-27,102.093
2001-06-28,100.877
2001-06-29,99.699
2001-07-02,100.919
2001-07-03,101.543
2001-07-04,102.141
2001-07-05,100.025
2001-07-06,98.832
2001-07-09,98.563
2001-07-10,99.344
2001-07-11,98.932
2001-07-12,96.564
2001-07-13,96.847
2001-07-16,98.067
2001-07-17,97.631
2001-07-18,100.033
2001-07-19,100.291
2001-07-20,101.527
2001-07-23,101.216
2001-07-24,102.615
2001-07-25,102.343
2001-07-26,101.551
2001-07-27,101.41
2001-07-30,102.532
2001-07-31,102.66
2001-08-01,103.595
2001-08-02,103.18
2001-08-03,104.32
2001-08-06,104.113
2001-08-07,103.814
2001-08-08,103.78
2001-08-09,105.085
2001-08-10,104.629
2001-08-13,105.646
2001-08-14,106.417
2001-08-15,108.042
2001-08-16,108.574
2001-08-17,109.968
2001-08-20,109.125
2001-08-21,109.559
2001-08-22,108.727
2001-08-23,107.79
2001-08-24,107.729
2001-08-27,107.827
2001-08-28,106.791
2001-08-29,106.346
2001-08-30,105.578
2001-08-31,105.477
2001-09-03,104.804
2001-09-04,103.087
2001-09-05,101.958
2001-09-06,100.88
2001-09-07,101.24
2001-09-10,100.482
2001-09-11,97.214
2001-09-12,97.121
2001-09-13,97.973
2001-09-14,96.243
2001-09-17,94.786
2001-09-18,94.886
2001-09-19,96.341
2001-09-20,94.406
2001-09-21,89.908
2001-09-24,91.365
2001-09-25,93.179
2001-09-26,93.861
2001-09-27,93.465
2001-09-28,94.022
2001-10-01,94.445
2001-10-02,96.301
2001-10-03,96.224
2001-10-04,96.848
2001-10-05,97.24
2001-10-08,97.17
2001-10-09,98.112
2001-10-10,98.061
2001-10-11,98.581
2001-10-12,99.018
2001-10-15,99.096
2001-10-16,101.09
2001-10-17,101.394
2001-10-18,100.98
2001-10-19,98.989
2001-10-22,98.874
2001-10-23,99.445
2001-10-24,99.126
2001-10-25,99.692
2001-10-26,99.333
2001-10-29,101.127
2001-10-30,99.706
2001-10-31,99.394
2001-11-01,99.97
2001-11-02,100.041
2001-11-05,100.054
2001-11-06,100.292
2001-11-07,100.737
2001-11-08,100.818
2001-11-09,100.434
2001-11-12,99.316
2001-11-13,99.721
2001-11-14,101.049
2001-11-15,100.488
2001-11-16,99.777
2001-11-19,100.857
2001-11-20,101.074
2001-11-21,100.382
2001-11-22,102.391
2001-11-23,102.228
2001-11-26,102.673
2001-11-27,103.404
2001-11-28,103.145
2001-11-29,103.431
2001-11-30,105.319
2001-12-03,104.216
2001-12-04,105.377
2001-12-05,105.276
2001-12-06,105.638
2001-12-07,105.254
2001-12-10,104.11
2001-12-11,104.34
2001-12-12,104.772
2001-12-13,103.896
2001-12-14,104.326
2001-12-17,105.346
2001-12-18,104.833
2001-12-19,104.399
2001-12-20,102.841
2001-12-21,102.542
2001-12-24,101.519
2001-12-25,101.519
2001-12-26,101.605
2001-12-27,102.897
2001-12-28,101.915
2001-12-31,102.909
2002-01-01,102.909
2002-01-02,105.323
2002-01-03,105.093
2002-01-04,104.385
2002-01-07,103.679
2002-01-08,104.268
2002-01-09,102.889
2002-01-10,102.674
2002-01-11,102.954
2002-01-14,102.831
2002-01-15,102.819
2002-01-16,101.916
2002-01-17,102.466
2002-01-18,102.741
2002-01-21,102.751
2002-01-22,103.038
2002-01-23,103.426
2002-01-24,104.098
2002-01-25,102.667
2002-01-28,102.874
2002-01-29,102.831
2002-01-30,102.697
2002-01-31,103.372
2002-02-01,102.962
2002-02-04,103.55
2002-02-05,103.345
2002-02-06,103.563
2002-02-07,103.619
2002-02-08,103.774
2002-02-11,104.745
2002-02-12,104.243
2002-02-13,104.072
2002-02-14,105.093
2002-02-15,105.904
2002-02-18,105.553
2002-02-19,105.96
2002-02-20,105.696
2002-02-21,105.86
2002-02-22,106.381
2002-02-25,105.962
2002-02-26,105.821
2002-02-27,106.003
2002-02-28,107.005
2002-03-01,107.426
2002-03-04,108.602
2002-03-05,108.396
2002-03-06,109.465
2002-03-07,111.02
2002-03-08,110.804
2002-03-11,111.395
2002-03-12,110.595
2002-03-13,110.13
2002-03-14,111.808
2002-03-15,112.69
2002-03-18,113.465
2002-03-19,114.152
2002-03-20,113.987
2002-03-21,113.923
2002-03-22,115.309
2002-03-25,113.56
2002-03-26,113.391
2002-03-27,113.082
2002-03-28,113.657
2002-03-29,113.657
2002-04-01,114.589
2002-04-02,114.704
2002-04-03,114.887
2002-04-04,114.61
2002-04-05,115.102
2002-04-08,113.683
2002-04-09,114.568
2002-04-10,115.886
2002-04-11,116.302
2002-04-12,115.741
2002-04-15,115.895
2002-04-16,117.034
2002-04-17,118.433
2002-04-18,118.747
2002-04-19,120.033
2002-04-22,120.331
2002-04-23,120.472
2002-04-24,121.059
2002-04-25,121.75
2002-04-26,122.026
2002-04-29,122.25
2002-04-30,122.695
2002-05-01,123.39
2002-05-02,121.701
2002-05-03,122.981
2002-05-06,123.234
2002-05-07,121.976
2002-05-08,122.796
2002-05-09,124.239
2002-05-10,125.083
2002-05-13,124.45
2002-05-14,123.716
2002-05-15,124.219
2002-05-16,124.481
2002-05-17,126.628
2002-05-20,126.603
2002-05-21,126.477
2002-05-22,127.853
2002-05-23,127.904
2002-05-24,128.52
2002-05-27,128.554
2002-05-28,131.798
2002-05-29,130.232
2002-05-30,128.815
2002-05-31,127.367
2002-06-03,128.042
2002-06-04,127.158
2002-06-05,125.215
2002-06-06,127.053
2002-06-07,127.128
2002-06-10,127.406
2002-06-11,128.33
2002-06-12,127.902
2002-06-13,127.183
2002-06-14,125.397
2002-06-17,124.833
2002-06-18,125.723
2002-06-19,125.666
2002-06-20,125.88
2002-06-21,125.537
2002-06-24,124.786
2002-06-25,124.095
2002-06-26,124.139
2002-06-27,123.563
2002-06-28,127.017
2002-07-01,128.026
2002-07-02,126.666
2002-07-03,125.776
2002-07-04,125.661
2002-07-05,127.051
2002-07-08,128.572
2002-07-09,128.37
2002-07-10,126.782
2002-07-11,124.265
2002-07-12,124.989
2002-07-15,124.257
2002-07-16,124.868
2002-07-17,125.162
2002-07-18,125.387
2002-07-19,124.39
2002-07-22,120.855
2002-07-23,117.803
2002-07-24,116.164
2002-07-25,117.729
2002-07-26,114.415
2002-07-29,115.364
2002-07-30,116.499
2002-07-31,115.273
2002-08-01,114.664
2002-08-02,114.302
2002-08-05,112.197
2002-08-06,109.34
2002-08-07,109.297
2002-08-08,110.302
2002-08-09,110.974
2002-08-12,110.606
2002-08-13,110.595
2002-08-14,110.92
2002-08-15,110.094
2002-08-16,111.275
2002-08-19,111.625
2002-08-20,110.668
2002-08-21,111.808
2002-08-22,112.189
2002-08-23,112.064
2002-08-26,112.146
2002-08-27,112.834
2002-08-28,111.198
2002-08-29,110.99
2002-08-30,111.047
2002-09-02,110.243
2002-09-03,110.511
2002-09-04,109.413
2002-09-05,108.888
2002-09-06,109.637
2002-09-09,109.107
2002-09-10,108.779
2002-09-11,109.368
2002-09-12,109.638
2002-09-13,108.409
2002-09-16,107.888
2002-09-17,107.356
2002-09-18,106.783
2002-09-19,106.452
2002-09-20,105.18
2002-09-23,103.343
2002-09-24,101.243
2002-09-25,100.644
2002-09-26,101.206
2002-09-27,101.626
2002-09-30,102.213
2002-10-01,101.906
2002-10-02,103.025
2002-10-03,103.605
2002-10-04,102.79
2002-10-07,102.862
2002-10-08,102.27
2002-10-09,102.556
2002-10-10,102.593
2002-10-11,103.77
2002-10-14,102.932
2002-10-15,104.005
2002-10-16,104.051
2002-10-17,104.266
2002-10-18,104.718
2002-10-21,106.133
2002-10-22,106.724
2002-10-23,106.356
2002-10-24,106.696
2002-10-25,106.982
2002-10-28,108.18
2002-10-29,107.299
2002-10-30,107.06
2002-10-31,108.491
2002-11-01,109.165
2002-11-04,110.797
2002-11-05,111.158
2002-11-06,110.28
2002-11-07,109.992
2002-11-08,111.153
2002-11-11,110.916
2002-11-12,111.555
2002-11-13,111.285
2002-11-14,111.559
2002-11-15,111.942
2002-11-18,112.967
2002-11-19,113.89
2002-11-20,112.236
2002-11-21,112.842
2002-11-22,113.24
2002-11-25,113.162
2002-11-26,112.841
2002-11-27,113.703
2002-11-28,114.817
2002-11-29,115.747
2002-12-02,116.252
2002-12-03,115.539
2002-12-04,115.968
2002-12-05,116.084
2002-12-06,116.936
2002-12-09,115.936
2002-12-10,115.202
2002-12-11,114.924
2002-12-12,114.814
2002-12-13,114.407
2002-12-16,115.184
2002-12-17,115.605
2002-12-18,114.112
2002-12-19,113.609
2002-12-20,114.603
2002-12-23,113.774
2002-12-24,114.245
2002-12-25,114.245
2002-12-26,114.533
2002-12-27,113.096
2002-12-30,113.733
2002-12-31,114.179
2003-01-01,114.179
2003-01-02,115.895
2003-01-03,117.281
2003-01-06,118.002
2003-01-07,116.202
2003-01-08,114.272
2003-01-09,116.02
2003-01-10,116.819
2003-01-13,117.415
2003-01-14,118.416
2003-01-15,118.921
2003-01-16,119.481
2003-01-17,119.717
2003-01-20,119.174
2003-01-21,119.405
2003-01-22,122.253
2003-01-23,123.584
2003-01-24,123.342
2003-01-27,119.799
2003-01-28,118.976
2003-01-29,119.649
2003-01-30,118.471
2003-01-31,117.572
2003-02-03,118.959
2003-02-04,119.402
2003-02-05,120.113
2003-02-06,120.091
2003-02-07,119.179
2003-02-10,118.071
2003-02-11,117.952
2003-02-12,117.793
