Date,SPAIN SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,102.842
2001-01-03,102.591
2001-01-04,106.488
2001-01-05,107.069
2001-01-08,108.097
2001-01-09,106.149
2001-01-10,106.178
2001-01-11,108.14
2001-01-12,109.748
2001-01-15,108.216
2001-01-16,108.887
2001-01-17,107.693
2001-01-18,108.455
2001-01-19,107.016
2001-01-22,107.11
2001-01-23,107.512
2001-01-24,105.221
2001-01-25,105.448
2001-01-26,105.55
2001-01-29,105.643
2001-01-30,106.888
2001-01-31,108.24
2001-02-01,111.779
2001-02-02,110.741
2001-02-05,111.07
2001-02-06,110.309
2001-02-07,109.341
2001-02-08,108.156
2001-02-09,108.443
2001-02-12,108.859
2001-02-13,108.269
2001-02-14,106.998
2001-02-15,106.117
2001-02-16,107.311
2001-02-19,108.043
2001-02-20,106.67
2001-02-21,106.289
2001-02-22,105.736
2001-02-23,105.844
2001-02-26,106.432
2001-02-27,107.718
2001-02-28,107.575
2001-03-01,107.974
2001-03-02,108.913
2001-03-05,108.366
2001-03-06,109.618
2001-03-07,109.402
2001-03-08,109.814
2001-03-09,109.373
2001-03-12,108.047
2001-03-13,106.21
2001-03-14,105.122
2001-03-15,104.989
2001-03-16,103.536
2001-03-19,103.843
2001-03-20,103.963
2001-03-21,100.851
2001-03-22,97.077
2001-03-23,101.104
2001-03-26,100.814
2001-03-27,100.881
2001-03-28,99.876
2001-03-29,99.244
2001-03-30,100.689
2001-04-02,100.442
2001-04-03,99.774
2001-04-04,101.629
2001-04-05,101.506
2001-04-06,102.711
2001-04-09,102.464
2001-04-10,101.662
2001-04-11,101.138
2001-04-12,101.861
2001-04-13,101.861
2001-04-16,100.818
2001-04-17,100.839
2001-04-18,101.046
2001-04-19,102.259
2001-04-20,103.775
2001-04-23,103.05
2001-04-24,103.163
2001-04-25,103.952
2001-04-26,105.021
2001-04-27,104.558
2001-04-30,104.933
2001-05-01,105.49
2001-05-02,105.786
2001-05-03,106.594
2001-05-04,105.505
2001-05-07,104.006
2001-05-08,103.985
2001-05-09,104.137
2001-05-10,104.093
2001-05-11,103.462
2001-05-14,102.978
2001-05-15,104.373
2001-05-16,104.958
2001-05-17,105.88
2001-05-18,105.401
2001-05-21,105.137
2001-05-22,103.99
2001-05-23,102.989
2001-05-24,103.602
2001-05-25,103.391
2001-05-28,103.667
2001-05-29,102.43
2001-05-30,102.622
2001-05-31,101.852
2001-06-01,101.393
2001-06-04,102.257
2001-06-05,103.481
2001-06-06,104.323
2001-06-07,103.245
2001-06-08,104.408
2001-06-11,103.616
2001-06-12,103.922
2001-06-13,103.923
2001-06-14,104.541
2001-06-15,105.372
2001-06-18,103.902
2001-06-19,103.505
2001-06-20,101.876
2001-06-21,101.862
2001-06-22,102.423
2001-06-25,102.223
2001-06-26,102.092
2001-06-27,101.713
2001-06-28,100.502
2001-06-29,99.328
2001-07-02,100.514
2001-07-03,101.092
2001-07-04,101.68
2001-07-05,99.574
2001-07-06,98.387
2001-07-09,98.119
2001-07-10,98.876
2001-07-11,98.466
2001-07-12,96.109
2001-07-13,96.39
2001-07-16,97.605
2001-07-17,97.171
2001-07-18,99.561
2001-07-19,99.819
2001-07-20,101.037
2001-07-23,100.727
2001-07-24,102.12
2001-07-25,101.849
2001-07-26,101.061
2001-07-27,100.92
2001-07-30,102.037
2001-07-31,102.164
2001-08-01,103.094
2001-08-02,102.681
2001-08-03,103.816
2001-08-06,103.61
2001-08-07,103.312
2001-08-08,103.279
2001-08-09,104.578
2001-08-10,104.124
2001-08-13,105.136
2001-08-14,105.903
2001-08-15,107.52
2001-08-16,108.05
2001-08-17,109.437
2001-08-20,108.598
2001-08-21,109.03
2001-08-22,108.202
2001-08-23,107.269
2001-08-24,107.208
2001-08-27,107.306
2001-08-28,106.275
2001-08-29,105.833
2001-08-30,105.069
2001-08-31,104.968
2001-09-03,104.298
2001-09-04,102.589
2001-09-05,101.445
2001-09-06,100.373
2001-09-07,100.731
2001-09-10,99.976
2001-09-11,96.725
2001-09-12,96.632
2001-09-13,97.48
2001-09-14,95.758
2001-09-17,94.309
2001-09-18,94.408
2001-09-19,95.856
2001-09-20,93.931
2001-09-21,89.43
2001-09-24,90.879
2001-09-25,92.683
2001-09-26,93.362
2001-09-27,92.967
2001-09-28,93.512
2001-10-01,93.932
2001-10-02,95.778
2001-10-03,95.702
2001-10-04,96.323
2001-10-05,96.712
2001-10-08,96.643
2001-10-09,97.58
2001-10-10,97.529
2001-10-11,98.046
2001-10-12,98.481
2001-10-15,98.513
2001-10-16,100.491
2001-10-17,100.793
2001-10-18,100.381
2001-10-19,98.402
2001-10-22,98.287
2001-10-23,98.856
2001-10-24,98.539
2001-10-25,99.101
2001-10-26,98.744
2001-10-29,100.528
2001-10-30,99.115
2001-10-31,98.804
2001-11-01,99.378
2001-11-02,99.448
2001-11-05,99.447
2001-11-06,99.683
2001-11-07,100.125
2001-11-08,100.206
2001-11-09,99.824
2001-11-12,98.713
2001-11-13,99.115
2001-11-14,100.435
2001-11-15,99.878
2001-11-16,99.171
2001-11-19,100.244
2001-11-20,100.46
2001-11-21,99.773
2001-11-22,101.77
2001-11-23,101.607
2001-11-26,102.05
2001-11-27,102.777
2001-11-28,102.519
2001-11-29,102.804
2001-11-30,104.68
2001-12-03,103.583
2001-12-04,104.737
2001-12-05,104.637
2001-12-06,104.997
2001-12-07,104.615
2001-12-10,103.478
2001-12-11,103.707
2001-12-12,104.136
2001-12-13,103.265
2001-12-14,103.677
2001-12-17,104.691
2001-12-18,104.181
2001-12-19,103.75
2001-12-20,102.198
2001-12-21,101.897
2001-12-24,100.88
2001-12-25,100.88
2001-12-26,100.966
2001-12-27,102.247
2001-12-28,101.27
2001-12-31,102.258
2002-01-01,102.258
2002-01-02,104.643
2002-01-03,104.397
2002-01-04,103.694
2002-01-07,102.992
2002-01-08,103.567
2002-01-09,102.198
2002-01-10,101.975
2002-01-11,102.253
2002-01-14,102.093
2002-01-15,102.082
2002-01-16,101.185
2002-01-17,101.731
2002-01-18,102.005
2002-01-21,102.015
2002-01-22,102.299
2002-01-23,102.684
2002-01-24,103.351
2002-01-25,101.931
2002-01-28,102.136
2002-01-29,102.09
2002-01-30,101.944
2002-01-31,102.614
2002-02-01,102.207
2002-02-04,102.79
2002-02-05,102.587
2002-02-06,102.803
2002-02-07,102.859
2002-02-08,103.013
2002-02-11,103.976
2002-02-12,103.479
2002-02-13,103.309
2002-02-14,104.322
2002-02-15,105.127
2002-02-18,104.779
2002-02-19,105.183
2002-02-20,104.914
2002-02-21,105.077
2002-02-22,105.594
2002-02-25,105.178
2002-02-26,105.038
2002-02-27,105.219
2002-02-28,106.21
2002-03-01,106.627
2002-03-04,107.795
2002-03-05,107.591
2002-03-06,108.651
2002-03-07,110.195
2002-03-08,109.981
2002-03-11,110.567
2002-03-12,109.773
2002-03-13,109.312
2002-03-14,110.977
2002-03-15,111.852
2002-03-18,112.622
2002-03-19,113.304
2002-03-20,113.14
2002-03-21,113.076
2002-03-22,114.452
2002-03-25,112.716
2002-03-26,112.549
2002-03-27,112.241
2002-03-28,112.813
2002-03-29,112.813
2002-04-01,113.737
2002-04-02,113.834
2002-04-03,114.016
2002-04-04,113.741
2002-04-05,114.208
2002-04-08,112.8
2002-04-09,113.677
2002-04-10,114.986
2002-04-11,115.399
2002-04-12,114.842
2002-04-15,114.994
2002-04-16,116.125
2002-04-17,117.513
2002-04-18,117.824
2002-04-19,119.1
2002-04-22,119.396
2002-04-23,119.536
2002-04-24,120.118
2002-04-25,120.797
2002-04-26,121.072
2002-04-29,121.293
2002-04-30,121.735
2002-05-01,122.424
2002-05-02,120.749
2002-05-03,122.018
2002-05-06,122.269
2002-05-07,121.022
2002-05-08,121.835
2002-05-09,123.267
2002-05-10,124.104
2002-05-13,123.476
2002-05-14,122.748
2002-05-15,123.247
2002-05-16,123.507
2002-05-17,125.627
2002-05-20,125.588
2002-05-21,125.454
2002-05-22,126.819
2002-05-23,126.869
2002-05-24,127.48
2002-05-27,127.514
2002-05-28,130.731
2002-05-29,129.179
2002-05-30,127.773
2002-05-31,126.336
2002-06-03,126.949
2002-06-04,126.073
2002-06-05,124.147
2002-06-06,125.969
2002-06-07,126.043
2002-06-10,126.319
2002-06-11,127.235
2002-06-12,126.811
2002-06-13,126.098
2002-06-14,124.328
2002-06-17,123.763
2002-06-18,124.645
2002-06-19,124.588
2002-06-20,124.768
2002-06-21,124.428
2002-06-24,123.685
2002-06-25,122.999
2002-06-26,123.043
2002-06-27,122.472
2002-06-28,125.896
2002-07-01,126.883
2002-07-02,125.486
2002-07-03,124.603
2002-07-04,124.486
2002-07-05,125.863
2002-07-08,127.37
2002-07-09,127.169
2002-07-10,125.588
2002-07-11,123.095
2002-07-12,123.812
2002-07-15,123.072
2002-07-16,123.674
2002-07-17,123.965
2002-07-18,124.188
2002-07-19,123.2
2002-07-22,119.7
2002-07-23,116.677
2002-07-24,115.037
2002-07-25,116.586
2002-07-26,113.304
2002-07-29,114.244
2002-07-30,115.368
2002-07-31,114.148
2002-08-01,113.545
2002-08-02,113.187
2002-08-05,111.102
2002-08-06,108.273
2002-08-07,108.231
2002-08-08,109.225
2002-08-09,109.891
2002-08-12,109.527
2002-08-13,109.515
2002-08-14,109.838
2002-08-15,109.02
2002-08-16,110.189
2002-08-19,110.535
2002-08-20,109.588
2002-08-21,110.717
2002-08-22,111.094
2002-08-23,110.97
2002-08-26,111.051
2002-08-27,111.732
2002-08-28,110.113
2002-08-29,109.907
2002-08-30,109.956
2002-09-02,109.161
2002-09-03,109.426
2002-09-04,108.338
2002-09-05,107.819
2002-09-06,108.561
2002-09-09,108.036
2002-09-10,107.711
2002-09-11,108.294
2002-09-12,108.562
2002-09-13,107.345
2002-09-16,106.817
2002-09-17,106.29
2002-09-18,105.723
2002-09-19,105.395
2002-09-20,104.136
2002-09-23,102.308
2002-09-24,100.229
2002-09-25,99.636
2002-09-26,100.193
2002-09-27,100.608
2002-09-30,101.14
2002-10-01,100.83
2002-10-02,101.937
2002-10-03,102.511
2002-10-04,101.705
2002-10-07,101.776
2002-10-08,101.19
2002-10-09,101.473
2002-10-10,101.509
2002-10-11,102.674
2002-10-14,101.845
2002-10-15,102.907
2002-10-16,102.952
2002-10-17,103.161
2002-10-18,103.608
2002-10-21,105.007
2002-10-22,105.593
2002-10-23,105.228
2002-10-24,105.565
2002-10-25,105.847
2002-10-28,107.033
2002-10-29,106.161
2002-10-30,105.908
2002-10-31,107.317
2002-11-01,107.984
2002-11-04,109.598
2002-11-05,109.956
2002-11-06,109.087
2002-11-07,108.802
2002-11-08,109.95
2002-11-11,109.716
2002-11-12,110.348
2002-11-13,110.081
2002-11-14,110.352
2002-11-15,110.73
2002-11-18,111.745
2002-11-19,112.658
2002-11-20,111.022
2002-11-21,111.621
2002-11-22,112.015
2002-11-25,111.938
2002-11-26,111.62
2002-11-27,112.472
2002-11-28,113.575
2002-11-29,114.495
2002-12-02,114.989
2002-12-03,114.283
2002-12-04,114.707
2002-12-05,114.822
2002-12-06,115.665
2002-12-09,114.676
2002-12-10,113.95
2002-12-11,113.675
2002-12-12,113.566
2002-12-13,113.163
2002-12-16,113.919
2002-12-17,114.335
2002-12-18,112.858
2002-12-19,112.361
2002-12-20,113.342
2002-12-23,112.516
2002-12-24,112.982
2002-12-25,112.982
2002-12-26,113.267
2002-12-27,111.842
2002-12-30,112.472
2002-12-31,112.913
2003-01-01,112.913
2003-01-02,114.61
2003-01-03,115.967
2003-01-06,116.68
2003-01-07,114.9
2003-01-08,112.985
2003-01-09,114.714
2003-01-10,115.504
2003-01-13,116.094
2003-01-14,117.083
2003-01-15,117.583
2003-01-16,118.136
2003-01-17,118.36
2003-01-20,117.823
2003-01-21,118.051
2003-01-22,120.867
2003-01-23,122.183
2003-01-24,121.944
2003-01-27,118.441
2003-01-28,117.628
2003-01-29,118.256
2003-01-30,117.092
2003-01-31,116.189
2003-02-03,117.56
2003-02-04,117.998
2003-02-05,118.7
2003-02-06,118.679
2003-02-07,117.777
2003-02-10,116.678
2003-02-11,116.56
2003-02-12,116.403
