Date,HONG KONG GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,140.332
1975-02-28,159.821
1975-03-31,168.351
1975-04-30,189.566
1975-05-30,189.585
1975-06-30,192.303
1975-07-31,177.273
1975-08-29,175.965
1975-09-30,184.316
1975-10-31,187.587
1975-11-28,211.163
1975-12-31,230.509
1976-01-30,269.027
1976-02-27,284.205
1976-03-31,295.751
1976-04-30,280.192
1976-05-31,261.784
1976-06-30,267.889
1976-07-30,259.627
1976-08-31,264.45
1976-09-30,256.705
1976-10-29,244.979
1976-11-30,256.674
1976-12-31,297.585
1977-01-31,288.53
1977-02-28,281.544
1977-03-31,271.896
1977-04-29,287.914
1977-05-31,280.532
1977-06-30,283.966
1977-07-29,275.958
1977-08-31,281.016
1977-09-30,275.663
1977-10-31,275.669
1977-11-30,278.541
1977-12-30,272.363
1978-01-31,269.085
1978-02-28,276.667
1978-03-31,290.548
1978-04-28,292.107
1978-05-31,299.174
1978-06-30,346.779
1978-07-31,361.882
1978-08-31,397.9
1978-09-29,370.988
1978-10-31,399.682
1978-11-30,295.838
1978-12-29,292.527
1979-01-31,329.955
1979-02-28,318.217
1979-03-30,310.065
1979-04-30,311.104
1979-05-31,314.497
1979-06-29,297.348
1979-07-31,315.402
1979-08-31,313.464
1979-09-28,383.349
1979-10-31,372.656
1979-11-30,406.516
1979-12-31,474.265
1980-01-31,527.692
1980-02-29,541.679
1980-03-31,467.521
1980-04-30,538.665
1980-05-30,557.237
1980-06-30,657.139
1980-07-31,724.454
1980-08-29,781.531
1980-09-30,778.806
1980-10-31,926.667
1980-11-28,877.901
1980-12-31,895.581
1981-01-30,943.636
1981-02-27,870.227
1981-03-31,786.415
1981-04-30,768.646
1981-05-29,884.2
1981-06-30,897.06
1981-07-31,863.012
1981-08-31,834.606
1981-09-30,573.018
1981-10-30,599.874
1981-11-30,713.428
1981-12-31,669.674
1982-01-29,660.752
1982-02-26,564.228
1982-03-31,534.188
1982-04-30,616.313
1982-05-31,651.738
1982-06-30,584.267
1982-07-30,533.638
1982-08-31,458.941
1982-09-30,399.838
1982-10-29,326.685
1982-11-30,315.147
1982-12-31,355.962
1983-01-31,393.259
1983-02-28,443.151
1983-03-31,437.586
1983-04-29,436.54
1983-05-31,390.929
1983-06-30,409.231
1983-07-29,440.615
1983-08-31,392.111
1983-09-30,280.836
1983-10-31,348.342
1983-11-30,352.316
1983-12-30,365.51
1984-01-31,443.289
1984-02-29,433.018
1984-03-30,423.377
1984-04-30,424.994
1984-05-31,371.885
1984-06-29,369.763
1984-07-31,331.205
1984-08-31,384.775
1984-09-28,413.222
1984-10-31,438.203
1984-11-30,480.721
1984-12-31,509.922
1985-01-31,590.282
1985-02-28,581.912
1985-03-29,593.456
1985-04-30,648.936
1985-05-31,693.368
1985-06-28,696.731
1985-07-31,753.658
1985-08-30,739.882
1985-09-30,686.226
1985-10-31,748.726
1985-11-29,774.426
1985-12-31,793.411
1986-01-31,788.557
1986-02-28,787.416
1986-03-31,759.605
1986-04-30,878.625
1986-05-30,860.26
1986-06-30,835.627
1986-07-31,911.606
1986-08-29,934.645
1986-09-30,985.488
1986-10-31,1132.048
1986-11-28,1155.345
1986-12-31,1233.282
1987-01-30,1235.721
1987-02-27,1388.404
1987-03-31,1335.321
1987-04-30,1274.134
1987-05-29,1443.828
1987-06-30,1554.145
1987-07-31,1660.215
1987-08-31,1749.301
