Date,HONG KONG GROWTH Standard (Large+Mid Cap)
1989-06-30,1289.104
1989-07-31,1460.448
1989-08-31,1399.725
1989-09-29,1561.302
1989-10-31,1529.836
1989-11-30,1549.208
1989-12-29,1577.897
1990-01-31,1531.395
1990-02-28,1686.317
1990-03-30,1729.771
1990-04-30,1737.198
1990-05-31,1873.038
1990-06-29,1970.48
1990-07-31,2070.264
1990-08-31,1858.459
1990-09-28,1654.227
1990-10-31,1830.686
1990-11-30,1862.782
1990-12-31,1904.45
1991-01-31,2036.342
1991-02-28,2208.299
1991-03-29,2384.847
1991-04-30,2341.105
1991-05-31,2418.959
1991-06-28,2380.659
1991-07-31,2565.278
1991-08-30,2558.604
1991-09-30,2511.018
1991-10-31,2507.841
1991-11-29,2606.72
1991-12-31,2708.343
1992-01-31,2944.781
1992-02-28,3161.023
1992-03-31,3174.106
1992-04-30,3406.808
1992-05-29,3838.573
1992-06-30,3813.972
1992-07-31,3613.797
1992-08-31,3387.921
1992-09-30,3283.333
1992-10-30,3729.966
1992-11-30,3446.356
1992-12-31,3274.956
1993-01-29,3389.603
1993-02-26,3714.378
1993-03-31,3773.581
1993-04-30,3975.352
1993-05-31,4274.222
1993-06-30,4176.328
1993-07-30,4126.18
1993-08-31,4461.029
1993-09-30,4494.578
1993-10-29,5384.119
1993-11-30,5200.391
1993-12-31,6232.528
1994-01-31,5955.5
1994-02-28,5331.787
1994-03-31,4669.206
1994-04-29,4865.77
1994-05-31,5141.66
1994-06-30,4776.417
1994-07-29,5018.992
1994-08-31,5252.544
1994-09-30,5015.546
1994-10-31,5101.164
1994-11-30,4626.422
1994-12-30,4550.189
1995-01-31,4022.088
1995-02-28,4501.024
1995-03-31,4743.072
1995-04-28,4640.881
1995-05-31,5220.493
1995-06-30,5017.793
1995-07-31,5101.465
1995-08-31,4980.462
1995-09-29,5218.105
1995-10-31,5254.108
1995-11-30,5236.98
1995-12-29,5406.877
1996-01-31,5847.119
1996-02-29,5905.054
1996-03-29,5954.428
1996-04-30,5895.951
1996-05-31,5985.546
1996-06-28,5858.633
1996-07-31,5588.162
1996-08-30,5717.169
1996-09-30,6144.488
1996-10-31,6409.218
1996-11-29,6661.38
1996-12-31,6632.217
1997-01-31,6634.18
1997-02-28,6640.005
1997-03-31,6379.789
1997-04-30,6534.276
1997-05-30,7440.549
1997-06-30,8206.155
1997-07-31,8759.567
1997-08-29,7343.444
1997-09-30,8039.175
1997-10-31,5857.689
1997-11-28,5788.489
1997-12-31,5925.612
1998-01-30,5329.613
1998-02-27,6190.798
1998-03-31,6165.3
1998-04-30,5533.137
1998-05-29,5036.9
1998-06-30,4908.695
1998-07-31,4677.882
1998-08-31,4469.229
