Date,HONG KONG GROWTH Standard (Large+Mid Cap)
2001-01-01,7616.553
2001-01-02,7489.97
2001-01-03,7333.843
2001-01-04,7634.324
2001-01-05,7611.174
2001-01-08,7436.59
2001-01-09,7526.669
2001-01-10,7530.948
2001-01-11,7390.533
2001-01-12,7461.09
2001-01-15,7393.357
2001-01-16,7408.067
2001-01-17,7396.701
2001-01-18,7515.795
2001-01-19,7815.109
2001-01-22,7954.879
2001-01-23,7883.914
2001-01-24,7883.964
2001-01-25,7884.015
2001-01-26,7883.914
2001-01-29,7796.413
2001-01-30,7641.597
2001-01-31,7754.929
2001-02-01,7844.752
2001-02-02,7781.113
2001-02-05,7659.099
2001-02-06,7622.298
2001-02-07,7693.262
2001-02-08,7610.224
2001-02-09,7604.471
2001-02-12,7527.336
2001-02-13,7563.325
2001-02-14,7561.834
2001-02-15,7468.985
2001-02-16,7481.488
2001-02-19,7469.107
2001-02-20,7449.279
2001-02-21,7422.882
2001-02-22,7333.035
2001-02-23,7326.277
2001-02-26,7250.032
2001-02-27,7148.607
2001-02-28,7220.438
2001-03-01,7107.059
2001-03-02,7083.406
2001-03-05,7078.966
2001-03-06,7159.521
2001-03-07,7134.24
2001-03-08,7070.726
2001-03-09,7071.796
2001-03-12,6853.489
2001-03-13,6747.966
2001-03-14,6695.888
2001-03-15,6818.981
2001-03-16,6774.944
2001-03-19,6828.079
2001-03-20,6693.602
2001-03-21,6632.953
2001-03-22,6409.126
2001-03-23,6525.912
2001-03-26,6637.838
2001-03-27,6568.807
2001-03-28,6575.279
2001-03-29,6471.277
2001-03-30,6496.083
2001-04-02,6530.298
2001-04-03,6468.797
2001-04-04,6274.656
2001-04-05,6274.536
2001-04-06,6343.296
2001-04-09,6243.047
2001-04-10,6213.089
2001-04-11,6459.164
2001-04-12,6617.417
2001-04-13,6617.417
2001-04-16,6617.205
2001-04-17,6520.682
2001-04-18,6703.715
2001-04-19,6964.512
2001-04-20,6886.085
2001-04-23,6834.129
2001-04-24,6781.632
2001-04-25,6701.431
2001-04-26,6670.727
2001-04-27,6698.546
2001-04-30,6698.718
2001-05-01,6698.803
2001-05-02,6820.776
2001-05-03,6846.894
2001-05-04,6727.291
2001-05-07,6822.403
2001-05-08,6835.563
2001-05-09,6814.599
2001-05-10,6837.967
2001-05-11,6837.949
2001-05-14,6714.099
2001-05-15,6755.148
2001-05-16,6806.292
2001-05-17,6863.673
2001-05-18,6735.009
2001-05-21,6811.672
2001-05-22,6871.64
2001-05-23,6876.774
2001-05-24,6825.189
2001-05-25,6789.06
2001-05-28,6784.625
2001-05-29,6772.297
2001-05-30,6688.874
2001-05-31,6580.644
2001-06-01,6564.087
2001-06-04,6612.165
2001-06-05,6703.276
2001-06-06,6731.612
2001-06-07,6777.308
2001-06-08,6779.255
2001-06-11,6646.234
2001-06-12,6548.042
2001-06-13,6503.905
2001-06-14,6383.947
2001-06-15,6305.485
2001-06-18,6307.987
2001-06-19,6349.882
2001-06-20,6269.684
2001-06-21,6322.357
2001-06-22,6231.297
2001-06-25,6231.377
2001-06-26,6155.788
2001-06-27,6141.092
2001-06-28,6072.313
2001-06-29,6125.102
2001-07-02,6125.219
2001-07-03,6170.217
2001-07-04,6294.731
2001-07-05,6192.616
2001-07-06,6192.537
2001-07-09,6053.757
2001-07-10,6122.919
2001-07-11,6094.679
2001-07-12,6102.327
2001-07-13,6046.042
2001-07-16,6083.952
2001-07-17,6093.635
2001-07-18,6088.172
2001-07-19,6027.151
2001-07-20,6069.021
2001-07-23,6074.419
2001-07-24,5982.206
2001-07-25,5982.091
2001-07-26,5894.552
2001-07-27,5951.176
2001-07-30,5929.019
2001-07-31,6108.876
2001-08-01,6174.601
2001-08-02,6129.257
2001-08-03,5998.755
2001-08-06,5995.502
2001-08-07,5974.312
2001-08-08,5915.328
2001-08-09,5724.462
2001-08-10,5762.734
2001-08-13,5640.693
2001-08-14,5739.978
2001-08-15,5779.989
2001-08-16,5803.008
2001-08-17,5878.206
2001-08-20,5775.539
2001-08-21,5631.272
2001-08-22,5624.016
2001-08-23,5710.173
2001-08-24,5683.361
2001-08-27,5737.976
2001-08-28,5742.714
2001-08-29,5728.212
2001-08-30,5718.826
2001-08-31,5619.905
2001-09-03,5588.617
2001-09-04,5635.431
2001-09-05,5602.276
2001-09-06,5446.173
2001-09-07,5326.77
2001-09-10,5306.242
2001-09-11,5317.536
2001-09-12,4822.906
2001-09-13,4886.156
2001-09-14,4879.979
2001-09-17,4728.22
2001-09-18,4684.179
2001-09-19,4821.174
2001-09-20,4691.584
2001-09-21,4511.747
2001-09-24,4643.396
2001-09-25,4743.873
2001-09-26,4753.011
2001-09-27,4907.152
2001-09-28,5002.211
2001-10-01,5002.756
2001-10-02,5002.596
2001-10-03,5011.466
2001-10-04,5171.027
2001-10-05,5286.97
2001-10-08,5179.629
2001-10-09,5371.716
2001-10-10,5306.146
2001-10-11,5366.749
2001-10-12,5251.742
2001-10-15,5226.78
2001-10-16,5191.033
2001-10-17,5367.615
2001-10-18,5199.044
2001-10-19,5118.639
2001-10-22,5164.235
2001-10-23,5308.313
2001-10-24,5292.214
2001-10-25,5292.282
2001-10-26,5358.826
2001-10-29,5243.615
2001-10-30,5209.759
2001-10-31,5218.957
2001-11-01,5236.094
2001-11-02,5244.012
2001-11-05,5372.455
2001-11-06,5325.282
2001-11-07,5261.925
2001-11-08,5427.838
2001-11-09,5477.39
2001-11-12,5453.442
2001-11-13,5488.02
2001-11-14,5671.89
2001-11-15,5819.894
2001-11-16,5851.928
2001-11-19,5904.225
2001-11-20,5852.049
2001-11-21,5776.331
2001-11-22,5754.647
2001-11-23,5781.206
2001-11-26,5821.647
2001-11-27,5779.626
2001-11-28,5688.634
2001-11-29,5712.332
2001-11-30,5817.625
2001-12-03,5753.105
2001-12-04,5847.755
2001-12-05,5893.537
2001-12-06,5846.888
2001-12-07,5933.35
2001-12-10,5932.808
2001-12-11,5907.574
2001-12-12,5917.219
2001-12-13,5830.843
2001-12-14,5824.927
2001-12-17,5815.26
2001-12-18,5792.058
2001-12-19,5867.364
2001-12-20,5909.67
2001-12-21,5759.921
2001-12-24,5788.439
2001-12-25,5788.439
2001-12-26,5788.364
2001-12-27,5835.424
2001-12-28,5850.38
2001-12-31,5845.321
2002-01-01,5845.321
2002-01-02,5861.247
2002-01-03,5895.073
2002-01-04,5995.41
2002-01-07,6060.401
2002-01-08,6040.779
2002-01-09,5981.439
2002-01-10,6014.571
2002-01-11,6005.482
2002-01-14,6027.825
2002-01-15,5979.419
2002-01-16,5961.265
2002-01-17,5955.16
2002-01-18,5938.428
2002-01-21,5943.328
2002-01-22,5921.354
2002-01-23,5935.0
2002-01-24,5919.506
2002-01-25,5990.694
2002-01-28,6021.094
2002-01-29,6009.703
2002-01-30,5906.647
2002-01-31,5877.787
2002-02-01,5858.312
2002-02-04,5861.581
2002-02-05,5842.813
2002-02-06,5852.848
2002-02-07,5795.095
2002-02-08,5894.161
2002-02-11,6063.932
2002-02-12,6063.854
2002-02-13,6063.932
2002-02-14,6063.932
2002-02-15,6107.161
2002-02-18,6096.814
2002-02-19,6020.596
2002-02-20,6053.792
2002-02-21,6085.268
2002-02-22,6028.618
2002-02-25,6002.275
2002-02-26,6047.578
2002-02-27,6092.606
2002-02-28,6057.819
2002-03-01,6052.244
2002-03-04,6163.351
2002-03-05,6223.948
2002-03-06,6221.123
2002-03-07,6261.498
2002-03-08,6318.571
2002-03-11,6342.543
2002-03-12,6332.216
2002-03-13,6332.819
2002-03-14,6343.742
2002-03-15,6362.092
2002-03-18,6377.468
2002-03-19,6379.288
2002-03-20,6360.909
2002-03-21,6301.658
2002-03-22,6333.188
2002-03-25,6329.007
2002-03-26,6288.085
2002-03-27,6393.366
2002-03-28,6418.073
2002-03-29,6418.073
2002-04-01,6418.156
2002-04-02,6302.805
2002-04-03,6309.628
2002-04-04,6293.562
2002-04-05,6293.562
2002-04-08,6290.402
2002-04-09,6279.104
2002-04-10,6222.294
2002-04-11,6298.881
2002-04-12,6281.105
2002-04-15,6323.023
2002-04-16,6310.29
2002-04-17,6417.124
2002-04-18,6437.352
2002-04-19,6486.675
2002-04-22,6477.174
2002-04-23,6571.5
2002-04-24,6582.623
2002-04-25,6548.032
2002-04-26,6561.69
2002-04-29,6552.451
2002-04-30,6607.923
2002-05-01,6608.092
2002-05-02,6726.645
2002-05-03,6758.972
2002-05-06,6724.649
2002-05-07,6792.098
2002-05-08,6758.41
2002-05-09,6780.604
2002-05-10,6783.369
2002-05-13,6777.123
2002-05-14,6781.662
2002-05-15,6828.624
2002-05-16,6838.791
2002-05-17,6836.783
2002-05-20,6836.652
2002-05-21,6773.605
2002-05-22,6758.056
