Date,HONG KONG GROWTH Standard (Large+Mid Cap)
2001-01-01,7358.128
2001-01-02,7235.841
2001-01-03,7085.011
2001-01-04,7375.297
2001-01-05,7352.932
2001-01-08,7184.272
2001-01-09,7271.294
2001-01-10,7275.428
2001-01-11,7139.777
2001-01-12,7207.941
2001-01-15,7142.506
2001-01-16,7156.717
2001-01-17,7145.736
2001-01-18,7260.79
2001-01-19,7549.948
2001-01-22,7684.976
2001-01-23,7616.418
2001-01-24,7616.467
2001-01-25,7616.516
2001-01-26,7616.418
2001-01-29,7531.887
2001-01-30,7382.324
2001-01-31,7491.81
2001-02-01,7578.585
2001-02-02,7517.105
2001-02-05,7399.231
2001-02-06,7363.678
2001-02-07,7432.235
2001-02-08,7352.015
2001-02-09,7346.457
2001-02-12,7271.939
2001-02-13,7306.707
2001-02-14,7305.267
2001-02-15,7215.568
2001-02-16,7227.646
2001-02-19,7215.685
2001-02-20,7196.53
2001-02-21,7171.029
2001-02-22,7084.231
2001-02-23,7077.702
2001-02-26,7004.044
2001-02-27,6906.06
2001-02-28,6975.454
2001-03-01,6865.922
2001-03-02,6843.071
2001-03-05,6838.781
2001-03-06,6916.604
2001-03-07,6892.181
2001-03-08,6830.821
2001-03-09,6831.855
2001-03-12,6620.955
2001-03-13,6519.012
2001-03-14,6468.702
2001-03-15,6587.618
2001-03-16,6545.075
2001-03-19,6596.407
2001-03-20,6466.493
2001-03-21,6407.901
2001-03-22,6191.668
2001-03-23,6304.492
2001-03-26,6412.621
2001-03-27,6345.932
2001-03-28,6352.185
2001-03-29,6251.711
2001-03-30,6275.675
2001-04-02,6308.729
2001-04-03,6249.315
2001-04-04,6061.762
2001-04-05,6061.645
2001-04-06,6128.073
2001-04-09,6031.225
2001-04-10,6002.284
2001-04-11,6240.009
2001-04-12,6392.893
2001-04-13,6392.893
2001-04-16,6392.688
2001-04-17,6299.44
2001-04-18,6476.263
2001-04-19,6728.211
2001-04-20,6652.445
2001-04-23,6602.252
2001-04-24,6551.536
2001-04-25,6474.056
2001-04-26,6444.394
2001-04-27,6471.269
2001-04-30,6471.435
2001-05-01,6471.518
2001-05-02,6589.352
2001-05-03,6614.584
2001-05-04,6499.039
2001-05-07,6590.924
2001-05-08,6603.638
2001-05-09,6583.384
2001-05-10,6605.96
2001-05-11,6605.942
2001-05-14,6486.295
2001-05-15,6525.951
2001-05-16,6575.36
2001-05-17,6630.793
2001-05-18,6506.495
2001-05-21,6580.557
2001-05-22,6638.49
2001-05-23,6643.45
2001-05-24,6593.615
2001-05-25,6558.712
2001-05-28,6554.427
2001-05-29,6542.518
2001-05-30,6461.926
2001-05-31,6357.368
2001-06-01,6341.372
2001-06-04,6387.819
2001-06-05,6475.839
2001-06-06,6503.213
2001-06-07,6547.359
2001-06-08,6549.24
2001-06-11,6420.732
2001-06-12,6325.871
2001-06-13,6283.232
2001-06-14,6167.344
2001-06-15,6091.544
2001-06-18,6093.962
2001-06-19,6134.435
2001-06-20,6056.958
2001-06-21,6107.844
2001-06-22,6019.874
2001-06-25,6019.951
2001-06-26,5946.927
2001-06-27,5932.729
2001-06-28,5866.284
2001-06-29,5917.281
2001-07-02,5917.395
2001-07-03,5960.866
2001-07-04,6081.155
2001-07-05,5982.505
2001-07-06,5982.428
2001-07-09,5848.357
2001-07-10,5915.172
2001-07-11,5887.89
2001-07-12,5895.279
2001-07-13,5840.905
2001-07-16,5877.528
2001-07-17,5886.882
2001-07-18,5881.605
2001-07-19,5822.654
2001-07-20,5863.103
2001-07-23,5868.319
2001-07-24,5779.234
2001-07-25,5779.123
2001-07-26,5694.554
2001-07-27,5749.257
2001-07-30,5727.852
2001-07-31,5901.606
2001-08-01,5965.101
2001-08-02,5921.295
2001-08-03,5795.221
2001-08-06,5792.079
2001-08-07,5771.608
2001-08-08,5714.626
2001-08-09,5530.235
2001-08-10,5567.209
2001-08-13,5449.308
2001-08-14,5545.225
2001-08-15,5583.878
2001-08-16,5606.116
2001-08-17,5678.762
2001-08-20,5579.579
2001-08-21,5440.207
2001-08-22,5433.197
2001-08-23,5516.431
2001-08-24,5490.528
2001-08-27,5543.291
2001-08-28,5547.868
2001-08-29,5533.858
2001-08-30,5524.79
2001-08-31,5429.226
2001-09-03,5398.999
2001-09-04,5444.225
2001-09-05,5412.195
2001-09-06,5261.389
2001-09-07,5146.036
2001-09-10,5126.205
2001-09-11,5137.115
2001-09-12,4659.268
2001-09-13,4720.372
2001-09-14,4714.405
2001-09-17,4567.795
2001-09-18,4525.248
2001-09-19,4657.595
2001-09-20,4532.402
2001-09-21,4358.667
2001-09-24,4485.849
2001-09-25,4582.917
2001-09-26,4591.745
2001-09-27,4740.656
2001-09-28,4832.489
2001-10-01,4833.016
2001-10-02,4832.861
2001-10-03,4841.431
2001-10-04,4995.578
2001-10-05,5107.587
2001-10-08,5003.888
2001-10-09,5189.457
2001-10-10,5126.112
2001-10-11,5184.659
2001-10-12,5073.554
2001-10-15,5049.439
2001-10-16,5014.905
2001-10-17,5185.495
2001-10-18,5022.644
2001-10-19,4944.968
2001-10-22,4989.016
2001-10-23,5128.206
2001-10-24,5112.653
2001-10-25,5112.718
2001-10-26,5177.005
2001-10-29,5065.703
2001-10-30,5032.995
2001-10-31,5041.881
2001-11-01,5058.437
2001-11-02,5066.087
2001-11-05,5190.171
2001-11-06,5144.599
2001-11-07,5083.392
2001-11-08,5243.675
2001-11-09,5291.546
2001-11-12,5268.411
2001-11-13,5301.816
2001-11-14,5479.447
2001-11-15,5622.429
2001-11-16,5653.376
2001-11-19,5703.899
2001-11-20,5653.493
2001-11-21,5580.344
2001-11-22,5559.396
2001-11-23,5585.054
2001-11-26,5624.123
2001-11-27,5583.527
2001-11-28,5495.623
2001-11-29,5518.517
2001-11-30,5620.237
2001-12-03,5557.906
2001-12-04,5649.345
2001-12-05,5693.574
2001-12-06,5648.507
2001-12-07,5732.036
2001-12-10,5731.512
2001-12-11,5707.134
2001-12-12,5716.452
2001-12-13,5633.006
2001-12-14,5627.292
2001-12-17,5617.952
2001-12-18,5595.537
2001-12-19,5668.289
2001-12-20,5709.159
2001-12-21,5564.491
2001-12-24,5592.041
2001-12-25,5592.041
2001-12-26,5591.969
2001-12-27,5637.432
2001-12-28,5651.881
2001-12-31,5646.993
2002-01-01,5646.993
2002-01-02,5662.379
2002-01-03,5695.058
2002-01-04,5791.99
2002-01-07,5854.776
2002-01-08,5835.819
2002-01-09,5778.493
2002-01-10,5810.5
2002-01-11,5801.72
2002-01-14,5823.305
2002-01-15,5776.542
2002-01-16,5759.004
2002-01-17,5753.106
2002-01-18,5736.941
2002-01-21,5741.676
2002-01-22,5720.447
2002-01-23,5733.63
2002-01-24,5718.661
2002-01-25,5787.434
2002-01-28,5816.803
2002-01-29,5805.798
2002-01-30,5706.238
2002-01-31,5678.358
2002-02-01,5659.544
2002-02-04,5662.702
2002-02-05,5644.57
2002-02-06,5654.265
2002-02-07,5598.472
2002-02-08,5694.176
2002-02-11,5858.187
2002-02-12,5858.112
2002-02-13,5858.187
2002-02-14,5858.187
2002-02-15,5899.949
2002-02-18,5889.953
2002-02-19,5816.321
2002-02-20,5848.391
2002-02-21,5878.799
2002-02-22,5824.071
2002-02-25,5798.622
2002-02-26,5842.388
2002-02-27,5885.888
2002-02-28,5852.282
2002-03-01,5846.895
2002-03-04,5954.233
2002-03-05,6012.774
2002-03-06,6010.045
2002-03-07,6049.05
2002-03-08,6104.186
2002-03-11,6127.345
2002-03-12,6117.368
2002-03-13,6117.951
2002-03-14,6128.503
2002-03-15,6146.23
2002-03-18,6161.085
2002-03-19,6162.843
2002-03-20,6145.088
2002-03-21,6087.848
2002-03-22,6118.308
2002-03-25,6114.268
2002-03-26,6074.735
2002-03-27,6176.444
2002-03-28,6200.313
2002-03-29,6200.313
2002-04-01,6200.392
