Date,SINGAPORE IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,339.169
1994-06-30,329.245
1994-07-29,336.688
1994-08-31,357.092
1994-09-30,368.463
1994-10-31,386.408
1994-11-30,366.303
1994-12-30,366.178
1995-01-31,339.989
1995-02-28,354.108
1995-03-31,361.507
1995-04-28,361.223
1995-05-31,388.102
1995-06-30,374.603
1995-07-31,383.479
1995-08-31,365.758
1995-09-29,371.221
1995-10-31,367.297
1995-11-30,372.693
1995-12-29,391.353
1996-01-31,428.602
1996-02-29,426.55
1996-03-29,413.124
1996-04-30,416.796
1996-05-31,399.13
1996-06-28,400.542
1996-07-31,370.314
1996-08-30,387.858
1996-09-30,388.349
1996-10-31,370.5
1996-11-29,395.895
1996-12-31,398.662
1997-01-31,415.495
1997-02-28,405.813
1997-03-31,369.848
1997-04-30,360.098
1997-05-30,376.063
1997-06-30,367.094
1997-07-31,368.411
1997-08-29,300.294
1997-09-30,301.407
1997-10-31,243.338
1997-11-28,243.39
1997-12-31,222.331
1998-01-30,177.004
1998-02-27,228.342
1998-03-31,231.028
1998-04-30,209.77
1998-05-29,173.338
1998-06-30,147.689
1998-07-31,140.408
1998-08-31,105.056
1998-09-30,125.024
1998-10-30,184.914
1998-11-30,221.274
1998-12-31,221.549
1999-01-29,213.963
1999-02-26,213.241
1999-03-31,219.384
1999-04-30,287.032
1999-05-31,282.252
1999-06-30,317.27
1999-07-30,304.043
1999-08-31,298.901
1999-09-30,289.883
1999-10-29,304.36
1999-11-30,317.876
1999-12-31,354.235
2000-01-31,311.42
2000-02-29,300.285
2000-03-31,295.533
2000-04-28,304.142
2000-05-31,246.66
2000-06-30,296.036
2000-07-31,303.515
2000-08-31,312.043
2000-09-29,289.349
2000-10-31,293.438
2000-11-30,289.957
2000-12-29,295.413
2001-01-31,294.634
2001-02-28,291.219
2001-03-30,247.887
2001-04-30,255.459
2001-05-31,250.209
2001-06-29,268.368
2001-07-31,262.955
2001-08-31,272.501
2001-09-28,227.357
2001-10-31,232.681
2001-11-30,248.878
2001-12-31,275.799
2002-01-31,301.922
2002-02-28,293.176
2002-03-29,308.761
2002-04-30,302.401
2002-05-31,302.32
2002-06-28,276.057
2002-07-31,275.778
2002-08-30,281.982
2002-09-30,255.179
2002-10-31,278.72
2002-11-29,256.899
2002-12-31,254.44
2003-01-31,244.296
2003-02-28,242.134
2003-03-31,235.856
2003-04-30,238.985
2003-05-30,265.264
2003-06-30,278.16
2003-07-31,302.126
2003-08-29,317.817
2003-09-30,330.299
2003-10-31,352.645
2003-11-28,351.956
2003-12-31,368.905
2004-01-30,385.592
2004-02-27,401.919
2004-03-31,401.377
2004-04-30,392.521
2004-05-31,386.785
2004-06-30,395.252
2004-07-30,403.65
2004-08-31,414.111
2004-09-30,433.073
2004-10-29,434.485
2004-11-30,451.243
2004-12-31,465.2
2005-01-31,474.534
2005-02-28,475.164
2005-03-31,479.855
2005-04-29,476.543
2005-05-31,481.143
2005-06-30,480.642
2005-07-29,532.225
2005-08-31,515.473
2005-09-30,519.287
2005-10-31,506.499
2005-11-30,531.736
2005-12-30,549.257
2006-01-31,578.273
2006-02-28,592.193
2006-03-31,604.863
2006-04-28,644.052
2006-05-31,603.471
2006-06-30,617.881
2006-07-31,621.373
2006-08-31,640.961
2006-09-29,674.457
2006-10-31,729.605
2006-11-30,772.98
2006-12-29,828.094
2007-01-31,850.712
2007-02-28,865.664
2007-03-30,910.25
2007-04-30,942.753
2007-05-31,1000.0
2007-06-29,985.002
2007-07-31,987.139
2007-08-31,919.693
2007-09-28,1007.711
2007-10-31,1040.637
2007-11-30,951.358
2007-12-31,965.42
2008-01-31,856.282
2008-02-29,899.091
2008-03-31,937.251
2008-04-30,998.728
2008-05-30,991.61
2008-06-30,924.891
2008-07-31,940.183
2008-08-29,871.714
2008-09-30,757.115
2008-10-31,525.074
2008-11-28,504.344
2008-12-31,546.642
2009-01-30,514.052
2009-02-27,451.168
2009-03-31,482.225
2009-04-30,562.889
2009-05-29,731.351
2009-06-30,736.45
2009-07-31,843.535
2009-08-31,820.029
2009-09-30,871.757
2009-10-30,872.556
2009-11-30,923.709
2009-12-31,969.531
2010-01-29,921.746
2010-02-26,930.659
2010-03-31,970.912
2010-04-30,1041.603
2010-05-31,943.84
2010-06-30,979.11
2010-07-30,1051.878
2010-08-31,1037.603
2010-09-30,1113.694
2010-10-29,1124.295
2010-11-30,1109.311
2010-12-31,1152.25
2011-01-31,1175.992
2011-02-28,1115.636
2011-03-31,1156.406
2011-04-29,1220.368
2011-05-31,1217.715
2011-06-30,1209.09
2011-07-29,1276.456
2011-08-31,1173.091
2011-09-30,1023.517
2011-10-31,1102.671
2011-11-30,1021.594
2011-12-30,981.437
2012-01-31,1126.544
2012-02-29,1198.476
2012-03-30,1198.548
2012-04-30,1221.879
2012-05-31,1120.495
2012-06-29,1190.187
2012-07-31,1289.814
2012-08-31,1281.703
2012-09-28,1326.036
2012-10-31,1310.199
2012-11-30,1339.029
2012-12-31,1379.236
2013-01-31,1402.029
2013-02-28,1412.46
2013-03-29,1439.892
2013-04-30,1522.996
2013-05-31,1438.083
2013-06-28,1363.536
2013-07-31,1411.044
2013-08-30,1335.265
2013-09-30,1421.118
2013-10-31,1469.993
2013-11-29,1444.768
2013-12-31,1425.93
2014-01-31,1352.602
2014-02-28,1394.28
2014-03-31,1431.885
2014-04-30,1488.869
2014-05-30,1530.73
2014-06-30,1523.428
2014-07-31,1582.788
2014-08-29,1589.323
2014-09-30,1526.278
2014-10-31,1508.593
2014-11-28,1530.653
2014-12-31,1516.771
2015-01-30,1514.655
2015-02-27,1526.313
2015-03-31,1538.324
2015-04-30,1622.638
2015-05-29,1548.969
2015-06-30,1524.617
2015-07-31,1455.899
2015-08-31,1290.226
2015-09-30,1250.372
2015-10-30,1352.507
2015-11-30,1284.084
2015-12-31,1276.249
2016-01-29,1180.567
2016-02-29,1223.971
2016-03-31,1364.88
2016-04-29,1379.676
2016-05-31,1308.475
2016-06-30,1348.953
2016-07-29,1342.547
2016-08-31,1319.097
2016-09-30,1347.027
2016-10-31,1308.406
2016-11-30,1351.539
2016-12-30,1333.24
2017-01-31,1434.867
2017-02-28,1476.789
2017-03-31,1521.748
2017-04-28,1519.288
2017-05-31,1599.148
2017-06-30,1632.765
2017-07-31,1711.435
2017-08-31,1713.838
2017-09-29,1696.272
2017-10-31,1774.855
2017-11-30,1845.208
2017-12-29,1861.154
2018-01-31,1968.752
2018-02-28,1871.275
2018-03-30,1852.514
2018-04-30,1920.561
2018-05-31,1803.886
2018-06-29,1683.431
2018-07-31,1726.354
2018-08-31,1716.029
2018-09-28,1738.829
2018-10-31,1618.031
2018-11-30,1648.887
2018-12-31,1635.4
2019-01-31,1731.85
2019-02-28,1732.212
2019-03-29,1745.323
2019-04-30,1836.345
2019-05-31,1715.848
2019-06-28,1882.261
2019-07-31,1850.833
2019-08-30,1740.63
2019-09-30,1757.813
2019-10-31,1849.128
2019-11-29,1829.634
2019-12-31,1890.284
2020-01-31,1835.162
2020-02-28,1704.911
2020-03-31,1344.448
2020-04-30,1472.795
2020-05-29,1436.762
2020-06-30,1496.361
2020-07-31,1468.006
2020-08-31,1515.693
2020-09-30,1464.053
2020-10-30,1436.015
2020-11-30,1744.139
2020-12-31,1785.643
2021-01-29,1798.569
2021-02-26,1851.79
2021-03-31,1951.645
2021-04-30,2036.753
2021-05-31,2039.932
2021-06-30,1974.496
2021-07-30,1998.568
2021-08-31,1984.826
2021-09-30,1989.957
2021-10-29,2063.608
2021-11-30,1941.141
2021-12-31,2040.046
2022-01-31,2104.873
2022-02-28,2106.669
2022-03-31,2247.849
2022-04-29,2193.633
2022-05-31,2138.509
2022-06-30,2029.431
2022-07-29,2109.107
2022-08-31,2130.786
2022-09-30,1996.307
2022-10-31,2025.295
2022-11-30,2222.149
2022-12-30,2232.519
2023-01-31,2347.974
2023-02-28,2253.022
2023-03-31,2278.057
2023-04-28,2288.485
2023-05-31,2218.944
2023-06-30,2246.451
2023-07-31,2430.292
2023-08-31,2320.878
2023-09-29,2283.72
2023-10-31,2195.146
2023-11-30,2276.032
2023-12-29,2431.098
2024-01-31,2345.402
2024-02-29,2291.475
2024-03-29,2324.629
2024-04-30,2362.391
2024-05-31,2415.676
2024-06-28,2435.812
2024-07-31,2577.82
2024-08-30,2700.717
2024-09-30,2860.985
2024-10-31,2698.57
2024-11-29,2756.637
2024-12-31,2731.742
2025-01-31,2795.835
2025-02-28,2836.886
2025-03-31,2910.976
2025-04-30,2884.058
2025-05-30,2967.474
