Date,SINGAPORE IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,295.398
2001-01-02,289.279
2001-01-03,284.763
2001-01-04,292.955
2001-01-05,301.424
2001-01-08,297.172
2001-01-09,297.593
2001-01-10,296.347
2001-01-11,288.423
2001-01-12,288.714
2001-01-15,288.808
2001-01-16,287.085
2001-01-17,286.182
2001-01-18,280.692
2001-01-19,282.884
2001-01-22,282.989
2001-01-23,282.381
2001-01-24,282.381
2001-01-25,282.638
2001-01-26,279.206
2001-01-29,282.669
2001-01-30,287.678
2001-01-31,294.634
2001-02-01,294.872
2001-02-02,294.421
2001-02-05,290.21
2001-02-06,289.089
2001-02-07,288.472
2001-02-08,294.428
2001-02-09,293.773
2001-02-12,296.003
2001-02-13,295.257
2001-02-14,292.968
2001-02-15,294.894
2001-02-16,294.827
2001-02-19,291.858
2001-02-20,295.075
2001-02-21,293.591
2001-02-22,291.707
2001-02-23,290.866
2001-02-26,293.923
2001-02-27,290.956
2001-02-28,291.219
2001-03-01,286.548
2001-03-02,286.239
2001-03-05,284.03
2001-03-06,284.269
2001-03-07,286.132
2001-03-08,286.075
2001-03-09,286.242
2001-03-12,278.053
2001-03-13,272.023
2001-03-14,269.829
2001-03-15,268.314
2001-03-16,263.631
2001-03-19,257.036
2001-03-20,257.726
2001-03-21,255.124
2001-03-22,247.909
2001-03-23,254.617
2001-03-26,256.055
2001-03-27,252.574
2001-03-28,247.295
2001-03-29,241.697
2001-03-30,247.887
2001-04-02,243.451
2001-04-03,242.548
2001-04-04,240.172
2001-04-05,248.445
2001-04-06,245.856
2001-04-09,233.871
2001-04-10,234.938
2001-04-11,237.357
2001-04-12,235.14
2001-04-13,235.132
2001-04-16,234.824
2001-04-17,231.54
2001-04-18,237.146
2001-04-19,242.521
2001-04-20,243.074
2001-04-23,248.543
2001-04-24,247.582
2001-04-25,245.474
2001-04-26,247.215
2001-04-27,249.478
2001-04-30,255.459
2001-05-01,256.525
2001-05-02,258.52
2001-05-03,257.74
2001-05-04,254.334
2001-05-07,253.992
2001-05-08,252.728
2001-05-09,248.565
2001-05-10,251.493
2001-05-11,255.824
2001-05-14,252.127
2001-05-15,252.232
2001-05-16,248.643
2001-05-17,251.557
2001-05-18,249.429
2001-05-21,250.686
2001-05-22,252.912
2001-05-23,254.483
2001-05-24,256.073
2001-05-25,253.02
2001-05-28,251.29
2001-05-29,254.193
2001-05-30,250.057
2001-05-31,250.209
2001-06-01,251.194
2001-06-04,254.665
2001-06-05,261.033
2001-06-06,261.858
2001-06-07,262.576
2001-06-08,266.532
2001-06-11,263.234
2001-06-12,260.226
2001-06-13,262.568
2001-06-14,263.44
2001-06-15,265.467
2001-06-18,267.477
2001-06-19,264.895
2001-06-20,261.212
2001-06-21,261.149
2001-06-22,265.129
2001-06-25,263.337
2001-06-26,264.743
2001-06-27,263.256
2001-06-28,266.421
2001-06-29,268.368
2001-07-02,265.197
2001-07-03,264.699
2001-07-04,263.282
2001-07-05,262.667
2001-07-06,257.157
2001-07-09,253.526
2001-07-10,256.208
2001-07-11,254.278
2001-07-12,254.561
2001-07-13,252.774
2001-07-16,254.11
2001-07-17,251.6
2001-07-18,249.896
2001-07-19,251.393
2001-07-20,254.284
2001-07-23,253.265
2001-07-24,256.308
2001-07-25,255.247
