Date,SINGAPORE IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,295.841
2001-01-02,289.712
2001-01-03,285.19
2001-01-04,293.394
2001-01-05,301.874
2001-01-08,297.615
2001-01-09,298.038
2001-01-10,296.79
2001-01-11,288.854
2001-01-12,289.145
2001-01-15,289.239
2001-01-16,287.514
2001-01-17,286.609
2001-01-18,281.111
2001-01-19,283.306
2001-01-22,283.412
2001-01-23,282.803
2001-01-24,282.803
2001-01-25,283.06
2001-01-26,279.623
2001-01-29,283.091
2001-01-30,288.108
2001-01-31,295.072
2001-02-01,295.311
2001-02-02,294.859
2001-02-05,290.641
2001-02-06,289.519
2001-02-07,288.901
2001-02-08,294.866
2001-02-09,294.21
2001-02-12,296.444
2001-02-13,295.696
2001-02-14,293.404
2001-02-15,295.333
2001-02-16,295.266
2001-02-19,292.292
2001-02-20,295.514
2001-02-21,294.028
2001-02-22,292.141
2001-02-23,291.299
2001-02-26,294.36
2001-02-27,291.389
2001-02-28,291.653
2001-03-01,286.974
2001-03-02,286.665
2001-03-05,284.452
2001-03-06,284.692
2001-03-07,286.558
2001-03-08,286.501
2001-03-09,286.668
2001-03-12,278.467
2001-03-13,272.428
2001-03-14,270.231
2001-03-15,268.714
2001-03-16,264.023
2001-03-19,257.419
2001-03-20,258.11
2001-03-21,255.503
2001-03-22,248.278
2001-03-23,254.995
2001-03-26,256.435
2001-03-27,252.947
2001-03-28,247.661
2001-03-29,242.054
2001-03-30,248.253
2001-04-02,243.811
2001-04-03,242.907
2001-04-04,240.527
2001-04-05,248.812
2001-04-06,246.217
2001-04-09,234.214
2001-04-10,235.283
2001-04-11,237.705
2001-04-12,235.485
2001-04-13,235.478
2001-04-16,235.169
2001-04-17,231.88
2001-04-18,237.494
2001-04-19,242.877
2001-04-20,243.431
2001-04-23,248.908
2001-04-24,247.945
2001-04-25,245.835
2001-04-26,247.578
2001-04-27,249.844
2001-04-30,255.834
2001-05-01,256.901
2001-05-02,258.9
2001-05-03,258.119
2001-05-04,254.708
2001-05-07,254.365
2001-05-08,253.099
2001-05-09,248.93
2001-05-10,251.86
2001-05-11,256.197
2001-05-14,252.491
2001-05-15,252.597
2001-05-16,249.002
2001-05-17,251.921
2001-05-18,249.785
2001-05-21,251.041
2001-05-22,253.271
2001-05-23,254.844
2001-05-24,256.428
2001-05-25,253.37
2001-05-28,251.627
2001-05-29,254.535
2001-05-30,250.39
2001-05-31,250.539
2001-06-01,251.522
2001-06-04,254.997
2001-06-05,261.373
2001-06-06,262.197
2001-06-07,262.916
2001-06-08,266.876
2001-06-11,263.574
2001-06-12,260.562
2001-06-13,262.907
2001-06-14,263.779
2001-06-15,265.809
2001-06-18,267.821
2001-06-19,265.236
2001-06-20,261.548
2001-06-21,261.485
2001-06-22,265.465
2001-06-25,263.671
2001-06-26,265.079
2001-06-27,263.59
2001-06-28,266.759
2001-06-29,268.708
2001-07-02,265.532
2001-07-03,265.035
2001-07-04,263.615
2001-07-05,263.0
2001-07-06,257.482
2001-07-09,253.847
2001-07-10,256.533
2001-07-11,254.6
2001-07-12,254.884
2001-07-13,253.094
2001-07-16,254.432
2001-07-17,251.918
2001-07-18,250.212
2001-07-19,251.712
2001-07-20,254.606
2001-07-23,253.586
2001-07-24,256.632
2001-07-25,255.57
2001-07-26,258.042
2001-07-27,259.891
2001-07-30,260.835
2001-07-31,263.288
2001-08-01,264.743
2001-08-02,265.848
2001-08-03,264.897
2001-08-06,265.412
2001-08-07,266.867
2001-08-08,266.199
2001-08-09,266.214
2001-08-10,268.991
2001-08-13,267.786
2001-08-14,269.621
2001-08-15,270.986
2001-08-16,270.159
2001-08-17,268.081
2001-08-20,265.591
2001-08-21,270.091
2001-08-22,270.995
2001-08-23,272.113
2001-08-24,270.533
2001-08-27,273.629
2001-08-28,272.232
2001-08-29,273.153
2001-08-30,269.197
2001-08-31,272.841
2001-09-03,272.017
2001-09-04,272.444
2001-09-05,270.681
2001-09-06,266.409
2001-09-07,259.67
2001-09-10,257.512
2001-09-11,259.72
2001-09-12,247.766
2001-09-13,247.577
2001-09-14,240.191
2001-09-17,226.938
2001-09-18,225.512
2001-09-19,228.99
2001-09-20,225.404
2001-09-21,213.27
2001-09-24,219.261
2001-09-25,216.711
2001-09-26,219.893
2001-09-27,225.066
2001-09-28,227.636
2001-10-01,228.407
2001-10-02,228.862
2001-10-03,230.297
2001-10-04,239.575
2001-10-05,239.061
2001-10-08,229.962
2001-10-09,236.161
2001-10-10,233.014
2001-10-11,238.534
2001-10-12,238.618
