Date,JAPAN IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,946.929
2001-01-02,944.49
2001-01-03,945.398
2001-01-04,940.257
2001-01-05,945.076
2001-01-08,944.874
2001-01-09,916.835
2001-01-10,902.009
2001-01-11,873.42
2001-01-12,880.331
2001-01-15,886.886
2001-01-16,916.061
2001-01-17,934.875
2001-01-18,961.529
2001-01-19,974.888
2001-01-22,977.302
2001-01-23,966.669
2001-01-24,953.851
2001-01-25,966.873
2001-01-26,955.37
2001-01-29,953.721
2001-01-30,955.47
2001-01-31,960.145
2001-02-01,963.675
2001-02-02,951.45
2001-02-05,936.956
2001-02-06,934.258
2001-02-07,938.692
2001-02-08,919.606
2001-02-09,918.656
2001-02-12,918.625
2001-02-13,912.618
2001-02-14,908.224
2001-02-15,916.831
2001-02-16,912.436
2001-02-19,897.751
2001-02-20,911.353
2001-02-21,895.191
2001-02-22,894.839
2001-02-23,906.689
2001-02-26,905.951
2001-02-27,897.018
2001-02-28,875.716
2001-03-01,865.643
2001-03-02,826.63
2001-03-05,815.686
2001-03-06,846.141
2001-03-07,855.044
2001-03-08,849.269
2001-03-09,848.954
2001-03-12,815.644
2001-03-13,788.834
2001-03-14,782.198
2001-03-15,789.391
2001-03-16,800.704
2001-03-19,801.104
2001-03-20,798.364
2001-03-21,846.158
2001-03-22,830.965
2001-03-23,863.829
2001-03-26,902.396
2001-03-27,902.126
2001-03-28,919.229
2001-03-29,870.031
2001-03-30,844.168
2001-04-02,831.404
2001-04-03,844.558
2001-04-04,852.602
2001-04-05,868.675
2001-04-06,873.958
2001-04-09,844.313
2001-04-10,834.238
2001-04-11,855.92
2001-04-12,873.796
2001-04-13,875.223
2001-04-16,860.333
2001-04-17,855.794
2001-04-18,894.832
2001-04-19,923.381
2001-04-20,904.417
2001-04-23,914.097
2001-04-24,900.901
2001-04-25,909.807
2001-04-26,915.655
2001-04-27,909.776
2001-04-30,911.617
2001-05-01,956.537
2001-05-02,973.745
2001-05-03,981.391
2001-05-04,981.553
2001-05-07,1001.052
2001-05-08,973.925
2001-05-09,956.027
2001-05-10,941.959
2001-05-11,939.934
2001-05-14,924.319
2001-05-15,939.02
2001-05-16,915.649
2001-05-17,933.98
2001-05-18,920.165
2001-05-21,935.219
2001-05-22,936.448
2001-05-23,946.241
2001-05-24,944.61
2001-05-25,932.013
2001-05-28,918.98
2001-05-29,931.031
2001-05-30,907.479
2001-05-31,900.775
2001-06-01,900.615
2001-06-04,896.332
2001-06-05,887.643
2001-06-06,884.541
2001-06-07,892.221
2001-06-08,890.777
2001-06-11,872.824
2001-06-12,845.025
2001-06-13,843.609
2001-06-14,845.491
2001-06-15,829.82
2001-06-18,816.715
2001-06-19,813.708
2001-06-20,811.791
2001-06-21,823.17
2001-06-22,836.919
2001-06-25,825.172
2001-06-26,827.444
2001-06-27,820.472
2001-06-28,804.051
2001-06-29,823.99
2001-07-02,816.568
2001-07-03,820.609
2001-07-04,808.83
2001-07-05,795.298
2001-07-06,779.169
2001-07-09,771.135
2001-07-10,780.882
2001-07-11,773.24
2001-07-12,794.266
2001-07-13,786.284
2001-07-16,779.232
2001-07-17,768.276
2001-07-18,754.078
2001-07-19,758.127
2001-07-20,760.56
2001-07-23,731.049
2001-07-24,743.968
2001-07-25,753.968
2001-07-26,754.224
2001-07-27,743.489
2001-07-30,721.074
2001-07-31,739.533
2001-08-01,753.406
2001-08-02,780.52
2001-08-03,775.882
2001-08-06,769.901
2001-08-07,771.665
2001-08-08,771.228
2001-08-09,744.066
2001-08-10,749.647
2001-08-13,733.608
2001-08-14,756.937
2001-08-15,765.009
2001-08-16,746.747
2001-08-17,741.134
2001-08-20,727.248
2001-08-21,733.389
2001-08-22,732.348
2001-08-23,711.517
2001-08-24,710.367
2001-08-27,719.618
2001-08-28,709.551
2001-08-29,700.993
2001-08-30,692.229
2001-08-31,690.807
2001-09-03,669.566
2001-09-04,688.085
2001-09-05,668.466
2001-09-06,663.049
2001-09-07,661.102
2001-09-10,640.721
2001-09-11,656.754
2001-09-12,609.551
2001-09-13,622.854
2001-09-14,656.177
2001-09-17,632.529
2001-09-18,649.914
2001-09-19,672.113
2001-09-20,673.583
2001-09-21,655.587
2001-09-24,650.738
2001-09-25,662.904
2001-09-26,652.739
2001-09-27,648.438
2001-09-28,661.029
2001-10-01,668.564
2001-10-02,678.581
2001-10-03,666.182
2001-10-04,683.006
2001-10-05,689.34
2001-10-08,691.725
2001-10-09,672.404
2001-10-10,661.322
2001-10-11,682.133
2001-10-12,699.368
2001-10-15,691.249
2001-10-16,693.402
2001-10-17,709.388
2001-10-18,694.565
2001-10-19,697.377
2001-10-22,694.55
2001-10-23,702.919
2001-10-24,705.801
2001-10-25,710.623
2001-10-26,706.168
2001-10-29,702.716
2001-10-30,691.023
2001-10-31,678.592
2001-11-01,683.038
2001-11-02,683.195
2001-11-05,681.242
2001-11-06,695.767
2001-11-07,676.01
2001-11-08,680.326
2001-11-09,674.656
2001-11-12,668.632
2001-11-13,661.236
2001-11-14,665.471
2001-11-15,684.675
2001-11-16,693.935
2001-11-19,694.964
2001-11-20,688.772
2001-11-21,683.125
2001-11-22,683.497
2001-11-23,680.365
2001-11-26,702.453
2001-11-27,700.62
2001-11-28,687.34
2001-11-29,678.284
2001-11-30,684.185
2001-12-03,666.063
2001-12-04,665.794
2001-12-05,680.715
2001-12-06,689.031
2001-12-07,674.997
2001-12-10,656.99
2001-12-11,648.532
2001-12-12,664.105
2001-12-13,646.324
2001-12-14,634.659
2001-12-17,624.06
2001-12-18,624.236
2001-12-19,625.351
2001-12-20,631.093
2001-12-21,617.502
2001-12-24,615.578
2001-12-25,611.474
2001-12-26,603.171
2001-12-27,612.043
2001-12-28,624.293
2001-12-31,624.909
2002-01-01,624.909
2002-01-02,619.895
2002-01-03,621.896
2002-01-04,642.39
2002-01-07,643.535
2002-01-08,623.349
2002-01-09,618.828
2002-01-10,609.501
2002-01-11,604.49
2002-01-14,606.248
2002-01-15,594.009
2002-01-16,592.899
2002-01-17,590.659
2002-01-18,600.426
2002-01-21,597.386
2002-01-22,577.514
2002-01-23,571.103
2002-01-24,572.198
2002-01-25,576.59
2002-01-28,588.273
2002-01-29,576.027
2002-01-30,568.557
2002-01-31,569.387
2002-02-01,556.589
2002-02-04,552.417
2002-02-05,539.086
2002-02-06,537.531
2002-02-07,550.701
2002-02-08,549.016
2002-02-11,553.905
2002-02-12,572.32
2002-02-13,575.673
2002-02-14,582.218
2002-02-15,577.723
2002-02-18,576.218
2002-02-19,562.23
2002-02-20,557.859
2002-02-21,573.963
2002-02-22,578.271
2002-02-25,575.655
2002-02-26,572.342
2002-02-27,583.769
2002-02-28,590.574
2002-03-01,604.083
