Date,JAPAN IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,1361.042
1994-06-30,1441.432
1994-07-29,1387.345
1994-08-31,1393.992
1994-09-30,1355.555
1994-10-31,1385.828
1994-11-30,1295.463
1994-12-30,1323.242
1995-01-31,1247.845
1995-02-28,1167.782
1995-03-31,1267.14
1995-04-28,1330.274
1995-05-31,1240.331
1995-06-30,1177.519
1995-07-31,1268.835
1995-08-31,1217.997
1995-09-29,1224.273
1995-10-31,1156.024
1995-11-30,1223.456
1995-12-29,1278.954
1996-01-31,1248.878
1996-02-29,1225.129
1996-03-29,1275.909
1996-04-30,1354.751
1996-05-31,1290.852
1996-06-28,1289.464
1996-07-31,1222.326
1996-08-30,1173.557
1996-09-30,1204.106
1996-10-31,1120.672
1996-11-29,1114.325
1996-12-31,1028.331
1997-01-31,911.846
1997-02-28,935.137
1997-03-31,897.412
1997-04-30,919.003
1997-05-30,1055.067
1997-06-30,1117.144
1997-07-31,1091.141
1997-08-29,990.614
1997-09-30,977.455
1997-10-31,889.44
1997-11-28,839.099
1997-12-31,804.382
1998-01-30,853.457
1998-02-27,848.411
1998-03-31,794.296
1998-04-30,799.232
1998-05-29,756.994
1998-06-30,756.957
1998-07-31,758.725
1998-08-31,677.658
1998-09-30,664.989
1998-10-30,757.788
1998-11-30,798.049
1998-12-31,832.059
1999-01-29,842.089
1999-02-26,834.654
1999-03-31,957.69
1999-04-30,1007.604
1999-05-31,954.972
1999-06-30,1098.042
1999-07-30,1225.029
1999-08-31,1278.994
1999-09-30,1391.709
1999-10-29,1530.542
1999-11-30,1771.463
1999-12-31,1948.193
2000-01-31,1790.396
2000-02-29,1862.602
2000-03-31,1847.979
2000-04-28,1608.134
2000-05-31,1373.075
2000-06-30,1445.492
2000-07-31,1242.669
2000-08-31,1364.265
2000-09-29,1272.87
2000-10-31,1124.644
2000-11-30,1093.771
2000-12-29,946.927
2001-01-31,960.145
2001-02-28,875.716
2001-03-30,844.168
2001-04-30,911.617
2001-05-31,900.775
2001-06-29,823.99
2001-07-31,739.533
2001-08-31,690.807
2001-09-28,661.029
2001-10-31,678.592
2001-11-30,684.185
2001-12-31,624.909
2002-01-31,569.387
2002-02-28,590.574
2002-03-29,637.497
2002-04-30,672.39
2002-05-31,719.225
2002-06-28,678.147
2002-07-31,626.221
2002-08-30,615.035
2002-09-30,581.32
2002-10-31,546.731
2002-11-29,572.143
2002-12-31,548.757
2003-01-31,523.359
2003-02-28,524.617
2003-03-31,505.832
2003-04-30,499.953
2003-05-30,527.394
2003-06-30,564.233
2003-07-31,588.06
2003-08-29,644.948
2003-09-30,677.825
2003-10-31,711.644
2003-11-28,676.913
2003-12-31,715.021
2004-01-30,731.773
2004-02-27,721.636
2004-03-31,828.992
2004-04-30,792.317
2004-05-31,747.247
2004-06-30,784.741
2004-07-30,719.111
2004-08-31,726.935
2004-09-30,704.918
2004-10-29,725.403
2004-11-30,761.513
2004-12-31,800.635
2005-01-31,788.145
2005-02-28,798.523
2005-03-31,781.475
2005-04-29,760.223
2005-05-31,753.495
2005-06-30,752.877
2005-07-29,759.748
2005-08-31,808.55
2005-09-30,879.731
2005-10-31,878.551
2005-11-30,924.04
2005-12-30,1026.93
2006-01-31,1078.408
2006-02-28,1046.46
2006-03-31,1077.975
2006-04-28,1095.732
2006-05-31,1010.855
2006-06-30,997.122
2006-07-31,978.494
2006-08-31,990.684
2006-09-29,973.682
2006-10-31,982.528
2006-11-30,980.126
2006-12-29,984.621
2007-01-31,990.731
2007-02-28,1018.059
