Date,JAPAN IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,1374.42
1994-06-30,1455.587
1994-07-29,1400.968
1994-08-31,1407.66
1994-09-30,1368.597
1994-10-31,1399.16
1994-11-30,1307.921
1994-12-30,1335.941
1995-01-31,1259.818
1995-02-28,1178.967
1995-03-31,1278.861
1995-04-28,1342.579
1995-05-31,1251.802
1995-06-30,1188.397
1995-07-31,1280.555
1995-08-31,1229.233
1995-09-29,1235.303
1995-10-31,1166.439
1995-11-30,1234.477
1995-12-29,1290.456
1996-01-31,1260.107
1996-02-29,1236.122
1996-03-29,1286.989
1996-04-30,1366.516
1996-05-31,1302.059
1996-06-28,1300.649
1996-07-31,1232.928
1996-08-30,1183.722
1996-09-30,1214.295
1996-10-31,1130.154
1996-11-29,1123.751
1996-12-31,1037.012
1997-01-31,919.541
1997-02-28,943.007
1997-03-31,904.654
1997-04-30,926.419
1997-05-30,1063.579
1997-06-30,1126.143
1997-07-31,1099.929
1997-08-29,998.58
1997-09-30,985.116
1997-10-31,896.411
1997-11-28,845.673
1997-12-31,810.67
1998-01-30,860.125
1998-02-27,855.024
1998-03-31,800.227
1998-04-30,805.2
1998-05-29,762.645
1998-06-30,762.596
1998-07-31,764.377
1998-08-31,682.695
1998-09-30,669.758
1998-10-30,763.222
1998-11-30,803.77
1998-12-31,838.01
1999-01-29,848.11
1999-02-26,840.607
1999-03-31,964.101
1999-04-30,1014.348
1999-05-31,961.359
1999-06-30,1105.366
1999-07-30,1233.198
1999-08-31,1287.512
1999-09-30,1400.665
1999-10-29,1540.39
1999-11-30,1782.858
1999-12-31,1960.709
2000-01-31,1801.898
2000-02-29,1874.55
2000-03-31,1859.464
2000-04-28,1618.128
2000-05-31,1381.604
2000-06-30,1454.455
2000-07-31,1250.373
2000-08-31,1372.698
2000-09-29,1280.446
2000-10-31,1131.331
2000-11-30,1100.261
2000-12-29,952.531
2001-01-31,965.826
2001-02-28,880.873
2001-03-30,848.803
2001-04-30,916.622
2001-05-31,905.706
2001-06-29,828.49
2001-07-31,743.566
2001-08-31,694.553
2001-09-28,664.325
2001-10-31,681.984
2001-11-30,687.594
2001-12-31,628.01
2002-01-31,572.211
2002-02-28,593.468
2002-03-29,640.277
2002-04-30,675.321
2002-05-31,722.354
2002-06-28,681.075
2002-07-31,628.924
2002-08-30,617.666
2002-09-30,583.549
2002-10-31,548.812
2002-11-29,574.207
2002-12-31,550.7
2003-01-31,525.211
2003-02-28,526.441
2003-03-31,507.135
2003-04-30,501.237
2003-05-30,528.737
2003-06-30,565.654
2003-07-31,589.541
2003-08-29,646.559
2003-09-30,679.351
2003-10-31,713.236
2003-11-28,678.422
2003-12-31,716.588
2004-01-30,733.377
2004-02-27,723.201
2004-03-31,830.581
2004-04-30,793.821
2004-05-31,748.658
2004-06-30,786.204
2004-07-30,720.452
2004-08-31,728.279
2004-09-30,706.088
2004-10-29,726.591
2004-11-30,762.756
2004-12-31,801.915
2005-01-31,789.404
2005-02-28,799.783
2005-03-31,782.463
2005-04-29,761.183
2005-05-31,754.44
2005-06-30,753.798
2005-07-29,760.677
2005-08-31,809.53
2005-09-30,880.598
2005-10-31,879.409
2005-11-30,924.938
2005-12-30,1027.892
2006-01-31,1079.417
2006-02-28,1047.415
2006-03-31,1078.697
2006-04-28,1096.458
2006-05-31,1011.507
2006-06-30,997.752
2006-07-31,979.11
2006-08-31,991.293
2006-09-29,974.077
2006-10-31,982.926
2006-11-30,980.513
2006-12-29,984.994
2007-01-31,991.104
2007-02-28,1018.424
2007-03-30,1000.379
2007-04-30,984.955
2007-05-31,1000.0
2007-06-29,998.904
2007-07-31,1005.68
2007-08-31,975.055
2007-09-28,999.699
2007-10-31,1001.02
2007-11-30,981.131
2007-12-31,939.934
2008-01-31,878.158
2008-02-29,889.201
2008-03-31,856.515
2008-04-30,917.093
2008-05-30,947.972
2008-06-30,881.963
2008-07-31,846.303
2008-08-29,803.2
2008-09-30,705.773
2008-10-31,588.478
2008-11-28,577.088
2008-12-31,627.298
2009-01-30,573.84
2009-02-27,495.003
2009-03-31,504.928
2009-04-30,533.71
2009-05-29,590.991
2009-06-30,606.57
2009-07-31,632.243
2009-08-31,660.155
2009-09-30,661.023
2009-10-30,639.79
2009-11-30,631.151
2009-12-31,642.605
2010-01-29,649.626
2010-02-26,658.399
2010-03-31,690.494
2010-04-30,693.923
2010-05-31,636.278
2010-06-30,624.675
2010-07-30,651.097
2010-08-31,629.059
2010-09-30,669.928
2010-10-29,681.303
2010-11-30,696.501
2010-12-31,747.71
2011-01-31,749.271
2011-02-28,776.736
2011-03-31,717.914
2011-04-29,725.073
2011-05-31,715.466
2011-06-30,723.024
2011-07-29,750.515
2011-08-31,687.993
2011-09-30,670.746
2011-10-31,674.666
2011-11-30,646.606
2011-12-30,646.705
2012-01-31,670.341
2012-02-29,696.627
2012-03-30,712.673
2012-04-30,696.327
2012-05-31,638.395
2012-06-29,668.608
2012-07-31,656.225
2012-08-31,659.851
2012-09-28,673.041
2012-10-31,659.341
2012-11-30,673.621
2012-12-31,696.8
2013-01-31,716.997
2013-02-28,739.87
2013-03-29,786.163
2013-04-30,859.604
2013-05-31,815.966
2013-06-28,829.509
2013-07-31,835.635
2013-08-30,818.7
2013-09-30,892.475
2013-10-31,898.229
2013-11-29,911.338
2013-12-31,921.047
2014-01-31,887.665
2014-02-28,878.779
2014-03-31,869.981
2014-04-30,841.332
2014-05-30,876.134
2014-06-30,923.795
2014-07-31,935.432
2014-08-29,920.651
2014-09-30,915.386
2014-10-31,905.544
2014-11-28,909.716
2014-12-31,899.508
2015-01-30,925.229
2015-02-27,964.974
2015-03-31,990.455
2015-04-30,1006.002
2015-05-29,1014.472
2015-06-30,1010.328
2015-07-31,1009.601
2015-08-31,955.144
2015-09-30,891.53
2015-10-30,982.639
2015-11-30,987.1
2015-12-31,989.989
2016-01-29,919.027
2016-02-29,905.669
2016-03-31,952.768
2016-04-29,998.028
2016-05-31,993.329
2016-06-30,993.54
2016-07-29,1040.864
2016-08-31,1011.563
2016-09-30,1050.666
2016-10-31,1049.906
2016-11-30,995.07
2016-12-30,998.297
2017-01-31,1035.282
2017-02-28,1050.663
2017-03-31,1058.821
2017-04-28,1075.713
2017-05-31,1137.654
2017-06-30,1141.834
2017-07-31,1169.632
2017-08-31,1175.326
2017-09-29,1189.871
2017-10-31,1252.945
2017-11-30,1302.243
2017-12-29,1306.63
2018-01-31,1372.456
2018-02-28,1359.474
2018-03-30,1341.436
2018-04-30,1331.066
2018-05-31,1343.749
2018-06-29,1306.805
2018-07-31,1296.874
2018-08-31,1309.615
2018-09-28,1339.052
2018-10-31,1196.925
2018-11-30,1225.306
2018-12-31,1127.455
2019-01-31,1185.341
2019-02-28,1208.588
2019-03-29,1223.884
2019-04-30,1249.284
2019-05-31,1201.763
2019-06-28,1242.105
2019-07-31,1256.739
2019-08-30,1251.043
2019-09-30,1290.342
2019-10-31,1351.512
2019-11-29,1363.421
2019-12-31,1392.026
2020-01-31,1376.946
2020-02-28,1236.701
2020-03-31,1197.061
2020-04-30,1273.321
2020-05-29,1370.647
2020-06-30,1388.748
2020-07-31,1391.876
2020-08-31,1472.705
2020-09-30,1525.297
2020-10-30,1500.144
2020-11-30,1706.07
2020-12-31,1759.139
2021-01-29,1723.331
2021-02-26,1688.914
2021-03-31,1685.12
2021-04-30,1664.133
2021-05-31,1668.862
2021-06-30,1673.761
2021-07-30,1654.548
