Date,JAPAN IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,952.534
2001-01-02,950.079
2001-01-03,950.993
2001-01-04,945.822
2001-01-05,950.669
2001-01-08,950.466
2001-01-09,922.262
2001-01-10,907.347
2001-01-11,878.589
2001-01-12,885.541
2001-01-15,892.135
2001-01-16,921.482
2001-01-17,940.407
2001-01-18,967.219
2001-01-19,980.658
2001-01-22,983.086
2001-01-23,972.389
2001-01-24,959.496
2001-01-25,972.595
2001-01-26,961.023
2001-01-29,959.365
2001-01-30,961.124
2001-01-31,965.826
2001-02-01,969.378
2001-02-02,957.08
2001-02-05,942.501
2001-02-06,939.787
2001-02-07,944.247
2001-02-08,925.047
2001-02-09,924.092
2001-02-12,924.06
2001-02-13,918.018
2001-02-14,913.598
2001-02-15,922.255
2001-02-16,917.833
2001-02-19,903.061
2001-02-20,916.744
2001-02-21,900.487
2001-02-22,900.132
2001-02-23,912.028
2001-02-26,911.286
2001-02-27,902.301
2001-02-28,880.873
2001-03-01,870.74
2001-03-02,831.498
2001-03-05,820.489
2001-03-06,851.123
2001-03-07,860.079
2001-03-08,854.27
2001-03-09,853.953
2001-03-12,820.447
2001-03-13,793.479
2001-03-14,786.803
2001-03-15,794.038
2001-03-16,805.418
2001-03-19,805.82
2001-03-20,803.064
2001-03-21,851.14
2001-03-22,835.857
2001-03-23,868.914
2001-03-26,907.709
2001-03-27,907.08
2001-03-28,924.277
2001-03-29,874.809
2001-03-30,848.803
2001-04-02,835.969
2001-04-03,849.196
2001-04-04,857.284
2001-04-05,873.445
2001-04-06,878.758
2001-04-09,848.95
2001-04-10,838.819
2001-04-11,860.62
2001-04-12,878.595
2001-04-13,880.03
2001-04-16,865.058
2001-04-17,860.493
2001-04-18,899.746
2001-04-19,928.451
2001-04-20,909.383
2001-04-23,919.116
2001-04-24,905.848
2001-04-25,914.802
2001-04-26,920.682
2001-04-27,914.771
2001-04-30,916.622
2001-05-01,961.787
2001-05-02,979.088
2001-05-03,986.776
2001-05-04,986.939
2001-05-07,1006.545
2001-05-08,979.269
2001-05-09,961.273
2001-05-10,947.128
2001-05-11,945.091
2001-05-14,929.391
2001-05-15,944.172
2001-05-16,920.672
2001-05-17,939.104
2001-05-18,925.213
2001-05-21,940.35
2001-05-22,941.585
2001-05-23,951.433
2001-05-24,949.792
2001-05-25,937.125
2001-05-28,924.012
2001-05-29,936.129
2001-05-30,912.447
2001-05-31,905.706
2001-06-01,905.544
2001-06-04,901.238
2001-06-05,892.502
2001-06-06,889.382
2001-06-07,897.105
2001-06-08,895.65
2001-06-11,877.598
2001-06-12,849.647
2001-06-13,848.224
2001-06-14,850.117
2001-06-15,834.359
2001-06-18,821.183
2001-06-19,818.16
2001-06-20,816.232
2001-06-21,827.672
2001-06-22,841.497
2001-06-25,829.686
2001-06-26,831.963
2001-06-27,824.952
2001-06-28,808.442
2001-06-29,828.49
2001-07-02,821.027
2001-07-03,825.091
2001-07-04,813.247
2001-07-05,799.641
2001-07-06,783.424
2001-07-09,775.346
2001-07-10,785.146
2001-07-11,777.462
2001-07-12,798.603
2001-07-13,790.578
2001-07-16,783.488
2001-07-17,772.472
2001-07-18,758.196
2001-07-19,762.267
2001-07-20,764.713
2001-07-23,735.038
2001-07-24,748.028
2001-07-25,758.082
2001-07-26,758.338
2001-07-27,747.543
2001-07-30,725.007
2001-07-31,743.566
2001-08-01,757.514
2001-08-02,784.776
2001-08-03,780.113
2001-08-06,774.1
2001-08-07,775.873
2001-08-08,775.434
2001-08-09,748.124
2001-08-10,753.735
2001-08-13,737.609
2001-08-14,761.065
2001-08-15,769.18
2001-08-16,750.818
2001-08-17,745.175
2001-08-20,731.213
2001-08-21,737.388
2001-08-22,736.341
2001-08-23,715.396
2001-08-24,714.24
2001-08-27,723.541
2001-08-28,713.398
2001-08-29,704.794
2001-08-30,695.983
2001-08-31,694.553
2001-09-03,673.197
2001-09-04,691.816
2001-09-05,672.09
2001-09-06,666.644
2001-09-07,664.687
2001-09-10,644.195
2001-09-11,660.314
2001-09-12,612.856
2001-09-13,626.231
2001-09-14,659.735
2001-09-17,635.958
2001-09-18,653.437
2001-09-19,675.754
2001-09-20,677.232
2001-09-21,659.139
2001-09-24,654.263
2001-09-25,666.209
2001-09-26,655.993
2001-09-27,651.67
2001-09-28,664.325
2001-10-01,671.897
