Date,PORTUGAL LARGE CAP Large Cap
2001-11-20,1932.411
2001-11-21,1890.816
2001-11-22,1913.22
2001-11-23,1900.763
2001-11-26,1884.495
2001-11-27,1893.644
2001-11-28,1875.536
2001-11-29,1899.333
2001-11-30,1939.574
2001-12-03,1892.984
2001-12-04,1901.026
2001-12-05,1906.755
2001-12-06,1968.694
2001-12-07,1956.647
2001-12-10,1928.167
2001-12-11,1950.876
2001-12-12,1965.022
2001-12-13,1952.419
2001-12-14,1938.366
2001-12-17,1932.935
2001-12-18,1923.623
2001-12-19,1884.163
2001-12-20,1875.217
2001-12-21,1866.634
2001-12-24,1848.008
2001-12-25,1848.008
2001-12-26,1849.587
2001-12-27,1898.003
2001-12-28,1900.217
2001-12-31,1918.75
2002-01-01,1918.75
2002-01-02,1942.291
2002-01-03,1975.274
2002-01-04,1969.321
2002-01-07,1928.273
2002-01-08,1907.266
2002-01-09,1872.14
2002-01-10,1863.706
2002-01-11,1861.744
2002-01-14,1851.123
2002-01-15,1875.382
2002-01-16,1857.215
2002-01-17,1884.065
2002-01-18,1897.158
2002-01-21,1880.77
2002-01-22,1878.121
2002-01-23,1841.396
2002-01-24,1816.461
2002-01-25,1794.385
2002-01-28,1830.985
2002-01-29,1794.795
2002-01-30,1765.385
2002-01-31,1756.547
2002-02-01,1755.965
2002-02-04,1737.485
2002-02-05,1735.272
2002-02-06,1750.634
2002-02-07,1733.649
2002-02-08,1725.986
2002-02-11,1730.797
2002-02-12,1728.332
2002-02-13,1692.082
2002-02-14,1715.28
2002-02-15,1695.71
2002-02-18,1685.174
2002-02-19,1644.543
2002-02-20,1634.493
2002-02-21,1614.087
2002-02-22,1633.919
2002-02-25,1619.038
2002-02-26,1657.958
2002-02-27,1678.661
2002-02-28,1696.697
2002-03-01,1720.764
2002-03-04,1759.462
2002-03-05,1765.401
2002-03-06,1768.931
2002-03-07,1805.467
2002-03-08,1825.436
2002-03-11,1832.348
2002-03-12,1822.204
2002-03-13,1806.298
2002-03-14,1825.839
2002-03-15,1843.249
2002-03-18,1854.485
2002-03-19,1840.364
2002-03-20,1813.577
2002-03-21,1789.419
2002-03-22,1811.822
2002-03-25,1788.456
2002-03-26,1783.167
2002-03-27,1777.424
2002-03-28,1773.481
2002-03-29,1773.481
2002-04-01,1788.016
2002-04-02,1765.844
2002-04-03,1756.515
2002-04-04,1766.557
2002-04-05,1752.946
2002-04-08,1739.932
2002-04-09,1767.26
2002-04-10,1766.362
2002-04-11,1764.808
2002-04-12,1749.91
2002-04-15,1758.114
2002-04-16,1780.232
2002-04-17,1798.984
2002-04-18,1807.929
2002-04-19,1814.406
2002-04-22,1809.899
2002-04-23,1792.29
2002-04-24,1786.23
2002-04-25,1799.447
2002-04-26,1781.037
2002-04-29,1787.165
2002-04-30,1765.539
2002-05-01,1775.531
2002-05-02,1693.017
2002-05-03,1734.996
2002-05-06,1726.292
2002-05-07,1710.023
2002-05-08,1748.35
2002-05-09,1730.113
2002-05-10,1719.663
2002-05-13,1706.989
2002-05-14,1696.698
2002-05-15,1716.969
2002-05-16,1732.025
2002-05-17,1760.836
2002-05-20,1760.45
2002-05-21,1770.728
2002-05-22,1775.269
2002-05-23,1766.262
2002-05-24,1773.657
2002-05-27,1760.96
2002-05-28,1786.641
2002-05-29,1793.707
2002-05-30,1804.386
2002-05-31,1775.77
2003-11-28,552.47
2003-12-01,561.876
2003-12-02,565.525
2003-12-03,567.265
2003-12-04,559.421
2003-12-05,552.44
2003-12-08,550.899
2003-12-09,544.514
2003-12-10,551.128
2003-12-11,556.164
2003-12-12,555.785
2003-12-15,555.724
2003-12-16,556.809
2003-12-17,558.272
2003-12-18,555.754
2003-12-19,548.306
2003-12-22,562.992
2003-12-23,568.758
2003-12-24,570.361
2003-12-25,570.361
2003-12-26,570.132
2003-12-29,579.751
2003-12-30,581.198
2003-12-31,590.972
2004-01-01,590.972
2004-01-02,597.86
2004-01-05,604.105
2004-01-06,611.471
2004-01-07,602.173
2004-01-08,626.68
2004-01-09,638.018
2004-01-12,626.838
2004-01-13,635.813
2004-01-14,634.464
2004-01-15,630.438
2004-01-16,629.443
2004-01-19,640.829
2004-01-20,644.997
2004-01-21,641.916
2004-01-22,639.345
2004-01-23,645.609
2004-01-26,629.837
2004-01-27,643.348
2004-01-28,645.947
2004-01-29,621.036
2004-01-30,605.387
2004-02-02,615.76
2004-02-03,619.265
2004-02-04,617.342
2004-02-05,628.883
2004-02-06,644.897
2004-02-09,642.352
2004-02-10,642.367
2004-02-11,658.571
2004-02-12,673.816
2004-02-13,666.799
2004-02-16,662.76
2004-02-17,679.786
2004-02-18,697.345
2004-02-19,672.843
2004-02-20,651.005
2004-02-23,667.344
2004-02-24,680.654
2004-02-25,677.513
2004-02-26,662.821
2004-02-27,662.386
2004-03-01,664.913
2004-03-02,667.917
2004-03-03,669.614
2004-03-04,672.539
2004-03-05,673.841
2004-03-08,681.866
2004-03-09,681.932
2004-03-10,665.306
2004-03-11,650.898
2004-03-12,643.443
2004-03-15,652.414
2004-03-16,671.783
2004-03-17,674.468
2004-03-18,673.634
2004-03-19,673.684
2004-03-22,661.173
2004-03-23,652.19
2004-03-24,652.491
2004-03-25,649.746
