Date,PORTUGAL LARGE CAP Large Cap
2001-01-01,2380.742
2001-01-02,2394.758
2001-01-03,2380.741
2001-01-04,2421.833
2001-01-05,2431.216
2001-01-08,2414.029
2001-01-09,2394.576
2001-01-10,2417.915
2001-01-11,2486.15
2001-01-12,2511.027
2001-01-15,2532.06
2001-01-16,2476.695
2001-01-17,2497.265
2001-01-18,2530.16
2001-01-19,2478.725
2001-01-22,2474.836
2001-01-23,2468.178
2001-01-24,2448.702
2001-01-25,2454.452
2001-01-26,2471.005
2001-01-29,2456.322
2001-01-30,2504.442
2001-01-31,2513.493
2001-02-01,2541.342
2001-02-02,2513.403
2001-02-05,2504.555
2001-02-06,2528.423
2001-02-07,2503.936
2001-02-08,2438.014
2001-02-09,2408.254
2001-02-12,2451.407
2001-02-13,2431.637
2001-02-14,2402.591
2001-02-15,2355.252
2001-02-16,2347.316
2001-02-19,2323.237
2001-02-20,2316.139
2001-02-21,2308.504
2001-02-22,2263.267
2001-02-23,2255.335
2001-02-26,2271.208
2001-02-27,2293.679
2001-02-28,2332.156
2001-03-01,2357.067
2001-03-02,2354.162
2001-03-05,2355.733
2001-03-06,2379.663
2001-03-07,2388.54
2001-03-08,2391.86
2001-03-09,2358.465
2001-03-12,2324.783
2001-03-13,2315.234
2001-03-14,2252.947
2001-03-15,2242.312
2001-03-16,2175.882
2001-03-19,2166.592
2001-03-20,2178.516
2001-03-21,2133.79
2001-03-22,2026.205
2001-03-23,2103.436
2001-03-26,2132.561
2001-03-27,2122.102
2001-03-28,2114.852
2001-03-29,2086.909
2001-03-30,2080.399
2001-04-02,2060.684
2001-04-03,2048.764
2001-04-04,2141.169
2001-04-05,2167.8
2001-04-06,2162.25
2001-04-09,2197.713
2001-04-10,2201.767
2001-04-11,2207.018
2001-04-12,2216.221
2001-04-13,2216.221
2001-04-16,2193.525
2001-04-17,2209.413
2001-04-18,2230.67
2001-04-19,2233.148
2001-04-20,2247.456
2001-04-23,2153.765
2001-04-24,2132.383
2001-04-25,2140.255
2001-04-26,2166.672
2001-04-27,2141.792
2001-04-30,2166.27
2001-05-01,2177.754
