Date,PORTUGAL LARGE CAP Large Cap
1995-06-30,1006.692
1995-07-31,1058.217
1995-08-31,954.357
1995-09-29,1010.909
1995-10-31,996.542
1995-11-30,963.629
1995-12-29,992.167
1996-01-31,1100.005
1996-02-29,1221.733
1996-03-29,1188.907
1996-04-30,1173.425
1996-05-31,1302.872
1996-06-28,1412.12
1996-07-31,1387.459
1996-08-30,1447.978
1996-09-30,1390.74
1996-10-31,1406.616
1996-11-29,1435.266
1996-12-31,1539.18
1997-01-31,1870.367
1997-02-28,1896.466
1997-03-31,2012.532
1997-04-30,1992.992
1997-05-30,2077.363
1997-06-30,2183.549
1997-07-31,2075.372
1997-08-29,1921.274
1997-09-30,2166.328
1997-10-31,2142.872
1997-11-28,2288.236
1997-12-31,2450.711
1998-01-30,2702.138
1998-02-27,2798.072
1998-03-31,2910.72
1998-04-30,3133.44
1998-05-29,3210.216
1998-06-30,2990.456
1998-07-31,3115.832
1998-08-31,2821.732
1998-09-30,2577.286
1998-10-30,3001.296
1998-11-30,2690.542
1998-12-31,2729.501
1999-01-29,3014.265
1999-02-26,2769.182
1999-03-31,2534.022
1999-04-30,2394.21
1999-05-31,2525.03
1999-06-30,2384.368
1999-07-30,2458.817
1999-08-31,2327.396
1999-09-30,2239.626
1999-10-29,2297.189
1999-11-30,2396.086
1999-12-31,2690.994
2000-01-31,2696.145
2000-02-29,3308.005
2000-03-31,3035.507
2000-04-28,2754.675
2000-05-31,2751.659
2000-06-30,2878.662
2000-07-31,2707.296
2000-08-31,2581.288
2000-09-29,2536.423
2000-10-31,2240.901
2000-11-30,2216.313
2000-12-29,2426.896
2001-01-31,2562.22
2001-02-28,2377.369
2001-03-30,2120.73
2001-04-30,2208.266
2001-05-31,1964.955
2001-06-29,1833.643
2001-07-31,1932.386
2001-08-31,1872.24
2001-09-28,1924.881
2001-10-31,1968.076
2001-11-30,1939.574
2001-12-31,1918.75
2002-01-31,1756.547
2002-02-28,1696.697
2002-03-29,1773.481
2002-04-30,1765.539
2002-05-31,1775.77
2003-11-28,552.47
2003-12-31,590.972
2004-01-30,605.387
2004-02-27,662.386
2004-03-31,656.578
2004-04-30,652.417
2004-05-31,619.812
2004-06-30,648.989
2004-07-30,616.874
2004-08-31,611.727
2004-09-30,662.512
2004-10-29,675.481
2004-11-30,711.344
2004-12-31,743.856
2005-01-31,744.731
2005-02-28,731.987
2005-03-31,706.551
2005-04-29,659.898
2005-05-31,641.113
2005-06-30,593.762
2005-07-29,598.003
2005-08-31,592.408
2005-09-30,573.208
2005-10-31,564.957
2005-11-30,573.052
2005-12-30,630.899
2006-01-31,627.457
2006-02-28,723.464
2006-03-31,757.794
2006-04-28,795.095
2006-05-31,773.135
2006-06-30,793.17
2006-07-31,815.099
2006-08-31,825.161
2006-09-29,819.917
2006-10-31,818.582
2006-11-30,846.652
2006-12-29,877.208
2007-01-31,878.299
2007-02-28,923.251
2007-03-30,914.785
2007-04-30,970.024
2007-05-31,1000.0
2007-06-29,1025.242
2007-07-31,1013.526
2007-08-31,961.465
2007-09-28,953.137
2007-10-31,1075.712
2007-11-30,1077.918
2007-12-31,1039.137
2008-01-31,944.569
2008-02-29,906.913
2008-03-31,910.614
2008-04-30,944.269
2008-05-30,942.19
2008-06-30,816.867
