Date,PORTUGAL LARGE CAP Large Cap
2020-03-31,843.401
2020-04-30,886.092
2020-05-29,1023.181
2020-06-30,1039.721
2020-07-31,1129.446
2020-08-31,1130.829
2020-09-30,1096.513
2020-10-30,1098.826
2020-11-30,1191.325
2020-12-31,1406.203
2021-01-29,1400.594
2021-02-26,1284.069
2021-03-31,1275.825
2021-04-30,1276.007
2021-05-31,1316.201
2021-06-30,1236.851
2021-07-30,1224.184
2021-08-31,1324.256
2021-09-30,1257.134
2021-10-29,1371.783
2021-11-30,1297.478
2021-12-31,1296.843
2022-01-31,1164.394
2022-02-28,1193.143
2022-03-31,1230.003
2022-04-29,1175.371
2022-05-31,1237.596
2022-06-30,1164.366
2022-07-29,1265.353
2022-08-31,1199.312
2022-09-30,1064.464
2022-10-31,1076.03
2022-11-30,1149.844
2022-12-30,1189.103
2023-01-31,1180.847
2023-02-28,1181.329
2023-03-31,1284.944
2023-04-28,1314.523
2023-05-31,1165.25
2023-06-30,1171.086
2023-07-31,1123.707
2023-08-31,1089.941
2023-09-29,989.563
2023-10-31,988.323
2023-11-30,1126.717
2023-12-29,1205.397
2024-01-31,1045.134
2024-02-29,910.778
2024-03-29,895.294
2024-04-30,876.822
2024-05-31,995.553
2024-06-28,907.537
2024-07-31,998.305
2024-08-30,1022.929
2024-09-30,1115.967
2024-10-31,928.201
2024-11-29,843.494
2024-12-31,747.55
2025-01-31,722.043
2025-02-28,727.729
2025-03-31,
2025-04-30,
2025-05-30,
2025-06-30,
2025-07-31,
2025-08-29,
2025-09-30,
2025-10-31,
