Date,KOKUSAI INDEX (WORLD ex JP) LARGE GROWTH Large Cap
2001-01-01,901.627
2001-01-02,868.368
2001-01-03,910.203
2001-01-04,912.971
2001-01-05,889.659
2001-01-08,882.396
2001-01-09,881.878
2001-01-10,889.491
2001-01-11,912.126
2001-01-12,913.323
2001-01-15,911.526
2001-01-16,907.564
2001-01-17,920.121
2001-01-18,939.347
2001-01-19,937.949
2001-01-22,934.302
2001-01-23,944.851
2001-01-24,946.174
2001-01-25,933.653
2001-01-26,932.364
2001-01-29,936.191
2001-01-30,939.902
2001-01-31,935.817
2001-02-01,937.018
2001-02-02,913.111
2001-02-05,912.795
2001-02-06,911.037
2001-02-07,897.094
2001-02-08,884.609
2001-02-09,864.869
2001-02-12,877.417
2001-02-13,866.346
2001-02-14,863.368
2001-02-15,874.335
2001-02-16,846.777
2001-02-19,846.162
2001-02-20,825.082
2001-02-21,811.841
2001-02-22,806.19
2001-02-23,798.066
2001-02-26,812.137
2001-02-27,804.734
2001-02-28,794.332
2001-03-01,795.871
2001-03-02,786.167
2001-03-05,794.637
2001-03-06,811.786
2001-03-07,811.598
2001-03-08,805.972
2001-03-09,781.384
2001-03-12,743.367
2001-03-13,751.123
2001-03-14,734.644
2001-03-15,737.403
2001-03-16,716.243
2001-03-19,724.766
2001-03-20,716.632
2001-03-21,702.993
2001-03-22,693.256
2001-03-23,713.015
2001-03-26,725.143
2001-03-27,743.152
2001-03-28,717.056
2001-03-29,707.81
2001-03-30,712.408
2001-04-02,702.005
2001-04-03,672.788
2001-04-04,675.531
2001-04-05,708.407
2001-04-06,698.169
2001-04-09,703.944
2001-04-10,724.297
2001-04-11,729.013
2001-04-12,741.69
2001-04-13,741.69
2001-04-16,733.453
2001-04-17,736.301
2001-04-18,772.671
2001-04-19,792.853
2001-04-20,790.939
2001-04-23,770.671
2001-04-24,760.828
2001-04-25,769.76
2001-04-26,773.518
2001-04-27,784.3
2001-04-30,790.101
2001-05-01,800.482
2001-05-02,805.064
2001-05-03,787.466
2001-05-04,797.559
2001-05-07,796.394
2001-05-08,796.901
2001-05-09,788.227
2001-05-10,791.819
2001-05-11,782.592
2001-05-14,775.047
2001-05-15,777.905
2001-05-16,795.144
2001-05-17,801.672
2001-05-18,803.77
2001-05-21,819.609
2001-05-22,818.309
2001-05-23,801.398
2001-05-24,803.417
2001-05-25,792.405
2001-05-28,793.903
2001-05-29,779.119
2001-05-30,761.914
2001-05-31,762.137
2001-06-01,764.681
2001-06-04,768.246
2001-06-05,781.688
2001-06-06,775.633
2001-06-07,782.239
2001-06-08,774.436
2001-06-11,763.892
2001-06-12,759.627
2001-06-13,754.724
2001-06-14,744.068
2001-06-15,738.662
2001-06-18,733.225
2001-06-19,734.071
2001-06-20,738.13
2001-06-21,743.657
2001-06-22,738.522
2001-06-25,737.481
2001-06-26,732.171
2001-06-27,729.503
2001-06-28,737.891
2001-06-29,737.599
2001-07-02,747.513
2001-07-03,744.141
2001-07-04,741.135
2001-07-05,725.459
2001-07-06,708.078
2001-07-09,713.575
2001-07-10,703.739
2001-07-11,699.798
2001-07-12,716.122
2001-07-13,720.666
2001-07-16,712.472
2001-07-17,714.755
2001-07-18,711.873
2001-07-19,719.799
2001-07-20,717.157
2001-07-23,707.044
2001-07-24,699.062
2001-07-25,703.281
2001-07-26,709.917
2001-07-27,715.901
2001-07-30,718.372
2001-07-31,724.199
2001-08-01,729.733
2001-08-02,733.898
2001-08-03,729.245
2001-08-06,721.638
2001-08-07,721.843
2001-08-08,707.925
2001-08-09,705.593
2001-08-10,705.873
2001-08-13,708.789
2001-08-14,707.701
2001-08-15,703.969
2001-08-16,702.412
2001-08-17,689.387
2001-08-20,691.035
2001-08-21,686.309
2001-08-22,691.076
2001-08-23,687.817
2001-08-24,704.987
2001-08-27,703.069
2001-08-28,690.618
2001-08-29,684.184
2001-08-30,667.739
2001-08-31,670.443
2001-09-03,667.303
2001-09-04,663.7
2001-09-05,658.052
2001-09-06,641.345
2001-09-07,630.04
2001-09-10,631.342
2001-09-11,618.838
2001-09-12,622.863
2001-09-13,625.358
2001-09-14,616.893
2001-09-17,597.947
2001-09-18,593.041
2001-09-19,585.358
2001-09-20,566.362
2001-09-21,553.215
2001-09-24,581.075
2001-09-25,588.562
2001-09-26,587.161
2001-09-27,592.166
2001-09-28,605.321
2001-10-01,601.695
2001-10-02,607.886
2001-10-03,621.378
2001-10-04,626.357
2001-10-05,629.519
2001-10-08,626.944
2001-10-09,622.523
2001-10-10,636.713
2001-10-11,649.308
2001-10-12,647.883
2001-10-15,643.528
2001-10-16,648.923
