Date,KOKUSAI INDEX (WORLD ex JP) LARGE GROWTH Large Cap
1994-05-31,304.28
1994-06-30,296.431
1994-07-29,307.863
1994-08-31,320.819
1994-09-30,313.617
1994-10-31,321.899
1994-11-30,310.119
1994-12-30,313.256
1995-01-31,314.494
1995-02-28,325.122
1995-03-31,336.767
1995-04-28,345.88
1995-05-31,356.758
1995-06-30,367.692
1995-07-31,383.826
1995-08-31,379.858
1995-09-29,394.884
1995-10-31,394.994
1995-11-30,405.053
1995-12-29,409.777
1996-01-31,420.691
1996-02-29,428.664
1996-03-29,432.15
1996-04-30,440.978
1996-05-31,452.193
1996-06-28,454.785
1996-07-31,434.18
1996-08-30,448.462
1996-09-30,470.733
1996-10-31,477.13
1996-11-29,508.713
1996-12-31,502.263
1997-01-31,524.993
1997-02-28,523.752
1997-03-31,514.744
1997-04-30,537.827
1997-05-30,569.207
1997-06-30,599.232
1997-07-31,641.259
1997-08-29,597.953
1997-09-30,638.057
1997-10-31,605.367
1997-11-28,625.501
1997-12-31,637.643
1998-01-30,661.31
1998-02-27,715.947
1998-03-31,751.706
1998-04-30,763.135
1998-05-29,758.527
1998-06-30,795.605
1998-07-31,802.052
1998-08-31,691.767
1998-09-30,712.08
1998-10-30,773.465
1998-11-30,829.493
1998-12-31,900.107
1999-01-29,945.921
1999-02-26,908.511
1999-03-31,944.426
1999-04-30,947.816
1999-05-31,911.61
1999-06-30,963.403
1999-07-30,945.049
1999-08-31,960.688
1999-09-30,952.274
1999-10-29,1015.993
1999-11-30,1071.609
1999-12-31,1217.091
2000-01-31,1157.432
2000-02-29,1227.028
2000-03-31,1270.118
2000-04-28,1181.327
2000-05-31,1114.117
2000-06-30,1202.822
2000-07-31,1164.223
2000-08-31,1219.968
2000-09-29,1101.703
2000-10-31,1049.628
2000-11-30,919.98
2000-12-29,919.412
2001-01-31,954.239
2001-02-28,809.871
2001-03-30,726.128
2001-04-30,805.102
2001-05-31,776.362
2001-06-29,751.299
2001-07-31,737.557
2001-08-31,682.67
2001-09-28,616.248
2001-10-31,645.042
2001-11-30,699.575
2001-12-31,704.299
2002-01-31,675.582
2002-02-28,653.873
2002-03-29,675.663
2002-04-30,630.282
2002-05-31,617.278
2002-06-28,578.848
2002-07-31,533.828
2002-08-30,534.989
2002-09-30,476.664
2002-10-31,523.851
2002-11-29,549.339
2002-12-31,516.989
2003-01-31,500.733
2003-02-28,494.774
2003-03-31,499.661
2003-04-30,544.087
2003-05-30,568.462
2003-06-30,574.775
2003-07-31,586.721
2003-08-29,593.108
2003-09-30,594.392
2003-10-31,629.014
2003-11-28,640.803
2003-12-31,670.339
2004-01-30,683.677
2004-02-27,694.73
2004-03-31,677.029
2004-04-30,666.273
2004-05-31,676.311
2004-06-30,682.316
2004-07-30,653.069
2004-08-31,650.774
2004-09-30,663.048
