Date,KOKUSAI INDEX (WORLD ex JP) LARGE GROWTH Large Cap
2001-01-01,919.412
2001-01-02,885.497
2001-01-03,928.147
2001-01-04,930.97
2001-01-05,907.198
2001-01-08,899.792
2001-01-09,899.264
2001-01-10,907.024
2001-01-11,930.104
2001-01-12,931.325
2001-01-15,929.493
2001-01-16,925.452
2001-01-17,938.255
2001-01-18,957.86
2001-01-19,956.435
2001-01-22,952.715
2001-01-23,963.472
2001-01-24,964.819
2001-01-25,952.051
2001-01-26,950.737
2001-01-29,954.639
2001-01-30,958.422
2001-01-31,954.239
2001-02-01,955.461
2001-02-02,931.084
2001-02-05,930.758
2001-02-06,928.964
2001-02-07,914.736
2001-02-08,902.005
2001-02-09,881.878
2001-02-12,894.672
2001-02-13,883.374
2001-02-14,880.316
2001-02-15,891.494
2001-02-16,863.394
2001-02-19,862.767
2001-02-20,841.261
2001-02-21,827.761
2001-02-22,821.997
2001-02-23,813.681
2001-02-26,828.028
2001-02-27,820.478
2001-02-28,809.871
2001-03-01,811.436
2001-03-02,801.543
2001-03-05,810.13
2001-03-06,827.611
2001-03-07,827.414
2001-03-08,821.676
2001-03-09,796.606
2001-03-12,757.848
2001-03-13,765.739
2001-03-14,748.938
2001-03-15,751.751
2001-03-16,730.179
2001-03-19,738.852
2001-03-20,730.56
2001-03-21,716.644
2001-03-22,706.684
2001-03-23,726.823
2001-03-26,739.169
2001-03-27,757.492
2001-03-28,730.891
2001-03-29,721.452
2001-03-30,726.128
2001-04-02,715.525
2001-04-03,685.745
2001-04-04,688.531
2001-04-05,722.04
2001-04-06,711.577
2001-04-09,717.463
2001-04-10,738.198
2001-04-11,742.961
2001-04-12,755.881
2001-04-13,755.881
2001-04-16,747.486
2001-04-17,750.358
2001-04-18,787.421
2001-04-19,807.986
2001-04-20,806.035
2001-04-23,785.328
2001-04-24,775.292
2001-04-25,784.392
2001-04-26,788.218
2001-04-27,799.197
2001-04-30,805.102
2001-05-01,815.673
2001-05-02,820.309
2001-05-03,802.367
2001-05-04,812.634
2001-05-07,811.434
2001-05-08,811.94
2001-05-09,803.096
2001-05-10,806.751
2001-05-11,797.33
2001-05-14,789.636
2001-05-15,792.548
2001-05-16,810.083
2001-05-17,816.726
2001-05-18,818.858
2001-05-21,834.947
2001-05-22,833.622
2001-05-23,816.386
2001-05-24,818.441
2001-05-25,807.208
2001-05-28,808.734
2001-05-29,793.674
2001-05-30,776.141
2001-05-31,776.362
2001-06-01,778.942
2001-06-04,782.572
2001-06-05,796.257
2001-06-06,790.067
2001-06-07,796.795
2001-06-08,788.835
2001-06-11,778.089
2001-06-12,773.742
2001-06-13,768.742
2001-06-14,757.88
2001-06-15,752.373
2001-06-18,746.83
2001-06-19,747.692
2001-06-20,751.814
2001-06-21,757.439
2001-06-22,752.21
2001-06-25,751.189
2001-06-26,745.781
2001-06-27,743.06
2001-06-28,751.597
2001-06-29,751.299
2001-07-02,761.397
2001-07-03,757.952
2001-07-04,754.89
2001-07-05,738.882
2001-07-06,721.179
2001-07-09,726.772
2001-07-10,716.751
2001-07-11,712.732
2001-07-12,729.349
2001-07-13,733.977
2001-07-16,725.63
2001-07-17,727.955
2001-07-18,725.02
2001-07-19,733.089
2001-07-20,730.398
2001-07-23,720.099
2001-07-24,711.966
2001-07-25,716.264
2001-07-26,723.022
2001-07-27,729.116
2001-07-30,731.627
2001-07-31,737.557
2001-08-01,743.186
2001-08-02,747.428
2001-08-03,742.686
2001-08-06,734.939
2001-08-07,735.144
2001-08-08,720.961
2001-08-09,718.587
2001-08-10,718.871
2001-08-13,721.819
2001-08-14,720.711
2001-08-15,716.858
2001-08-16,715.272
2001-08-17,702.001
2001-08-20,703.679
2001-08-21,698.865
2001-08-22,703.719
2001-08-23,700.399
2001-08-24,717.875
2001-08-27,715.922
2001-08-28,703.241
2001-08-29,696.687
2001-08-30,679.918
2001-08-31,682.67
2001-09-03,679.467
2001-09-04,675.798
2001-09-05,670.043
2001-09-06,653.028
2001-09-07,641.518
2001-09-10,642.844
2001-09-11,630.096
2001-09-12,634.193
2001-09-13,636.73
2001-09-14,628.111
2001-09-17,608.798
2001-09-18,603.803
2001-09-19,595.97
2001-09-20,576.63
2001-09-21,563.245
2001-09-24,591.61
2001-09-25,599.233
2001-09-26,597.763
2001-09-27,602.855
2001-09-28,616.248
2001-10-01,612.557
2001-10-02,618.859
2001-10-03,632.581
2001-10-04,637.65
2001-10-05,640.866
2001-10-08,638.244
2001-10-09,633.739
2001-10-10,648.181
2001-10-11,660.999
2001-10-12,659.548
2001-10-15,655.115
2001-10-16,660.607
2001-10-17,653.604
2001-10-18,647.426
2001-10-19,645.71
2001-10-22,656.401
2001-10-23,659.626
2001-10-24,663.455
2001-10-25,666.242
2001-10-26,670.63
2001-10-29,654.559
2001-10-30,642.229
2001-10-31,645.042
2001-11-01,659.231
2001-11-02,660.73
2001-11-05,672.896
2001-11-06,681.731
2001-11-07,682.705
2001-11-08,687.554
2001-11-09,685.034
2001-11-12,680.615
2001-11-13,695.208
2001-11-14,698.82
2001-11-15,701.4
2001-11-16,701.362
2001-11-19,708.684
2001-11-20,699.059
2001-11-21,695.046
2001-11-22,698.455
2001-11-23,701.552
2001-11-26,708.066
2001-11-27,702.85
2001-11-28,691.771
2001-11-29,696.345
2001-11-30,699.575
2001-12-03,692.237
2001-12-04,703.651
2001-12-05,723.145
2001-12-06,723.066
2001-12-07,716.024
2001-12-10,702.181
2001-12-11,702.78
2001-12-12,703.164
2001-12-13,689.734
2001-12-14,691.081
2001-12-17,702.92
2001-12-18,704.905
2001-12-19,702.523
2001-12-20,694.546
2001-12-21,699.268
2001-12-24,696.169
2001-12-25,696.169
2001-12-26,698.3
2001-12-27,706.757
2001-12-28,708.486
2001-12-31,704.299
2002-01-01,704.299
2002-01-02,708.353
2002-01-03,717.917
2002-01-04,718.254
2002-01-07,711.516
2002-01-08,708.439
2002-01-09,706.163
2002-01-10,704.497
2002-01-11,701.145
2002-01-14,693.476
2002-01-15,696.772
2002-01-16,684.338
2002-01-17,691.624
2002-01-18,684.601
2002-01-21,682.588
2002-01-22,678.141
2002-01-23,681.951
2002-01-24,685.52
2002-01-25,680.538
2002-01-28,680.454
2002-01-29,664.994
2002-01-30,666.807
2002-01-31,675.582
2002-02-01,672.041
2002-02-04,659.102
2002-02-05,654.453
2002-02-06,650.074
2002-02-07,649.762
2002-02-08,657.105
2002-02-11,667.727
2002-02-12,664.072
2002-02-13,669.466
2002-02-14,669.332
2002-02-15,661.11
2002-02-18,659.15
2002-02-19,646.742
2002-02-20,650.766
2002-02-21,643.294
2002-02-22,643.738
2002-02-25,653.529
2002-02-26,653.416
2002-02-27,656.148
2002-02-28,653.873
2002-03-01,666.841
2002-03-04,680.857
2002-03-05,678.007
2002-03-06,685.449
2002-03-07,686.69
2002-03-08,692.42
2002-03-11,690.361
2002-03-12,684.096
2002-03-13,679.213
2002-03-14,680.898
2002-03-15,688.146
2002-03-18,689.637
2002-03-19,690.932
2002-03-20,680.101
2002-03-21,680.365
2002-03-22,679.194
2002-03-25,669.25
2002-03-26,671.188
2002-03-27,671.36
2002-03-28,675.663
2002-03-29,675.663
2002-04-01,678.567
2002-04-02,670.23
2002-04-03,665.252
2002-04-04,664.17
2002-04-05,661.128
2002-04-08,656.399
2002-04-09,652.616
2002-04-10,659.589
2002-04-11,643.805
2002-04-12,648.179
2002-04-15,646.64
2002-04-16,661.482
2002-04-17,661.894
2002-04-18,659.545
2002-04-19,658.926
2002-04-22,648.725
2002-04-23,644.119
2002-04-24,640.747
2002-04-25,639.516
2002-04-26,629.894
2002-04-29,626.121
2002-04-30,630.282
2002-05-01,634.342
2002-05-02,628.151
2002-05-03,620.953
2002-05-06,613.195
2002-05-07,608.562
2002-05-08,633.933
2002-05-09,624.819
2002-05-10,614.131
2002-05-13,623.758
2002-05-14,636.073
2002-05-15,637.46
2002-05-16,640.396
2002-05-17,647.519
2002-05-20,639.831
2002-05-21,631.201
2002-05-22,631.397
2002-05-23,634.044
2002-05-24,628.309
2002-05-27,627.744
2002-05-28,624.304
2002-05-29,620.191
2002-05-30,617.385
2002-05-31,617.278
2002-06-03,606.25
2002-06-04,604.616
2002-06-05,607.385
2002-06-06,600.179
2002-06-07,594.254
2002-06-10,596.794
2002-06-11,590.975
2002-06-12,589.955
2002-06-13,583.566
2002-06-14,579.094
2002-06-17,596.669
2002-06-18,595.297
2002-06-19,586.429
2002-06-20,578.005
2002-06-21,569.484
2002-06-24,569.83
2002-06-25,565.554
2002-06-26,566.472
2002-06-27,575.743
2002-06-28,578.848
2002-07-01,569.478
2002-07-02,554.98
2002-07-03,554.049
2002-07-04,558.626
2002-07-05,579.774
2002-07-08,575.448
2002-07-09,564.852
2002-07-10,545.203
2002-07-11,543.646
2002-07-12,543.846
2002-07-15,537.141
2002-07-16,531.66
2002-07-17,540.015
2002-07-18,532.276
2002-07-19,511.132
2002-07-22,492.335
2002-07-23,478.903
2002-07-24,496.497
2002-07-25,498.853
2002-07-26,504.865
2002-07-29,531.228
2002-07-30,532.508
2002-07-31,533.828
2002-08-01,516.771
2002-08-02,510.367
2002-08-05,492.868
2002-08-06,506.436
2002-08-07,513.639
2002-08-08,531.375
2002-08-09,534.45
2002-08-12,529.218
2002-08-13,523.818
2002-08-14,536.34
2002-08-15,545.202
2002-08-16,547.48
2002-08-19,559.438
2002-08-20,551.191
2002-08-21,558.276
2002-08-22,565.495
2002-08-23,554.113
2002-08-26,554.207
2002-08-27,550.421
2002-08-28,537.504
2002-08-29,535.497
2002-08-30,534.989
2002-09-02,532.238
2002-09-03,512.689
2002-09-04,520.708
2002-09-05,513.851
2002-09-06,524.078
2002-09-09,525.501
2002-09-10,531.909
2002-09-11,535.124
2002-09-12,520.187
2002-09-13,519.028
2002-09-16,518.209
2002-09-17,510.055
2002-09-18,504.401
2002-09-19,492.071
2002-09-20,492.812
2002-09-23,482.21
2002-09-24,476.438
2002-09-25,487.607
2002-09-26,498.233
2002-09-27,486.911
2002-09-30,476.664
2002-10-01,491.676
2002-10-02,490.412
2002-10-03,486.077
2002-10-04,475.433
2002-10-07,467.921
2002-10-08,472.192
2002-10-09,464.334
2002-10-10,477.243
2002-10-11,497.261
2002-10-14,499.137
2002-10-15,523.613
2002-10-16,509.887
2002-10-17,521.257
2002-10-18,523.227
2002-10-21,527.893
2002-10-22,523.876
2002-10-23,521.279
2002-10-24,518.904
2002-10-25,526.346
2002-10-28,524.956
2002-10-29,516.523
2002-10-30,522.326
2002-10-31,523.851
2002-11-01,527.392
2002-11-04,536.704
2002-11-05,540.636
2002-11-06,541.945
2002-11-07,533.427
2002-11-08,528.153
2002-11-11,519.301
2002-11-12,526.209
2002-11-13,525.781
2002-11-14,538.411
2002-11-15,540.637
2002-11-18,537.496
2002-11-19,534.529
2002-11-20,540.65
2002-11-21,552.096
2002-11-22,549.913
2002-11-25,548.137
2002-11-26,537.507
2002-11-27,550.498
2002-11-28,552.041
2002-11-29,549.339
2002-12-02,549.595
2002-12-03,540.705
2002-12-04,540.384
2002-12-05,533.351
2002-12-06,535.567
2002-12-09,524.068
2002-12-10,530.059
2002-12-11,531.208
2002-12-12,528.894
2002-12-13,521.949
2002-12-16,532.79
2002-12-17,528.59
2002-12-18,519.991
2002-12-19,516.599
2002-12-20,521.697
2002-12-23,523.839
2002-12-24,522.927
2002-12-25,522.927
2002-12-26,520.543
2002-12-27,511.378
2002-12-30,515.225
2002-12-31,516.989
2003-01-01,516.989
2003-01-02,530.952
2003-01-03,533.548
2003-01-06,541.037
2003-01-07,538.063
2003-01-08,530.594
2003-01-09,540.387
2003-01-10,541.747
2003-01-13,541.551
2003-01-14,545.646
2003-01-15,537.256
2003-01-16,534.531
2003-01-17,525.356
2003-01-20,523.222
2003-01-21,518.449
2003-01-22,513.516
2003-01-23,518.058
2003-01-24,506.568
2003-01-27,495.959
2003-01-28,499.585
2003-01-29,503.691
2003-01-30,497.687
2003-01-31,500.733
2003-02-03,504.263
2003-02-04,496.314
2003-02-05,496.944
2003-02-06,491.857
2003-02-07,486.717
2003-02-10,487.669
2003-02-11,488.995
2003-02-12,483.106
2003-02-13,482.61
2003-02-14,492.028
2003-02-17,494.457
2003-02-18,502.583
2003-02-19,497.292
2003-02-20,494.934
2003-02-21,500.526
2003-02-24,493.035
2003-02-25,490.461
2003-02-26,486.552
2003-02-27,489.795
2003-02-28,494.774
2003-03-03,493.173
2003-03-04,485.475
2003-03-05,487.947
2003-03-06,484.795
2003-03-07,485.288
2003-03-10,474.469
2003-03-11,472.337
2003-03-12,470.625
2003-03-13,487.689
2003-03-14,492.25
2003-03-17,508.721
2003-03-18,510.402
2003-03-19,515.141
2003-03-20,515.879
2003-03-21,527.527
2003-03-24,509.475
2003-03-25,516.093
2003-03-26,513.82
2003-03-27,511.29
2003-03-28,508.897
2003-03-31,499.661
2003-04-01,504.678
2003-04-02,518.415
2003-04-03,517.964
2003-04-04,520.137
2003-04-07,524.157
2003-04-08,522.062
2003-04-09,517.458
2003-04-10,517.568
2003-04-11,516.675
2003-04-14,525.393
2003-04-15,529.948
2003-04-16,526.107
2003-04-17,533.84
2003-04-18,533.84
2003-04-21,531.978
2003-04-22,541.166
2003-04-23,544.127
2003-04-24,539.405
2003-04-25,533.004
2003-04-28,542.493
2003-04-29,543.469
2003-04-30,544.087
2003-05-01,545.863
2003-05-02,550.842
2003-05-05,552.783
2003-05-06,559.125
2003-05-07,554.587
2003-05-08,548.869
2003-05-09,556.975
2003-05-12,562.769
2003-05-13,561.26
2003-05-14,559.537
2003-05-15,563.8
2003-05-16,563.846
2003-05-19,550.697
2003-05-20,550.187
2003-05-21,549.299
2003-05-22,554.455
2003-05-23,553.35
2003-05-26,553.611
2003-05-27,561.987
2003-05-28,564.933
2003-05-29,566.093
2003-05-30,568.462
2003-06-02,571.845
2003-06-03,573.343
2003-06-04,579.974
2003-06-05,581.811
2003-06-06,581.681
2003-06-09,577.093
2003-06-10,580.141
2003-06-11,588.033
2003-06-12,588.618
2003-06-13,583.588
2003-06-16,597.224
2003-06-17,600.568
2003-06-18,600.571
2003-06-19,592.119
2003-06-20,591.651
2003-06-23,580.772
2003-06-24,579.965
2003-06-25,578.168
2003-06-26,580.855
2003-06-27,576.976
2003-06-30,574.775
2003-07-01,576.295
2003-07-02,583.697
2003-07-03,581.797
2003-07-04,580.564
2003-07-07,590.673
2003-07-08,590.622
2003-07-09,587.502
2003-07-10,582.034
2003-07-11,587.357
2003-07-14,592.402
2003-07-15,589.199
2003-07-16,586.981
2003-07-17,578.178
2003-07-18,581.456
2003-07-21,575.987
2003-07-22,580.52
2003-07-23,584.421
2003-07-24,584.758
2003-07-25,591.038
2003-07-28,591.159
2003-07-29,587.945
2003-07-30,586.575
2003-07-31,586.721
2003-08-01,580.806
2003-08-04,581.817
2003-08-05,575.611
2003-08-06,573.148
2003-08-07,577.392
2003-08-08,578.881
2003-08-11,581.221
2003-08-12,585.593
2003-08-13,583.533
2003-08-14,586.713
2003-08-15,587.33
2003-08-18,591.342
2003-08-19,591.339
2003-08-20,589.88
2003-08-21,589.269
2003-08-22,586.2
2003-08-25,586.329
2003-08-26,586.531
2003-08-27,588.322
2003-08-28,591.43
2003-08-29,593.108
2003-09-01,595.392
2003-09-02,599.038
2003-09-03,602.927
2003-09-04,605.894
2003-09-05,605.01
2003-09-08,611.874
2003-09-09,608.124
2003-09-10,602.263
2003-09-11,605.277
2003-09-12,606.431
2003-09-15,605.446
2003-09-16,612.414
2003-09-17,612.424
2003-09-18,618.725
2003-09-19,616.924
2003-09-22,609.983
2003-09-23,613.427
2003-09-24,603.789
2003-09-25,600.83
2003-09-26,596.562
2003-09-29,601.111
2003-09-30,594.392
2003-10-01,607.003
2003-10-02,608.558
2003-10-03,616.638
2003-10-06,617.122
2003-10-07,619.691
2003-10-08,617.9
2003-10-09,622.457
2003-10-10,622.621
2003-10-13,626.697
2003-10-14,628.225
2003-10-15,627.845
2003-10-16,630.1
2003-10-17,624.252
